symbol,query_symbol,industry,category,subcategory,longName,exchange,primaryExchange
A,A,"Consumer, Non-cyclical",Healthcare-Products,Diagnostic Equipment,AGILENT TECHNOLOGIES INC,SMART,NYSE
AAPL,AAPL,Technology,Computers,Computers,APPLE INC,SMART,NASDAQ
ABBV,ABBV,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Drugs,ABBVIE INC,SMART,NYSE
ABNB,ABNB,Communications,Internet,E-Commerce/Services,AIRBNB INC-CLASS A,SMART,NASDAQ
ABT,ABT,"Consumer, Non-cyclical",Healthcare-Products,Medical Products,ABBOTT LABORATORIES .,SMART,NYSE
ACGL,ACGL,Financial,Insurance,Property/Casualty Ins,ARCH CAPITAL GROUP LTD,SMART,NASDAQ
ACN,ACN,Technology,Computers,Computer Services,ACCENTURE PLC-CL A,SMART,NYSE
ADBE,ADBE,Technology,Software,Electronic Forms,ADOBE INC,SMART,NASDAQ
ADI,ADI,Technology,Semiconductors,Electronic Compo-Semicon,ANALOG DEVICES INC,SMART,NASDAQ
ADM,ADM,"Consumer, Non-cyclical",Agriculture,Agricultural Operations,ARCHER-DANIELS-MIDLAND CO,SMART,NYSE
ADP,ADP,"Consumer, Non-cyclical",Commercial Services,Commercial Services,AUTOMATIC DATA PROCESSING,SMART,NASDAQ
ADSK,ADSK,Technology,Software,Computer Aided Design,AUTODESK INC,SMART,NASDAQ
AEE,AEE,Utilities,Electric,Electric-Integrated,AMEREN CORP,SMART,NYSE
AEP,AEP,Utilities,Electric,Electric-Integrated,AMERICAN ELECTRIC POWER,SMART,NASDAQ
AES,AES,Utilities,Electric,Electric-Integrated,AES CORP,SMART,NYSE
AFL,AFL,Financial,Insurance,Life/Health Insurance,AFLAC INC,SMART,NYSE
AIG,AIG,Financial,Insurance,Multi-line Insurance,AMERICAN INTERNATIONAL GROUP,SMART,NYSE
AIZ,AIZ,Financial,Insurance,Property/Casualty Ins,ASSURANT INC,SMART,NYSE
AJG,AJG,Financial,Insurance,Insurance Brokers,ARTHUR J GALLAGHER & CO,SMART,NYSE
AKAM,AKAM,Technology,Software,Computer Software,AKAMAI TECHNOLOGIES INC,SMART,NASDAQ
ALB,ALB,Basic Materials,Chemicals,Chemicals-Specialty,ALBEMARLE CORP,SMART,NYSE
ALGN,ALGN,"Consumer, Non-cyclical",Healthcare-Products,Medical Products,ALIGN TECHNOLOGY INC,SMART,NASDAQ
ALL,ALL,Financial,Insurance,Multi-line Insurance,ALLSTATE CORP,SMART,NYSE
ALLE,ALLE,Industrial,Electronics,Electronic Secur Devices,ALLEGION PLC,SMART,NYSE
AMAT,AMAT,Technology,Semiconductors,Semiconductor Equipment,APPLIED MATERIALS INC,SMART,NASDAQ
AMCR,AMCR,Industrial,Packaging&Containers,Containers-Paper/Plastic,AMCOR PLC,SMART,NYSE
AMD,AMD,Technology,Semiconductors,Electronic Compo-Semicon,ADVANCED MICRO DEVICES,SMART,NASDAQ
AME,AME,Industrial,Electrical Compo&Equip,Electric Products-Misc,AMETEK INC,SMART,NYSE
AMGN,AMGN,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,AMGEN INC,SMART,NASDAQ
AMP,AMP,Financial,Diversified Finan Serv,Invest Mgmnt/Advis Serv,AMERIPRISE FINANCIAL INC,SMART,NYSE
AMT,AMT,Financial,REITS,REITS-Diversified,AMERICAN TOWER CORP,SMART,NYSE
AMZN,AMZN,Communications,Internet,E-Commerce/Products,AMAZON.COM INC,SMART,NASDAQ
ANET,ANET,Communications,Telecommunications,Networking Products,ARISTA NETWORKS INC,SMART,NYSE
AON,AON,Financial,Insurance,Insurance Brokers,AON PLC-CLASS A,SMART,NYSE
AOS,AOS,Industrial,Miscellaneous Manufactur,Diversified Manufact Op,SMITH (A.O.) CORP,SMART,NYSE
APA,APA,Energy,Oil&Gas,Oil Comp-Explor&Prodtn,APA CORP,SMART,NASDAQ
APD,APD,Basic Materials,Chemicals,Industrial Gases,AIR PRODUCTS & CHEMICALS INC,SMART,NYSE
APH,APH,Industrial,Electronics,Electronic Connectors,AMPHENOL CORP-CL A,SMART,NYSE
APO,APO,Financial,Diversified Finan Serv,Invest Mgmnt/Advis Serv,APOLLO GLOBAL MANAGEMENT INC,SMART,NYSE
APTV,APTV,"Consumer, Cyclical",Auto Parts&Equipment,Auto/Trk Prts&Equip-Orig,APTIV PLC,SMART,NYSE
ARE,ARE,Financial,REITS,REITS-Health Care,ALEXANDRIA REAL ESTATE EQUIT,SMART,NYSE
ATO,ATO,Utilities,Gas,Gas-Distribution,ATMOS ENERGY CORP,SMART,NYSE
AVB,AVB,Financial,REITS,REITS-Apartments,AVALONBAY COMMUNITIES INC,SMART,NYSE
AVGO,AVGO,Technology,Semiconductors,Electronic Compo-Semicon,BROADCOM INC,SMART,NASDAQ
AVY,AVY,"Consumer, Non-cyclical",Household Products/Wares,Office Supplies&Forms,AVERY DENNISON CORP,SMART,NYSE
AWK,AWK,Utilities,Water,Water,AMERICAN WATER WORKS CO INC,SMART,NYSE
AXON,AXON,Industrial,Miscellaneous Manufactur,Firearms&Ammunition,AXON ENTERPRISE INC,SMART,NASDAQ
AXP,AXP,Financial,Diversified Finan Serv,Finance-Credit Card,AMERICAN EXPRESS CO,SMART,NYSE
AZO,AZO,"Consumer, Cyclical",Retail,Retail-Auto Parts,AUTOZONE INC,SMART,NYSE
BA,BA,Industrial,Aerospace/Defense,Aerospace/Defense,BOEING CO/THE,SMART,NYSE
BAC,BAC,Financial,Banks,Diversified Banking Inst,BANK OF AMERICA CORP,SMART,NYSE
BALL,BALL,Industrial,Packaging&Containers,Containers-Metal/Glass,BALL CORP,SMART,NYSE
BAX,BAX,"Consumer, Non-cyclical",Healthcare-Products,Medical Products,BAXTER INTERNATIONAL INC.,SMART,NYSE
BBY,BBY,"Consumer, Cyclical",Retail,Retail-Consumer Electron,BEST BUY CO INC,SMART,NYSE
BDX,BDX,"Consumer, Non-cyclical",Pharmaceuticals,Drug Delivery Systems,BECTON DICKINSON AND CO,SMART,NYSE
BEN,BEN,Financial,Diversified Finan Serv,Invest Mgmnt/Advis Serv,FRANKLIN RESOURCES INC,SMART,NYSE
BG,BG,"Consumer, Non-cyclical",Agriculture,Agricultural Operations,BUNGE GLOBAL SA,SMART,NYSE
BIIB,BIIB,"Consumer, Non-cyclical",Biotechnology,Medical-Biomedical/Gene,BIOGEN INC,SMART,NASDAQ
BK,BK,Financial,Banks,Fiduciary Banks,BANK OF NEW YORK MELLON CORP,SMART,NYSE
BKNG,BKNG,Communications,Internet,E-Commerce/Services,BOOKING HOLDINGS INC,SMART,NASDAQ
BKR,BKR,Energy,Oil&Gas Services,Oil-Field Services,BAKER HUGHES CO,SMART,NASDAQ
BLDR,BLDR,Industrial,Building Materials,Bldg&Construct Prod-Misc,BUILDERS FIRSTSOURCE INC,SMART,NYSE
BLK,BLK,Financial,Diversified Finan Serv,Invest Mgmnt/Advis Serv,BLACKROCK INC,SMART,NYSE
BMY,BMY,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Drugs,BRISTOL-MYERS SQUIBB CO,SMART,NYSE
BR,BR,Technology,Software,Data Processing/Mgmt,BROADRIDGE FINANCIAL SOLUTIO,SMART,NYSE
BRO,BRO,Financial,Insurance,Insurance Brokers,BROWN & BROWN INC,SMART,NYSE
BSX,BSX,"Consumer, Non-cyclical",Healthcare-Products,Medical Instruments,BOSTON SCIENTIFIC CORP,SMART,NYSE
BX,BX,Financial,Private Equity,Private Equity,BLACKSTONE INC,SMART,NYSE
BXP,BXP,Financial,REITS,REITS-Office Property,BXP INC,SMART,NYSE
C,C,Financial,Banks,Diversified Banking Inst,CITIGROUP INC,SMART,NYSE
CAG,CAG,"Consumer, Non-cyclical",Food,Food-Misc/Diversified,CONAGRA BRANDS INC,SMART,NYSE
CAH,CAH,"Consumer, Non-cyclical",Pharmaceuticals,Medical-Whsle Drug Dist,CARDINAL HEALTH INC,SMART,NYSE
CARR,CARR,Industrial,Building Materials,Bldg Prod-Air&Heating,CARRIER GLOBAL CORP,SMART,NYSE
CAT,CAT,Industrial,Machinery-Constr&Mining,Machinery-Constr&Mining,CATERPILLAR INC,SMART,NYSE
CB,CB,Financial,Insurance,Multi-line Insurance,CHUBB LTD,SMART,NYSE
CBOE,CBOE,Financial,Diversified Finan Serv,Finance-Other Services,CBOE GLOBAL MARKETS INC,SMART,BATS
CBRE,CBRE,Financial,Real Estate,Real Estate Mgmnt/Servic,CBRE GROUP INC - A,SMART,NYSE
CCI,CCI,Financial,REITS,REITS-Diversified,CROWN CASTLE INC,SMART,NYSE
CCL,CCL,"Consumer, Cyclical",Leisure Time,Cruise Lines,CARNIVAL CORP,SMART,NYSE
CDNS,CDNS,Technology,Software,Computer Aided Design,CADENCE DESIGN SYS INC,SMART,NASDAQ
CDW,CDW,Communications,Internet,E-Services/Consulting,CDW CORP/DE,SMART,NASDAQ
CEG,CEG,Utilities,Electric,Electric-Generation,CONSTELLATION ENERGY,SMART,NASDAQ
CF,CF,Basic Materials,Chemicals,Agricultural Chemicals,CF INDUSTRIES HOLDINGS INC,SMART,NYSE
CFG,CFG,Financial,Banks,Commer Banks-Eastern US,CITIZENS FINANCIAL GROUP,SMART,NYSE
CHD,CHD,"Consumer, Non-cyclical",Household Products/Wares,Soap&Cleaning Prepar,CHURCH & DWIGHT CO INC,SMART,NYSE
CHRW,CHRW,Industrial,Transportation,Transport-Services,C.H. ROBINSON WORLDWIDE INC,SMART,NASDAQ
CHTR,CHTR,Communications,Media,Cable/Satellite TV,CHARTER COMMUNICATIONS INC-A,SMART,NASDAQ
