date,close
2020-01-27,84.02
2020-01-28,83.77
2020-01-29,83.2
2020-01-30,81.78
2020-01-31,81.02
2020-02-03,82.3
2020-02-04,84.36
2020-02-05,86.63
2020-02-06,87.18
2020-02-07,92.29
2020-02-10,94.75
2020-02-11,96.0
2020-02-12,97.79
2020-02-13,95.35
2020-02-14,94.05
2020-02-18,93.61
2020-02-19,94.14
2020-02-20,94.23
2020-02-21,94.96
2020-02-24,93.14
2020-02-25,89.18
2020-02-26,88.41
2020-02-27,85.42
2020-02-28,85.71
2020-03-02,88.69
2020-03-03,87.57
2020-03-04,91.75
2020-03-05,90.61
2020-03-06,88.82
2020-03-09,85.27
2020-03-10,87.53
2020-03-11,84.85
2020-03-12,78.61
2020-03-13,85.37
2020-03-16,74.27
2020-03-17,73.02
2020-03-18,71.03
2020-03-19,71.06
2020-03-20,68.82
2020-03-23,64.5
2020-03-24,67.49
2020-03-25,67.91
2020-03-26,73.83
2020-03-27,72.67
2020-03-30,75.24
2020-03-31,76.19
2020-04-01,73.42
2020-04-02,75.13
2020-04-03,73.37
2020-04-06,75.73
2020-04-07,75.39
2020-04-08,78.56
2020-04-09,79.75
2020-04-13,80.3
2020-04-14,82.13
2020-04-15,81.82
2020-04-16,81.86
2020-04-17,83.45
2020-04-20,83.99
2020-04-21,80.36
2020-04-22,81.47
2020-04-23,82.04
2020-04-24,83.59
2020-04-27,84.69
2020-04-28,82.76
2020-04-29,83.76
2020-04-30,82.2
2020-05-01,82.84
2020-05-04,81.86
2020-05-05,85.37
2020-05-06,85.42
2020-05-07,84.22
2020-05-08,83.96
2020-05-11,87.9
2020-05-12,90.46
2020-05-13,88.87
2020-05-14,89.94
2020-05-15,90.71
2020-05-18,91.47
2020-05-19,91.2
2020-05-20,91.19
2020-05-21,93.02
2020-05-22,92.1
2020-05-26,90.71
2020-05-27,89.98
2020-05-28,90.03
2020-05-29,92.67
2020-06-01,90.7
2020-06-02,91.04
2020-06-03,90.89
2020-06-04,93.04
2020-06-05,93.85
2020-06-08,94.59
2020-06-09,96.17
2020-06-10,96.9
2020-06-11,92.26
2020-06-12,92.46
2020-06-15,93.08
2020-06-16,96.06
2020-06-17,95.74
2020-06-18,96.23
2020-06-19,96.71
2020-06-22,97.27
2020-06-23,97.31
2020-06-24,95.14
2020-06-25,96.99
2020-06-26,96.13
2020-06-29,96.44
2020-06-30,98.18
2020-07-01,99.14
2020-07-02,98.88
2020-07-06,99.01
2020-07-07,99.35
2020-07-08,99.28
2020-07-09,97.94
2020-07-10,96.83
2020-07-13,97.86
2020-07-14,98.87
2020-07-15,100.48
2020-07-16,99.92
2020-07-17,100.83
2020-07-20,99.54
2020-07-21,97.4
2020-07-22,97.7
2020-07-23,98.03
2020-07-24,97.11
2020-07-27,97.16
2020-07-28,96.71
2020-07-29,97.01
2020-07-30,96.04
2020-07-31,94.91
2020-08-03,95.94
2020-08-04,94.29
2020-08-05,93.25
2020-08-06,92.57
2020-08-07,92.92
2020-08-10,92.38
2020-08-11,92.67
2020-08-12,95.51
2020-08-13,94.68
2020-08-14,95.07
2020-08-17,96.35
2020-08-18,95.65
2020-08-19,96.1
2020-08-20,95.2
2020-08-21,94.86
2020-08-24,94.51
2020-08-25,94.06
2020-08-26,94.35
2020-08-27,94.3
2020-08-28,94.17
2020-08-31,95.77
2020-09-01,92.24
2020-09-02,93.95
2020-09-03,91.87
2020-09-04,91.87
2020-09-08,90.22
2020-09-09,91.63
2020-09-10,89.65
2020-09-11,89.7
2020-09-14,90.49
2020-09-15,90.91
2020-09-16,89.78
2020-09-17,89.63
2020-09-18,90.11
2020-09-21,89.09
2020-09-22,88.6
2020-09-23,87.14
2020-09-24,85.91
2020-09-25,86.23
2020-09-28,87.28
2020-09-29,86.89
2020-09-30,87.59
2020-10-01,87.14
2020-10-02,86.12
2020-10-05,87.93
2020-10-06,85.89
2020-10-07,87.07
2020-10-08,87.34
2020-10-09,87.7
2020-10-12,88.32
2020-10-13,87.83
2020-10-14,86.07
2020-10-15,85.23
2020-10-16,86.27
2020-10-19,84.31
2020-10-20,84.25
2020-10-21,82.89
2020-10-22,84.31
2020-10-23,84.34
