date,close
2020-01-27,44.55
2020-01-28,44.66
2020-01-29,44.13
2020-01-30,44.48
2020-01-31,44.16
2020-02-03,44.68
2020-02-04,44.87
2020-02-05,45.72
2020-02-06,46.14
2020-02-07,46.15
2020-02-10,46.78
2020-02-11,47.75
2020-02-12,47.04
2020-02-13,47.83
2020-02-14,47.68
2020-02-18,47.89
2020-02-19,48.18
2020-02-20,47.9
2020-02-21,47.12
2020-02-24,45.65
2020-02-25,44.39
2020-02-26,43.83
2020-02-27,42.42
2020-02-28,40.43
2020-03-02,42.49
2020-03-03,41.62
2020-03-04,43.08
2020-03-05,41.17
2020-03-06,40.7
2020-03-09,36.65
2020-03-10,37.83
2020-03-11,35.88
2020-03-12,30.68
2020-03-13,32.77
2020-03-16,27.24
2020-03-17,30.22
2020-03-18,27.49
2020-03-19,27.06
2020-03-20,25.97
2020-03-23,23.26
2020-03-24,25.6
2020-03-25,25.72
2020-03-26,29.67
2020-03-27,29.07
2020-03-30,30.54
2020-03-31,28.46
2020-04-01,26.02
2020-04-02,26.32
2020-04-03,24.61
2020-04-06,27.03
2020-04-07,27.88
2020-04-08,28.69
2020-04-09,31.0
2020-04-13,29.22
2020-04-14,29.25
2020-04-15,27.35
2020-04-16,26.49
2020-04-17,27.15
2020-04-20,26.7
2020-04-21,25.29
2020-04-22,24.9
2020-04-23,24.26
2020-04-24,23.64
2020-04-27,24.65
2020-04-28,24.75
2020-04-29,25.58
2020-04-30,24.03
2020-05-01,23.11
2020-05-04,23.8
2020-05-05,23.74
2020-05-06,23.42
2020-05-07,24.71
2020-05-08,25.95
2020-05-11,25.26
2020-05-12,23.65
2020-05-13,22.24
2020-05-14,22.85
2020-05-15,22.98
2020-05-18,24.36
2020-05-19,24.28
2020-05-20,26.54
2020-05-21,27.45
2020-05-22,28.3
2020-05-26,29.39
2020-05-27,29.92
2020-05-28,29.04
2020-05-29,28.22
2020-06-01,29.1
2020-06-02,30.38
2020-06-03,32.35
2020-06-04,32.79
2020-06-05,34.98
2020-06-08,35.65
2020-06-09,34.38
2020-06-10,32.86
2020-06-11,30.3
2020-06-12,30.61
2020-06-15,30.93
2020-06-16,31.22
2020-06-17,30.71
2020-06-18,30.55
2020-06-19,29.33
2020-06-22,29.71
2020-06-23,29.56
2020-06-24,28.45
2020-06-25,28.88
2020-06-26,27.7
2020-06-29,28.37
2020-06-30,28.65
2020-07-01,28.15
2020-07-02,28.09
2020-07-06,28.5
2020-07-07,27.51
2020-07-08,27.65
2020-07-09,27.04
2020-07-10,28.23
2020-07-13,28.29
2020-07-14,28.9
2020-07-15,30.34
2020-07-16,30.82
2020-07-17,30.69
2020-07-20,30.04
2020-07-21,30.43
2020-07-22,30.74
2020-07-23,31.19
2020-07-24,30.85
2020-07-27,30.13
2020-07-28,30.1
2020-07-29,30.86
2020-07-30,31.11
2020-07-31,30.75
2020-08-03,30.95
2020-08-04,30.37
2020-08-05,30.82
2020-08-06,31.32
2020-08-07,32.49
2020-08-10,32.73
2020-08-11,32.85
2020-08-12,32.6
2020-08-13,32.36
2020-08-14,32.25
2020-08-17,31.76
2020-08-18,31.58
2020-08-19,31.4
2020-08-20,31.4
2020-08-21,30.9
2020-08-24,31.95
2020-08-25,31.47
2020-08-26,31.39
2020-08-27,32.31
2020-08-28,32.27
2020-08-31,31.54
2020-09-01,31.6
2020-09-02,32.13
2020-09-03,32.12
2020-09-04,31.87
2020-09-08,31.0
2020-09-09,31.55
2020-09-10,31.16
2020-09-11,30.73
2020-09-14,31.04
2020-09-15,30.29
2020-09-16,30.61
2020-09-17,30.42
2020-09-18,29.48
2020-09-21,28.89
2020-09-22,29.0
2020-09-23,27.93
2020-09-24,28.14
2020-09-25,28.45
2020-09-28,29.26
2020-09-29,28.87
2020-09-30,29.25
2020-10-01,29.4
2020-10-02,29.7
2020-10-05,30.64
2020-10-06,30.18
2020-10-07,30.24
2020-10-08,31.5
2020-10-09,31.53
2020-10-12,31.71
2020-10-13,30.81
2020-10-14,30.46
2020-10-15,30.89
2020-10-16,30.85
2020-10-19,29.89
2020-10-20,30.26
2020-10-21,30.86
2020-10-22,31.68
2020-10-23,31.81
2020-10-26,30.48
2020-10-27,29.21
2020-10-28,29.45
2020-10-29,30.43
2020-10-30,30.21
2020-11-02,31.37
2020-11-03,31.91
2020-11-04,31.98
2020-11-05,31.91
2020-11-06,31.55
2020-11-09,34.44
2020-11-10,35.22
2020-11-11,34.73
2020-11-12,33.73
2020-11-13,34.15
2020-11-16,35.3
2020-11-17,35.24
2020-11-18,34.89
2020-11-19,34.87
2020-11-20,33.97
2020-11-23,33.99
2020-11-24,34.55
2020-11-25,33.55
2020-11-27,33.03
2020-11-30,32.2
2020-12-01,33.02
2020-12-02,33.11
2020-12-03,32.59
2020-12-04,34.17
2020-12-07,33.25
2020-12-08,33.18
2020-12-09,33.55
2020-12-10,34.27
