date,close
2020-01-27,43.53
2020-01-28,43.92
2020-01-29,43.68
2020-01-30,45.8
2020-01-31,44.76
2020-02-03,44.96
2020-02-04,45.37
2020-02-05,46.07
2020-02-06,45.98
2020-02-07,45.71
2020-02-10,45.68
2020-02-11,46.12
2020-02-12,45.61
2020-02-13,45.27
2020-02-14,44.77
2020-02-18,44.45
2020-02-19,43.97
2020-02-20,44.23
2020-02-21,43.9
2020-02-24,42.82
2020-02-25,40.43
2020-02-26,39.87
2020-02-27,37.62
2020-02-28,37.65
2020-03-02,38.84
2020-03-03,38.06
2020-03-04,39.37
2020-03-05,38.33
2020-03-06,37.64
2020-03-09,35.3
2020-03-10,37.12
2020-03-11,35.07
2020-03-12,31.54
2020-03-13,34.64
2020-03-16,32.68
2020-03-17,35.26
2020-03-18,33.02
2020-03-19,33.46
2020-03-20,30.61
2020-03-23,29.31
2020-03-24,32.32
2020-03-25,32.7
2020-03-26,34.46
2020-03-27,33.5
2020-03-30,35.83
2020-03-31,35.18
2020-04-01,33.87
2020-04-02,34.33
2020-04-03,34.65
2020-04-06,35.78
2020-04-07,35.98
2020-04-08,36.48
2020-04-09,37.58
2020-04-13,36.07
2020-04-14,37.24
2020-04-15,35.49
2020-04-16,35.66
2020-04-17,37.19
2020-04-20,36.34
2020-04-21,35.0
2020-04-22,35.4
2020-04-23,35.74
2020-04-24,35.99
2020-04-27,36.54
2020-04-28,37.17
2020-04-29,38.41
2020-04-30,37.14
2020-05-01,35.12
2020-05-04,34.76
2020-05-05,34.96
2020-05-06,34.4
2020-05-07,34.76
2020-05-08,36.39
2020-05-11,35.43
2020-05-12,34.74
2020-05-13,33.84
2020-05-14,34.16
2020-05-15,34.12
2020-05-18,35.8
2020-05-19,34.82
2020-05-20,35.35
2020-05-21,35.12
2020-05-22,35.38
2020-05-26,37.13
2020-05-27,39.0
2020-05-28,39.0
2020-05-29,39.31
2020-06-01,38.89
2020-06-02,39.67
2020-06-03,40.51
2020-06-04,41.14
2020-06-05,42.52
2020-06-08,42.89
2020-06-09,42.38
2020-06-10,41.34
2020-06-11,38.6
2020-06-12,39.43
2020-06-15,39.5
2020-06-16,40.75
2020-06-17,40.47
2020-06-18,40.58
2020-06-19,40.24
2020-06-22,40.0
2020-06-23,39.93
2020-06-24,39.32
