date,close
2020-01-27,50.13
2020-01-28,50.41
2020-01-29,50.35
2020-01-30,51.3
2020-01-31,50.26
2020-02-03,51.16
2020-02-04,50.65
2020-02-05,52.48
2020-02-06,53.41
2020-02-07,53.46
2020-02-10,54.14
2020-02-11,54.47
2020-02-12,54.28
2020-02-13,50.93
2020-02-14,48.48
2020-02-18,49.01
2020-02-19,49.41
2020-02-20,49.8
2020-02-21,48.6
2020-02-24,45.7
2020-02-25,45.24
2020-02-26,45.0
2020-02-27,43.41
2020-02-28,42.16
2020-03-02,42.85
2020-03-03,41.49
2020-03-04,42.54
2020-03-05,40.65
2020-03-06,37.84
2020-03-09,32.81
2020-03-10,35.07
2020-03-11,32.43
2020-03-12,25.67
2020-03-13,28.5
2020-03-16,23.25
2020-03-17,22.25
2020-03-18,18.78
2020-03-19,20.6
2020-03-20,19.23
2020-03-23,19.3
2020-03-24,22.93
2020-03-25,25.72
2020-03-26,27.51
2020-03-27,25.51
2020-03-30,25.71
2020-03-31,24.25
2020-04-01,21.61
2020-04-02,21.25
2020-04-03,20.46
2020-04-06,21.52
2020-04-07,23.26
2020-04-08,24.13
2020-04-09,26.54
2020-04-13,25.63
2020-04-14,25.78
2020-04-15,24.08
2020-04-16,23.18
2020-04-17,24.5
2020-04-20,23.75
2020-04-21,22.25
2020-04-22,22.26
2020-04-23,22.66
2020-04-24,23.35
2020-04-27,24.18
2020-04-28,25.28
2020-04-29,27.23
2020-04-30,25.43
2020-05-01,23.9
2020-05-04,24.07
2020-05-05,25.06
2020-05-06,23.31
2020-05-07,25.52
2020-05-08,27.65
2020-05-11,27.55
2020-05-12,26.55
2020-05-13,24.96
2020-05-14,25.76
2020-05-15,26.47
2020-05-18,28.45
2020-05-19,27.63
2020-05-20,28.04
2020-05-21,28.81
2020-05-22,28.89
2020-05-26,31.01
2020-05-27,31.51
2020-05-28,31.12
2020-05-29,30.06
2020-06-01,30.55
2020-06-02,31.49
2020-06-03,33.25
2020-06-04,35.21
2020-06-05,36.36
2020-06-08,39.44
2020-06-09,37.74
2020-06-10,35.16
2020-06-11,31.61
2020-06-12,33.04
2020-06-15,33.19
2020-06-16,33.29
2020-06-17,32.28
2020-06-18,32.47
2020-06-19,31.81
2020-06-22,31.79
2020-06-23,32.05
2020-06-24,30.3
2020-06-25,31.26
2020-06-26,29.71
2020-06-29,30.68
2020-06-30,31.18
2020-07-01,29.58
2020-07-02,29.92
2020-07-06,30.74
2020-07-07,29.17
2020-07-08,29.85
2020-07-09,28.0
2020-07-10,30.1
2020-07-13,29.72
2020-07-14,30.79
2020-07-15,31.77
2020-07-16,32.56
2020-07-17,32.12
2020-07-20,31.41
2020-07-21,31.96
2020-07-22,32.19
2020-07-23,31.87
2020-07-24,31.31
2020-07-27,30.85
2020-07-28,30.95
2020-07-29,32.67
2020-07-30,31.78
2020-07-31,32.14
2020-08-03,32.14
2020-08-04,29.72
2020-08-05,30.18
2020-08-06,29.32
2020-08-07,30.66
2020-08-10,31.46
2020-08-11,31.98
2020-08-12,30.94
2020-08-13,30.71
2020-08-14,30.99
2020-08-17,29.96
2020-08-18,29.58
2020-08-19,29.86
2020-08-20,29.13
2020-08-21,28.27
2020-08-24,29.55
2020-08-25,29.52
2020-08-26,29.06
2020-08-27,29.68
2020-08-28,29.37
2020-08-31,29.14
2020-09-01,29.15
2020-09-02,29.83
2020-09-03,29.4
2020-09-04,29.8
2020-09-08,28.89
2020-09-09,29.15
2020-09-10,28.16
2020-09-11,28.4
2020-09-14,29.4
2020-09-15,28.93
2020-09-16,29.77
2020-09-17,28.7
2020-09-18,27.99
2020-09-21,26.98
2020-09-22,27.34
2020-09-23,26.43
2020-09-24,26.48
2020-09-25,27.07
2020-09-28,27.63
2020-09-29,27.29
2020-09-30,27.53
2020-10-01,27.72
