date,close
2020-01-27,127.67
2020-01-28,129.44
2020-01-29,130.82
2020-01-30,130.66
2020-01-31,129.32
2020-02-03,132.18
2020-02-04,135.25
2020-02-05,133.28
2020-02-06,132.41
2020-02-07,134.04
2020-02-10,136.38
2020-02-11,137.89
2020-02-12,138.57
2020-02-13,136.83
2020-02-14,138.9
2020-02-18,134.36
2020-02-19,131.16
2020-02-20,129.85
2020-02-21,128.58
2020-02-24,126.95
2020-02-25,124.0
2020-02-26,123.66
2020-02-27,118.18
2020-02-28,114.99
2020-03-02,120.86
2020-03-03,119.34
2020-03-04,124.35
2020-03-05,122.65
2020-03-06,119.8
2020-03-09,115.0
2020-03-10,118.39
2020-03-11,114.78
2020-03-12,103.39
2020-03-13,111.81
2020-03-16,97.71
2020-03-17,102.6
2020-03-18,96.68
2020-03-19,94.16
2020-03-20,82.84
2020-03-23,78.6
2020-03-24,84.92
2020-03-25,89.45
2020-03-26,96.78
2020-03-27,91.62
2020-03-30,95.01
2020-03-31,92.02
2020-04-01,84.59
2020-04-02,84.42
2020-04-03,84.04
2020-04-06,94.49
2020-04-07,92.75
2020-04-08,94.65
2020-04-09,95.36
2020-04-13,95.77
2020-04-14,97.92
2020-04-15,94.46
2020-04-16,93.98
2020-04-17,97.63
2020-04-20,93.95
2020-04-21,90.76
2020-04-22,92.97
2020-04-23,95.13
2020-04-24,96.57
2020-04-27,99.07
2020-04-28,101.62
2020-04-29,102.36
2020-04-30,100.54
2020-05-01,97.48
2020-05-04,94.76
2020-05-05,96.74
2020-05-06,97.99
2020-05-07,100.14
2020-05-08,102.27
2020-05-11,101.68
2020-05-12,99.72
2020-05-13,93.66
2020-05-14,93.57
2020-05-15,92.94
2020-05-18,95.88
2020-05-19,94.25
2020-05-20,97.34
2020-05-21,94.0
2020-05-22,94.29
2020-05-26,97.64
2020-05-27,99.03
2020-05-28,99.91
2020-05-29,99.7
2020-06-01,100.65
2020-06-02,100.01
2020-06-03,105.04
2020-06-04,106.09
2020-06-05,115.35
2020-06-08,115.54
2020-06-09,112.29
2020-06-10,109.02
2020-06-11,101.56
2020-06-12,102.41
2020-06-15,102.65
2020-06-16,104.53
2020-06-17,104.25
2020-06-18,102.99
2020-06-19,102.74
2020-06-22,102.7
2020-06-23,102.66
2020-06-24,97.83
2020-06-25,98.0
2020-06-26,97.05
2020-06-29,99.79
2020-06-30,102.22
2020-07-01,101.89
2020-07-02,102.39
2020-07-06,103.97
2020-07-07,102.05
2020-07-08,102.49
2020-07-09,100.53
2020-07-10,101.51
2020-07-13,101.75
2020-07-14,104.24
2020-07-15,106.8
2020-07-16,107.41
2020-07-17,106.85
2020-07-20,107.53
2020-07-21,109.82
2020-07-22,111.6
2020-07-23,102.56
2020-07-24,101.02
2020-07-27,101.39
2020-07-28,98.51
2020-07-29,98.22
2020-07-30,97.58
2020-07-31,99.46
2020-08-03,100.45
2020-08-04,99.41
2020-08-05,100.44
2020-08-06,99.2
2020-08-07,100.11
2020-08-10,102.32
2020-08-11,104.16
2020-08-12,104.17
2020-08-13,102.69
2020-08-14,101.56
2020-08-17,102.26
2020-08-18,100.59
2020-08-19,100.71
2020-08-20,99.34
2020-08-21,100.27
