date,close
2020-01-27,43.81
2020-01-28,45.49
2020-01-29,44.31
2020-01-30,43.45
2020-01-31,42.69
2020-02-03,42.28
2020-02-04,42.79
2020-02-05,43.8
2020-02-06,43.3
2020-02-07,41.99
2020-02-10,43.0
2020-02-11,44.01
2020-02-12,44.29
2020-02-13,44.0
2020-02-14,43.93
2020-02-18,43.98
2020-02-19,44.1
2020-02-20,44.52
2020-02-21,44.09
2020-02-24,42.84
2020-02-25,40.95
2020-02-26,39.6
2020-02-27,40.12
2020-02-28,39.55
2020-03-02,41.0
2020-03-03,38.7
2020-03-04,40.57
2020-03-05,41.63
2020-03-06,42.69
2020-03-09,40.95
2020-03-10,42.19
2020-03-11,39.97
2020-03-12,38.73
2020-03-13,41.49
2020-03-16,37.99
2020-03-17,39.13
2020-03-18,38.43
2020-03-19,36.85
2020-03-20,34.75
2020-03-23,35.6
2020-03-24,36.49
2020-03-25,36.89
2020-03-26,37.28
2020-03-27,36.85
2020-03-30,38.6
2020-03-31,37.81
2020-04-01,35.61
2020-04-02,35.94
2020-04-03,35.87
2020-04-06,38.22
2020-04-07,39.66
2020-04-08,40.22
2020-04-09,40.21
2020-04-13,39.63
2020-04-14,40.67
2020-04-15,40.08
2020-04-16,39.9
2020-04-17,41.08
2020-04-20,40.35
2020-04-21,38.72
2020-04-22,38.77
2020-04-23,39.64
2020-04-24,40.39
2020-04-27,42.53
2020-04-28,43.36
2020-04-29,44.06
2020-04-30,42.38
2020-05-01,41.65
2020-05-04,41.98
2020-05-05,42.16
2020-05-06,43.65
2020-05-07,43.31
2020-05-08,44.79
2020-05-11,43.94
2020-05-12,42.08
2020-05-13,39.98
2020-05-14,40.28
2020-05-15,40.41
2020-05-18,43.5
2020-05-19,41.98
2020-05-20,42.46
2020-05-21,42.68
2020-05-22,42.22
2020-05-26,44.83
2020-05-27,47.21
2020-05-28,46.59
2020-05-29,47.5
2020-06-01,47.32
2020-06-02,47.88
2020-06-03,49.85
2020-06-04,50.57
2020-06-05,52.0
2020-06-08,50.88
2020-06-09,49.27
2020-06-10,48.39
2020-06-11,46.82
2020-06-12,46.95
2020-06-15,47.65
2020-06-16,47.88
2020-06-17,47.69
2020-06-18,47.93
2020-06-19,47.29
2020-06-22,47.19
2020-06-23,47.47
2020-06-24,45.11
2020-06-25,44.74
2020-06-26,44.45
2020-06-29,46.44
2020-06-30,47.12
2020-07-01,46.3
2020-07-02,47.32
2020-07-06,48.04
2020-07-07,47.9
2020-07-08,47.84
2020-07-09,47.57
2020-07-10,48.27
2020-07-13,48.47
2020-07-14,49.93
2020-07-15,50.63
2020-07-16,50.81
2020-07-17,50.53
2020-07-20,50.5
2020-07-21,51.06
2020-07-22,51.02
2020-07-23,51.2
2020-07-24,51.31
2020-07-27,52.84
2020-07-28,52.24
2020-07-29,53.3
2020-07-30,48.46
2020-07-31,48.14
2020-08-03,48.37
2020-08-04,47.95
2020-08-05,48.02
2020-08-06,48.6
2020-08-07,48.91
2020-08-10,48.81
2020-08-11,49.77
2020-08-12,50.01
2020-08-13,49.06
2020-08-14,49.76
2020-08-17,49.71
2020-08-18,49.51
2020-08-19,49.46
2020-08-20,49.1
2020-08-21,48.95
2020-08-24,49.71
2020-08-25,49.5
2020-08-26,49.48
2020-08-27,49.2
2020-08-28,49.36
2020-08-31,48.97
2020-09-01,49.33
2020-09-02,50.19
2020-09-03,48.77
2020-09-04,48.61
2020-09-08,47.26
2020-09-09,48.25
2020-09-10,48.41
2020-09-11,48.78
2020-09-14,49.86
2020-09-15,50.79
2020-09-16,51.75
2020-09-17,53.18
2020-09-18,53.24
2020-09-21,51.88
2020-09-22,52.66
2020-09-23,51.8
2020-09-24,53.0
2020-09-25,52.16
2020-09-28,53.29
2020-09-29,53.73
2020-09-30,52.8
2020-10-01,53.59
2020-10-02,53.53
2020-10-05,55.21
2020-10-06,53.6
2020-10-07,54.08
2020-10-08,56.75
2020-10-09,57.19
2020-10-12,56.49
2020-10-13,55.2
2020-10-14,55.57
2020-10-15,55.83
2020-10-16,55.37
2020-10-19,54.96
2020-10-20,55.13
2020-10-21,54.81
2020-10-22,54.91
2020-10-23,54.93
2020-10-26,53.93
2020-10-27,53.03
2020-10-28,51.46
2020-10-29,53.38
2020-10-30,51.69
2020-11-02,52.85
2020-11-03,53.3
2020-11-04,52.42
2020-11-05,53.82
2020-11-06,54.56
2020-11-09,53.13
2020-11-10,54.75
2020-11-11,54.82
2020-11-12,54.09
2020-11-13,55.07
2020-11-16,56.4
2020-11-17,56.38
2020-11-18,56.49
2020-11-19,56.6
