date,close
2020-01-27,43.71
2020-01-28,44.72
2020-01-29,44.82
2020-01-30,44.65
2020-01-31,43.56
2020-02-03,43.75
2020-02-04,44.34
2020-02-05,45.93
2020-02-06,45.77
2020-02-07,46.15
2020-02-10,46.12
2020-02-11,47.35
2020-02-12,47.62
2020-02-13,47.8
2020-02-14,48.28
2020-02-18,50.0
2020-02-19,49.3
2020-02-20,49.75
2020-02-21,49.71
2020-02-24,48.04
2020-02-25,46.09
2020-02-26,45.67
2020-02-27,43.13
2020-02-28,41.25
2020-03-02,42.25
2020-03-03,40.53
2020-03-04,42.05
2020-03-05,40.35
2020-03-06,37.62
2020-03-09,33.06
2020-03-10,34.03
2020-03-11,31.16
2020-03-12,24.57
2020-03-13,27.0
2020-03-16,21.82
2020-03-17,19.86
2020-03-18,16.51
2020-03-19,18.3
2020-03-20,16.72
2020-03-23,16.11
2020-03-24,20.98
2020-03-25,25.48
2020-03-26,27.72
2020-03-27,25.69
2020-03-30,26.31
2020-03-31,24.82
2020-04-01,21.85
2020-04-02,22.28
2020-04-03,21.47
2020-04-06,23.35
2020-04-07,23.89
2020-04-08,26.6
2020-04-09,30.35
2020-04-13,28.27
2020-04-14,27.3
2020-04-15,24.25
2020-04-16,23.64
2020-04-17,25.46
2020-04-20,24.11
2020-04-21,22.25
2020-04-22,22.83
2020-04-23,22.77
2020-04-24,23.64
2020-04-27,25.3
2020-04-28,26.27
2020-04-29,28.56
2020-04-30,27.0
2020-05-01,25.0
2020-05-04,24.97
2020-05-05,24.29
2020-05-06,23.01
2020-05-07,24.86
2020-05-08,27.3
2020-05-11,27.01
2020-05-12,25.04
2020-05-13,23.37
2020-05-14,24.49
2020-05-15,24.67
2020-05-18,27.61
2020-05-19,26.31
2020-05-20,26.69
2020-05-21,26.71
2020-05-22,26.0
2020-05-26,28.85
2020-05-27,30.11
2020-05-28,29.36
2020-05-29,28.89
2020-06-01,29.76
2020-06-02,29.53
2020-06-03,32.08
2020-06-04,33.68
2020-06-05,35.57
2020-06-08,37.25
2020-06-09,35.57
2020-06-10,33.68
2020-06-11,29.87
2020-06-12,31.0
2020-06-15,32.06
2020-06-16,33.21
2020-06-17,32.12
2020-06-18,34.47
2020-06-19,33.32
2020-06-22,33.28
2020-06-23,32.88
2020-06-24,31.01
2020-06-25,31.89
2020-06-26,30.06
2020-06-29,30.67
2020-06-30,31.19
2020-07-01,30.25
2020-07-02,30.36
2020-07-06,31.37
2020-07-07,30.0
2020-07-08,31.02
2020-07-09,29.51
2020-07-10,30.94
2020-07-13,31.48
2020-07-14,31.83
2020-07-15,33.45
2020-07-16,34.05
2020-07-17,33.5
2020-07-20,32.83
2020-07-21,33.83
2020-07-22,33.92
2020-07-23,33.81
2020-07-24,33.39
2020-07-27,33.02
2020-07-28,32.49
2020-07-29,33.54
2020-07-30,32.42
2020-07-31,32.25
2020-08-03,32.9
2020-08-04,32.61
2020-08-05,35.22
2020-08-06,34.01
2020-08-07,35.41
2020-08-10,36.35
2020-08-11,36.62
2020-08-12,36.44
2020-08-13,36.32
2020-08-14,36.93
2020-08-17,36.82
2020-08-18,36.24
2020-08-19,36.52
2020-08-20,35.9
2020-08-21,35.37
2020-08-24,37.1
2020-08-25,37.38
2020-08-26,36.93
2020-08-27,37.22
2020-08-28,37.38
2020-08-31,36.56
2020-09-01,36.26
2020-09-02,36.14
2020-09-03,35.5
2020-09-04,37.29
2020-09-08,35.99
2020-09-09,36.4
2020-09-10,35.7
2020-09-11,35.76
2020-09-14,36.43
2020-09-15,35.87
2020-09-16,36.34
2020-09-17,35.77
2020-09-18,35.0
2020-09-21,33.73
2020-09-22,33.84
2020-09-23,33.0
2020-09-24,33.0
2020-09-25,33.3
2020-09-28,34.87
2020-09-29,34.0
2020-09-30,34.08
2020-10-01,35.64
2020-10-02,36.22
2020-10-05,37.0
2020-10-06,36.29
2020-10-07,36.86
2020-10-08,37.39
2020-10-09,37.01
2020-10-12,37.02
2020-10-13,35.92
2020-10-14,35.7
2020-10-15,35.72
2020-10-16,35.29
2020-10-19,34.46
2020-10-20,34.48
2020-10-21,34.01
2020-10-22,33.77
2020-10-23,34.24
2020-10-26,33.31
2020-10-27,31.97
2020-10-28,30.8
2020-10-29,31.67
2020-10-30,32.08
2020-11-02,32.42
2020-11-03,34.99
2020-11-04,33.82
2020-11-05,35.18
2020-11-06,34.91
2020-11-09,40.58
2020-11-10,40.91
2020-11-11,41.71
2020-11-12,40.38
2020-11-13,41.87
2020-11-16,42.96
2020-11-17,43.22
2020-11-18,43.2
2020-11-19,43.02
2020-11-20,42.97
2020-11-23,44.72
2020-11-24,46.84
2020-11-25,46.18
2020-11-27,45.92
2020-11-30,44.35
2020-12-01,45.05
2020-12-02,45.8
2020-12-03,45.75
2020-12-04,45.88
2020-12-07,43.74
2020-12-08,43.66
2020-12-09,43.28
2020-12-10,43.34
2020-12-11,42.42
2020-12-14,41.75
2020-12-15,42.39
2020-12-16,42.4
2020-12-17,42.51
2020-12-18,42.03
2020-12-21,41.63
2020-12-22,41.08
2020-12-23,42.29
2020-12-24,42.38
2020-12-28,42.28
2020-12-29,41.86
2020-12-30,42.51
2020-12-31,43.14
2021-01-04,41.99
2021-01-05,42.87
2021-01-06,46.01
2021-01-07,46.21
2021-01-08,45.16
2021-01-11,44.45
2021-01-12,44.72
2021-01-13,44.78
2021-01-14,45.52
2021-01-15,44.37
2021-01-19,44.66
2021-01-20,44.67
2021-01-21,43.69
2021-01-22,43.29
2021-01-25,42.71
2021-01-26,42.69
2021-01-27,41.51
2021-01-28,42.49
2021-01-29,40.89
2021-02-01,41.16
2021-02-02,42.37
2021-02-03,42.9
2021-02-04,44.61
2021-02-05,44.45
2021-02-08,45.27
2021-02-09,44.74
2021-02-10,44.3
2021-02-11,44.73
2021-02-12,45.17
2021-02-16,45.87
2021-02-17,45.3
2021-02-18,45.15
2021-02-19,45.39
2021-02-22,46.64
2021-02-23,45.59
2021-02-24,47.78
2021-02-25,46.05
2021-02-26,45.59
2021-03-01,46.74
2021-03-02,46.79
2021-03-03,48.3
2021-03-04,47.78
2021-03-05,48.88
2021-03-08,51.8
2021-03-09,49.93
2021-03-10,49.8
2021-03-11,50.8
2021-03-12,50.14
2021-03-15,51.05
2021-03-16,50.24
2021-03-17,50.7
2021-03-18,50.19
2021-03-19,49.64
2021-03-22,52.05
2021-03-23,52.06
2021-03-24,50.19
2021-03-25,49.89
2021-03-26,49.56
2021-03-29,49.47
2021-03-30,50.29
2021-03-31,50.4
2021-04-01,51.13
2021-04-05,51.06
2021-04-06,51.1
2021-04-07,50.47
2021-04-08,49.87
2021-04-09,50.45
2021-04-12,50.8
2021-04-13,50.88
