date,close
2020-01-27,116.39
2020-01-28,116.31
2020-01-29,116.31
2020-01-30,117.38
2020-01-31,117.03
2020-02-03,118.67
2020-02-04,117.22
2020-02-05,118.28
2020-02-06,117.66
2020-02-07,117.59
2020-02-10,118.31
2020-02-11,119.36
2020-02-12,117.94
2020-02-13,119.5
2020-02-14,120.45
2020-02-18,120.57
2020-02-19,119.6
2020-02-20,119.23
2020-02-21,118.7
2020-02-24,116.22
2020-02-25,113.74
2020-02-26,112.09
2020-02-27,107.2
2020-02-28,103.25
2020-03-02,107.89
2020-03-03,106.54
2020-03-04,112.9
2020-03-05,111.13
2020-03-06,111.25
2020-03-09,105.13
2020-03-10,105.43
2020-03-11,102.85
2020-03-12,94.68
2020-03-13,100.67
2020-03-16,93.68
2020-03-17,108.09
2020-03-18,105.84
2020-03-19,98.51
2020-03-20,86.2
2020-03-23,80.5
2020-03-24,88.59
2020-03-25,90.3
2020-03-26,96.27
2020-03-27,97.41
2020-03-30,102.82
2020-03-31,99.23
2020-04-01,94.64
2020-04-02,97.37
2020-04-03,94.16
2020-04-06,103.63
2020-04-07,98.42
2020-04-08,102.65
2020-04-09,105.2
2020-04-13,103.27
2020-04-14,108.11
2020-04-15,106.35
2020-04-16,105.09
2020-04-17,110.7
2020-04-20,102.53
2020-04-21,100.79
2020-04-22,102.32
2020-04-23,101.33
2020-04-24,104.41
2020-04-27,105.55
2020-04-28,107.15
2020-04-29,104.86
2020-04-30,101.97
2020-05-01,100.1
2020-05-04,100.75
2020-05-05,101.77
2020-05-06,96.55
2020-05-07,96.38
2020-05-08,97.33
2020-05-11,96.78
2020-05-12,96.37
2020-05-13,96.44
2020-05-14,94.89
2020-05-15,95.11
2020-05-18,98.52
2020-05-19,96.3
2020-05-20,99.41
2020-05-21,97.78
2020-05-22,98.33
2020-05-26,97.6
2020-05-27,99.18
2020-05-28,101.68
2020-05-29,102.78
2020-06-01,102.95
2020-06-02,103.25
2020-06-03,104.76
2020-06-04,104.22
2020-06-05,104.53
2020-06-08,106.03
2020-06-09,104.32
2020-06-10,103.74
2020-06-11,99.27
2020-06-12,100.43
2020-06-15,101.08
2020-06-16,102.26
2020-06-17,101.18
2020-06-18,101.45
2020-06-19,99.72
2020-06-22,100.12
2020-06-23,98.84
2020-06-24,98.96
2020-06-25,97.07
2020-06-26,97.46
2020-06-29,98.38
2020-06-30,99.58
