date,close
2020-01-27,30.9
2020-01-28,31.83
2020-01-29,31.75
2020-01-30,31.52
2020-01-31,30.52
2020-02-03,30.52
2020-02-04,31.16
2020-02-05,31.74
2020-02-06,31.97
2020-02-07,31.52
2020-02-10,31.42
2020-02-11,32.02
2020-02-12,32.47
2020-02-13,32.4
2020-02-14,31.78
2020-02-18,31.08
2020-02-19,31.57
2020-02-20,30.92
2020-02-21,30.45
2020-02-24,29.16
2020-02-25,28.27
2020-02-26,28.59
2020-02-27,27.4
2020-02-28,27.26
2020-03-02,28.5
2020-03-03,27.43
2020-03-04,28.54
2020-03-05,27.4
2020-03-06,26.95
2020-03-09,24.77
2020-03-10,26.29
2020-03-11,24.6
2020-03-12,21.88
2020-03-13,23.42
2020-03-16,18.76
2020-03-17,19.95
2020-03-18,16.79
2020-03-19,19.45
2020-03-20,19.22
2020-03-23,19.35
2020-03-24,21.28
2020-03-25,21.76
2020-03-26,24.32
2020-03-27,23.07
2020-03-30,24.01
2020-03-31,23.71
2020-04-01,22.36
2020-04-02,23.71
2020-04-03,23.43
2020-04-06,25.24
2020-04-07,25.33
2020-04-08,26.11
2020-04-09,25.43
2020-04-13,25.99
2020-04-14,26.76
2020-04-15,25.74
2020-04-16,25.83
2020-04-17,26.59
2020-04-20,25.83
2020-04-21,24.77
2020-04-22,26.0
2020-04-23,25.89
2020-04-24,26.48
2020-04-27,26.85
2020-04-28,26.47
2020-04-29,27.6
2020-04-30,27.16
2020-05-01,25.97
2020-05-04,26.23
2020-05-05,26.49
2020-05-06,26.42
2020-05-07,26.78
2020-05-08,27.5
2020-05-11,27.54
2020-05-12,26.85
2020-05-13,26.32
2020-05-14,26.66
2020-05-15,26.04
2020-05-18,27.35
2020-05-19,27.2
2020-05-20,27.87
2020-05-21,27.48
2020-05-22,27.67
2020-05-26,28.2
2020-05-27,28.76
2020-05-28,28.31
2020-05-29,29.13
2020-06-01,29.0
2020-06-02,29.81
2020-06-03,30.95
2020-06-04,30.89
2020-06-05,31.71
2020-06-08,31.75
2020-06-09,31.53
2020-06-10,31.5
2020-06-11,29.38
2020-06-12,30.03
2020-06-15,30.41
2020-06-16,31.07
2020-06-17,31.34
2020-06-18,31.87
2020-06-19,30.28
2020-06-22,31.35
2020-06-23,31.13
2020-06-24,30.7
2020-06-25,30.89
2020-06-26,30.74
2020-06-29,30.98
2020-06-30,31.56
2020-07-01,31.27
2020-07-02,31.55
2020-07-06,31.88
2020-07-07,31.31
2020-07-08,31.96
2020-07-09,32.15
2020-07-10,31.94
2020-07-13,31.13
2020-07-14,31.51
2020-07-15,31.38
2020-07-16,31.13
2020-07-17,31.27
2020-07-20,31.71
2020-07-21,31.43
2020-07-22,31.38
2020-07-23,30.97
2020-07-24,30.58
2020-07-27,31.27
2020-07-28,30.74
2020-07-29,30.89
2020-07-30,31.21
2020-07-31,31.68
2020-08-03,32.12
2020-08-04,32.84
2020-08-05,32.95
2020-08-06,32.92
2020-08-07,32.59
2020-08-10,32.74
2020-08-11,32.4
2020-08-12,33.36
2020-08-13,32.94
2020-08-14,32.78
2020-08-17,33.03
2020-08-18,32.86
2020-08-19,32.92
2020-08-20,32.88
2020-08-21,33.0
2020-08-24,33.4
2020-08-25,33.61
2020-08-26,33.97
2020-08-27,33.91
2020-08-28,34.48
2020-08-31,34.71
2020-09-01,35.95
2020-09-02,37.5
2020-09-03,35.21
2020-09-04,36.3
2020-09-08,35.05
2020-09-09,36.0
2020-09-10,35.71
2020-09-11,35.97
2020-09-14,36.22
2020-09-15,36.69
2020-09-16,36.7
2020-09-17,36.59
2020-09-18,35.97
2020-09-21,35.18
2020-09-22,36.16
2020-09-23,35.16
2020-09-24,35.25
2020-09-25,35.68
2020-09-28,36.73
2020-09-29,36.43
2020-09-30,36.43
2020-10-01,36.86
2020-10-02,35.68
2020-10-05,36.61
2020-10-06,36.4
2020-10-07,36.67
2020-10-08,37.33
2020-10-09,37.67
2020-10-12,38.24
2020-10-13,38.15
2020-10-14,38.03
2020-10-15,37.99
2020-10-16,37.87
2020-10-19,37.58
2020-10-20,37.7
2020-10-21,37.21
2020-10-22,37.34
2020-10-23,37.27
2020-10-26,36.3
2020-10-27,35.96
2020-10-28,34.72
2020-10-29,35.5
2020-10-30,34.96
2020-11-02,35.13
2020-11-03,35.38
2020-11-04,36.46
2020-11-05,38.09
2020-11-06,38.06
2020-11-09,37.55
2020-11-10,36.31
2020-11-11,37.59
2020-11-12,37.02
2020-11-13,37.35
2020-11-16,38.08
2020-11-17,38.06
2020-11-18,38.06
2020-11-19,38.43
2020-11-20,38.33
2020-11-23,38.7
2020-11-24,39.22
2020-11-25,39.08
2020-11-27,39.49
2020-11-30,40.16
2020-12-01,40.46
2020-12-02,40.37
2020-12-03,39.98
2020-12-04,41.17
2020-12-07,42.09
2020-12-08,42.34
2020-12-09,41.62
2020-12-10,41.0
2020-12-11,40.58
2020-12-14,41.18
2020-12-15,41.81
2020-12-16,42.49
2020-12-17,42.61
2020-12-18,43.46
2020-12-21,42.89
2020-12-22,43.31
2020-12-23,42.55
2020-12-24,43.15
2020-12-28,43.19
2020-12-29,42.9
2020-12-30,43.48
2020-12-31,43.79
2021-01-04,42.52
2021-01-05,42.81
2021-01-06,42.55
2021-01-07,44.34
2021-01-08,44.56
2021-01-11,44.58
2021-01-12,44.94
2021-01-13,45.12
2021-01-14,45.21
2021-01-15,44.59
2021-01-19,45.93
2021-01-20,46.19
2021-01-21,46.68
2021-01-22,46.5
2021-01-25,46.48
2021-01-26,46.39
2021-01-27,44.47
2021-01-28,45.17
2021-01-29,45.05
2021-02-01,46.67
2021-02-02,47.69
2021-02-03,46.52
2021-02-04,47.06
2021-02-05,46.6
2021-02-08,47.27
2021-02-09,47.46
2021-02-10,47.01
2021-02-11,47.84
2021-02-12,48.63
2021-02-16,48.91
2021-02-17,48.25
