date,close
2020-01-27,87.8
2020-01-28,88.89
2020-01-29,88.12
2020-01-30,87.1
2020-01-31,84.69
2020-02-03,85.26
2020-02-04,86.69
2020-02-05,89.5
2020-02-06,88.64
2020-02-07,87.02
2020-02-10,88.7
2020-02-11,89.89
2020-02-12,90.93
2020-02-13,90.4
2020-02-14,90.21
2020-02-18,90.16
2020-02-19,90.94
2020-02-20,91.93
2020-02-21,90.26
2020-02-24,85.5
2020-02-25,81.89
2020-02-26,82.18
2020-02-27,78.31
2020-02-28,75.65
2020-03-02,79.61
2020-03-03,76.55
2020-03-04,80.41
2020-03-05,77.87
2020-03-06,73.82
2020-03-09,66.87
2020-03-10,70.12
2020-03-11,65.37
2020-03-12,55.4
2020-03-13,61.06
2020-03-16,57.3
2020-03-17,60.32
2020-03-18,54.0
2020-03-19,54.75
2020-03-20,51.65
2020-03-23,50.69
2020-03-24,59.2
2020-03-25,60.56
2020-03-26,62.88
2020-03-27,62.47
2020-03-30,59.75
2020-03-31,57.0
2020-04-01,53.9
2020-04-02,52.76
2020-04-03,53.48
2020-04-06,60.15
2020-04-07,61.75
2020-04-08,64.45
2020-04-09,65.99
2020-04-13,68.34
2020-04-14,69.85
2020-04-15,64.76
2020-04-16,64.98
2020-04-17,70.4
2020-04-20,69.79
2020-04-21,67.8
2020-04-22,68.98
2020-04-23,69.6
2020-04-24,71.88
2020-04-27,74.57
2020-04-28,77.59
2020-04-29,80.05
2020-04-30,76.73
2020-05-01,72.26
2020-05-04,74.36
2020-05-05,74.75
2020-05-06,73.99
2020-05-07,76.25
2020-05-08,78.63
2020-05-11,78.02
2020-05-12,77.05
2020-05-13,75.03
2020-05-14,77.19
2020-05-15,78.61
2020-05-18,87.16
2020-05-19,83.48
2020-05-20,81.54
2020-05-21,77.98
2020-05-22,76.92
2020-05-26,79.47
2020-05-27,79.08
2020-05-28,76.43
2020-05-29,78.09
2020-06-01,77.5
2020-06-02,80.53
2020-06-03,82.22
2020-06-04,79.92
2020-06-05,82.53
2020-06-08,83.68
2020-06-09,81.62
2020-06-10,81.7
2020-06-11,77.25
2020-06-12,77.76
2020-06-15,80.01
2020-06-16,83.47
2020-06-17,83.24
2020-06-18,82.3
2020-06-19,81.2
2020-06-22,84.78
2020-06-23,85.84
2020-06-24,83.82
2020-06-25,84.71
2020-06-26,84.8
2020-06-29,86.33
2020-06-30,87.27
2020-07-01,87.35
2020-07-02,87.45
2020-07-06,87.7
2020-07-07,85.59
2020-07-08,87.18
2020-07-09,84.95
2020-07-10,84.9
2020-07-13,85.6
2020-07-14,86.89
