date,close
2020-01-27,51.84
2020-01-28,51.61
2020-01-29,51.05
2020-01-30,52.47
2020-01-31,52.43
2020-02-03,52.99
2020-02-04,52.98
2020-02-05,54.36
2020-02-06,53.64
2020-02-07,54.08
2020-02-10,54.67
2020-02-11,55.0
2020-02-12,55.02
2020-02-13,55.77
2020-02-14,54.22
2020-02-18,53.6
2020-02-19,53.76
2020-02-20,53.98
2020-02-21,53.23
2020-02-24,53.02
2020-02-25,51.02
2020-02-26,50.53
2020-02-27,47.85
2020-02-28,46.95
2020-03-02,49.03
2020-03-03,48.56
2020-03-04,49.71
2020-03-05,48.42
2020-03-06,46.85
2020-03-09,43.58
2020-03-10,43.34
2020-03-11,39.9
2020-03-12,36.15
2020-03-13,38.56
2020-03-16,33.64
2020-03-17,35.29
2020-03-18,30.25
2020-03-19,32.74
2020-03-20,31.78
2020-03-23,32.74
2020-03-24,35.0
2020-03-25,36.63
2020-03-26,37.64
2020-03-27,36.19
2020-03-30,39.59
2020-03-31,41.03
2020-04-01,38.37
2020-04-02,39.08
2020-04-03,37.17
2020-04-06,38.27
2020-04-07,38.02
2020-04-08,39.44
2020-04-09,40.83
2020-04-13,38.95
2020-04-14,39.46
2020-04-15,36.92
2020-04-16,38.11
2020-04-17,40.09
2020-04-20,38.88
2020-04-21,36.13
2020-04-22,37.8
2020-04-23,39.13
2020-04-24,39.61
2020-04-27,39.69
2020-04-28,40.42
2020-04-29,41.65
2020-04-30,39.67
2020-05-01,37.89
2020-05-04,37.69
2020-05-05,37.94
2020-05-06,34.2
2020-05-07,36.37
2020-05-08,36.53
2020-05-11,34.67
2020-05-12,34.63
2020-05-13,34.35
2020-05-14,34.77
2020-05-15,34.33
2020-05-18,35.43
2020-05-19,35.14
2020-05-20,35.59
2020-05-21,35.53
2020-05-22,35.38
2020-05-26,37.72
2020-05-27,39.36
2020-05-28,38.87
2020-05-29,39.02
2020-06-01,39.22
2020-06-02,39.87
2020-06-03,41.39
2020-06-04,41.3
2020-06-05,42.47
2020-06-08,43.81
2020-06-09,42.91
2020-06-10,40.42
2020-06-11,38.88
2020-06-12,39.39
2020-06-15,39.82
2020-06-16,41.08
2020-06-17,40.41
2020-06-18,41.21
2020-06-19,40.63
2020-06-22,40.39
2020-06-23,41.08
2020-06-24,41.19
2020-06-25,42.52
2020-06-26,40.22
2020-06-29,40.81
2020-06-30,41.13
2020-07-01,40.13
2020-07-02,39.78
2020-07-06,40.49
2020-07-07,39.64
2020-07-08,39.19
2020-07-09,38.23
2020-07-10,39.89
2020-07-13,40.5
2020-07-14,41.9
2020-07-15,43.23
2020-07-16,42.84
2020-07-17,43.06
2020-07-20,41.91
2020-07-21,42.89
2020-07-22,43.37
2020-07-23,44.78
2020-07-24,44.33
2020-07-27,45.0
2020-07-28,44.6
2020-07-29,45.18
2020-07-30,45.01
2020-07-31,43.44
2020-08-03,44.03
2020-08-04,44.31
2020-08-05,44.84
2020-08-06,44.7
2020-08-07,45.46
2020-08-10,46.8
2020-08-11,46.72
2020-08-12,46.81
2020-08-13,46.47
2020-08-14,45.93
2020-08-17,46.39
2020-08-18,46.17
2020-08-19,46.69
2020-08-20,45.99
2020-08-21,46.77
2020-08-24,46.83
2020-08-25,46.94
2020-08-26,46.65
2020-08-27,46.24
2020-08-28,46.67
2020-08-31,45.62
2020-09-01,45.47
