date,close
2020-01-27,41.66
2020-01-28,44.65
2020-01-29,45.01
2020-01-30,45.36
2020-01-31,44.9
2020-02-03,45.61
2020-02-04,46.17
2020-02-05,46.45
2020-02-06,46.74
2020-02-07,46.75
2020-02-10,47.38
2020-02-11,47.3
2020-02-12,46.82
2020-02-13,47.49
2020-02-14,47.85
2020-02-18,48.11
2020-02-19,48.46
2020-02-20,48.51
2020-02-21,48.36
2020-02-24,47.31
2020-02-25,46.16
2020-02-26,46.23
2020-02-27,44.01
2020-02-28,43.01
2020-03-02,45.44
2020-03-03,44.52
2020-03-04,47.05
2020-03-05,45.91
2020-03-06,45.16
2020-03-09,42.19
2020-03-10,43.65
2020-03-11,41.6
2020-03-12,37.59
2020-03-13,39.84
2020-03-16,37.01
2020-03-17,39.92
2020-03-18,36.79
2020-03-19,34.72
2020-03-20,33.62
2020-03-23,31.66
2020-03-24,35.54
2020-03-25,34.13
2020-03-26,35.9
2020-03-27,35.93
2020-03-30,37.3
2020-03-31,36.22
2020-04-01,34.44
2020-04-02,34.86
2020-04-03,33.41
2020-04-06,35.97
2020-04-07,35.96
2020-04-08,37.2
2020-04-09,39.03
2020-04-13,38.17
2020-04-14,39.63
2020-04-15,37.92
2020-04-16,37.45
2020-04-17,38.1
2020-04-20,37.32
2020-04-21,35.5
2020-04-22,35.7
2020-04-23,34.59
2020-04-24,34.76
2020-04-27,35.74
2020-04-28,35.6
2020-04-29,36.64
2020-04-30,35.91
2020-05-01,35.06
2020-05-04,35.57
2020-05-05,36.56
2020-05-06,35.64
2020-05-07,37.13
2020-05-08,37.6
2020-05-11,37.95
2020-05-12,37.51
2020-05-13,36.73
2020-05-14,36.91
2020-05-15,37.0
2020-05-18,38.56
2020-05-19,38.39
2020-05-20,38.35
2020-05-21,38.73
2020-05-22,38.42
2020-05-26,39.04
2020-05-27,39.96
2020-05-28,40.25
2020-05-29,40.2
2020-06-01,40.24
2020-06-02,40.9
2020-06-03,42.3
2020-06-04,42.04
2020-06-05,42.73
2020-06-08,43.04
2020-06-09,43.05
2020-06-10,42.85
2020-06-11,40.64
2020-06-12,40.67
2020-06-15,41.34
2020-06-16,41.55
2020-06-17,41.98
2020-06-18,41.86
2020-06-19,41.13
2020-06-22,41.43
2020-06-23,41.22
2020-06-24,40.05
2020-06-25,41.0
2020-06-26,40.08
2020-06-29,39.97
2020-06-30,40.76
2020-07-01,41.09
2020-07-02,40.85
2020-07-06,40.64
2020-07-07,40.75
2020-07-08,41.07
2020-07-09,40.9
2020-07-10,41.42
2020-07-13,40.95
2020-07-14,41.95
2020-07-15,42.31
2020-07-16,43.43
2020-07-17,43.7
2020-07-20,43.76
2020-07-21,44.29
2020-07-22,44.96
2020-07-23,45.11
2020-07-24,45.4
2020-07-27,45.49
2020-07-28,44.48
2020-07-29,44.96
2020-07-30,44.76
2020-07-31,45.47
2020-08-03,45.53
2020-08-04,45.46
2020-08-05,45.63
2020-08-06,45.62
2020-08-07,46.06
2020-08-10,45.93
2020-08-11,45.66
2020-08-12,45.8
2020-08-13,45.82
2020-08-14,45.82
2020-08-17,46.0
2020-08-18,46.09
2020-08-19,45.96
2020-08-20,45.79
2020-08-21,45.52
2020-08-24,45.72
2020-08-25,46.01
2020-08-26,45.66
2020-08-27,46.06
2020-08-28,46.21
2020-08-31,46.4
2020-09-01,46.69
2020-09-02,47.18
2020-09-03,45.88
2020-09-04,45.25
2020-09-08,44.19
2020-09-09,45.4
2020-09-10,44.86
2020-09-11,44.64
2020-09-14,45.17
2020-09-15,45.16
2020-09-16,45.18
2020-09-17,44.76
2020-09-18,44.8
2020-09-21,44.02
2020-09-22,44.51
2020-09-23,43.34
2020-09-24,43.56
2020-09-25,43.94
2020-09-28,44.87
2020-09-29,45.17
2020-09-30,45.27
2020-10-01,44.94
2020-10-02,45.36
2020-10-05,45.73
2020-10-06,45.73
2020-10-07,46.27
2020-10-08,46.71
2020-10-09,47.22
2020-10-12,48.31
2020-10-13,47.37
2020-10-14,46.98
2020-10-15,47.32
2020-10-16,47.45
2020-10-19,46.46
2020-10-20,46.41
2020-10-21,46.55
2020-10-22,46.64
2020-10-23,46.72
2020-10-26,46.59
2020-10-27,45.22
2020-10-28,44.17
2020-10-29,43.46
2020-10-30,43.51
2020-11-02,44.5
2020-11-03,44.32
2020-11-04,45.89
2020-11-05,45.5
2020-11-06,45.73
2020-11-09,45.92
2020-11-10,47.19
2020-11-11,46.97
2020-11-12,46.35
2020-11-13,47.16
2020-11-16,47.66
2020-11-17,47.39
2020-11-18,46.99
2020-11-19,47.44
2020-11-20,47.18
2020-11-23,46.51
2020-11-24,46.45
2020-11-25,45.86
2020-11-27,45.62
2020-11-30,45.03
2020-12-01,45.61
2020-12-02,45.07
2020-12-03,44.61
2020-12-04,44.81
2020-12-07,44.61
2020-12-08,45.33
2020-12-09,45.23
2020-12-10,44.88
2020-12-11,45.01
2020-12-14,45.45
2020-12-15,46.63
2020-12-16,45.97
2020-12-17,46.69
2020-12-18,45.97
2020-12-21,46.0
2020-12-22,45.69
2020-12-23,45.69
2020-12-24,46.31
2020-12-28,45.88
2020-12-29,46.03
2020-12-30,46.25
2020-12-31,47.41
2021-01-04,46.35
2021-01-05,46.32
2021-01-06,47.23
2021-01-07,47.88
2021-01-08,48.02
2021-01-11,46.98
2021-01-12,46.85
2021-01-13,46.28
2021-01-14,45.75
2021-01-15,46.3
2021-01-19,46.73
2021-01-20,47.61
2021-01-21,47.46
2021-01-22,47.49
2021-01-25,47.73
2021-01-26,45.67
2021-01-27,44.08
2021-01-28,43.9
2021-01-29,43.09
2021-02-01,42.96
2021-02-02,44.69
2021-02-03,43.73
2021-02-04,43.91
2021-02-05,44.77
2021-02-08,45.5
2021-02-09,45.33
2021-02-10,45.08
2021-02-11,45.3
