date,close
2020-01-27,39.42
2020-01-28,39.95
2020-01-29,40.27
2020-01-30,40.68
2020-01-31,40.28
2020-02-03,39.75
2020-02-04,41.07
2020-02-05,42.71
2020-02-06,42.25
2020-02-07,42.17
2020-02-10,41.67
2020-02-11,42.17
2020-02-12,41.61
2020-02-13,39.34
2020-02-14,38.3
2020-02-18,38.16
2020-02-19,39.38
2020-02-20,39.48
2020-02-21,39.35
2020-02-24,38.83
2020-02-25,37.64
2020-02-26,37.06
2020-02-27,36.13
2020-02-28,36.86
2020-03-02,38.22
2020-03-03,38.14
2020-03-04,38.75
2020-03-05,37.99
2020-03-06,36.84
2020-03-09,31.17
2020-03-10,30.73
2020-03-11,28.34
2020-03-12,24.42
2020-03-13,27.68
2020-03-16,24.0
2020-03-17,24.15
2020-03-18,21.14
2020-03-19,22.98
2020-03-20,22.25
2020-03-23,22.04
2020-03-24,25.62
2020-03-25,27.02
2020-03-26,28.25
2020-03-27,25.55
2020-03-30,26.62
2020-03-31,27.2
2020-04-01,25.85
2020-04-02,25.7
2020-04-03,25.77
2020-04-06,27.5
2020-04-07,28.96
2020-04-08,29.84
2020-04-09,31.01
2020-04-13,29.91
2020-04-14,30.05
2020-04-15,28.12
2020-04-16,26.92
2020-04-17,28.29
2020-04-20,27.55
2020-04-21,26.86
2020-04-22,27.31
2020-04-23,27.85
2020-04-24,28.0
2020-04-27,28.37
2020-04-28,28.04
2020-04-29,29.01
2020-04-30,27.5
2020-05-01,26.61
2020-05-04,26.28
2020-05-05,27.31
2020-05-06,26.27
2020-05-07,27.54
2020-05-08,29.03
2020-05-11,27.46
2020-05-12,26.09
2020-05-13,24.59
2020-05-14,24.63
2020-05-15,24.82
2020-05-18,26.39
2020-05-19,27.19
2020-05-20,27.51
2020-05-21,27.7
2020-05-22,27.59
2020-05-26,29.16
2020-05-27,29.97
2020-05-28,29.24
2020-05-29,29.37
2020-06-01,29.59
2020-06-02,30.91
2020-06-03,31.91
2020-06-04,31.75
2020-06-05,32.72
2020-06-08,32.98
2020-06-09,31.93
2020-06-10,30.88
2020-06-11,28.14
2020-06-12,29.4
