date,close
2020-01-27,72.38
2020-01-28,72.02
2020-01-29,72.7
2020-01-30,72.78
2020-01-31,74.22
2020-02-03,75.11
2020-02-04,74.74
2020-02-05,74.26
2020-02-06,73.96
2020-02-07,74.49
2020-02-10,75.55
2020-02-11,74.78
2020-02-12,75.68
2020-02-13,75.72
2020-02-14,76.43
2020-02-18,76.15
2020-02-19,75.78
2020-02-20,76.31
2020-02-21,76.61
2020-02-24,75.51
2020-02-25,74.76
2020-02-26,74.43
2020-02-27,71.86
2020-02-28,69.52
2020-03-02,74.96
2020-03-03,73.06
2020-03-04,76.47
2020-03-05,75.03
2020-03-06,74.68
2020-03-09,70.74
2020-03-10,72.77
2020-03-11,68.41
2020-03-12,63.41
2020-03-13,63.29
2020-03-16,60.43
2020-03-17,68.69
2020-03-18,69.38
2020-03-19,66.7
2020-03-20,65.75
2020-03-23,60.87
2020-03-24,62.75
2020-03-25,60.3
2020-03-26,62.9
2020-03-27,61.97
2020-03-30,64.81
2020-03-31,64.18
2020-04-01,63.8
2020-04-02,66.27
2020-04-03,67.65
2020-04-06,68.86
2020-04-07,67.01
2020-04-08,68.61
2020-04-09,68.39
2020-04-13,68.1
2020-04-14,72.14
2020-04-15,72.0
2020-04-16,72.65
2020-04-17,73.55
2020-04-20,72.67
2020-04-21,70.55
2020-04-22,71.41
2020-04-23,70.66
2020-04-24,71.35
2020-04-27,71.48
2020-04-28,69.42
2020-04-29,68.37
2020-04-30,69.99
2020-05-01,71.22
2020-05-04,71.93
2020-05-05,73.43
2020-05-06,71.85
2020-05-07,72.38
2020-05-08,73.35
2020-05-11,73.99
2020-05-12,73.38
2020-05-13,73.45
2020-05-14,72.8
2020-05-15,73.6
2020-05-18,73.09
2020-05-19,72.11
2020-05-20,72.15
2020-05-21,70.97
2020-05-22,71.93
2020-05-26,70.3
2020-05-27,72.92
2020-05-28,74.04
2020-05-29,75.07
2020-06-01,75.3
2020-06-02,75.87
2020-06-03,75.14
2020-06-04,74.27
2020-06-05,73.79
2020-06-08,74.75
2020-06-09,74.93
2020-06-10,75.5
2020-06-11,74.42
2020-06-12,73.08
2020-06-15,73.87
2020-06-16,74.74
2020-06-17,75.37
2020-06-18,77.82
2020-06-19,77.52
2020-06-22,77.55
2020-06-23,77.11
2020-06-24,76.25
2020-06-25,76.74
2020-06-26,76.15
2020-06-29,76.72
2020-06-30,77.3
2020-07-01,77.9
2020-07-02,78.29
2020-07-06,77.86
2020-07-07,79.05
2020-07-08,80.26
2020-07-09,81.73
2020-07-10,82.78
2020-07-13,82.13
2020-07-14,84.48
2020-07-15,84.6
2020-07-16,84.2
2020-07-17,84.87
2020-07-20,84.29
2020-07-21,84.5
2020-07-22,85.14
2020-07-23,86.22
2020-07-24,85.87
2020-07-27,87.17
2020-07-28,88.21
2020-07-29,89.31
2020-07-30,90.06
2020-07-31,96.33
2020-08-03,93.41
2020-08-04,96.05
2020-08-05,95.83
2020-08-06,95.12
2020-08-07,94.96
2020-08-10,94.78
2020-08-11,92.71
2020-08-12,94.83
2020-08-13,94.75
2020-08-14,94.26
2020-08-17,95.79
2020-08-18,96.46
2020-08-19,96.29
2020-08-20,96.54
2020-08-21,96.5
2020-08-24,96.63
2020-08-25,96.1
2020-08-26,95.91
2020-08-27,96.1
2020-08-28,94.91
2020-08-31,95.83
2020-09-01,95.33
2020-09-02,98.16
2020-09-03,94.26
2020-09-04,93.3
2020-09-08,91.9
2020-09-09,94.04
2020-09-10,92.89
2020-09-11,92.87
2020-09-14,92.72
2020-09-15,92.33
2020-09-16,91.96
2020-09-17,92.06
2020-09-18,90.32
2020-09-21,89.64
2020-09-22,91.59
2020-09-23,91.61
2020-09-24,92.59
2020-09-25,92.95
2020-09-28,93.46
2020-09-29,92.85
2020-09-30,93.71
2020-10-01,93.1
2020-10-02,91.17
2020-10-05,90.73
2020-10-06,89.85
2020-10-07,90.93
2020-10-08,91.14
2020-10-09,92.76
2020-10-12,93.27
2020-10-13,95.18
2020-10-14,94.47
2020-10-15,95.1
2020-10-16,93.19
2020-10-19,92.34
2020-10-20,92.24
2020-10-21,92.19
2020-10-22,90.99
