date,close
2020-01-27,104.75
2020-01-28,105.35
2020-01-29,105.04
2020-01-30,106.8
2020-01-31,104.95
2020-02-03,106.31
2020-02-04,106.04
2020-02-05,108.01
2020-02-06,112.84
2020-02-07,112.83
2020-02-10,114.08
2020-02-11,114.92
2020-02-12,113.74
2020-02-13,114.85
2020-02-14,115.21
2020-02-18,113.85
2020-02-19,113.02
2020-02-20,112.12
2020-02-21,111.32
2020-02-24,107.48
2020-02-25,104.72
2020-02-26,103.13
2020-02-27,97.66
2020-02-28,93.24
2020-03-02,101.36
2020-03-03,99.77
2020-03-04,104.43
2020-03-05,101.14
2020-03-06,98.21
2020-03-09,90.7
2020-03-10,95.99
2020-03-11,90.0
2020-03-12,80.56
2020-03-13,90.58
2020-03-16,78.52
2020-03-17,84.98
2020-03-18,85.37
2020-03-19,81.93
2020-03-20,75.03
2020-03-23,66.78
2020-03-24,78.02
2020-03-25,74.23
2020-03-26,78.72
2020-03-27,75.95
2020-03-30,79.74
2020-03-31,75.45
2020-04-01,73.57
2020-04-02,72.92
2020-04-03,71.03
2020-04-06,77.41
2020-04-07,79.88
2020-04-08,81.08
2020-04-09,83.58
2020-04-13,82.64
2020-04-14,87.1
2020-04-15,82.94
2020-04-16,82.47
2020-04-17,85.8
2020-04-20,82.48
2020-04-21,80.17
2020-04-22,79.69
2020-04-23,78.4
2020-04-24,78.53
2020-04-27,82.03
2020-04-28,71.81
2020-04-29,70.42
2020-04-30,65.8
2020-05-01,60.95
2020-05-04,60.15
2020-05-05,59.0
2020-05-06,53.12
2020-05-07,55.01
2020-05-08,55.73
2020-05-11,53.85
2020-05-12,51.45
2020-05-13,48.54
2020-05-14,50.48
2020-05-15,49.25
2020-05-18,53.17
2020-05-19,52.09
2020-05-20,53.56
2020-05-21,57.45
2020-05-22,57.32
2020-05-26,59.24
2020-05-27,61.4
2020-05-28,60.57
2020-05-29,58.95
2020-06-01,59.64
2020-06-02,60.79
2020-06-03,63.87
2020-06-04,64.63
2020-06-05,68.78
2020-06-08,71.43
2020-06-09,68.81
2020-06-10,65.23
2020-06-11,58.66
2020-06-12,61.03
2020-06-15,61.94
2020-06-16,63.22
2020-06-17,62.06
2020-06-18,63.13
2020-06-19,63.17
2020-06-22,62.8
2020-06-23,63.79
2020-06-24,62.01
2020-06-25,63.74
2020-06-26,62.0
2020-06-29,63.75
2020-06-30,64.03
2020-07-01,64.1
2020-07-02,64.87
2020-07-06,68.06
2020-07-07,68.3
2020-07-08,69.14
2020-07-09,67.3
2020-07-10,70.48
2020-07-13,70.09
2020-07-14,72.71
2020-07-15,73.52
2020-07-16,75.81
2020-07-17,76.66
2020-07-20,77.06
2020-07-21,78.15
2020-07-22,80.22
2020-07-23,82.67
2020-07-24,83.23
2020-07-27,82.45
2020-07-28,83.4
2020-07-29,83.44
2020-07-30,79.81
2020-07-31,77.93
2020-08-03,78.4
2020-08-04,77.46
2020-08-05,79.56
2020-08-06,79.45
2020-08-07,81.67
2020-08-10,83.42
2020-08-11,83.12
2020-08-12,81.01
2020-08-13,79.58
2020-08-14,80.11
2020-08-17,78.23
2020-08-18,78.98
2020-08-19,78.21
2020-08-20,77.98
2020-08-21,77.34
2020-08-24,79.52
2020-08-25,79.35
2020-08-26,78.5
2020-08-27,80.46
2020-08-28,80.39
2020-08-31,79.41
2020-09-01,80.0
2020-09-02,81.67
2020-09-03,80.59
2020-09-04,81.08
2020-09-08,79.15
2020-09-09,78.84
2020-09-10,77.23
2020-09-11,76.92
2020-09-14,77.67
2020-09-15,75.98
2020-09-16,77.2
2020-09-17,77.44
2020-09-18,78.01
2020-09-21,75.44
2020-09-22,75.88
2020-09-23,74.95
2020-09-24,76.31
2020-09-25,76.87
2020-09-28,79.02
2020-09-29,77.89
2020-09-30,77.97
2020-10-01,76.49
2020-10-02,77.78
2020-10-05,82.03
2020-10-06,79.92
2020-10-07,79.44
2020-10-08,80.64
2020-10-09,79.69
2020-10-12,81.22
2020-10-13,79.15
2020-10-14,78.77
2020-10-15,78.82
2020-10-16,78.58
2020-10-19,77.67
2020-10-20,79.82
2020-10-21,84.29
2020-10-22,76.74
2020-10-23,77.4
2020-10-26,76.81
2020-10-27,73.85
2020-10-28,71.17
2020-10-29,71.65
2020-10-30,70.74
2020-11-02,72.22
2020-11-03,73.69
2020-11-04,72.29
2020-11-05,74.55
2020-11-06,74.25
2020-11-09,85.73
2020-11-10,86.64
2020-11-11,84.52
2020-11-12,82.99
2020-11-13,78.78
2020-11-16,79.84
2020-11-17,79.7
2020-11-18,79.5
2020-11-19,78.35
2020-11-20,77.4
2020-11-23,77.63
2020-11-24,79.56
2020-11-25,78.53
2020-11-27,77.81
2020-11-30,76.35
2020-12-01,80.0
2020-12-02,79.93
2020-12-03,81.7
2020-12-04,82.96
2020-12-07,80.18
2020-12-08,81.26
2020-12-09,81.33
2020-12-10,80.97
2020-12-11,80.17
2020-12-14,79.61
2020-12-15,80.93
2020-12-16,82.04
2020-12-17,84.29
2020-12-18,83.04
2020-12-21,84.05
2020-12-22,83.96
2020-12-23,85.71
2020-12-24,85.23
2020-12-28,87.37
2020-12-29,86.23
2020-12-30,86.46
2020-12-31,87.37
2021-01-04,84.5
2021-01-05,83.7
2021-01-06,87.64
2021-01-07,87.68
2021-01-08,87.78
2021-01-11,88.67
2021-01-12,92.47
2021-01-13,91.81
2021-01-14,93.49
2021-01-15,93.7
2021-01-19,93.77
2021-01-20,92.48
2021-01-21,88.28
2021-01-22,87.32
2021-01-25,88.48
2021-01-26,86.78
2021-01-27,84.25
2021-01-28,85.63
2021-01-29,84.09
2021-02-01,87.41
2021-02-02,87.11
2021-02-03,86.12
2021-02-04,87.34
2021-02-05,86.71
2021-02-08,87.66
2021-02-09,87.18
2021-02-10,89.04
2021-02-11,91.37
2021-02-12,92.42
2021-02-16,90.82
2021-02-17,93.8
2021-02-18,94.68
2021-02-19,96.26
2021-02-22,96.98
2021-02-23,98.41
2021-02-24,100.89
2021-02-25,98.77
2021-02-26,97.87
2021-03-01,101.16
2021-03-02,99.98
2021-03-03,101.09
2021-03-04,99.87
2021-03-05,104.26
2021-03-08,107.02
2021-03-09,105.46
2021-03-10,106.25
2021-03-11,104.74
2021-03-12,107.61
2021-03-15,108.93
2021-03-16,106.41
2021-03-17,106.3
2021-03-18,107.79
2021-03-19,107.0
2021-03-22,105.86
2021-03-23,104.64
2021-03-24,104.62
2021-03-25,106.08
2021-03-26,105.79
2021-03-29,104.04
2021-03-30,105.08
2021-03-31,103.09
2021-04-01,104.14
2021-04-05,105.59
2021-04-06,105.95
2021-04-07,105.25
2021-04-08,104.52
2021-04-09,105.09
2021-04-12,106.47
2021-04-13,105.45
2021-04-14,106.0
2021-04-15,106.5
2021-04-16,106.41
2021-04-19,107.22
2021-04-20,106.97
2021-04-21,109.84
2021-04-22,108.84
2021-04-23,109.36
2021-04-26,109.02
2021-04-27,108.43
2021-04-28,106.76
2021-04-29,111.5
2021-04-30,112.68
2021-05-03,114.9
2021-05-04,116.3
2021-05-05,117.68
2021-05-06,119.72
2021-05-07,120.35
2021-05-10,120.7
2021-05-11,118.15
2021-05-12,116.96
2021-05-13,120.04
2021-05-14,120.96
2021-05-17,120.2
2021-05-18,119.24
2021-05-19,119.63
2021-05-20,121.17
2021-05-21,120.28
2021-05-24,120.93
2021-05-25,119.25
2021-05-26,118.89
2021-05-27,120.8
2021-05-28,121.71
2021-06-01,121.85
2021-06-02,122.19
2021-06-03,123.36
2021-06-04,124.22
2021-06-07,122.76
2021-06-08,123.41
2021-06-09,121.14
2021-06-10,121.55
2021-06-11,121.8
2021-06-14,120.48
2021-06-15,121.7
2021-06-16,120.28
2021-06-17,116.74
2021-06-18,113.82
2021-06-21,116.86
2021-06-22,117.27
2021-06-23,116.79
2021-06-24,117.75
2021-06-25,119.08
2021-06-28,117.38
2021-06-29,116.36
2021-06-30,116.62
2021-07-01,117.92
2021-07-02,117.84
2021-07-06,116.38
2021-07-07,117.2
2021-07-08,113.76
2021-07-09,118.87
2021-07-12,119.81
2021-07-13,118.71
2021-07-14,118.0
2021-07-15,118.49
2021-07-16,118.53
2021-07-19,114.13
2021-07-20,117.17
2021-07-21,117.64
2021-07-22,115.02
2021-07-23,115.24
2021-07-26,116.77
2021-07-27,116.05
2021-07-28,113.7
2021-07-29,117.71
2021-07-30,117.88
2021-08-02,119.11
2021-08-03,118.94
2021-08-04,115.9
2021-08-05,116.39
2021-08-06,119.29
2021-08-09,119.63
2021-08-10,120.4
2021-08-11,121.26
2021-08-12,121.84
2021-08-13,121.39
2021-08-16,122.06
2021-08-17,122.72
2021-08-18,121.13
2021-08-19,121.69
2021-08-20,123.31
2021-08-23,123.26
2021-08-24,123.14
2021-08-25,124.86
2021-08-26,122.58
2021-08-27,124.4
2021-08-30,122.95
2021-08-31,123.4
2021-09-01,122.18
2021-09-02,122.12
2021-09-03,121.08
2021-09-07,119.43
2021-09-08,120.24
2021-09-09,119.25
2021-09-10,117.38
2021-09-13,118.49
2021-09-14,117.44
2021-09-15,118.29
2021-09-16,117.89
2021-09-17,116.45
2021-09-20,114.27
2021-09-21,113.75
2021-09-22,114.46
2021-09-23,116.11
2021-09-24,116.62
2021-09-27,118.48
2021-09-28,115.72
2021-09-29,116.35
2021-09-30,114.22
2021-10-01,114.79
2021-10-04,113.32
2021-10-05,115.5
2021-10-06,116.47
2021-10-07,118.87
2021-10-08,120.09
2021-10-11,118.76
2021-10-12,118.08
2021-10-13,116.99
2021-10-14,118.52
2021-10-15,118.94
2021-10-18,116.96
2021-10-19,117.82
2021-10-20,119.78
2021-10-21,119.78
2021-10-22,122.19
2021-10-25,123.44
2021-10-26,123.05
2021-10-27,121.19
2021-10-28,126.18
2021-10-29,121.44
2021-11-01,120.49
2021-11-02,123.57
2021-11-03,124.68
2021-11-04,124.18
2021-11-05,126.09
2021-11-08,124.41
2021-11-09,124.16
2021-11-10,123.55
2021-11-11,122.78
2021-11-12,122.13
2021-11-15,121.48
2021-11-16,120.64
2021-11-17,118.75
2021-11-18,118.7
2021-11-19,118.81
2021-11-22,119.87
2021-11-23,120.94
2021-11-24,119.82
2021-11-26,117.27
2021-11-29,118.46
2021-11-30,113.9
2021-12-01,112.85
2021-12-02,117.72
2021-12-03,115.88
2021-12-06,116.29
2021-12-07,117.76
2021-12-08,117.21
2021-12-09,115.14
2021-12-10,116.38
2021-12-13,114.37
2021-12-14,115.89
2021-12-15,115.81
2021-12-16,117.28
2021-12-17,113.0
2021-12-20,110.01
2021-12-21,111.54
2021-12-22,112.44
2021-12-23,112.34
2021-12-27,114.12
2021-12-28,114.83
2021-12-29,115.02
2021-12-30,113.67
2021-12-31,113.93
2022-01-03,113.11
2022-01-04,115.74
2022-01-05,114.11
2022-01-06,116.22
2022-01-07,118.64
2022-01-10,118.25
2022-01-11,119.48
2022-01-12,118.88
2022-01-13,120.99
2022-01-14,119.54
2022-01-18,117.37
2022-01-19,114.97
2022-01-20,115.78
2022-01-21,114.46
2022-01-24,117.17
2022-01-25,115.09
2022-01-26,114.98
2022-01-27,113.47
2022-01-28,117.43
2022-01-31,117.83
2022-02-01,118.32
2022-02-02,120.94
2022-02-03,120.49
2022-02-04,121.69
2022-02-07,121.32
2022-02-08,123.16
2022-02-09,123.14
2022-02-10,122.54
2022-02-11,121.14
2022-02-14,119.48
2022-02-15,120.69
2022-02-16,128.14
2022-02-17,126.25
2022-02-18,125.58
2022-02-22,123.94
2022-02-23,122.44
2022-02-24,119.42
2022-02-25,124.94
2022-02-28,122.79
2022-03-01,120.05
2022-03-02,123.39
2022-03-03,124.36
2022-03-04,123.2
2022-03-07,119.73
2022-03-08,119.32
2022-03-09,121.36
2022-03-10,122.16
2022-03-11,121.69
2022-03-14,128.04
2022-03-15,130.72
2022-03-16,130.5
2022-03-17,132.27
2022-03-18,127.94
2022-03-21,131.11
2022-03-22,131.69
2022-03-23,131.74
2022-03-24,134.82
2022-03-25,136.89
2022-03-28,135.77
2022-03-29,136.56
2022-03-30,138.15
2022-03-31,135.96
2022-04-01,138.07
2022-04-04,135.13
2022-04-05,135.28
2022-04-06,137.37
2022-04-07,136.99
2022-04-08,137.89
2022-04-11,136.48
2022-04-12,136.84
2022-04-13,137.84
2022-04-14,138.19
2022-04-18,138.59
2022-04-19,138.84
2022-04-20,141.25
2022-04-21,140.28
2022-04-22,136.66
2022-04-25,136.08
2022-04-26,134.03
2022-04-27,135.01
2022-04-28,136.0
2022-04-29,122.66
2022-05-02,120.75
2022-05-03,122.17
2022-05-04,127.34
2022-05-05,125.85
2022-05-06,126.46
2022-05-09,125.02
2022-05-10,125.0
2022-05-11,125.15
2022-05-12,124.82
2022-05-13,126.23
2022-05-16,126.11
2022-05-17,126.97
2022-05-18,124.81
2022-05-19,122.67
2022-05-20,121.98
2022-05-23,125.34
2022-05-24,125.09
2022-05-25,124.44
2022-05-26,127.06
2022-05-27,128.42
2022-05-31,127.86
2022-06-01,126.11
2022-06-02,127.35
2022-06-03,126.34
2022-06-06,128.12
2022-06-07,128.34
2022-06-08,126.51
2022-06-09,123.42
2022-06-10,119.9
2022-06-13,116.33
2022-06-14,116.42
2022-06-15,117.52
2022-06-16,112.7
2022-06-17,113.97
2022-06-21,115.55
2022-06-22,115.72
2022-06-23,113.58
2022-06-24,116.5
2022-06-27,117.18
2022-06-28,117.64
2022-06-29,117.9
2022-06-30,118.98
2022-07-01,120.36
2022-07-05,119.06
2022-07-06,119.81
2022-07-07,119.16
2022-07-08,118.64
2022-07-11,117.76
2022-07-12,116.83
2022-07-13,115.81
2022-07-14,111.12
2022-07-15,112.38
2022-07-18,108.96
2022-07-19,111.71
2022-07-20,110.88
2022-07-21,110.71
2022-07-22,110.83
2022-07-25,112.55
2022-07-26,113.62
2022-07-27,113.46
2022-07-28,97.68
2022-07-29,97.34
2022-08-01,94.89
2022-08-02,94.61
2022-08-03,96.7
2022-08-04,95.5
2022-08-05,97.26
2022-08-08,98.34
2022-08-09,98.84
2022-08-10,100.04
2022-08-11,102.76
2022-08-12,104.33
2022-08-15,104.5
2022-08-16,105.33
2022-08-17,106.45
2022-08-18,106.17
2022-08-19,103.88
2022-08-22,101.62
2022-08-23,101.16
2022-08-24,101.3
2022-08-25,102.92
2022-08-26,100.83
2022-08-29,100.22
2022-08-30,98.54
2022-08-31,96.96
2022-09-01,97.72
2022-09-02,96.82
2022-09-06,97.22
2022-09-07,99.03
2022-09-08,99.68
2022-09-09,100.69
2022-09-12,102.62
2022-09-13,99.38
2022-09-14,100.2
2022-09-15,99.8
2022-09-16,97.41
2022-09-19,99.16
2022-09-20,97.03
2022-09-21,94.5
2022-09-22,92.99
2022-09-23,92.0
2022-09-26,90.26
2022-09-27,90.74
2022-09-28,92.48
2022-09-29,91.85
2022-09-30,89.57
2022-10-03,93.26
2022-10-04,96.19
2022-10-05,96.64
2022-10-06,95.57
2022-10-07,93.94
2022-10-10,95.75
2022-10-11,96.56
2022-10-12,97.1
2022-10-13,101.4
2022-10-14,99.05
2022-10-17,100.29
2022-10-18,101.59
2022-10-19,101.04
2022-10-20,97.75
2022-10-21,99.24
2022-10-24,99.66
2022-10-25,98.95
2022-10-26,98.1
2022-10-27,98.81
2022-10-28,102.49
2022-10-31,103.32
2022-11-01,99.22
2022-11-02,99.05
2022-11-03,97.0
2022-11-04,99.79
2022-11-07,102.43
2022-11-08,103.15
2022-11-09,101.49
2022-11-10,107.55
2022-11-11,110.09
2022-11-14,108.93
2022-11-15,106.39
2022-11-16,105.86
2022-11-17,105.64
2022-11-18,106.86
2022-11-21,106.83
2022-11-22,108.04
2022-11-23,108.8
2022-11-25,109.83
2022-11-28,107.39
2022-11-29,108.13
2022-11-30,110.96
2022-12-01,111.12
2022-12-02,110.41
2022-12-05,107.87
2022-12-06,106.94
2022-12-07,104.8
2022-12-08,106.21
2022-12-09,105.91
2022-12-12,107.37
2022-12-13,107.59
2022-12-14,106.41
2022-12-15,103.66
2022-12-16,102.22
2022-12-19,100.94
2022-12-20,102.31
2022-12-21,104.55
2022-12-22,103.75
2022-12-23,104.46
2022-12-27,104.44
2022-12-28,102.71
2022-12-29,104.16
2022-12-30,102.39
2023-01-03,104.01
2023-01-04,106.35
2023-01-05,106.67
2023-01-06,109.74
2023-01-09,108.69
2023-01-10,110.51
2023-01-11,109.89
2023-01-12,107.93
2023-01-13,108.75
2023-01-17,106.19
2023-01-18,104.4
2023-01-19,101.15
2023-01-20,102.73
2023-01-23,105.19
2023-01-24,105.5
2023-01-25,105.17
2023-01-26,105.79
2023-01-27,105.44
2023-01-30,111.52
2023-01-31,113.15
2023-02-01,114.31
2023-02-02,115.41
2023-02-03,115.11
2023-02-06,115.28
2023-02-07,127.62
2023-02-08,127.69
2023-02-09,126.25
2023-02-10,125.17
2023-02-13,127.11
2023-02-14,125.78
2023-02-15,126.72
2023-02-16,125.89
2023-02-17,127.03
2023-02-21,124.86
2023-02-22,124.71
2023-02-23,122.97
2023-02-24,121.45
2023-02-27,120.98
2023-02-28,120.7
2023-03-01,119.92
2023-03-02,119.55
2023-03-03,121.06
2023-03-06,120.93
2023-03-07,117.84
2023-03-08,117.0
2023-03-09,114.91
2023-03-10,112.57
2023-03-13,108.76
2023-03-14,111.12
2023-03-15,107.51
2023-03-16,110.87
2023-03-17,104.91
2023-03-20,110.41
2023-03-21,111.27
2023-03-22,107.73
2023-03-23,105.98
2023-03-24,106.6
2023-03-27,108.39
2023-03-28,108.03
2023-03-29,110.73
2023-03-30,110.36
2023-03-31,112.08
2023-04-03,112.43
2023-04-04,110.85
2023-04-05,111.28
2023-04-06,111.85
2023-04-10,111.31
2023-04-11,110.99
2023-04-12,110.43
2023-04-13,110.55
2023-04-14,106.74
2023-04-17,107.52
2023-04-18,107.84
2023-04-19,108.32
2023-04-20,106.92
2023-04-21,105.78
2023-04-24,105.56
2023-04-25,103.55
2023-04-26,101.8
2023-04-27,103.61
2023-04-28,106.44
2023-05-01,105.33
2023-05-02,103.64
2023-05-03,104.44
2023-05-04,104.01
2023-05-05,105.24
2023-05-08,106.0
2023-05-09,105.52
2023-05-10,104.5
2023-05-11,103.95
2023-05-12,103.57
2023-05-15,104.01
2023-05-16,101.82
2023-05-17,102.69
2023-05-18,105.73
2023-05-19,104.96
2023-05-22,104.43
2023-05-23,102.71
2023-05-24,100.43
2023-05-25,98.49
2023-05-26,98.32
2023-05-30,98.88
2023-05-31,96.5
2023-06-01,97.15
2023-06-02,100.58
2023-06-05,100.57
2023-06-06,101.16
2023-06-07,102.82
2023-06-08,101.68
2023-06-09,101.93
2023-06-12,103.05
2023-06-13,102.92
2023-06-14,99.97
2023-06-15,100.4
2023-06-16,100.9
2023-06-20,98.93
2023-06-21,97.99
2023-06-22,97.43
2023-06-23,95.71
2023-06-26,96.73
2023-06-27,97.18
2023-06-28,95.55
2023-06-29,96.64
2023-06-30,97.32
2023-07-03,98.32
2023-07-05,96.99
2023-07-06,97.24
2023-07-07,98.17
2023-07-10,97.4
2023-07-11,99.6
2023-07-12,99.82
2023-07-13,99.68
2023-07-14,97.89
2023-07-17,98.36
2023-07-18,99.73
2023-07-19,99.99
2023-07-20,102.56
2023-07-21,102.56
2023-07-24,102.74
2023-07-25,101.7
2023-07-26,103.62
2023-07-27,102.62
2023-07-28,109.65
2023-07-31,107.58
2023-08-01,108.41
2023-08-02,109.39
2023-08-03,109.39
2023-08-04,109.0
2023-08-07,109.72
2023-08-08,108.48
2023-08-09,108.61
2023-08-10,107.54
2023-08-11,107.56
2023-08-14,106.86
2023-08-15,105.63
2023-08-16,105.67
2023-08-17,105.13
2023-08-18,103.87
2023-08-21,103.82
2023-08-22,103.22
2023-08-23,104.35
2023-08-24,104.02
2023-08-25,104.22
2023-08-28,104.42
2023-08-29,104.86
2023-08-30,106.19
2023-08-31,105.79
2023-09-01,106.48
2023-09-05,105.06
2023-09-06,104.52
2023-09-07,104.76
2023-09-08,105.0
2023-09-11,105.91
2023-09-12,107.19
2023-09-13,106.43
2023-09-14,108.44
2023-09-15,107.19
2023-09-18,108.44
2023-09-19,109.06
2023-09-20,109.52
2023-09-21,107.44
2023-09-22,107.01
2023-09-25,106.64
2023-09-26,105.2
2023-09-27,104.7
2023-09-28,103.7
2023-09-29,102.29
2023-10-02,100.06
2023-10-03,99.78
2023-10-04,100.88
2023-10-05,101.34
2023-10-06,100.26
2023-10-09,102.3
2023-10-10,101.39
2023-10-11,102.27
2023-10-12,101.35
2023-10-13,101.8
2023-10-16,103.1
2023-10-17,104.05
2023-10-18,102.54
2023-10-19,100.92
2023-10-20,98.63
2023-10-23,98.2
2023-10-24,99.82
2023-10-25,98.39
2023-10-26,99.68
2023-10-27,97.58
2023-10-30,100.3
2023-10-31,99.67
2023-11-01,101.93
2023-11-02,99.89
2023-11-03,100.88
2023-11-06,100.11
2023-11-07,100.63
2023-11-08,99.84
2023-11-09,99.09
2023-11-10,99.73
2023-11-13,99.18
2023-11-14,102.2
2023-11-15,101.38
2023-11-16,101.08
2023-11-17,100.89
2023-11-20,100.78
2023-11-21,101.57
2023-11-22,102.04
2023-11-24,102.68
2023-11-27,102.5
2023-11-28,100.69
2023-11-29,100.66
2023-11-30,102.79
2023-12-01,102.65
2023-12-04,103.77
2023-12-05,103.17
2023-12-06,101.54
2023-12-07,102.61
2023-12-08,102.8
2023-12-11,103.91
2023-12-12,104.63
2023-12-13,105.98
2023-12-14,104.94
2023-12-15,102.48
2023-12-18,101.94
2023-12-19,102.33
2023-12-20,100.98
2023-12-21,101.85
2023-12-22,101.85
2023-12-26,102.55
2023-12-27,102.75
2023-12-28,103.39
2023-12-29,103.46
2024-01-02,105.88
2024-01-03,105.24
2024-01-04,106.6
2024-01-05,107.36
2024-01-08,107.49
2024-01-09,106.51
2024-01-10,107.42
2024-01-11,108.27
2024-01-12,107.37
2024-01-16,107.29
2024-01-17,107.3
2024-01-18,108.27
2024-01-19,111.29
2024-01-22,111.95
2024-01-23,111.75
2024-01-24,112.95
2024-01-25,112.3
2024-01-26,112.21
2024-01-29,111.93
2024-01-30,112.03
2024-01-31,110.8
2024-02-01,110.57
2024-02-02,112.22
2024-02-05,111.77
2024-02-06,112.1
2024-02-07,107.03
2024-02-08,107.6
2024-02-09,108.89
2024-02-12,110.53
2024-02-13,109.62
2024-02-14,110.94
2024-02-15,112.41
2024-02-16,111.86
2024-02-20,110.94
2024-02-21,111.25
2024-02-22,112.11
2024-02-23,112.81
2024-02-26,112.24
2024-02-27,113.32
2024-02-28,113.7
2024-02-29,114.0
2024-03-01,113.54
2024-03-04,112.42
2024-03-05,111.96
2024-03-06,117.79
2024-03-07,117.23
2024-03-08,117.29
2024-03-11,117.38
2024-03-12,118.34
2024-03-13,118.91
2024-03-14,119.81
2024-03-15,119.9
2024-03-18,118.22
2024-03-19,117.87
2024-03-20,118.6
2024-03-21,118.84
2024-03-22,117.42
2024-03-25,120.76
2024-03-26,120.28
2024-03-27,123.29
2024-03-28,124.17
2024-04-01,122.17
2024-04-02,121.65
2024-04-03,121.29
2024-04-04,120.28
2024-04-05,121.52
2024-04-08,121.9
2024-04-09,119.88
2024-04-10,120.84
2024-04-11,119.17
2024-04-12,118.62
2024-04-15,116.8
2024-04-16,117.07
2024-04-17,115.3
2024-04-18,117.52
2024-04-19,119.95
2024-04-22,120.96
2024-04-23,120.83
2024-04-24,119.92
2024-04-25,118.44
2024-04-26,110.88
2024-04-29,113.55
2024-04-30,115.69
2024-05-01,117.3
2024-05-02,116.16
2024-05-03,116.94
2024-05-06,117.38
2024-05-07,117.2
2024-05-08,117.44
2024-05-09,118.31
2024-05-10,118.87
2024-05-13,118.33
2024-05-14,118.21
2024-05-15,117.29
2024-05-16,118.52
2024-05-17,120.06
2024-05-20,117.95
2024-05-21,118.59
2024-05-22,118.82
2024-05-23,117.11
2024-05-24,117.68
2024-05-28,115.74
2024-05-29,114.66
2024-05-30,116.2
2024-05-31,117.58
2024-06-03,116.35
2024-06-04,114.84
2024-06-05,114.62
2024-06-06,114.91
2024-06-07,115.97
2024-06-10,115.26
2024-06-11,113.9
2024-06-12,113.69
2024-06-13,113.66
2024-06-14,112.27
2024-06-17,113.81
2024-06-18,113.67
2024-06-20,115.4
2024-06-21,115.21
2024-06-24,116.61
2024-06-25,115.82
2024-06-26,114.94
2024-06-27,116.68
2024-06-28,118.1
2024-07-01,119.19
2024-07-02,118.85
