date,close
2020-01-27,67.25
2020-01-28,67.07
2020-01-29,67.31
2020-01-30,68.07
2020-01-31,68.51
2020-02-03,68.48
2020-02-04,67.37
2020-02-05,67.91
2020-02-06,67.32
2020-02-07,67.14
2020-02-10,67.56
2020-02-11,67.37
2020-02-12,67.36
2020-02-13,67.92
2020-02-14,68.51
2020-02-18,68.86
2020-02-19,68.48
2020-02-20,68.59
2020-02-21,68.45
2020-02-24,68.25
2020-02-25,66.84
2020-02-26,66.44
2020-02-27,62.82
2020-02-28,60.42
2020-03-02,64.14
2020-03-03,64.32
2020-03-04,68.35
2020-03-05,67.73
2020-03-06,67.89
2020-03-09,65.42
2020-03-10,65.51
2020-03-11,63.25
2020-03-12,58.89
2020-03-13,62.39
2020-03-16,56.95
2020-03-17,64.82
2020-03-18,60.64
2020-03-19,56.49
2020-03-20,49.55
2020-03-23,48.51
2020-03-24,51.43
2020-03-25,53.32
2020-03-26,56.94
2020-03-27,58.23
2020-03-30,61.94
2020-03-31,58.75
2020-04-01,55.71
2020-04-02,56.86
2020-04-03,54.55
2020-04-06,58.85
2020-04-07,57.34
2020-04-08,60.64
2020-04-09,62.33
2020-04-13,61.16
2020-04-14,62.27
2020-04-15,60.7
2020-04-16,61.88
2020-04-17,63.17
2020-04-20,59.19
2020-04-21,58.41
2020-04-22,59.99
2020-04-23,59.24
2020-04-24,59.4
2020-04-27,58.0
2020-04-28,59.21
2020-04-29,57.26
2020-04-30,57.09
2020-05-01,55.95
2020-05-04,56.74
2020-05-05,57.16
2020-05-06,54.66
2020-05-07,54.54
2020-05-08,55.29
2020-05-11,55.48
2020-05-12,55.55
2020-05-13,54.63
2020-05-14,54.37
2020-05-15,53.68
2020-05-18,56.09
2020-05-19,55.31
2020-05-20,55.44
2020-05-21,54.74
2020-05-22,55.59
2020-05-26,55.68
2020-05-27,55.97
2020-05-28,57.93
2020-05-29,58.58
2020-06-01,59.01
2020-06-02,59.5
2020-06-03,60.14
2020-06-04,58.79
2020-06-05,59.44
2020-06-08,60.98
2020-06-09,60.29
2020-06-10,59.9
2020-06-11,58.11
2020-06-12,58.3
2020-06-15,58.47
2020-06-16,59.13
2020-06-17,59.12
2020-06-18,59.03
2020-06-19,57.93
2020-06-22,58.77
2020-06-23,57.82
2020-06-24,57.4
2020-06-25,56.77
2020-06-26,56.52
2020-06-29,57.55
2020-06-30,58.42
2020-07-01,59.96
2020-07-02,60.3
2020-07-06,60.03
2020-07-07,59.49
2020-07-08,59.4
2020-07-09,58.99
2020-07-10,59.47
2020-07-13,59.38
2020-07-14,60.1
2020-07-15,59.74
2020-07-16,60.33
2020-07-17,61.76
2020-07-20,61.4
2020-07-21,62.14
2020-07-22,64.08
2020-07-23,64.05
2020-07-24,63.53
2020-07-27,62.99
2020-07-28,63.53
2020-07-29,63.97
2020-07-30,63.93
2020-07-31,64.18
2020-08-03,62.97
2020-08-04,63.09
2020-08-05,62.35
2020-08-06,61.75
2020-08-07,62.88
2020-08-10,63.04
2020-08-11,61.01
2020-08-12,61.4
2020-08-13,60.96
2020-08-14,60.88
2020-08-17,61.0
2020-08-18,60.92
2020-08-19,60.68
2020-08-20,60.36
2020-08-21,60.39
2020-08-24,60.84
2020-08-25,60.21
2020-08-26,59.4
2020-08-27,59.72
2020-08-28,60.05
2020-08-31,60.49
2020-09-01,60.22
2020-09-02,61.76
2020-09-03,61.91
2020-09-04,61.66
2020-09-08,60.5
2020-09-09,61.69
2020-09-10,60.8
2020-09-11,60.91
2020-09-14,61.42
2020-09-15,61.11
2020-09-16,61.94
2020-09-17,61.34
2020-09-18,61.1
2020-09-21,59.99
2020-09-22,60.69
2020-09-23,59.57
2020-09-24,59.58
2020-09-25,61.34
