date,close
2020-01-27,101.16
2020-01-28,102.04
2020-01-29,101.2
2020-01-30,102.17
2020-01-31,99.8
2020-02-03,99.75
2020-02-04,101.7
2020-02-05,104.74
2020-02-06,103.52
2020-02-07,101.8
2020-02-10,101.95
2020-02-11,102.4
2020-02-12,102.8
2020-02-13,102.78
2020-02-14,102.64
2020-02-18,103.03
2020-02-19,104.14
2020-02-20,103.54
2020-02-21,101.15
2020-02-24,98.24
2020-02-25,92.78
2020-02-26,92.82
2020-02-27,89.17
2020-02-28,88.26
2020-03-02,91.47
2020-03-03,86.42
2020-03-04,89.33
2020-03-05,85.08
2020-03-06,82.29
2020-03-09,73.07
2020-03-10,78.35
2020-03-11,71.42
2020-03-12,63.63
2020-03-13,72.84
2020-03-16,55.45
2020-03-17,53.92
2020-03-18,44.3
2020-03-19,46.26
2020-03-20,45.01
2020-03-23,42.87
2020-03-24,50.91
2020-03-25,52.34
2020-03-26,57.87
2020-03-27,55.3
2020-03-30,53.87
2020-03-31,50.42
2020-04-01,44.68
2020-04-02,43.93
2020-04-03,42.27
2020-04-06,49.42
2020-04-07,52.91
2020-04-08,56.72
2020-04-09,60.11
2020-04-13,56.5
2020-04-14,55.34
2020-04-15,52.6
2020-04-16,50.01
2020-04-17,54.63
2020-04-20,53.87
2020-04-21,51.16
2020-04-22,51.52
2020-04-23,52.61
2020-04-24,56.15
2020-04-27,59.19
2020-04-28,63.75
2020-04-29,69.75
2020-04-30,64.76
2020-05-01,61.58
2020-05-04,61.59
2020-05-05,60.96
2020-05-06,58.49
2020-05-07,60.82
2020-05-08,62.2
2020-05-11,59.5
2020-05-12,58.1
2020-05-13,53.97
2020-05-14,59.16
2020-05-15,58.03
2020-05-18,63.4
2020-05-19,60.25
2020-05-20,61.48
2020-05-21,60.92
2020-05-22,60.21
2020-05-26,65.8
2020-05-27,70.88
2020-05-28,68.54
2020-05-29,68.04
2020-06-01,68.99
2020-06-02,70.9
2020-06-03,74.34
2020-06-04,77.15
2020-06-05,79.02
2020-06-08,80.0
2020-06-09,78.47
2020-06-10,71.8
2020-06-11,66.12
2020-06-12,70.63
2020-06-15,71.17
2020-06-16,73.6
2020-06-17,71.47
2020-06-18,69.98
2020-06-19,68.07
2020-06-22,68.3
2020-06-23,69.57
2020-06-24,65.46
2020-06-25,67.04
2020-06-26,61.16
2020-06-29,62.38
2020-06-30,62.59
2020-07-01,60.7
2020-07-02,61.15
2020-07-06,62.65
2020-07-07,59.91
2020-07-08,61.39
2020-07-09,58.35
2020-07-10,60.8
2020-07-13,61.56
2020-07-14,60.68
2020-07-15,63.68
2020-07-16,63.36
2020-07-17,61.99
2020-07-20,60.84
2020-07-21,62.87
2020-07-22,64.05
2020-07-23,65.4
2020-07-24,65.06
2020-07-27,65.74
2020-07-28,64.1
2020-07-29,66.38
2020-07-30,64.84
2020-07-31,63.8
2020-08-03,63.49
2020-08-04,63.24
2020-08-05,64.67
2020-08-06,63.55
2020-08-07,65.75
2020-08-10,67.41
2020-08-11,69.63
2020-08-12,68.15
2020-08-13,67.64
2020-08-14,69.47
2020-08-17,66.79
2020-08-18,65.47
2020-08-19,65.7
2020-08-20,64.27
2020-08-21,63.8
2020-08-24,67.36
2020-08-25,66.91
2020-08-26,66.28
2020-08-27,69.61
2020-08-28,71.13
2020-08-31,69.03
2020-09-01,68.58
2020-09-02,69.37
2020-09-03,69.92
2020-09-04,73.99
2020-09-08,70.36
2020-09-09,70.57
2020-09-10,69.42
2020-09-11,71.05
2020-09-14,74.64
2020-09-15,73.3
2020-09-16,76.17
2020-09-17,75.98
2020-09-18,75.79
2020-09-21,71.65
2020-09-22,69.96
2020-09-23,68.13
2020-09-24,68.1
2020-09-25,69.36
2020-09-28,71.33
2020-09-29,70.45
2020-09-30,71.86
2020-10-01,72.93
2020-10-02,74.94
2020-10-05,78.04
2020-10-06,75.63
2020-10-07,78.24
2020-10-08,80.28
2020-10-09,79.88
2020-10-12,80.41
2020-10-13,79.54
2020-10-14,78.66
2020-10-15,78.55
2020-10-16,79.22
2020-10-19,77.12
2020-10-20,77.27
2020-10-21,73.72
2020-10-22,76.75
2020-10-23,77.99
2020-10-26,74.95
2020-10-27,74.06
2020-10-28,72.07
2020-10-29,73.12
2020-10-30,73.08
2020-11-02,75.68
2020-11-03,77.57
2020-11-04,75.55
2020-11-05,78.7
2020-11-06,77.77
2020-11-09,86.95
2020-11-10,86.68
2020-11-11,84.67
2020-11-12,83.58
2020-11-13,86.7
2020-11-16,88.61
2020-11-17,87.76
2020-11-18,85.61
2020-11-19,84.99
2020-11-20,83.58
2020-11-23,87.28
2020-11-24,91.36
2020-11-25,89.9
2020-11-27,87.76
2020-11-30,85.64
2020-12-01,89.7
2020-12-02,91.39
2020-12-03,91.28
2020-12-04,92.24
2020-12-07,92.97
2020-12-08,92.64
2020-12-09,94.92
2020-12-10,94.67
2020-12-11,92.17
2020-12-14,90.42
2020-12-15,92.68
2020-12-16,93.59
2020-12-17,94.08
2020-12-18,91.57
2020-12-21,95.29
2020-12-22,94.99
2020-12-23,96.82
2020-12-24,97.3
2020-12-28,97.55
2020-12-29,96.18
2020-12-30,97.88
2020-12-31,98.85
2021-01-04,97.84
2021-01-05,100.14
2021-01-06,107.38
2021-01-07,110.73
2021-01-08,110.56
2021-01-11,109.31
2021-01-12,110.76
2021-01-13,112.08
2021-01-14,114.4
2021-01-15,112.53
2021-01-19,112.86
2021-01-20,111.38
2021-01-21,108.54
2021-01-22,105.34
2021-01-25,102.53
2021-01-26,99.93
2021-01-27,102.69
2021-01-28,106.84
2021-01-29,104.26
2021-02-01,102.86
2021-02-02,106.04
2021-02-03,107.21
2021-02-04,112.66
2021-02-05,114.48
