date,close
2023-09-26,80.52
2023-09-27,78.98
2023-09-28,79.84
2023-09-29,79.5
2023-10-02,77.98
2023-10-03,78.23
2023-10-04,78.72
2023-10-05,77.88
2023-10-06,78.36
2023-10-09,77.7
2023-10-10,79.03
2023-10-11,77.69
2023-10-12,77.69
2023-10-13,81.39
2023-10-16,82.9
2023-10-17,82.51
2023-10-18,81.71
2023-10-19,80.95
2023-10-20,81.12
2023-10-23,80.6
2023-10-24,80.38
2023-10-25,78.81
2023-10-26,76.97
2023-10-27,76.72
2023-10-30,77.39
2023-10-31,77.94
2023-11-01,79.23
2023-11-02,81.84
2023-11-03,83.66
2023-11-06,83.63
2023-11-07,83.44
2023-11-08,83.17
2023-11-09,81.42
2023-11-10,82.32
2023-11-13,82.64
2023-11-14,85.74
2023-11-15,85.38
2023-11-16,85.14
2023-11-17,84.28
2023-11-20,84.5
2023-11-21,84.35
2023-11-22,84.76
2023-11-24,84.83
2023-11-27,83.77
2023-11-28,83.58
2023-11-29,82.9
2023-11-30,84.23
2023-12-01,85.27
2023-12-04,84.58
2023-12-05,83.82
2023-12-06,85.64
2023-12-07,86.24
2023-12-08,83.75
2023-12-11,84.84
2023-12-12,85.07
2023-12-13,88.9
2023-12-14,91.81
2023-12-15,90.8
2023-12-18,91.42
2023-12-19,91.35
2023-12-20,90.08
2023-12-21,92.11
2023-12-22,93.35
2023-12-26,94.24
2023-12-27,95.0
2023-12-28,94.89
2023-12-29,94.61
2024-01-02,93.27
2024-01-03,90.97
2024-01-04,91.5
2024-01-05,91.48
2024-01-08,93.39
2024-01-09,92.83
2024-01-10,96.22
2024-01-11,95.13
2024-01-12,95.94
2024-01-16,95.71
2024-01-17,94.7
2024-01-18,96.44
2024-01-19,96.88
2024-01-22,97.01
2024-01-23,96.64
2024-01-24,94.98
2024-01-25,94.82
2024-01-26,93.16
2024-01-29,94.53
2024-01-30,93.8
2024-01-31,93.26
2024-02-01,95.38
2024-02-02,94.07
2024-02-05,92.84
2024-02-06,93.67
2024-02-07,93.66
2024-02-08,93.41
2024-02-09,94.15
2024-02-12,94.75
2024-02-13,91.92
2024-02-14,93.12
2024-02-15,93.64
2024-02-16,93.0
2024-02-20,95.7
2024-02-21,98.08
2024-02-22,97.78
2024-02-23,96.75
2024-02-26,94.5
2024-02-27,93.74
2024-02-28,94.51
2024-02-29,93.6
2024-03-01,102.19
2024-03-04,102.77
2024-03-05,101.42
2024-03-06,101.87
2024-03-07,102.08
2024-03-08,101.51
2024-03-11,101.44
2024-03-12,101.54
2024-03-13,102.36
2024-03-14,101.5
2024-03-15,100.71
2024-03-18,100.82
2024-03-19,102.25
2024-03-20,101.66
2024-03-21,101.37
2024-03-22,100.42
2024-03-25,100.87
2024-03-26,100.73
2024-03-27,101.84
2024-03-28,101.46
2024-04-01,99.24
2024-04-02,98.06
2024-04-03,98.96
2024-04-04,99.16
2024-04-05,98.6
2024-04-08,98.63
2024-04-09,98.92
2024-04-10,96.5
2024-04-11,96.12
2024-04-12,93.52
2024-04-15,92.04
2024-04-16,90.53
2024-04-17,89.86
2024-04-18,90.41
2024-04-19,90.42
2024-04-22,90.04
2024-04-23,91.68
2024-04-24,90.2
2024-04-25,89.93
2024-04-26,88.84
2024-04-29,89.89
2024-04-30,89.06
2024-05-01,89.66
2024-05-02,89.75
2024-05-03,90.64
2024-05-06,92.4
2024-05-07,93.42
2024-05-08,91.99
2024-05-09,94.69
2024-05-10,94.76
2024-05-13,92.83
2024-05-14,95.96
2024-05-15,97.9
2024-05-16,97.9
2024-05-17,97.31
2024-05-20,97.21
2024-05-21,96.76
2024-05-22,96.6
2024-05-23,94.44
2024-05-24,94.89
2024-05-28,91.68
2024-05-29,91.11
2024-05-30,90.23
2024-05-31,94.31
2024-06-03,94.72
2024-06-04,94.56
2024-06-05,94.23
2024-06-06,95.25
2024-06-07,94.38
2024-06-10,95.08
2024-06-11,93.77
2024-06-12,94.81
2024-06-13,94.2
2024-06-14,93.47
2024-06-17,92.46
2024-06-18,91.66
2024-06-20,91.73
2024-06-21,91.51
2024-06-24,89.81
2024-06-25,89.21
2024-06-26,87.96
2024-06-27,87.62
2024-06-28,87.3
2024-07-01,86.39
2024-07-02,86.51
2024-07-03,85.51
2024-07-05,85.9
2024-07-08,85.65
2024-07-09,85.68
2024-07-10,85.55
2024-07-11,88.58
2024-07-12,90.81
2024-07-15,88.67
2024-07-16,90.14
2024-07-17,90.96
2024-07-18,91.32
2024-07-19,90.75
2024-07-22,91.47
2024-07-23,90.67
2024-07-24,91.99
2024-07-25,92.68
2024-07-26,93.21
2024-07-29,92.61
2024-07-30,92.69
2024-07-31,93.33
2024-08-01,94.2
2024-08-02,93.27
2024-08-05,91.41
2024-08-06,92.49
2024-08-07,91.8
2024-08-08,93.09
2024-08-09,93.13
2024-08-12,90.97
2024-08-13,91.99
2024-08-14,91.42
2024-08-15,92.0
2024-08-16,94.14
2024-08-19,95.22
2024-08-20,95.89
2024-08-21,93.66
2024-08-22,94.11
2024-08-23,94.62
2024-08-26,94.45
2024-08-27,94.35
2024-08-28,94.54
2024-08-29,105.73
2024-08-30,105.73
2024-09-03,106.06
2024-09-04,105.54
2024-09-05,106.5
2024-09-06,106.59
2024-09-09,108.03
2024-09-10,108.34
2024-09-11,108.51
2024-09-12,108.86
2024-09-13,110.53
2024-09-16,111.23
2024-09-17,109.83
2024-09-18,110.53
2024-09-19,111.1
2024-09-20,110.49
2024-09-23,109.81
2024-09-24,109.85
2024-09-25,108.41
2024-09-26,109.54
2024-09-27,109.78
2024-09-30,110.34
2024-10-01,108.36
2024-10-02,107.8
2024-10-03,106.97
2024-10-04,105.92
2024-10-07,105.49
2024-10-08,105.61
2024-10-09,106.8
2024-10-10,106.3
2024-10-11,106.74
2024-10-14,107.68
2024-10-15,108.55
2024-10-16,108.56
2024-10-17,106.78
2024-10-18,108.26
2024-10-21,106.72
2024-10-22,105.83
2024-10-23,105.32
2024-10-24,107.3
2024-10-25,107.82
2024-10-28,105.51
2024-10-29,104.53
2024-10-30,105.2
2024-10-31,104.68
2024-11-01,105.85
2024-11-04,104.86
2024-11-05,105.21
2024-11-06,103.78
2024-11-07,103.33
2024-11-08,103.75
2024-11-11,103.55
2024-11-12,102.0
2024-11-13,101.88
2024-11-14,99.86
2024-11-15,99.63
2024-11-18,99.48
2024-11-19,99.05
2024-11-20,99.08
2024-11-21,99.91
2024-11-22,100.8
2024-11-25,102.4
2024-11-26,102.64
2024-11-27,103.43
2024-11-29,104.46
2024-12-02,103.0
2024-12-03,103.29
2024-12-04,104.98
2024-12-05,103.23
2024-12-06,98.7
2024-12-09,99.26
2024-12-10,99.08
2024-12-11,99.28
2024-12-12,96.72
2024-12-13,94.85
2024-12-16,93.98
2024-12-17,94.49
2024-12-18,92.39
2024-12-19,91.93
2024-12-20,93.44
2024-12-23,92.52
2024-12-24,92.81
2024-12-26,92.61
2024-12-27,92.34
2024-12-30,91.43
2024-12-31,91.93
2025-01-02,90.66
2025-01-03,91.79
2025-01-06,93.01
2025-01-07,92.69
2025-01-08,91.88
2025-01-10,90.31
2025-01-13,91.28
2025-01-14,89.11
2025-01-15,90.68
2025-01-16,92.04
2025-01-17,93.27
2025-01-21,95.35
2025-01-22,95.18
2025-01-23,95.68
2025-01-24,97.7
2025-01-27,99.45
2025-01-28,98.5
2025-01-29,98.0
2025-01-30,98.1
2025-01-31,96.55
2025-02-03,95.34
2025-02-04,95.3
2025-02-05,96.67
2025-02-06,95.29
2025-02-07,93.57
2025-02-10,93.63
2025-02-11,93.45
2025-02-12,92.0
2025-02-13,93.68
2025-02-14,88.1
2025-02-18,87.29
2025-02-19,86.46
2025-02-20,88.69
2025-02-21,88.48
2025-02-24,90.06
2025-02-25,90.26
2025-02-26,90.99
2025-02-27,89.87
2025-02-28,90.38
2025-03-03,91.65
2025-03-04,90.67
2025-03-05,91.33
2025-03-06,90.98
2025-03-07,85.0
2025-03-10,79.89
2025-03-11,81.03
2025-03-12,79.07
2025-03-13,77.73
2025-03-14,81.22
2025-03-17,79.91
2025-03-18,80.04
2025-03-19,80.12
2025-03-20,80.39
2025-03-21,81.71
2025-03-24,84.07
2025-03-25,83.7
2025-03-26,83.86
2025-03-27,84.98
2025-03-28,83.77
2025-03-31,84.35
2025-04-01,81.27
2025-04-02,81.23
2025-04-03,78.17
2025-04-04,73.77
2025-04-07,73.31
2025-04-08,71.5
2025-04-09,77.9
2025-04-10,75.37
2025-04-11,77.46
2025-04-14,78.76
2025-04-15,77.8
2025-04-16,78.23
2025-04-17,79.51
2025-04-21,78.7
2025-04-22,79.79
2025-04-23,80.84
2025-04-24,82.58
2025-04-25,80.89
2025-04-28,81.85
2025-04-29,82.23
2025-04-30,81.67
2025-05-01,81.14
2025-05-02,82.3
2025-05-05,81.57
2025-05-06,80.57
2025-05-07,81.25
2025-05-08,82.92
2025-05-09,82.27
2025-05-12,84.44
2025-05-13,81.76
2025-05-14,80.47
2025-05-15,81.45
2025-05-16,82.92
2025-05-19,81.91
2025-05-20,81.5
2025-05-21,79.37
2025-05-22,79.3
2025-05-23,78.83
2025-05-27,80.59
2025-05-28,80.12
2025-05-29,79.96
2025-05-30,68.28
2025-06-02,67.0
2025-06-03,66.91
2025-06-04,67.42
2025-06-05,71.18
2025-06-06,72.33
2025-06-09,71.97
2025-06-10,72.69
2025-06-11,71.42
2025-06-12,70.88
2025-06-13,69.7
2025-06-16,69.74
2025-06-17,68.76
2025-06-18,69.81
2025-06-20,69.47
2025-06-23,69.52
2025-06-24,70.93
2025-06-25,69.54
2025-06-26,69.69
2025-06-27,71.14
2025-06-30,71.16
2025-07-01,72.81
2025-07-02,73.02
2025-07-03,73.3
2025-07-07,73.29
2025-07-08,74.26
2025-07-09,74.95
2025-07-10,76.7
2025-07-11,74.77
2025-07-14,73.61
2025-07-15,72.2
2025-07-16,72.7
2025-07-17,73.26
2025-07-18,72.63
2025-07-21,71.32
2025-07-22,73.03
2025-07-23,73.38
2025-07-24,73.8
2025-07-25,74.59
2025-07-28,72.91
2025-07-29,73.7
2025-07-30,72.28
2025-07-31,70.69
2025-08-01,70.87
2025-08-04,71.45
2025-08-05,69.56
2025-08-06,68.12
2025-08-07,69.2
2025-08-08,70.29
2025-08-11,70.88
2025-08-12,72.69
2025-08-13,74.27
2025-08-14,73.44
2025-08-15,73.26
2025-08-18,73.53
2025-08-19,74.02
2025-08-20,73.5
2025-08-21,73.04
2025-08-22,75.22
2025-08-25,73.48
2025-08-26,73.66
2025-08-27,74.11
2025-08-28,64.58
2025-08-29,67.39
2025-09-02,65.33
2025-09-03,67.14
2025-09-04,68.0
2025-09-05,68.09
2025-09-08,68.79
2025-09-09,68.25
2025-09-10,67.66
2025-09-11,68.46
2025-09-12,66.68
2025-09-15,65.48
2025-09-16,65.16
2025-09-17,64.32
2025-09-18,67.22
2025-09-19,68.17
2025-09-22,68.0
2025-09-23,67.5
2025-09-24,68.35
2025-09-25,66.89
2025-09-26,67.55
2025-09-29,67.67
2025-09-30,68.56
2025-10-01,68.07
2025-10-02,69.12
2025-10-03,70.46
2025-10-06,70.11
2025-10-07,69.02
2025-10-08,70.26
2025-10-09,69.75
2025-10-10,68.37
2025-10-13,69.3
2025-10-14,71.21
2025-10-15,68.76
2025-10-16,71.56
2025-10-17,71.97
2025-10-20,74.99
2025-10-21,75.0
2025-10-22,74.45
2025-10-23,74.52
2025-10-24,73.51
2025-10-27,72.85
2025-10-28,71.75
2025-10-29,69.58
2025-10-30,70.11
2025-10-31,69.91
2025-11-03,69.82
2025-11-04,69.08
2025-11-05,68.88
2025-11-06,69.0
2025-11-07,70.1
2025-11-10,70.72
2025-11-11,71.74
2025-11-12,72.49
2025-11-13,71.75
2025-11-14,72.13
2025-11-17,71.35
2025-11-18,72.2
2025-11-19,72.15
2025-11-20,71.11
2025-11-21,75.47
2025-11-24,76.01
2025-11-25,78.21
2025-11-26,77.94
2025-11-28,77.93
2025-12-01,77.41
2025-12-02,75.84
2025-12-03,75.98
2025-12-04,77.03
2025-12-05,81.4
2025-12-08,78.03
2025-12-09,78.51
2025-12-10,80.74
2025-12-11,82.11
2025-12-12,82.08
2025-12-15,81.53
2025-12-16,81.04
2025-12-17,82.48
2025-12-18,82.46
2025-12-19,82.75
2025-12-22,83.84
2025-12-23,82.88
2025-12-24,82.57
2025-12-26,82.62
2025-12-29,82.2
2025-12-30,82.47
2025-12-31,81.96
2026-01-02,81.11
2026-01-05,82.74
2026-01-06,84.32
2026-01-07,83.9
2026-01-08,83.13
2026-01-09,83.45
2026-01-12,83.23
2026-01-13,81.7
2026-01-14,81.69
2026-01-15,82.31
2026-01-16,82.37
2026-01-20,80.61
2026-01-21,82.54
2026-01-22,82.8
2026-01-23,81.29
