date,close
2020-01-27,87.52
2020-01-28,89.11
2020-01-29,89.86
2020-01-30,88.88
2020-01-31,85.56
2020-02-03,85.7
2020-02-04,88.09
2020-02-05,91.44
2020-02-06,92.48
2020-02-07,91.94
2020-02-10,93.6
2020-02-11,94.57
2020-02-12,95.78
2020-02-13,94.52
2020-02-14,94.36
2020-02-18,94.31
2020-02-19,95.13
2020-02-20,96.53
2020-02-21,97.0
2020-02-24,94.93
2020-02-25,92.93
2020-02-26,93.71
2020-02-27,86.59
2020-02-28,84.32
2020-03-02,87.16
2020-03-03,85.87
2020-03-04,90.38
2020-03-05,86.97
2020-03-06,85.81
2020-03-09,83.27
2020-03-10,86.07
2020-03-11,84.96
2020-03-12,80.49
2020-03-13,90.0
2020-03-16,80.5
2020-03-17,89.5
2020-03-18,84.97
2020-03-19,86.0
2020-03-20,80.61
2020-03-23,73.93
2020-03-24,79.85
2020-03-25,75.35
2020-03-26,84.16
2020-03-27,81.78
2020-03-30,88.1
2020-03-31,88.5
2020-04-01,86.23
2020-04-02,83.89
2020-04-03,81.34
2020-04-06,86.29
2020-04-07,87.2
2020-04-08,88.33
2020-04-09,87.81
2020-04-13,85.45
2020-04-14,89.42
2020-04-15,88.33
2020-04-16,86.28
2020-04-17,89.19
2020-04-20,89.62
2020-04-21,85.57
2020-04-22,86.5
2020-04-23,87.26
2020-04-24,88.7
2020-04-27,90.78
2020-04-28,89.53
2020-04-29,89.34
2020-04-30,89.66
2020-05-01,86.38
2020-05-04,86.42
2020-05-05,87.97
2020-05-06,85.5
2020-05-07,88.74
2020-05-08,88.09
2020-05-11,90.64
2020-05-12,88.58
2020-05-13,84.15
2020-05-14,84.03
2020-05-15,85.75
2020-05-18,89.2
2020-05-19,89.63
2020-05-20,92.73
2020-05-21,92.25
2020-05-22,93.14
2020-05-26,90.78
2020-05-27,93.33
2020-05-28,94.4
2020-05-29,95.34
2020-06-01,95.15
2020-06-02,98.66
2020-06-03,99.49
2020-06-04,99.45
2020-06-05,98.97
2020-06-08,102.3
2020-06-09,99.9
2020-06-10,96.95
2020-06-11,93.51
2020-06-12,94.87
2020-06-15,96.21
2020-06-16,99.11
2020-06-17,100.15
2020-06-18,100.25
2020-06-19,102.15
2020-06-22,101.73
2020-06-23,101.5
2020-06-24,98.84
2020-06-25,100.67
2020-06-26,99.18
2020-06-29,98.99
2020-06-30,100.77
2020-07-01,99.45
2020-07-02,100.09
2020-07-06,100.72
2020-07-07,98.3
2020-07-08,97.21
2020-07-09,96.39
2020-07-10,97.05
2020-07-13,97.27
2020-07-14,99.33
2020-07-15,101.9
2020-07-16,102.74
2020-07-17,104.45
2020-07-20,102.19
2020-07-21,104.15
2020-07-22,103.81
2020-07-23,104.03
2020-07-24,103.76
2020-07-27,104.0
2020-07-28,102.11
2020-07-29,103.31
2020-07-30,102.17
2020-07-31,100.19
2020-08-03,104.48
2020-08-04,104.7
2020-08-05,103.5
2020-08-06,101.61
2020-08-07,102.1
2020-08-10,103.04
2020-08-11,101.38
2020-08-12,103.55
2020-08-13,102.73
2020-08-14,103.75
2020-08-17,103.42
2020-08-18,102.84
2020-08-19,101.71
2020-08-20,99.04
2020-08-21,98.15
2020-08-24,97.57
2020-08-25,98.28
2020-08-26,97.66
2020-08-27,98.13
2020-08-28,97.55
2020-08-31,97.03
2020-09-01,94.3
2020-09-02,98.29
2020-09-03,97.58
2020-09-04,96.6
2020-09-08,95.36
2020-09-09,96.2
2020-09-10,94.27
2020-09-11,94.08
2020-09-14,94.6
2020-09-15,94.9
2020-09-16,96.79
2020-09-17,96.81
2020-09-18,96.83
2020-09-21,95.82
2020-09-22,95.26
2020-09-23,94.14
2020-09-24,94.66
2020-09-25,96.8
2020-09-28,97.58
2020-09-29,96.16
2020-09-30,96.92
2020-10-01,95.36
2020-10-02,95.38
2020-10-05,96.39
2020-10-06,95.63
2020-10-07,95.59
2020-10-08,98.49
2020-10-09,96.86
2020-10-12,96.86
2020-10-13,97.27
2020-10-14,98.44
2020-10-15,99.35
2020-10-16,99.52
2020-10-19,97.8
2020-10-20,97.99
2020-10-21,97.73
2020-10-22,98.72
2020-10-23,99.38
2020-10-26,98.37
2020-10-27,97.65
