date,close
2020-01-27,48.77
2020-01-28,48.88
2020-01-29,48.34
2020-01-30,49.03
2020-01-31,48.39
2020-02-03,48.87
2020-02-04,48.66
2020-02-05,49.0
2020-02-06,48.16
2020-02-07,48.88
2020-02-10,48.7
2020-02-11,48.73
2020-02-12,48.18
2020-02-13,48.36
2020-02-14,48.64
2020-02-18,48.2
2020-02-19,47.79
2020-02-20,47.74
2020-02-21,47.96
2020-02-24,48.02
2020-02-25,47.88
2020-02-26,46.64
2020-02-27,45.7
2020-02-28,45.12
2020-03-02,47.98
2020-03-03,47.88
2020-03-04,52.72
2020-03-05,53.1
2020-03-06,51.76
2020-03-09,50.2
2020-03-10,51.26
2020-03-11,50.47
2020-03-12,47.68
2020-03-13,49.28
2020-03-16,49.3
2020-03-17,53.84
2020-03-18,50.48
2020-03-19,47.5
2020-03-20,45.3
2020-03-23,42.93
2020-03-24,43.5
2020-03-25,41.41
2020-03-26,43.59
2020-03-27,44.19
2020-03-30,46.53
2020-03-31,46.16
2020-04-01,45.98
2020-04-02,47.45
2020-04-03,49.53
2020-04-06,47.61
2020-04-07,46.74
2020-04-08,46.16
2020-04-09,47.75
2020-04-13,48.5
2020-04-14,50.07
2020-04-15,50.5
2020-04-16,51.11
2020-04-17,50.34
2020-04-20,51.3
2020-04-21,50.44
2020-04-22,50.8
2020-04-23,50.54
2020-04-24,50.75
2020-04-27,51.24
2020-04-28,50.98
2020-04-29,50.18
2020-04-30,49.98
2020-05-01,50.41
2020-05-04,50.78
2020-05-05,50.88
2020-05-06,50.56
2020-05-07,50.24
2020-05-08,51.26
2020-05-11,51.96
2020-05-12,52.4
2020-05-13,52.5
2020-05-14,52.97
2020-05-15,53.53
2020-05-18,50.94
2020-05-19,49.62
2020-05-20,48.17
2020-05-21,47.18
2020-05-22,48.35
2020-05-26,47.36
2020-05-27,48.66
2020-05-28,49.52
2020-05-29,50.98
2020-06-01,51.72
2020-06-02,52.01
2020-06-03,48.82
2020-06-04,48.77
2020-06-05,48.18
2020-06-08,49.89
2020-06-09,49.53
2020-06-10,48.94
2020-06-11,47.97
2020-06-12,47.07
2020-06-15,48.38
2020-06-16,49.17
2020-06-17,49.41
2020-06-18,49.05
2020-06-19,49.14
2020-06-22,49.81
2020-06-23,49.1
2020-06-24,48.86
2020-06-25,49.6
2020-06-26,48.4
2020-06-29,49.25
2020-06-30,49.63
2020-07-01,49.31
2020-07-02,49.32
2020-07-06,49.31
2020-07-07,49.73
2020-07-08,49.53
2020-07-09,49.41
2020-07-10,50.28
2020-07-13,49.83
2020-07-14,50.31
2020-07-15,49.21
2020-07-16,49.55
2020-07-17,49.6
2020-07-20,49.22
2020-07-21,49.35
2020-07-22,49.34
2020-07-23,49.63
2020-07-24,49.4
2020-07-27,49.49
2020-07-28,50.23
2020-07-29,50.2
2020-07-30,49.31
2020-07-31,49.57
2020-08-03,49.71
2020-08-04,50.45
2020-08-05,49.74
2020-08-06,49.88
2020-08-07,49.97
2020-08-10,50.4
2020-08-11,49.77
2020-08-12,50.96
2020-08-13,51.18
2020-08-14,51.63
2020-08-17,52.28
2020-08-18,52.44
2020-08-19,52.38
2020-08-20,52.4
2020-08-21,52.54
2020-08-24,52.69
2020-08-25,53.03
2020-08-26,53.48
2020-08-27,53.29
2020-08-28,52.14
2020-08-31,52.61
2020-09-01,51.4
2020-09-02,52.45
2020-09-03,48.53
2020-09-04,47.58
2020-09-08,45.22
2020-09-09,45.59
2020-09-10,45.32
2020-09-11,45.5
2020-09-14,45.82
2020-09-15,45.52
