date,close
2020-01-27,25.06
2020-01-28,25.41
2020-01-29,25.84
2020-01-30,25.93
2020-01-31,25.45
2020-02-03,25.7
2020-02-04,25.92
2020-02-05,26.06
2020-02-06,26.11
2020-02-07,25.96
2020-02-10,26.29
2020-02-11,26.17
2020-02-12,26.49
2020-02-13,26.61
2020-02-14,26.53
2020-02-18,26.5
2020-02-19,26.72
2020-02-20,26.82
2020-02-21,26.52
2020-02-24,26.02
2020-02-25,25.19
2020-02-26,25.1
2020-02-27,24.09
2020-02-28,23.48
2020-03-02,23.58
2020-03-03,22.97
2020-03-04,24.0
2020-03-05,22.99
2020-03-06,22.75
2020-03-09,20.13
2020-03-10,20.96
2020-03-11,19.44
2020-03-12,17.8
2020-03-13,19.31
2020-03-16,16.31
2020-03-17,18.09
2020-03-18,16.99
2020-03-19,18.34
2020-03-20,16.62
2020-03-23,15.89
2020-03-24,18.5
2020-03-25,18.84
2020-03-26,19.52
2020-03-27,18.76
2020-03-30,19.34
2020-03-31,19.1
2020-04-01,18.28
2020-04-02,18.95
2020-04-03,18.92
2020-04-06,20.42
2020-04-07,20.38
2020-04-08,21.17
2020-04-09,21.33
2020-04-13,20.52
2020-04-14,20.85
2020-04-15,20.3
2020-04-16,20.21
2020-04-17,20.92
2020-04-20,20.33
2020-04-21,19.83
2020-04-22,20.3
2020-04-23,20.49
2020-04-24,21.27
2020-04-27,22.14
2020-04-28,22.28
2020-04-29,22.72
2020-04-30,22.08
2020-05-01,21.67
2020-05-04,21.25
2020-05-05,21.26
2020-05-06,20.88
2020-05-07,21.31
2020-05-08,22.04
2020-05-11,21.97
2020-05-12,21.39
2020-05-13,20.78
2020-05-14,20.99
2020-05-15,20.67
2020-05-18,22.13
2020-05-19,21.99
2020-05-20,22.79
2020-05-21,22.6
2020-05-22,22.84
2020-05-26,24.05
2020-05-27,24.53
2020-05-28,23.75
2020-05-29,23.86
2020-06-01,23.62
2020-06-02,24.06
2020-06-03,24.89
2020-06-04,24.68
2020-06-05,25.03
2020-06-08,24.78
2020-06-09,24.55
2020-06-10,24.43
2020-06-11,22.76
2020-06-12,23.19
2020-06-15,23.38
2020-06-16,23.45
2020-06-17,23.3
2020-06-18,23.16
2020-06-19,22.66
2020-06-22,22.87
2020-06-23,23.14
2020-06-24,22.5
2020-06-25,22.74
2020-06-26,21.97
2020-06-29,22.83
2020-06-30,23.25
2020-07-01,22.75
2020-07-02,22.95
2020-07-06,23.42
2020-07-07,22.84
2020-07-08,23.03
2020-07-09,22.62
2020-07-10,22.51
2020-07-13,22.88
2020-07-14,23.11
2020-07-15,23.55
2020-07-16,23.69
2020-07-17,24.05
2020-07-20,23.85
2020-07-21,24.14
2020-07-22,24.42
2020-07-23,23.84
2020-07-24,23.78
2020-07-27,23.86
2020-07-28,23.37
2020-07-29,23.97
2020-07-30,23.41
2020-07-31,23.78
2020-08-03,23.45
2020-08-04,23.59
2020-08-05,23.81
2020-08-06,24.09
2020-08-07,24.31
2020-08-10,24.69
2020-08-11,25.05
2020-08-12,25.01
2020-08-13,24.67
2020-08-14,24.75
2020-08-17,25.0
2020-08-18,24.8
2020-08-19,24.68
2020-08-20,24.64
2020-08-21,24.71
2020-08-24,25.04
2020-08-25,25.28
2020-08-26,25.14
2020-08-27,25.4
2020-08-28,25.69
2020-08-31,25.49
2020-09-01,26.01
2020-09-02,25.89
2020-09-03,25.22
2020-09-04,25.17
2020-09-08,25.09
2020-09-09,25.55
2020-09-10,25.27
2020-09-11,25.72
2020-09-14,26.32
2020-09-15,26.76
2020-09-16,26.45
2020-09-17,26.5
2020-09-18,26.61
2020-09-21,25.86
2020-09-22,25.98
2020-09-23,25.5
2020-09-24,25.53
2020-09-25,26.03
2020-09-28,26.44
2020-09-29,25.87
2020-09-30,25.89
2020-10-01,25.62
2020-10-02,25.72
2020-10-05,25.91
2020-10-06,25.57
2020-10-07,26.23
2020-10-08,25.9
2020-10-09,26.16
2020-10-12,26.52
2020-10-13,26.4
2020-10-14,26.82
2020-10-15,27.01
2020-10-16,26.7
2020-10-19,26.35
2020-10-20,26.71
2020-10-21,26.24
2020-10-22,27.24
2020-10-23,27.1
2020-10-26,26.29
2020-10-27,26.03
2020-10-28,25.31
2020-10-29,25.96
2020-10-30,26.31
2020-11-02,27.25
2020-11-03,28.07
2020-11-04,28.28
2020-11-05,29.01
2020-11-06,28.73
2020-11-09,29.4
2020-11-10,30.47
2020-11-11,30.01
2020-11-12,29.91
2020-11-13,30.2
2020-11-16,31.0
2020-11-17,30.83
2020-11-18,30.44
2020-11-19,30.57
2020-11-20,30.51
2020-11-23,30.69
2020-11-24,30.97
2020-11-25,30.75
2020-11-27,30.43
2020-11-30,30.02
2020-12-01,30.21
2020-12-02,30.23
2020-12-03,30.14
2020-12-04,30.62
2020-12-07,30.68
2020-12-08,30.5
2020-12-09,30.58
2020-12-10,30.0
2020-12-11,30.14
2020-12-14,29.64
2020-12-15,30.07
2020-12-16,29.7
2020-12-17,30.18
2020-12-18,30.22
2020-12-21,29.9
2020-12-22,29.85
2020-12-23,29.89
2020-12-24,30.02
2020-12-28,30.21
2020-12-29,29.78
2020-12-30,30.11
2020-12-31,30.25
2021-01-04,29.33
2021-01-05,29.83
2021-01-06,30.62
2021-01-07,31.34
2021-01-08,31.95
2021-01-11,32.0
2021-01-12,31.96
2021-01-13,31.55
2021-01-14,31.16
2021-01-15,31.14
2021-01-19,30.89
2021-01-20,31.07
2021-01-21,30.54
2021-01-22,29.21
2021-01-25,29.29
2021-01-26,28.94
2021-01-27,27.96
2021-01-28,28.9
2021-01-29,28.58
2021-02-01,29.02
2021-02-02,29.88
2021-02-03,29.77
2021-02-04,29.47
2021-02-05,29.52
2021-02-08,29.09
2021-02-09,29.49
2021-02-10,29.39
2021-02-11,29.58
2021-02-12,30.05
2021-02-16,30.25
2021-02-17,30.0
2021-02-18,30.01
2021-02-19,30.7
2021-02-22,30.86
2021-02-23,30.56
2021-02-24,31.12
2021-02-25,30.73
2021-02-26,30.52
2021-03-01,30.98
2021-03-02,30.72
2021-03-03,30.36
2021-03-04,29.42
2021-03-05,30.54
2021-03-08,30.84
2021-03-09,30.91
2021-03-10,31.2
2021-03-11,31.27
2021-03-12,31.28
2021-03-15,31.16
2021-03-16,30.65
2021-03-17,30.71
2021-03-18,30.84
2021-03-19,30.26
2021-03-22,31.26
2021-03-23,30.97
2021-03-24,31.39
2021-03-25,31.85
2021-03-26,32.55
2021-03-29,32.2
2021-03-30,32.12
2021-03-31,32.14
2021-04-01,32.42
2021-04-05,32.86
2021-04-06,32.37
2021-04-07,32.32
2021-04-08,32.16
2021-04-09,32.76
2021-04-12,32.87
2021-04-13,32.6
2021-04-14,32.79
2021-04-15,32.96
2021-04-16,32.88
2021-04-19,32.9
2021-04-20,32.82
2021-04-21,34.23
2021-04-22,33.94
2021-04-23,34.37
2021-04-26,34.11
2021-04-27,33.97
2021-04-28,33.83
2021-04-29,33.73
2021-04-30,33.58
2021-05-03,33.79
2021-05-04,33.88
2021-05-05,33.73
2021-05-06,34.19
2021-05-07,34.38
2021-05-10,34.39
2021-05-11,33.85
2021-05-12,33.21
2021-05-13,33.58
2021-05-14,33.9
2021-05-17,33.47
2021-05-18,32.97
2021-05-19,32.79
2021-05-20,32.76
2021-05-21,32.76
2021-05-24,33.12
2021-05-25,33.02
2021-05-26,33.48
2021-05-27,33.29
2021-05-28,33.37
2021-06-01,33.43
2021-06-02,33.19
2021-06-03,33.23
2021-06-04,33.21
2021-06-07,32.69
2021-06-08,32.72
2021-06-09,32.61
2021-06-10,32.22
2021-06-11,32.41
2021-06-14,32.43
2021-06-15,32.8
2021-06-16,32.41
2021-06-17,32.08
2021-06-18,31.58
2021-06-21,31.94
2021-06-22,31.76
2021-06-23,31.55
2021-06-24,31.72
2021-06-25,31.97
2021-06-28,31.77
2021-06-29,31.56
2021-06-30,32.08
2021-07-01,32.28
2021-07-02,32.58
2021-07-06,32.4
2021-07-07,32.98
2021-07-08,30.95
2021-07-09,31.83
2021-07-12,31.74
2021-07-13,31.7
2021-07-14,31.64
2021-07-15,31.81
2021-07-16,31.51
2021-07-19,30.82
2021-07-20,31.18
2021-07-21,31.57
2021-07-22,32.67
2021-07-23,32.81
2021-07-26,32.89
2021-07-27,32.38
2021-07-28,31.91
2021-07-29,32.09
2021-07-30,32.32
2021-08-02,32.09
2021-08-03,32.43
2021-08-04,31.92
2021-08-05,32.15
2021-08-06,32.3
2021-08-09,32.39
2021-08-10,32.95
2021-08-11,33.98
2021-08-12,34.13
2021-08-13,33.87
2021-08-16,33.87
2021-08-17,33.74
2021-08-18,33.76
2021-08-19,33.59
2021-08-20,33.73
2021-08-23,33.87
2021-08-24,33.37
2021-08-25,33.46
2021-08-26,33.28
2021-08-27,33.45
2021-08-30,33.1
2021-08-31,32.53
2021-09-01,32.54
2021-09-02,32.58
2021-09-03,32.0
2021-09-07,31.51
2021-09-08,31.69
2021-09-09,31.35
2021-09-10,30.95
2021-09-13,30.9
2021-09-14,30.5
2021-09-15,30.85
2021-09-16,30.91
2021-09-17,30.31
2021-09-20,29.77
