date,close
2020-01-27,69.66
2020-01-28,69.49
2020-01-29,70.06
2020-01-30,70.8
2020-01-31,69.74
2020-02-03,70.5
2020-02-04,71.49
2020-02-05,72.83
2020-02-06,73.41
2020-02-07,72.89
2020-02-10,73.16
2020-02-11,73.37
2020-02-12,74.28
2020-02-13,74.53
2020-02-14,75.22
2020-02-18,75.63
2020-02-19,76.07
2020-02-20,74.42
2020-02-21,73.34
2020-02-24,72.04
2020-02-25,69.97
2020-02-26,70.98
2020-02-27,67.39
2020-02-28,66.69
2020-03-02,69.9
2020-03-03,68.09
2020-03-04,71.53
2020-03-05,68.76
2020-03-06,68.08
2020-03-09,62.71
2020-03-10,67.11
2020-03-11,62.6
2020-03-12,56.42
2020-03-13,60.9
2020-03-16,50.63
2020-03-17,52.28
2020-03-18,44.49
2020-03-19,45.75
2020-03-20,43.77
2020-03-23,39.27
2020-03-24,43.45
2020-03-25,48.08
2020-03-26,48.15
2020-03-27,45.39
2020-03-30,45.11
2020-03-31,43.31
2020-04-01,40.67
2020-04-02,41.3
2020-04-03,41.06
2020-04-06,44.87
2020-04-07,46.48
2020-04-08,48.1
2020-04-09,49.69
2020-04-13,48.77
2020-04-14,50.43
2020-04-15,46.77
2020-04-16,47.66
2020-04-17,51.04
2020-04-20,48.48
2020-04-21,47.63
2020-04-22,49.36
2020-04-23,49.85
2020-04-24,50.05
2020-04-27,53.12
2020-04-28,54.54
2020-04-29,57.74
2020-04-30,55.46
2020-05-01,52.95
2020-05-04,52.41
2020-05-05,52.69
2020-05-06,52.54
2020-05-07,53.35
2020-05-08,54.55
2020-05-11,53.6
2020-05-12,51.44
2020-05-13,49.87
2020-05-14,57.18
2020-05-15,56.85
2020-05-18,59.11
2020-05-19,59.74
2020-05-20,60.13
2020-05-21,60.64
2020-05-22,60.16
2020-05-26,63.18
2020-05-27,62.9
2020-05-28,62.93
2020-05-29,61.99
2020-06-01,62.74
2020-06-02,63.75
2020-06-03,67.7
2020-06-04,67.3
2020-06-05,71.63
2020-06-08,72.88
2020-06-09,70.73
2020-06-10,69.55
2020-06-11,66.0
2020-06-12,66.55
2020-06-15,66.63
2020-06-16,68.41
2020-06-17,68.32
2020-06-18,68.95
2020-06-19,67.54
2020-06-22,67.52
2020-06-23,68.14
2020-06-24,65.41
2020-06-25,65.64
2020-06-26,64.13
2020-06-29,65.9
2020-06-30,66.59
2020-07-01,66.99
2020-07-02,67.66
2020-07-06,68.41
2020-07-07,67.5
2020-07-08,67.83
2020-07-09,66.54
2020-07-10,66.72
2020-07-13,66.59
2020-07-14,67.58
2020-07-15,69.6
2020-07-16,69.36
2020-07-17,70.02
2020-07-20,69.46
2020-07-21,71.02
2020-07-22,72.34
2020-07-23,75.75
2020-07-24,75.65
2020-07-27,74.57
2020-07-28,73.39
2020-07-29,76.45
2020-07-30,75.45
2020-07-31,75.47
2020-08-03,74.69
2020-08-04,75.41
2020-08-05,74.99
2020-08-06,75.76
2020-08-07,77.5
2020-08-10,79.1
2020-08-11,79.58
2020-08-12,79.97
2020-08-13,79.75
2020-08-14,79.11
2020-08-17,80.25
2020-08-18,79.69
2020-08-19,79.63
2020-08-20,80.01
2020-08-21,80.1
2020-08-24,81.34
2020-08-25,81.18
2020-08-26,81.49
2020-08-27,82.2
2020-08-28,83.47
2020-08-31,83.31
2020-09-01,83.83
2020-09-02,85.6
2020-09-03,82.67
2020-09-04,82.78
2020-09-08,79.7
2020-09-09,81.48
2020-09-10,79.37
2020-09-11,80.24
2020-09-14,81.95
2020-09-15,82.04
2020-09-16,81.55
2020-09-17,81.25
2020-09-18,79.57
2020-09-21,79.15
2020-09-22,81.0
2020-09-23,79.18
2020-09-24,79.66
2020-09-25,81.79
2020-09-28,84.0
2020-09-29,82.57
2020-09-30,83.21
2020-10-01,85.48
2020-10-02,83.76
2020-10-05,84.1
2020-10-06,82.68
2020-10-07,83.92
2020-10-08,84.5
2020-10-09,84.88
2020-10-12,87.25
2020-10-13,88.17
2020-10-14,87.8
2020-10-15,87.1
2020-10-16,87.1
2020-10-19,85.33
2020-10-20,85.92
2020-10-21,84.67
2020-10-22,84.63
2020-10-23,84.52
2020-10-26,82.23
2020-10-27,81.0
2020-10-28,78.89
2020-10-29,79.98
2020-10-30,78.64
2020-11-02,80.09
2020-11-03,82.51
2020-11-04,84.34
2020-11-05,84.77
2020-11-06,85.23
2020-11-09,90.86
2020-11-10,89.67
2020-11-11,90.01
2020-11-12,87.42
2020-11-13,89.0
2020-11-16,92.17
2020-11-17,90.35
2020-11-18,90.12
2020-11-19,91.97
2020-11-20,90.46
2020-11-23,89.57
2020-11-24,90.49
2020-11-25,90.12
2020-11-27,90.27
2020-11-30,88.83
2020-12-01,89.77
2020-12-02,90.23
2020-12-03,89.92
2020-12-04,90.87
2020-12-07,88.29
2020-12-08,89.94
2020-12-09,88.51
2020-12-10,86.84
2020-12-11,87.28
2020-12-14,86.82
2020-12-15,88.23
2020-12-16,88.53
2020-12-17,88.0
2020-12-18,88.59
2020-12-21,86.53
2020-12-22,87.0
2020-12-23,84.86
2020-12-24,84.6
2020-12-28,88.55
2020-12-29,86.84
2020-12-30,87.56
2020-12-31,88.36
2021-01-04,85.9
2021-01-05,87.22
2021-01-06,87.75
2021-01-07,88.77
2021-01-08,87.54
2021-01-11,84.88
2021-01-12,84.87
2021-01-13,83.95
2021-01-14,81.79
2021-01-15,81.52
2021-01-19,80.51
2021-01-20,83.05
2021-01-21,82.86
2021-01-22,81.12
2021-01-25,82.03
2021-01-26,80.79
2021-01-27,79.55
2021-01-28,81.11
2021-01-29,79.53
