date,close
2020-01-27,29.22
2020-01-28,29.18
2020-01-29,29.43
2020-01-30,29.56
2020-01-31,31.82
2020-02-03,31.27
2020-02-04,31.61
2020-02-05,32.14
2020-02-06,32.01
2020-02-07,31.9
2020-02-10,32.18
2020-02-11,32.22
2020-02-12,33.23
2020-02-13,33.43
2020-02-14,33.43
2020-02-18,33.53
2020-02-19,33.52
2020-02-20,33.18
2020-02-21,32.43
2020-02-24,31.25
2020-02-25,30.36
2020-02-26,30.24
2020-02-27,28.99
2020-02-28,28.97
2020-03-02,29.82
2020-03-03,29.15
2020-03-04,29.99
2020-03-05,28.79
2020-03-06,28.77
2020-03-09,27.0
2020-03-10,27.81
2020-03-11,25.56
2020-03-12,21.85
2020-03-13,21.61
2020-03-16,18.56
2020-03-17,18.46
2020-03-18,15.19
2020-03-19,17.29
2020-03-20,17.32
2020-03-23,18.95
2020-03-24,22.24
2020-03-25,21.59
2020-03-26,23.43
2020-03-27,22.18
2020-03-30,23.19
2020-03-31,22.33
2020-04-01,20.63
2020-04-02,21.11
2020-04-03,20.35
2020-04-06,23.06
2020-04-07,23.53
2020-04-08,24.18
2020-04-09,24.81
2020-04-13,23.89
2020-04-14,24.25
2020-04-15,23.16
2020-04-16,23.21
2020-04-17,24.28
2020-04-20,23.44
2020-04-21,22.0
2020-04-22,22.13
2020-04-23,22.13
2020-04-24,22.9
2020-04-27,24.4
2020-04-28,24.65
2020-04-29,25.93
2020-04-30,24.79
2020-05-01,23.88
2020-05-04,23.38
2020-05-05,23.93
2020-05-06,23.77
2020-05-07,24.09
2020-05-08,24.86
2020-05-11,24.56
2020-05-12,23.08
2020-05-13,22.58
2020-05-14,23.25
2020-05-15,23.47
2020-05-18,25.5
2020-05-19,25.75
2020-05-20,27.08
2020-05-21,28.0
2020-05-22,29.87
2020-05-26,30.01
2020-05-27,32.55
2020-05-28,31.07
2020-05-29,30.42
2020-06-01,32.64
2020-06-02,33.99
2020-06-03,35.43
2020-06-04,34.0
2020-06-05,34.18
2020-06-08,33.41
2020-06-09,32.57
2020-06-10,33.02
2020-06-11,31.84
2020-06-12,32.68
2020-06-15,32.18
2020-06-16,32.81
2020-06-17,33.07
2020-06-18,33.41
2020-06-19,32.67
2020-06-22,33.46
2020-06-23,33.69
2020-06-24,32.42
2020-06-25,32.18
2020-06-26,31.02
2020-06-29,32.45
2020-06-30,32.73
2020-07-01,32.39
2020-07-02,32.37
2020-07-06,32.48
2020-07-07,31.52
2020-07-08,32.23
2020-07-09,31.67
2020-07-10,32.67
2020-07-13,32.29
2020-07-14,33.07
2020-07-15,33.66
2020-07-16,33.78
2020-07-17,33.56
2020-07-20,32.71
2020-07-21,33.55
2020-07-22,34.41
2020-07-23,34.41
2020-07-24,34.3
2020-07-27,35.19
2020-07-28,35.1
2020-07-29,36.47
2020-07-30,35.69
2020-07-31,34.88
2020-08-03,34.44
2020-08-04,34.24
2020-08-05,35.24
2020-08-06,34.42
2020-08-07,35.09
2020-08-10,36.42
2020-08-11,37.22
2020-08-12,36.81
2020-08-13,36.32
2020-08-14,35.95
2020-08-17,35.36
2020-08-18,35.14
2020-08-19,34.62
2020-08-20,34.63
2020-08-21,34.9
2020-08-24,34.88
2020-08-25,34.96
2020-08-26,35.27
2020-08-27,35.14
2020-08-28,35.07
2020-08-31,33.98
2020-09-01,34.99
2020-09-02,34.6
2020-09-03,33.04
2020-09-04,32.85
2020-09-08,33.32
2020-09-09,33.83
2020-09-10,33.05
2020-09-11,33.87
2020-09-14,34.7
2020-09-15,35.74
2020-09-16,36.57
2020-09-17,35.56
2020-09-18,34.82
2020-09-21,34.51
2020-09-22,35.61
2020-09-23,35.75
2020-09-24,36.27
2020-09-25,35.87
2020-09-28,36.55
2020-09-29,36.32
2020-09-30,36.67
2020-10-01,39.27
2020-10-02,39.56
2020-10-05,39.75
2020-10-06,39.16
2020-10-07,40.06
2020-10-08,40.88
2020-10-09,41.87
2020-10-12,42.22
2020-10-13,42.27
2020-10-14,42.68
2020-10-15,43.68
2020-10-16,43.72
2020-10-19,42.17
2020-10-20,41.59
2020-10-21,41.27
2020-10-22,41.29
2020-10-23,42.54
2020-10-26,43.63
2020-10-27,43.67
2020-10-28,41.7
2020-10-29,42.96
2020-10-30,42.23
2020-11-02,42.48
2020-11-03,41.93
2020-11-04,43.51
2020-11-05,46.43
2020-11-06,45.05
2020-11-09,42.46
2020-11-10,41.92
2020-11-11,42.27
2020-11-12,41.38
2020-11-13,41.85
2020-11-16,41.64
2020-11-17,42.39
2020-11-18,41.99
2020-11-19,41.45
2020-11-20,41.2
2020-11-23,42.9
2020-11-24,43.25
2020-11-25,44.08
2020-11-27,43.36
2020-11-30,42.43
2020-12-01,44.07
2020-12-02,44.87
2020-12-03,46.68
2020-12-04,48.1
2020-12-07,48.17
2020-12-08,49.19
2020-12-09,49.54
2020-12-10,48.61
2020-12-11,48.65
2020-12-14,49.15
2020-12-15,50.71
2020-12-16,50.03
2020-12-17,50.16
2020-12-18,49.12
2020-12-21,50.0
2020-12-22,48.99
2020-12-23,49.26
2020-12-24,48.79
2020-12-28,48.49
2020-12-29,47.91
2020-12-30,47.67
2020-12-31,47.8
2021-01-04,47.24
2021-01-05,49.0
2021-01-06,52.06
2021-01-07,52.81
2021-01-08,52.41
2021-01-11,54.49
2021-01-12,55.44
2021-01-13,54.06
2021-01-14,53.98
2021-01-15,54.33
2021-01-19,53.85
2021-01-20,55.16
2021-01-21,53.83
2021-01-22,53.31
2021-01-25,52.4
2021-01-26,50.71
2021-01-27,46.44
2021-01-28,48.44
2021-01-29,48.66
2021-02-01,49.89
2021-02-02,52.0
2021-02-03,51.6
2021-02-04,52.81
2021-02-05,52.79
2021-02-08,53.37
2021-02-09,54.25
2021-02-10,53.47
2021-02-11,53.24
2021-02-12,53.89
2021-02-16,53.97
2021-02-17,53.94
2021-02-18,53.87
2021-02-19,55.19
2021-02-22,54.67
2021-02-23,54.06
2021-02-24,55.25
2021-02-25,53.18
2021-02-26,54.35
2021-03-01,55.26
2021-03-02,54.28
2021-03-03,53.5
2021-03-04,51.73
2021-03-05,52.73
2021-03-08,52.83
2021-03-09,53.77
2021-03-10,52.66
2021-03-11,54.52
2021-03-12,54.71
2021-03-15,57.23
2021-03-16,56.45
2021-03-17,57.35
2021-03-18,55.16
2021-03-19,56.45
2021-03-22,55.47
2021-03-23,53.1
2021-03-24,51.96
2021-03-25,53.63
2021-03-26,55.64
2021-03-29,53.39
2021-03-30,54.28
2021-03-31,55.07
2021-04-01,55.09
2021-04-05,55.17
2021-04-06,56.5
2021-04-07,56.55
2021-04-08,56.1
2021-04-09,57.07
2021-04-12,57.66
2021-04-13,55.97
2021-04-14,56.02
2021-04-15,56.59
2021-04-16,56.84
2021-04-19,56.21
2021-04-20,54.64
2021-04-21,55.5
2021-04-22,55.77
2021-04-23,57.29
2021-04-26,56.5
2021-04-27,57.78
2021-04-28,58.26
2021-04-29,58.56
2021-04-30,56.37
2021-05-03,57.77
2021-05-04,58.31
2021-05-05,57.46
2021-05-06,56.74
2021-05-07,56.88
2021-05-10,55.0
2021-05-11,53.95
2021-05-12,52.34
2021-05-13,53.89
2021-05-14,55.96
2021-05-17,56.87
2021-05-18,55.42
2021-05-19,53.86
2021-05-20,51.87
2021-05-21,55.96
2021-05-24,56.44
2021-05-25,55.92
2021-05-26,57.04
2021-05-27,56.52
2021-05-28,55.91
2021-06-01,56.97
2021-06-02,55.16
2021-06-03,54.81
2021-06-04,54.0
2021-06-07,54.13
2021-06-08,54.25
2021-06-09,53.97
2021-06-10,54.17
2021-06-11,55.74
2021-06-14,55.76
2021-06-15,55.66
2021-06-16,54.51
2021-06-17,54.27
2021-06-18,54.23
2021-06-21,56.12
2021-06-22,58.02
2021-06-23,58.7
2021-06-24,59.31
2021-06-25,63.44
2021-06-28,63.73
2021-06-29,63.8
2021-06-30,64.01
2021-07-01,64.98
2021-07-02,65.44
2021-07-06,64.56
2021-07-07,65.1
2021-07-08,63.95
2021-07-09,65.0
2021-07-12,65.66
2021-07-13,64.83
2021-07-14,64.32
2021-07-15,63.48
2021-07-16,62.47
2021-07-19,62.47
2021-07-20,64.31
2021-07-21,64.5
2021-07-22,66.11
2021-07-23,67.65
2021-07-26,68.48
2021-07-27,66.36
2021-07-28,67.41
2021-07-29,67.78
2021-07-30,68.48
2021-08-02,70.75
2021-08-03,71.74
2021-08-04,72.76
2021-08-05,72.5
2021-08-06,72.45
2021-08-09,72.17
2021-08-10,71.84
2021-08-11,72.34
2021-08-12,71.7
2021-08-13,72.41
2021-08-16,72.38
2021-08-17,70.35
2021-08-18,71.36
2021-08-19,71.27
2021-08-20,72.42
2021-08-23,72.25
2021-08-24,72.54
2021-08-25,71.97
2021-08-26,70.52
2021-08-27,70.56
2021-08-30,70.28
2021-08-31,69.74
2021-09-01,69.39
2021-09-02,67.77
2021-09-03,68.35
2021-09-07,68.05
2021-09-08,66.88
2021-09-09,67.8
2021-09-10,69.32
2021-09-13,69.8
2021-09-14,72.77
2021-09-15,72.71
2021-09-16,73.32
2021-09-17,72.5
2021-09-20,70.99
2021-09-21,70.42
2021-09-22,70.81
2021-09-23,71.17
2021-09-24,64.79
2021-09-27,63.75
2021-09-28,62.58
2021-09-29,62.05
2021-09-30,60.03
2021-10-01,60.91
2021-10-04,61.11
2021-10-05,60.83
2021-10-06,60.65
2021-10-07,62.69
2021-10-08,59.97
2021-10-11,55.12
2021-10-12,56.49
2021-10-13,57.9
2021-10-14,58.64
2021-10-15,59.71
2021-10-18,61.26
2021-10-19,60.4
2021-10-20,59.88
2021-10-21,63.28
2021-10-22,63.18
2021-10-25,64.3
2021-10-26,62.96
2021-10-27,62.72
2021-10-28,63.39
2021-10-29,65.89
2021-11-01,68.55
2021-11-02,65.93
2021-11-03,68.04
2021-11-04,69.35
2021-11-05,70.57
2021-11-08,69.61
2021-11-09,70.86
2021-11-10,70.44
2021-11-11,70.55
2021-11-12,71.23
2021-11-15,69.61
2021-11-16,71.45
2021-11-17,72.81
2021-11-18,73.05
2021-11-19,72.42
2021-11-22,71.84
2021-11-23,70.98
2021-11-24,71.01
2021-11-26,69.09
2021-11-29,69.2
2021-11-30,67.57
2021-12-01,66.27
2021-12-02,67.34
2021-12-03,65.02
2021-12-06,64.28
2021-12-07,67.5
2021-12-08,67.61
2021-12-09,65.81
2021-12-10,64.97
2021-12-13,63.06
2021-12-14,62.04
2021-12-15,63.1
2021-12-16,59.39
2021-12-17,59.35
2021-12-20,56.51
2021-12-21,58.49
2021-12-22,57.98
2021-12-23,59.42
2021-12-27,59.76
2021-12-28,59.84
2021-12-29,60.98
2021-12-30,61.32
2021-12-31,61.05
2022-01-03,61.32
2022-01-04,59.7
2022-01-05,57.03
2022-01-06,58.14
2022-01-07,56.35
2022-01-10,55.29
2022-01-11,56.56
2022-01-12,56.86
2022-01-13,55.69
2022-01-14,53.97
2022-01-18,53.8
2022-01-19,52.92
2022-01-20,52.02
2022-01-21,51.95
2022-01-24,53.5
2022-01-25,51.19
2022-01-26,49.81
2022-01-27,49.81
2022-01-28,50.84
2022-01-31,53.37
2022-02-01,54.88
2022-02-02,55.07
2022-02-03,53.69
2022-02-04,50.63
2022-02-07,49.36
2022-02-08,50.02
2022-02-09,51.57
2022-02-10,51.03
2022-02-11,50.69
2022-02-14,50.18
2022-02-15,52.33
2022-02-16,54.1
2022-02-17,49.97
2022-02-18,49.38
2022-02-22,47.61
2022-02-23,46.64
2022-02-24,47.45
2022-02-25,47.93
2022-02-28,48.11
2022-03-01,45.24
2022-03-02,46.93
2022-03-03,44.72
2022-03-04,40.93
2022-03-07,39.13
2022-03-08,40.28
2022-03-09,41.92
2022-03-10,43.23
2022-03-11,42.9
2022-03-14,41.8
2022-03-15,43.33
2022-03-16,45.92
2022-03-17,46.08
2022-03-18,48.53
2022-03-21,46.38
2022-03-22,46.71
2022-03-23,44.91
2022-03-24,45.01
2022-03-25,44.78
2022-03-28,45.93
2022-03-29,48.17
2022-03-30,46.9
2022-03-31,45.63
2022-04-01,46.11
2022-04-04,47.8
2022-04-05,46.02
2022-04-06,44.71
2022-04-07,44.66
2022-04-08,43.96
2022-04-11,43.39
2022-04-12,44.23
2022-04-13,45.31
2022-04-14,45.21
2022-04-18,45.16
2022-04-19,48.39
2022-04-20,48.27
2022-04-21,48.19
2022-04-22,45.66
2022-04-25,46.42
2022-04-26,43.7
2022-04-27,44.16
2022-04-28,45.55
2022-04-29,44.29
2022-05-02,45.51
2022-05-03,45.24
2022-05-04,46.51
2022-05-05,43.17
2022-05-06,41.11
2022-05-09,39.5
2022-05-10,39.42
2022-05-11,38.19
2022-05-12,39.45
2022-05-13,41.09
2022-05-16,39.83
2022-05-17,40.7
2022-05-18,37.88
2022-05-19,37.8
2022-05-20,42.55
2022-05-23,41.35
2022-05-24,40.15
2022-05-25,41.27
2022-05-26,43.69
2022-05-27,45.31
2022-05-31,44.76
2022-06-01,43.51
2022-06-02,45.45
2022-06-03,45.1
2022-06-06,45.82
2022-06-07,45.41
2022-06-08,46.03
2022-06-09,45.88
2022-06-10,45.0
2022-06-13,41.81
2022-06-14,41.96
2022-06-15,42.98
2022-06-16,40.27
2022-06-17,41.72
2022-06-21,43.04
2022-06-22,42.51
2022-06-23,43.48
2022-06-24,45.55
2022-06-27,44.73
2022-06-28,43.92
2022-06-29,43.37
2022-06-30,42.56
2022-07-01,40.78
2022-07-05,43.79
2022-07-06,43.35
2022-07-07,45.37
2022-07-08,44.93
2022-07-11,43.61
2022-07-12,43.96
2022-07-13,45.16
2022-07-14,44.23
2022-07-15,45.12
2022-07-18,45.99
2022-07-19,48.26
2022-07-20,49.46
2022-07-21,49.77
2022-07-22,48.99
2022-07-25,48.52
2022-07-26,46.0
2022-07-27,46.9
2022-07-28,47.9
2022-07-29,52.2
2022-08-01,52.34
2022-08-02,51.25
2022-08-03,52.69
2022-08-04,52.23
2022-08-05,52.89
2022-08-08,53.36
2022-08-09,52.05
2022-08-10,54.54
2022-08-11,54.84
2022-08-12,55.56
2022-08-15,56.44
2022-08-16,56.94
2022-08-17,56.12
2022-08-18,56.19
2022-08-19,54.55
2022-08-22,54.73
2022-08-23,54.41
2022-08-24,54.04
2022-08-25,55.49
2022-08-26,54.74
2022-08-29,54.65
2022-08-30,54.09
2022-08-31,53.6
2022-09-01,53.31
2022-09-02,52.89
2022-09-06,54.1
2022-09-07,56.57
2022-09-08,58.15
2022-09-09,58.12
2022-09-12,59.61
2022-09-13,55.61
2022-09-14,55.73
2022-09-15,56.55
2022-09-16,56.2
2022-09-19,57.16
2022-09-20,56.15
2022-09-21,54.95
2022-09-22,53.65
2022-09-23,53.33
2022-09-26,52.35
2022-09-27,53.17
2022-09-28,55.02
2022-09-29,53.85
2022-09-30,52.1
2022-10-03,53.83
2022-10-04,55.67
2022-10-05,56.84
2022-10-06,56.74
2022-10-07,55.82
2022-10-10,55.2
2022-10-11,56.25
2022-10-12,56.4
2022-10-13,57.2
2022-10-14,56.84
2022-10-17,58.89
2022-10-18,60.18
2022-10-19,59.09
2022-10-20,57.97
2022-10-21,60.55
2022-10-24,60.27
2022-10-25,61.53
2022-10-26,60.24
2022-10-27,59.99
2022-10-28,57.56
2022-10-31,58.32
2022-11-01,60.5
2022-11-02,57.77
2022-11-03,59.36
2022-11-04,58.94
2022-11-07,57.02
2022-11-08,55.56
2022-11-09,54.95
2022-11-10,58.46
2022-11-11,57.51
2022-11-14,54.37
2022-11-15,57.88
2022-11-16,57.83
2022-11-17,58.82
2022-11-18,62.57
2022-11-21,60.73
2022-11-22,61.69
2022-11-23,63.13
2022-11-25,63.53
2022-11-28,63.91
2022-11-29,64.79
2022-11-30,66.48
2022-12-01,65.07
2022-12-02,64.89
2022-12-05,62.85
2022-12-06,62.72
2022-12-07,62.98
2022-12-08,63.47
2022-12-09,62.18
2022-12-12,63.2
