date,close
2020-01-27,24.36
2020-01-28,24.63
2020-01-29,24.76
2020-01-30,24.98
2020-01-31,24.67
2020-02-03,24.88
2020-02-04,25.82
2020-02-05,25.69
2020-02-06,26.74
2020-02-07,26.11
2020-02-10,26.36
2020-02-11,26.44
2020-02-12,26.96
2020-02-13,26.59
2020-02-14,26.75
2020-02-18,26.7
2020-02-19,26.98
2020-02-20,26.79
2020-02-21,26.17
2020-02-24,24.44
2020-02-25,23.38
2020-02-26,23.24
2020-02-27,22.04
2020-02-28,20.47
2020-03-02,21.45
2020-03-03,21.14
2020-03-04,21.95
2020-03-05,20.67
2020-03-06,20.04
2020-03-09,18.34
2020-03-10,19.8
2020-03-11,18.69
2020-03-12,16.56
2020-03-13,18.19
2020-03-16,16.3
2020-03-17,15.84
2020-03-18,14.61
2020-03-19,16.17
2020-03-20,16.44
2020-03-23,17.17
2020-03-24,19.65
2020-03-25,19.9
2020-03-26,21.52
2020-03-27,19.6
2020-03-30,20.13
2020-03-31,20.01
2020-04-01,18.67
2020-04-02,18.79
2020-04-03,18.43
2020-04-06,19.68
2020-04-07,19.41
2020-04-08,20.43
2020-04-09,21.03
2020-04-13,20.47
2020-04-14,20.91
2020-04-15,20.46
2020-04-16,20.79
2020-04-17,21.0
2020-04-20,20.72
2020-04-21,18.92
2020-04-22,19.6
2020-04-23,19.68
2020-04-24,20.08
2020-04-27,20.33
2020-04-28,20.66
2020-04-29,21.95
2020-04-30,21.6
2020-05-01,20.24
2020-05-04,20.51
2020-05-05,20.33
2020-05-06,20.48
2020-05-07,21.12
2020-05-08,22.08
2020-05-11,21.94
2020-05-12,21.37
2020-05-13,20.76
2020-05-14,21.18
2020-05-15,21.29
2020-05-18,22.15
2020-05-19,22.28
2020-05-20,22.59
2020-05-21,22.46
2020-05-22,21.79
2020-05-26,22.49
2020-05-27,23.05
2020-05-28,23.06
2020-05-29,25.11
2020-06-01,24.98
2020-06-02,24.86
2020-06-03,24.69
2020-06-04,24.89
2020-06-05,25.56
2020-06-08,26.13
2020-06-09,25.31
2020-06-10,24.99
2020-06-11,23.57
2020-06-12,23.73
2020-06-15,23.81
2020-06-16,24.12
2020-06-17,24.04
2020-06-18,23.99
2020-06-19,24.75
2020-06-22,24.43
2020-06-23,24.79
2020-06-24,26.86
2020-06-25,26.1
2020-06-26,26.43
2020-06-29,27.2
2020-06-30,27.79
2020-07-01,27.46
2020-07-02,27.19
2020-07-06,27.35
2020-07-07,26.79
2020-07-08,27.39
2020-07-09,27.16
2020-07-10,27.03
2020-07-13,26.19
2020-07-14,26.56
2020-07-15,26.65
2020-07-16,29.9
2020-07-17,30.54
2020-07-20,31.09
2020-07-21,30.89
2020-07-22,31.24
2020-07-23,31.12
2020-07-24,30.76
2020-07-27,30.84
2020-07-28,30.04
2020-07-29,30.2
2020-07-30,29.93
2020-07-31,30.27
2020-08-03,30.6
2020-08-04,30.52
2020-08-05,30.66
2020-08-06,30.83
2020-08-07,30.76
2020-08-10,31.28
2020-08-11,31.13
2020-08-12,31.28
2020-08-13,30.13
2020-08-14,30.31
2020-08-17,30.2
2020-08-18,30.36
2020-08-19,30.28
2020-08-20,30.18
2020-08-21,30.59
2020-08-24,31.14
2020-08-25,30.68
2020-08-26,31.43
2020-08-27,31.58
2020-08-28,33.5
2020-08-31,33.43
2020-09-01,33.58
2020-09-02,34.64
2020-09-03,33.16
2020-09-04,32.71
2020-09-08,32.45
2020-09-09,33.81
2020-09-10,33.11
2020-09-11,33.59
2020-09-14,33.82
2020-09-15,33.95
2020-09-16,34.08
2020-09-17,33.67
