date,close
2020-01-27,112.55
2020-01-28,112.7
2020-01-29,112.26
2020-01-30,113.28
2020-01-31,112.82
2020-02-03,113.82
2020-02-04,113.24
2020-02-05,114.39
2020-02-06,114.19
2020-02-07,113.68
2020-02-10,113.55
2020-02-11,114.02
2020-02-12,113.79
2020-02-13,113.62
2020-02-14,114.02
2020-02-18,114.56
2020-02-19,114.07
2020-02-20,113.96
2020-02-21,114.82
2020-02-24,113.04
2020-02-25,109.0
2020-02-26,106.12
2020-02-27,100.4
2020-02-28,95.01
2020-03-02,99.24
2020-03-03,96.16
2020-03-04,101.51
2020-03-05,98.91
2020-03-06,98.79
2020-03-09,87.23
2020-03-10,91.89
2020-03-11,88.58
2020-03-12,77.58
2020-03-13,82.05
2020-03-16,70.64
2020-03-17,75.19
2020-03-18,65.51
2020-03-19,72.67
2020-03-20,70.62
2020-03-23,65.35
2020-03-24,73.61
2020-03-25,78.68
2020-03-26,83.36
2020-03-27,82.98
2020-03-30,84.6
2020-03-31,80.8
2020-04-01,74.94
2020-04-02,75.87
2020-04-03,74.13
2020-04-06,81.71
2020-04-07,82.91
2020-04-08,88.35
2020-04-09,94.65
2020-04-13,92.43
2020-04-14,92.18
2020-04-15,89.16
2020-04-16,86.42
2020-04-17,90.06
2020-04-20,85.73
2020-04-21,84.35
2020-04-22,87.09
2020-04-23,85.94
2020-04-24,87.65
2020-04-27,87.36
2020-04-28,90.46
2020-04-29,91.28
2020-04-30,88.26
2020-05-01,85.66
2020-05-04,85.79
2020-05-05,87.13
2020-05-06,85.51
2020-05-07,83.99
2020-05-08,86.15
2020-05-11,84.0
2020-05-12,84.45
2020-05-13,81.64
2020-05-14,83.38
2020-05-15,82.83
2020-05-18,87.84
2020-05-19,87.51
2020-05-20,87.85
2020-05-21,85.96
2020-05-22,86.88
2020-05-26,89.63
2020-05-27,90.61
2020-05-28,91.68
2020-05-29,91.52
2020-06-01,92.24
2020-06-02,93.94
2020-06-03,96.17
2020-06-04,94.55
2020-06-05,97.73
2020-06-08,99.89
2020-06-09,97.84
2020-06-10,96.09
2020-06-11,89.33
2020-06-12,89.39
2020-06-15,90.2
2020-06-16,91.87
2020-06-17,91.19
2020-06-18,91.66
2020-06-19,88.28
2020-06-22,90.82
2020-06-23,91.26
2020-06-24,89.56
2020-06-25,89.27
2020-06-26,88.59
2020-06-29,90.66
2020-06-30,91.46
2020-07-01,93.59
2020-07-02,93.56
2020-07-06,92.25
2020-07-07,91.11
2020-07-08,91.8
2020-07-09,90.75
2020-07-10,91.47
2020-07-13,92.32
2020-07-14,92.55
2020-07-15,92.91
2020-07-16,93.33
2020-07-17,94.87
2020-07-20,92.92
2020-07-21,94.53
2020-07-22,97.37
2020-07-23,97.8
2020-07-24,97.48
2020-07-27,97.0
2020-07-28,97.53
2020-07-29,98.03
2020-07-30,97.59
2020-07-31,98.38
2020-08-03,96.88
2020-08-04,98.39
2020-08-05,98.27
2020-08-06,99.49
2020-08-07,101.13
2020-08-10,102.29
2020-08-11,99.88
2020-08-12,101.08
2020-08-13,100.53
2020-08-14,100.15
2020-08-17,99.58
2020-08-18,99.14
2020-08-19,99.56
2020-08-20,98.23
2020-08-21,98.55
2020-08-24,100.37
2020-08-25,99.54
2020-08-26,98.47
2020-08-27,99.56
2020-08-28,100.28
2020-08-31,100.96
2020-09-01,100.22
2020-09-02,102.49
2020-09-03,101.35
2020-09-04,101.08
2020-09-08,100.46
2020-09-09,101.85
2020-09-10,100.33
2020-09-11,100.77
2020-09-14,102.42
2020-09-15,100.87
2020-09-16,101.28
2020-09-17,99.42
2020-09-18,95.32
2020-09-21,94.69
2020-09-22,95.3
2020-09-23,95.2
2020-09-24,96.13
2020-09-25,97.6
2020-09-28,97.68
2020-09-29,97.33
2020-09-30,97.88
2020-10-01,96.51
2020-10-02,97.13
2020-10-05,97.43
2020-10-06,98.18
2020-10-07,97.43
2020-10-08,103.69
2020-10-09,102.34
2020-10-12,102.76
2020-10-13,101.3
2020-10-14,101.59
2020-10-15,100.34
2020-10-16,101.5
2020-10-19,100.54
2020-10-20,103.24
2020-10-21,103.34
2020-10-22,104.67
2020-10-23,106.48
2020-10-26,105.7
2020-10-27,108.2
2020-10-28,103.93
