date,close
2020-01-27,96.1
2020-01-28,96.21
2020-01-29,96.75
2020-01-30,97.47
2020-01-31,97.63
2020-02-03,97.67
2020-02-04,96.6
2020-02-05,97.14
2020-02-06,96.93
2020-02-07,96.27
2020-02-10,96.23
2020-02-11,96.99
2020-02-12,97.92
2020-02-13,100.11
2020-02-14,101.28
2020-02-18,102.02
2020-02-19,101.42
2020-02-20,101.43
2020-02-21,102.43
2020-02-24,102.3
2020-02-25,99.27
2020-02-26,98.94
2020-02-27,94.99
2020-02-28,91.7
2020-03-02,96.67
2020-03-03,95.61
2020-03-04,101.65
2020-03-05,100.13
2020-03-06,99.05
2020-03-09,94.58
2020-03-10,95.05
2020-03-11,90.94
2020-03-12,80.48
2020-03-13,85.77
2020-03-16,76.58
2020-03-17,86.0
2020-03-18,79.28
2020-03-19,75.05
2020-03-20,68.4
2020-03-23,64.15
2020-03-24,71.5
2020-03-25,74.71
2020-03-26,81.19
2020-03-27,80.19
2020-03-30,83.46
2020-03-31,80.88
2020-04-01,77.57
2020-04-02,79.39
2020-04-03,76.02
2020-04-06,81.25
2020-04-07,80.11
2020-04-08,85.5
2020-04-09,90.31
2020-04-13,87.36
2020-04-14,90.42
2020-04-15,87.54
2020-04-16,87.59
2020-04-17,90.1
2020-04-20,86.65
2020-04-21,85.44
2020-04-22,87.15
2020-04-23,85.12
2020-04-24,85.69
2020-04-27,86.75
2020-04-28,87.63
2020-04-29,86.63
2020-04-30,84.66
2020-05-01,82.64
2020-05-04,82.63
2020-05-05,83.14
2020-05-06,80.07
2020-05-07,80.31
2020-05-08,81.78
2020-05-11,81.66
2020-05-12,81.88
2020-05-13,81.89
2020-05-14,82.3
2020-05-15,81.19
2020-05-18,84.92
2020-05-19,83.29
2020-05-20,83.31
2020-05-21,82.34
2020-05-22,83.23
2020-05-26,82.81
2020-05-27,83.72
2020-05-28,85.83
2020-05-29,85.63
2020-06-01,87.44
2020-06-02,87.67
2020-06-03,89.23
2020-06-04,88.44
2020-06-05,89.49
2020-06-08,91.91
2020-06-09,90.32
2020-06-10,90.19
2020-06-11,87.08
2020-06-12,86.74
2020-06-15,86.96
2020-06-16,86.95
2020-06-17,86.21
2020-06-18,85.77
2020-06-19,82.11
2020-06-22,82.53
2020-06-23,81.85
2020-06-24,80.47
2020-06-25,79.45
2020-06-26,78.93
2020-06-29,80.25
2020-06-30,79.89
2020-07-01,81.93
2020-07-02,81.84
2020-07-06,79.81
2020-07-07,80.82
2020-07-08,81.44
2020-07-09,79.74
2020-07-10,81.32
2020-07-13,81.42
2020-07-14,81.69
2020-07-15,80.43
2020-07-16,81.07
2020-07-17,82.4
2020-07-20,81.1
2020-07-21,82.33
2020-07-22,84.15
2020-07-23,83.99
2020-07-24,82.79
2020-07-27,81.29
2020-07-28,84.6
2020-07-29,84.97
2020-07-30,84.57
2020-07-31,84.74
2020-08-03,83.81
2020-08-04,84.69
2020-08-05,83.51
2020-08-06,84.21
2020-08-07,86.61
2020-08-10,84.76
2020-08-11,83.67
2020-08-12,84.32
2020-08-13,82.74
2020-08-14,82.15
2020-08-17,82.6
2020-08-18,81.66
2020-08-19,81.66
2020-08-20,81.04
2020-08-21,81.0
2020-08-24,81.47
2020-08-25,80.85
2020-08-26,79.55
2020-08-27,79.55
2020-08-28,79.71
2020-08-31,80.34
2020-09-01,79.21
2020-09-02,81.47
2020-09-03,81.14
2020-09-04,80.97
2020-09-08,80.73
2020-09-09,82.59
2020-09-10,82.0
2020-09-11,83.03
2020-09-14,84.38
2020-09-15,84.45
2020-09-16,84.84
2020-09-17,84.6
2020-09-18,82.95
2020-09-21,82.57
2020-09-22,82.69
2020-09-23,81.28
2020-09-24,81.67
2020-09-25,82.47
2020-09-28,82.87
