date,close
2020-01-27,22.62
2020-01-28,22.72
2020-01-29,22.19
2020-01-30,22.49
2020-01-31,21.72
2020-02-03,21.18
2020-02-04,21.86
2020-02-05,23.41
2020-02-06,23.13
2020-02-07,22.97
2020-02-10,22.54
2020-02-11,22.7
2020-02-12,23.26
2020-02-13,23.3
2020-02-14,22.82
2020-02-18,22.16
2020-02-19,22.72
2020-02-20,22.15
2020-02-21,20.97
2020-02-24,19.18
2020-02-25,17.78
2020-02-26,16.72
2020-02-27,15.67
2020-02-28,16.24
2020-03-02,16.31
2020-03-03,15.79
2020-03-04,16.26
2020-03-05,15.95
2020-03-06,13.37
2020-03-09,8.37
2020-03-10,9.01
2020-03-11,8.41
2020-03-12,7.27
2020-03-13,8.7
2020-03-16,7.57
2020-03-17,6.46
2020-03-18,5.41
2020-03-19,6.55
2020-03-20,6.08
2020-03-23,6.18
2020-03-24,7.41
2020-03-25,7.16
2020-03-26,7.36
2020-03-27,6.29
2020-03-30,6.35
2020-03-31,6.91
2020-04-01,6.79
2020-04-02,7.79
2020-04-03,8.38
2020-04-06,8.8
2020-04-07,8.71
2020-04-08,9.41
2020-04-09,9.67
2020-04-13,9.71
2020-04-14,9.11
2020-04-15,8.67
2020-04-16,8.09
2020-04-17,9.22
2020-04-20,9.16
2020-04-21,9.05
2020-04-22,9.74
2020-04-23,10.57
2020-04-24,10.52
2020-04-27,10.76
2020-04-28,10.97
2020-04-29,12.63
2020-04-30,12.47
2020-05-01,11.15
2020-05-04,11.42
2020-05-05,11.18
2020-05-06,11.49
2020-05-07,12.01
2020-05-08,12.7
2020-05-11,12.46
2020-05-12,12.4
2020-05-13,11.53
2020-05-14,11.66
2020-05-15,11.95
2020-05-18,13.12
2020-05-19,12.31
2020-05-20,12.42
2020-05-21,12.29
2020-05-22,12.14
2020-05-26,12.31
2020-05-27,12.43
2020-05-28,11.66
2020-05-29,10.81
2020-06-01,11.7
2020-06-02,12.16
2020-06-03,12.52
2020-06-04,12.72
2020-06-05,14.6
2020-06-08,15.76
2020-06-09,14.55
2020-06-10,13.67
2020-06-11,12.2
2020-06-12,12.8
2020-06-15,12.89
2020-06-16,13.3
2020-06-17,12.63
2020-06-18,12.95
2020-06-19,12.94
2020-06-22,12.7
2020-06-23,12.38
2020-06-24,11.25
2020-06-25,11.7
2020-06-26,10.94
2020-06-29,11.12
2020-06-30,11.34
2020-07-01,11.1
2020-07-02,11.24
2020-07-06,11.16
2020-07-07,10.35
2020-07-08,10.36
2020-07-09,9.8
2020-07-10,10.19
2020-07-13,9.96
2020-07-14,10.43
2020-07-15,10.74
2020-07-16,10.67
2020-07-17,10.29
2020-07-20,10.27
2020-07-21,11.35
2020-07-22,11.07
2020-07-23,10.88
2020-07-24,10.7
2020-07-27,10.43
2020-07-28,10.34
2020-07-29,10.84
2020-07-30,10.34
2020-07-31,10.49
2020-08-03,10.6
2020-08-04,11.09
2020-08-05,12.04
2020-08-06,11.77
2020-08-07,12.11
2020-08-10,12.64
2020-08-11,12.36
2020-08-12,12.51
2020-08-13,11.84
2020-08-14,12.12
2020-08-17,11.74
2020-08-18,11.34
2020-08-19,11.09
2020-08-20,10.69
2020-08-21,10.44
2020-08-24,10.78
2020-08-25,10.98
2020-08-26,10.7
2020-08-27,10.76
2020-08-28,11.1
2020-08-31,10.87
2020-09-01,10.91
2020-09-02,10.66
2020-09-03,10.47
2020-09-04,10.55
2020-09-08,9.62
2020-09-09,9.58
2020-09-10,8.87
2020-09-11,8.97
2020-09-14,9.12
2020-09-15,9.23
2020-09-16,9.76
2020-09-17,9.95
2020-09-18,9.78
2020-09-21,9.27
2020-09-22,9.2
2020-09-23,8.68
2020-09-24,8.96
2020-09-25,8.82
2020-09-28,9.8
2020-09-29,9.57
2020-09-30,9.46
2020-10-01,9.1
2020-10-02,9.6
2020-10-05,10.15
2020-10-06,9.73
2020-10-07,9.87
2020-10-08,10.32
2020-10-09,10.07
2020-10-12,9.86
2020-10-13,9.5
2020-10-14,9.32
2020-10-15,9.42
2020-10-16,8.95
2020-10-19,8.86
2020-10-20,8.97
2020-10-21,8.63
2020-10-22,9.34
2020-10-23,9.36
2020-10-26,8.81
2020-10-27,8.69
2020-10-28,8.1
2020-10-29,8.45
2020-10-30,8.93
2020-11-02,9.43
2020-11-03,9.64
2020-11-04,9.81
2020-11-05,10.05
2020-11-06,9.77
2020-11-09,11.33
2020-11-10,11.76
2020-11-11,11.66
2020-11-12,11.22
2020-11-13,11.78
2020-11-16,12.53
2020-11-17,13.11
2020-11-18,12.76
2020-11-19,13.56
2020-11-20,13.16
2020-11-23,14.48
2020-11-24,15.3
2020-11-25,15.12
2020-11-27,14.78
2020-11-30,13.99
2020-12-01,14.0
2020-12-02,14.8
2020-12-03,15.31
2020-12-04,16.72
2020-12-07,15.95
2020-12-08,15.97
2020-12-09,15.71
2020-12-10,16.57
2020-12-11,16.16
2020-12-14,15.37
2020-12-15,15.79
2020-12-16,15.91
2020-12-17,16.1
2020-12-18,15.63
2020-12-21,15.3
2020-12-22,14.83
2020-12-23,15.66
2020-12-24,15.33
