date,close
2020-01-27,110.56
2020-01-28,111.9
2020-01-29,112.21
2020-01-30,111.64
2020-01-31,107.92
2020-02-03,105.04
2020-02-04,107.07
2020-02-05,107.82
2020-02-06,110.0
2020-02-07,109.09
2020-02-10,108.7
2020-02-11,109.04
2020-02-12,109.72
2020-02-13,108.84
2020-02-14,109.69
2020-02-18,109.46
2020-02-19,109.78
2020-02-20,109.2
2020-02-21,108.01
2020-02-24,107.03
2020-02-25,105.38
2020-02-26,106.54
2020-02-27,102.74
2020-02-28,101.37
2020-03-02,106.89
2020-03-03,106.7
2020-03-04,111.83
2020-03-05,110.21
2020-03-06,107.67
2020-03-09,100.93
2020-03-10,103.38
2020-03-11,101.18
2020-03-12,93.35
2020-03-13,97.06
2020-03-16,88.67
2020-03-17,95.41
2020-03-18,90.21
2020-03-19,90.06
2020-03-20,86.94
2020-03-23,95.47
2020-03-24,94.3
2020-03-25,89.64
2020-03-26,99.2
2020-03-27,95.37
2020-03-30,97.69
2020-03-31,100.17
2020-04-01,97.53
2020-04-02,102.29
2020-04-03,102.83
2020-04-06,106.51
2020-04-07,106.32
2020-04-08,106.8
2020-04-09,105.8
2020-04-13,109.3
2020-04-14,112.03
2020-04-15,113.51
2020-04-16,118.1
2020-04-17,115.15
2020-04-20,115.41
2020-04-21,113.27
2020-04-22,114.57
2020-04-23,114.46
2020-04-24,116.31
2020-04-27,116.02
2020-04-28,111.35
2020-04-29,112.78
2020-04-30,114.26
2020-05-01,113.27
2020-05-04,116.83
2020-05-05,119.61
2020-05-06,115.32
2020-05-07,116.8
2020-05-08,116.62
2020-05-11,117.37
2020-05-12,116.37
2020-05-13,116.9
2020-05-14,117.12
2020-05-15,118.13
2020-05-18,117.12
2020-05-19,118.54
2020-05-20,119.55
2020-05-21,117.36
2020-05-22,119.82
2020-05-26,116.64
2020-05-27,117.38
2020-05-28,121.35
2020-05-29,122.88
2020-06-01,122.78
2020-06-02,122.36
2020-06-03,117.93
2020-06-04,117.18
2020-06-05,118.32
2020-06-08,119.51
2020-06-09,121.07
2020-06-10,124.81
2020-06-11,122.42
2020-06-12,121.97
2020-06-15,126.52
2020-06-16,125.73
2020-06-17,128.11
2020-06-18,129.35
2020-06-19,130.19
2020-06-22,129.72
2020-06-23,130.6
2020-06-24,130.87
2020-06-25,130.74
2020-06-26,130.93
2020-06-29,130.69
2020-06-30,132.05
2020-07-01,135.22
2020-07-02,133.84
2020-07-06,134.27
2020-07-07,134.78
2020-07-08,135.61
2020-07-09,138.8
2020-07-10,140.81
2020-07-13,135.31
2020-07-14,138.53
2020-07-15,138.43
2020-07-16,138.05
2020-07-17,138.31
2020-07-20,141.53
2020-07-21,139.34
2020-07-22,138.3
2020-07-23,135.36
2020-07-24,135.24
2020-07-27,136.16
2020-07-28,134.78
2020-07-29,135.93
2020-07-30,138.59
2020-07-31,141.62
2020-08-03,142.36
2020-08-04,146.32
2020-08-05,146.18
2020-08-06,146.95
2020-08-07,143.99
2020-08-10,140.7
2020-08-11,135.7
2020-08-12,139.9
2020-08-13,141.77
2020-08-14,140.43
2020-08-17,140.45
2020-08-18,142.58
2020-08-19,141.86
2020-08-20,143.48
2020-08-21,141.21
2020-08-24,142.33
2020-08-25,142.21
2020-08-26,143.63
2020-08-27,141.77
2020-08-28,140.87
2020-08-31,139.47
2020-09-01,138.29
2020-09-02,139.56
2020-09-03,132.82
2020-09-04,130.13
2020-09-08,124.3
2020-09-09,128.7
2020-09-10,127.26
2020-09-11,126.02
2020-09-14,126.18
2020-09-15,128.33
2020-09-16,126.74
2020-09-17,125.26
2020-09-18,125.9
2020-09-21,128.29
2020-09-22,131.02
2020-09-23,128.42
2020-09-24,129.32
2020-09-25,131.19
2020-09-28,132.28
2020-09-29,130.02
2020-09-30,130.41
2020-10-01,132.78
2020-10-02,129.07
2020-10-05,130.72
2020-10-06,124.84
2020-10-07,125.01
2020-10-08,125.99
2020-10-09,127.45
2020-10-12,130.88
2020-10-13,132.94
2020-10-14,132.75
2020-10-15,131.34
2020-10-16,131.92
2020-10-19,129.87
2020-10-20,127.36
2020-10-21,127.65
2020-10-22,126.92
2020-10-23,126.77
2020-10-26,126.68
2020-10-27,126.62
2020-10-28,125.6
2020-10-29,123.9
2020-10-30,119.83
2020-11-02,119.81
2020-11-03,120.74
2020-11-04,125.31
2020-11-05,128.33
2020-11-06,119.19
2020-11-09,116.97
2020-11-10,118.93
2020-11-11,119.78
2020-11-12,119.32
2020-11-13,120.8
2020-11-16,118.6
2020-11-17,118.52
2020-11-18,116.84
2020-11-19,120.14
2020-11-20,121.87
2020-11-23,121.86
2020-11-24,120.25
2020-11-25,121.51
2020-11-27,124.17
2020-11-30,127.75
2020-12-01,127.24
2020-12-02,129.54
2020-12-03,128.38
2020-12-04,128.69
2020-12-07,130.84
2020-12-08,132.15
2020-12-09,133.17
2020-12-10,134.68
2020-12-11,135.8
2020-12-14,137.54
2020-12-15,140.66
2020-12-16,141.6
2020-12-17,139.85
2020-12-18,142.61
2020-12-21,141.01
2020-12-22,139.43
2020-12-23,141.51
2020-12-24,141.81
2020-12-28,140.72
2020-12-29,140.7
2020-12-30,142.05
2020-12-31,143.6
2021-01-04,139.51
2021-01-05,141.32
2021-01-06,136.8
2021-01-07,140.74
2021-01-08,141.86
2021-01-11,141.22
2021-01-12,139.06
2021-01-13,136.34
2021-01-14,138.94
2021-01-15,139.0
2021-01-19,141.43
2021-01-20,145.6
2021-01-21,145.97
