date,close
2020-01-27,93.41
2020-01-28,94.18
2020-01-29,94.44
2020-01-30,94.74
2020-01-31,94.0
2020-02-03,93.85
2020-02-04,92.54
2020-02-05,93.4
2020-02-06,93.47
2020-02-07,92.78
2020-02-10,93.08
2020-02-11,93.18
2020-02-12,92.87
2020-02-13,93.64
2020-02-14,94.3
2020-02-18,94.35
2020-02-19,93.88
2020-02-20,94.58
2020-02-21,90.18
2020-02-24,88.89
2020-02-25,88.25
2020-02-26,87.69
2020-02-27,83.19
2020-02-28,78.82
2020-03-02,84.53
2020-03-03,83.84
2020-03-04,88.01
2020-03-05,87.58
2020-03-06,87.9
2020-03-09,88.66
2020-03-10,89.4
2020-03-11,86.5
2020-03-12,83.79
2020-03-13,88.07
2020-03-16,79.55
2020-03-17,93.88
2020-03-18,92.2
2020-03-19,80.09
2020-03-20,72.59
2020-03-23,65.35
2020-03-24,70.51
2020-03-25,70.93
2020-03-26,75.92
2020-03-27,77.9
2020-03-30,80.73
2020-03-31,78.0
2020-04-01,77.61
2020-04-02,78.93
2020-04-03,77.9
2020-04-06,81.05
2020-04-07,79.92
2020-04-08,83.83
2020-04-09,87.94
2020-04-13,84.84
2020-04-14,89.3
2020-04-15,86.97
2020-04-16,88.41
2020-04-17,89.56
2020-04-20,85.47
2020-04-21,83.49
2020-04-22,84.12
2020-04-23,81.78
2020-04-24,82.64
2020-04-27,82.67
2020-04-28,83.1
2020-04-29,81.28
2020-04-30,78.8
2020-05-01,77.25
2020-05-04,77.06
2020-05-05,77.54
2020-05-06,74.38
2020-05-07,74.07
2020-05-08,74.18
2020-05-11,72.64
2020-05-12,71.59
2020-05-13,71.46
2020-05-14,71.64
2020-05-15,70.36
2020-05-18,73.11
2020-05-19,70.88
2020-05-20,70.74
2020-05-21,69.92
2020-05-22,70.18
2020-05-26,71.19
2020-05-27,71.25
2020-05-28,73.15
2020-05-29,75.06
2020-06-01,75.07
2020-06-02,74.82
2020-06-03,75.67
2020-06-04,74.83
2020-06-05,75.33
2020-06-08,77.71
2020-06-09,76.7
2020-06-10,76.95
2020-06-11,74.67
2020-06-12,75.38
2020-06-15,75.6
2020-06-16,76.37
2020-06-17,75.29
2020-06-18,74.87
2020-06-19,71.44
2020-06-22,71.42
2020-06-23,70.94
2020-06-24,71.53
2020-06-25,70.62
2020-06-26,71.28
2020-06-29,72.7
2020-06-30,71.93
2020-07-01,73.1
2020-07-02,73.81
2020-07-06,73.1
2020-07-07,72.5
2020-07-08,72.43
2020-07-09,71.71
2020-07-10,72.48
2020-07-13,72.16
2020-07-14,72.17
2020-07-15,71.51
2020-07-16,71.84
2020-07-17,74.07
2020-07-20,73.26
2020-07-21,74.28
2020-07-22,75.76
2020-07-23,76.25
2020-07-24,75.58
2020-07-27,74.76
2020-07-28,76.36
2020-07-29,76.7
2020-07-30,76.94
2020-07-31,76.83
2020-08-03,75.91
2020-08-04,75.9
2020-08-05,73.66
2020-08-06,73.92
2020-08-07,75.11
2020-08-10,75.38
2020-08-11,73.26
2020-08-12,74.26
2020-08-13,73.77
2020-08-14,73.53
2020-08-17,74.41
2020-08-18,73.35
2020-08-19,73.44
2020-08-20,72.4
2020-08-21,72.2
2020-08-24,74.32
2020-08-25,73.01
2020-08-26,70.78
2020-08-27,71.07
2020-08-28,70.92
2020-08-31,71.34
2020-09-01,69.65
2020-09-02,72.23
2020-09-03,72.4
2020-09-04,73.04
2020-09-08,72.8
2020-09-09,72.91
2020-09-10,72.77
2020-09-11,72.74
2020-09-14,74.22
2020-09-15,74.47
2020-09-16,75.68
2020-09-17,75.93
2020-09-18,73.88
2020-09-21,72.84
2020-09-22,73.7
2020-09-23,73.32
2020-09-24,73.93
2020-09-25,75.77
2020-09-28,76.32
2020-09-29,76.98
2020-09-30,77.8
2020-10-01,79.04
2020-10-02,79.77
2020-10-05,79.93
2020-10-06,80.76
2020-10-07,80.83
2020-10-08,82.27
2020-10-09,82.55
2020-10-12,82.89
2020-10-13,82.32
2020-10-14,82.24
2020-10-15,81.74
2020-10-16,81.7
2020-10-19,80.79
2020-10-20,80.6
2020-10-21,80.33
2020-10-22,81.44
2020-10-23,81.6
2020-10-26,82.74
2020-10-27,83.05
2020-10-28,80.16
2020-10-29,79.77
2020-10-30,78.49
2020-11-02,79.78
2020-11-03,81.32
2020-11-04,79.56
2020-11-05,79.73
2020-11-06,77.8
2020-11-09,79.28
2020-11-10,82.08
2020-11-11,81.72
2020-11-12,80.51
2020-11-13,81.63
2020-11-16,82.71
2020-11-17,79.25
2020-11-18,77.69
2020-11-19,77.1
2020-11-20,77.39
2020-11-23,77.57
2020-11-24,78.38
2020-11-25,78.66
2020-11-27,77.77
2020-11-30,76.25
