date,close
2020-01-27,76.64
2020-01-28,77.05
2020-01-29,75.14
2020-01-30,75.82
2020-01-31,72.91
2020-02-03,71.37
2020-02-04,73.62
2020-02-05,77.05
2020-02-06,75.87
2020-02-07,74.35
2020-02-10,73.7
2020-02-11,74.79
2020-02-12,75.38
2020-02-13,75.68
2020-02-14,74.92
2020-02-18,74.53
2020-02-19,77.28
2020-02-20,75.99
2020-02-21,74.21
2020-02-24,69.91
2020-02-25,66.99
2020-02-26,63.2
2020-02-27,60.0
2020-02-28,63.26
2020-03-02,62.86
2020-03-03,62.43
2020-03-04,64.08
2020-03-05,61.87
2020-03-06,55.3
2020-03-09,37.6
2020-03-10,41.6
2020-03-11,38.86
2020-03-12,32.5
2020-03-13,34.8
2020-03-16,31.1
2020-03-17,30.89
2020-03-18,29.76
2020-03-19,33.22
2020-03-20,34.89
2020-03-23,34.54
2020-03-24,39.8
2020-03-25,39.69
2020-03-26,39.53
2020-03-27,36.0
2020-03-30,34.98
2020-03-31,35.92
2020-04-01,34.6
2020-04-02,38.3
2020-04-03,39.89
2020-04-06,39.43
2020-04-07,41.33
2020-04-08,45.29
2020-04-09,44.82
2020-04-13,43.29
2020-04-14,42.23
2020-04-15,39.89
2020-04-16,36.52
2020-04-17,41.84
2020-04-20,41.17
2020-04-21,40.5
2020-04-22,43.15
2020-04-23,44.22
2020-04-24,43.36
2020-04-27,44.54
2020-04-28,44.98
2020-04-29,47.72
2020-04-30,47.51
2020-05-01,44.57
2020-05-04,46.74
2020-05-05,46.05
2020-05-06,45.84
2020-05-07,48.31
2020-05-08,51.45
2020-05-11,49.84
2020-05-12,49.72
2020-05-13,48.2
2020-05-14,47.56
2020-05-15,47.68
2020-05-18,52.44
2020-05-19,50.66
2020-05-20,52.65
2020-05-21,52.32
2020-05-22,52.28
2020-05-26,51.44
2020-05-27,52.73
2020-05-28,51.64
2020-05-29,50.97
2020-06-01,51.81
2020-06-02,54.81
2020-06-03,55.37
2020-06-04,55.15
2020-06-05,59.31
2020-06-08,62.11
2020-06-09,59.47
2020-06-10,55.63
