date,close
2020-01-27,82.34
2020-01-28,82.72
2020-01-29,82.27
2020-01-30,83.97
2020-01-31,83.08
2020-02-03,82.84
2020-02-04,83.64
2020-02-05,83.31
2020-02-06,83.87
2020-02-07,84.2
2020-02-10,84.94
2020-02-11,84.79
2020-02-12,84.79
2020-02-13,85.22
2020-02-14,86.46
2020-02-18,86.27
2020-02-19,85.34
2020-02-20,86.4
2020-02-21,87.01
2020-02-24,85.79
2020-02-25,83.51
2020-02-26,83.36
2020-02-27,78.46
2020-02-28,75.1
2020-03-02,79.07
2020-03-03,78.56
2020-03-04,81.03
2020-03-05,79.37
2020-03-06,77.64
2020-03-09,74.47
2020-03-10,79.93
2020-03-11,75.1
2020-03-12,70.01
2020-03-13,73.61
2020-03-16,61.16
2020-03-17,66.46
2020-03-18,60.87
2020-03-19,60.61
2020-03-20,55.29
2020-03-23,51.39
2020-03-24,52.15
2020-03-25,54.57
2020-03-26,59.23
2020-03-27,62.68
2020-03-30,62.58
2020-03-31,61.71
2020-04-01,57.7
2020-04-02,54.57
2020-04-03,54.26
2020-04-06,60.11
2020-04-07,60.68
2020-04-08,65.25
2020-04-09,69.42
2020-04-13,66.5
2020-04-14,68.92
2020-04-15,65.99
2020-04-16,65.23
2020-04-17,69.79
2020-04-20,65.61
2020-04-21,63.81
2020-04-22,65.66
2020-04-23,63.81
2020-04-24,63.99
2020-04-27,65.3
2020-04-28,64.87
2020-04-29,65.82
2020-04-30,65.06
2020-05-01,62.31
2020-05-04,62.5
2020-05-05,62.41
2020-05-06,61.02
2020-05-07,63.05
2020-05-08,64.22
2020-05-11,63.51
2020-05-12,60.11
2020-05-13,58.62
2020-05-14,57.52
2020-05-15,57.13
2020-05-18,60.46
2020-05-19,57.72
2020-05-20,58.93
2020-05-21,57.93
2020-05-22,57.4
2020-05-26,60.27
2020-05-27,60.13
2020-05-28,60.87
2020-05-29,60.56
2020-06-01,61.1
2020-06-02,60.46
2020-06-03,61.63
2020-06-04,61.66
2020-06-05,66.4
2020-06-08,68.17
2020-06-09,65.39
2020-06-10,64.62
2020-06-11,61.66
2020-06-12,63.57
2020-06-15,63.34
2020-06-16,64.69
2020-06-17,62.52
2020-06-18,61.94
2020-06-19,59.58
2020-06-22,59.29
2020-06-23,58.77
2020-06-24,57.48
2020-06-25,58.4
2020-06-26,57.0
2020-06-29,57.67
2020-06-30,58.82
2020-07-01,60.83
2020-07-02,60.59
2020-07-06,59.59
2020-07-07,57.59
2020-07-08,57.48
2020-07-09,56.71
2020-07-10,56.7
2020-07-13,57.02
2020-07-14,57.02
2020-07-15,57.72
2020-07-16,57.22
2020-07-17,56.98
2020-07-20,55.17
2020-07-21,54.57
2020-07-22,55.7
2020-07-23,54.83
2020-07-24,54.34
2020-07-27,53.33
2020-07-28,54.66
2020-07-29,53.59
2020-07-30,53.95
2020-07-31,53.63
2020-08-03,52.33
2020-08-04,53.46
2020-08-05,53.32
2020-08-06,53.64
2020-08-07,55.19
2020-08-10,55.36
2020-08-11,54.75
2020-08-12,54.82
2020-08-13,53.51
2020-08-14,54.39
2020-08-17,55.39
2020-08-18,55.37
2020-08-19,54.15
2020-08-20,55.25
2020-08-21,54.69
2020-08-24,55.91
2020-08-25,56.56
2020-08-26,54.92
2020-08-27,56.63
2020-08-28,57.03
2020-08-31,56.45
2020-09-01,56.78
2020-09-02,57.69
2020-09-03,57.4
2020-09-04,58.11
2020-09-08,57.39
2020-09-09,56.84
2020-09-10,55.81
2020-09-11,54.67
2020-09-14,56.93
2020-09-15,56.33
2020-09-16,56.87
2020-09-17,55.78
2020-09-18,54.33
2020-09-21,52.03
2020-09-22,52.66
2020-09-23,51.25
2020-09-24,50.51
2020-09-25,51.57
2020-09-28,52.54
2020-09-29,51.09
2020-09-30,51.33
2020-10-01,53.44
2020-10-02,55.09
2020-10-05,55.6
2020-10-06,55.19
2020-10-07,54.76
2020-10-08,56.19
2020-10-09,55.66
2020-10-12,55.35
2020-10-13,53.5
2020-10-14,52.81
2020-10-15,52.31
2020-10-16,51.85
2020-10-19,50.71
2020-10-20,50.91
2020-10-21,50.51
2020-10-22,50.75
2020-10-23,51.31
2020-10-26,50.7
2020-10-27,49.69
2020-10-28,46.24
2020-10-29,46.26
2020-10-30,46.98
2020-11-02,49.31
2020-11-03,52.53
2020-11-04,50.76
2020-11-05,52.06
2020-11-06,51.52
2020-11-09,59.28
2020-11-10,61.44
2020-11-11,59.59
2020-11-12,58.52
2020-11-13,60.15
2020-11-16,62.75
2020-11-17,62.5
2020-11-18,59.96
2020-11-19,59.86
2020-11-20,60.56
2020-11-23,60.33
2020-11-24,61.28
2020-11-25,60.45
2020-11-27,59.2
2020-11-30,57.92
2020-12-01,58.99
2020-12-02,60.36
2020-12-03,61.95
2020-12-04,63.37
2020-12-07,62.71
2020-12-08,62.39
2020-12-09,61.27
2020-12-10,59.79
2020-12-11,58.94
2020-12-14,57.9
2020-12-15,59.32
2020-12-16,59.05
2020-12-17,59.64
2020-12-18,57.65
2020-12-21,57.86
2020-12-22,57.85
2020-12-23,57.07
2020-12-24,58.2
2020-12-28,59.42
2020-12-29,58.36
2020-12-30,58.96
2020-12-31,59.28
2021-01-04,57.5
2021-01-05,57.05
2021-01-06,58.61
2021-01-07,57.9
2021-01-08,58.26
2021-01-11,58.05
2021-01-12,58.55
2021-01-13,59.57
2021-01-14,60.39
2021-01-15,61.59
2021-01-19,60.31
2021-01-20,61.67
2021-01-21,61.81
2021-01-22,61.56
2021-01-25,61.67
2021-01-26,62.63
2021-01-27,60.8
2021-01-28,62.36
2021-01-29,61.64
2021-02-01,62.17
2021-02-02,61.88
2021-02-03,63.08
2021-02-04,64.12
2021-02-05,64.96
2021-02-08,66.08
2021-02-09,65.94
2021-02-10,66.81
2021-02-11,67.76
2021-02-12,67.48
2021-02-16,67.18
2021-02-17,66.86
2021-02-18,66.49
2021-02-19,66.97
2021-02-22,66.88
2021-02-23,68.52
2021-02-24,69.35
2021-02-25,66.73
2021-02-26,65.41
2021-03-01,66.75
2021-03-02,67.0
2021-03-03,68.57
2021-03-04,67.72
2021-03-05,68.86
2021-03-08,70.93
2021-03-09,70.83
2021-03-10,71.42
2021-03-11,71.61
2021-03-12,73.44
2021-03-15,75.06
2021-03-16,73.78
2021-03-17,73.88
2021-03-18,73.5
2021-03-19,71.43
2021-03-22,72.03
2021-03-23,71.81
2021-03-24,71.53
2021-03-25,72.11
2021-03-26,72.68
2021-03-29,72.28
2021-03-30,72.83
2021-03-31,71.63
2021-04-01,72.51
2021-04-05,72.15
2021-04-06,71.6
