date,close
2020-01-27,64.78
2020-01-28,65.0
2020-01-29,65.28
2020-01-30,65.86
2020-01-31,65.76
2020-02-03,66.1
2020-02-04,65.28
2020-02-05,65.28
2020-02-06,65.71
2020-02-07,65.97
2020-02-10,66.45
2020-02-11,66.45
2020-02-12,65.78
2020-02-13,66.62
2020-02-14,67.07
2020-02-18,67.39
2020-02-19,66.55
2020-02-20,65.73
2020-02-21,64.98
2020-02-24,64.87
2020-02-25,63.15
2020-02-26,62.83
2020-02-27,60.4
2020-02-28,58.46
2020-03-02,62.06
2020-03-03,60.95
2020-03-04,64.18
2020-03-05,63.73
2020-03-06,62.14
2020-03-09,57.7
2020-03-10,59.65
2020-03-11,55.81
2020-03-12,50.82
2020-03-13,51.47
2020-03-16,43.37
2020-03-17,49.81
2020-03-18,43.21
2020-03-19,42.02
2020-03-20,39.99
2020-03-23,39.09
2020-03-24,43.17
2020-03-25,44.48
2020-03-26,48.35
2020-03-27,48.67
2020-03-30,50.04
2020-03-31,46.99
2020-04-01,42.79
2020-04-02,44.1
2020-04-03,41.69
2020-04-06,46.5
2020-04-07,46.83
2020-04-08,50.26
2020-04-09,51.46
2020-04-13,48.95
2020-04-14,50.33
2020-04-15,48.66
2020-04-16,48.58
2020-04-17,50.63
2020-04-20,48.23
2020-04-21,47.33
2020-04-22,49.74
2020-04-23,48.49
2020-04-24,48.77
2020-04-27,50.66
2020-04-28,49.84
2020-04-29,49.19
2020-04-30,47.76
2020-05-01,46.79
2020-05-04,47.71
2020-05-05,48.38
2020-05-06,46.34
2020-05-07,46.38
2020-05-08,47.51
2020-05-11,48.11
2020-05-12,48.0
2020-05-13,47.06
2020-05-14,47.47
2020-05-15,47.49
2020-05-18,49.71
2020-05-19,48.28
2020-05-20,48.8
2020-05-21,48.82
2020-05-22,48.98
2020-05-26,49.87
2020-05-27,49.74
2020-05-28,51.54
2020-05-29,50.91
2020-06-01,51.34
2020-06-02,51.77
2020-06-03,52.02
2020-06-04,50.62
2020-06-05,51.87
2020-06-08,52.95
2020-06-09,51.67
2020-06-10,51.1
2020-06-11,48.38
2020-06-12,48.21
2020-06-15,48.6
2020-06-16,48.96
2020-06-17,48.54
2020-06-18,48.75
2020-06-19,47.26
2020-06-22,48.49
2020-06-23,47.5
2020-06-24,46.76
2020-06-25,46.18
2020-06-26,45.83
2020-06-29,46.88
2020-06-30,46.91
2020-07-01,48.36
2020-07-02,48.43
2020-07-06,48.2
2020-07-07,47.93
2020-07-08,48.45
2020-07-09,48.23
2020-07-10,49.08
2020-07-13,48.17
2020-07-14,48.82
2020-07-15,48.12
2020-07-16,49.17
2020-07-17,50.22
2020-07-20,49.2
2020-07-21,49.77
2020-07-22,51.57
2020-07-23,52.01
2020-07-24,51.33
2020-07-27,50.87
2020-07-28,51.34
2020-07-29,52.07
2020-07-30,52.32
2020-07-31,52.57
2020-08-03,51.31
2020-08-04,51.58
2020-08-05,50.18
2020-08-06,51.15
2020-08-07,52.34
2020-08-10,52.85
2020-08-11,51.06
2020-08-12,50.83
2020-08-13,50.87
2020-08-14,50.47
2020-08-17,50.3
2020-08-18,50.05
2020-08-19,49.49
2020-08-20,48.85
2020-08-21,49.07
2020-08-24,49.32
2020-08-25,48.91
2020-08-26,48.13
2020-08-27,48.63
2020-08-28,49.48
2020-08-31,49.57
2020-09-01,48.85
2020-09-02,50.24
2020-09-03,49.0
2020-09-04,48.95
2020-09-08,48.98
2020-09-09,49.19
2020-09-10,47.93
2020-09-11,47.73
2020-09-14,48.36
2020-09-15,48.27
2020-09-16,48.42
2020-09-17,48.82
2020-09-18,47.72
2020-09-21,47.42
2020-09-22,48.64
2020-09-23,47.59
2020-09-24,47.89
2020-09-25,48.49
2020-09-28,48.34
2020-09-29,47.89
2020-09-30,49.27
2020-10-01,50.64
2020-10-02,51.83
2020-10-05,52.41
2020-10-06,53.02
2020-10-07,52.35
2020-10-08,53.6
2020-10-09,52.93
2020-10-12,53.1
2020-10-13,53.24
2020-10-14,52.88
2020-10-15,52.66
2020-10-16,53.34
2020-10-19,52.67
2020-10-20,53.11
2020-10-21,53.43
2020-10-22,54.02
2020-10-23,54.48
2020-10-26,54.51
2020-10-27,53.78
2020-10-28,51.41
2020-10-29,50.74
2020-10-30,50.61
2020-11-02,52.67
2020-11-03,54.1
2020-11-04,52.88
2020-11-05,53.41
2020-11-06,52.46
2020-11-09,54.58
2020-11-10,54.62
2020-11-11,54.92
2020-11-12,53.88
2020-11-13,54.59
2020-11-16,56.38
2020-11-17,55.98
2020-11-18,55.1
2020-11-19,54.49
2020-11-20,54.49
2020-11-23,54.86
2020-11-24,55.3
2020-11-25,56.13
2020-11-27,55.76
2020-11-30,54.43
2020-12-01,54.43
2020-12-02,54.31
2020-12-03,53.32
2020-12-04,53.37
2020-12-07,53.31
2020-12-08,52.65
2020-12-09,52.23
2020-12-10,51.63
2020-12-11,51.39
2020-12-14,50.71
2020-12-15,51.29
2020-12-16,50.25
2020-12-17,50.28
2020-12-18,50.01
2020-12-21,48.51
2020-12-22,48.01
2020-12-23,47.74
2020-12-24,47.68
2020-12-28,47.83
2020-12-29,48.37
2020-12-30,49.32
2020-12-31,49.92
2021-01-04,49.01
2021-01-05,48.35
2021-01-06,49.12
2021-01-07,47.42
2021-01-08,47.74
2021-01-11,47.2
2021-01-12,46.35
2021-01-13,46.83
2021-01-14,47.0
2021-01-15,47.63
2021-01-19,47.56
2021-01-20,47.36
2021-01-21,46.84
2021-01-22,46.99
2021-01-25,47.38
2021-01-26,47.35
2021-01-27,46.81
2021-01-28,47.94
2021-01-29,47.67
2021-02-01,47.58
2021-02-02,47.92
2021-02-03,47.45
2021-02-04,48.24
2021-02-05,48.32
2021-02-08,47.24
2021-02-09,47.5
2021-02-10,48.01
2021-02-11,47.32
2021-02-12,47.45
2021-02-16,46.88
2021-02-17,46.6
2021-02-18,46.97
2021-02-19,46.59
2021-02-22,44.54
2021-02-23,45.58
2021-02-24,44.99
2021-02-25,44.02
2021-02-26,43.41
2021-03-01,43.88
2021-03-02,44.38
2021-03-03,43.72
2021-03-04,43.8
2021-03-05,44.57
2021-03-08,45.08
2021-03-09,45.38
2021-03-10,47.22
2021-03-11,46.68
2021-03-12,47.88
2021-03-15,49.07
2021-03-16,49.46
2021-03-17,49.47
2021-03-18,49.02
2021-03-19,49.22
2021-03-22,48.84
2021-03-23,49.06
2021-03-24,48.72
2021-03-25,49.16
2021-03-26,49.22
2021-03-29,49.58
2021-03-30,49.33
2021-03-31,49.74
2021-04-01,49.82
2021-04-05,50.27
2021-04-06,50.95
2021-04-07,50.86
2021-04-08,50.64
2021-04-09,50.57
2021-04-12,50.99
2021-04-13,51.71
2021-04-14,52.09
2021-04-15,52.8
2021-04-16,53.32
2021-04-19,53.29
2021-04-20,53.99
2021-04-21,53.84
2021-04-22,53.3
2021-04-23,53.35
2021-04-26,53.5
2021-04-27,53.27
2021-04-28,53.29
2021-04-29,54.3
2021-04-30,54.65
2021-05-03,54.62
2021-05-04,54.56
2021-05-05,53.47
2021-05-06,53.82
2021-05-07,54.16
2021-05-10,54.56
2021-05-11,53.52
2021-05-12,51.94
2021-05-13,53.03
2021-05-14,53.59
2021-05-17,52.76
2021-05-18,52.77
2021-05-19,52.51
2021-05-20,52.87
2021-05-21,53.32
2021-05-24,53.4
2021-05-25,52.96
2021-05-26,52.67
2021-05-27,52.4
2021-05-28,52.63
2021-06-01,52.32
2021-06-02,52.34
2021-06-03,52.91
2021-06-04,52.96
2021-06-07,53.3
2021-06-08,53.07
2021-06-09,53.81
2021-06-10,54.33
2021-06-11,54.47
2021-06-14,54.45
2021-06-15,54.62
2021-06-16,53.7
2021-06-17,53.83
2021-06-18,51.7
2021-06-21,52.24
2021-06-22,51.61
2021-06-23,50.69
2021-06-24,50.48
2021-06-25,50.79
2021-06-28,51.17
2021-06-29,50.23
2021-06-30,49.85
2021-07-01,50.78
2021-07-02,50.91
2021-07-06,51.16
2021-07-07,51.4
2021-07-08,51.13
2021-07-09,51.46
2021-07-12,51.52
2021-07-13,50.83
2021-07-14,51.27
2021-07-15,51.81
2021-07-16,52.36
2021-07-19,50.81
2021-07-20,51.18
2021-07-21,50.58
2021-07-22,50.45
2021-07-23,51.37
2021-07-26,51.89
2021-07-27,52.67
2021-07-28,52.16
2021-07-29,52.19
2021-07-30,51.46
2021-08-02,51.79
2021-08-03,51.99
2021-08-04,51.85
2021-08-05,53.23
2021-08-06,53.05
2021-08-09,53.42
2021-08-10,54.34
2021-08-11,54.51
2021-08-12,54.35
2021-08-13,54.94
2021-08-16,55.14
2021-08-17,55.05
2021-08-18,55.07
2021-08-19,55.9
2021-08-20,57.3
2021-08-23,57.0
2021-08-24,56.87
2021-08-25,56.9
2021-08-26,56.84
2021-08-27,55.85
2021-08-30,54.68
2021-08-31,55.31
2021-09-01,56.27
2021-09-02,56.85
2021-09-03,56.28
2021-09-07,56.25
2021-09-08,57.42
2021-09-09,56.47
2021-09-10,55.92
2021-09-13,56.68
2021-09-14,57.2
2021-09-15,56.45
2021-09-16,56.21
2021-09-17,55.52
2021-09-20,54.76
2021-09-21,53.99
2021-09-22,52.99
2021-09-23,51.31
2021-09-24,50.43
2021-09-27,50.01
2021-09-28,49.63
2021-09-29,50.37
2021-09-30,49.66
2021-10-01,49.69
2021-10-04,50.69
2021-10-05,50.74
2021-10-06,51.59
2021-10-07,51.73
2021-10-08,51.6
2021-10-11,51.34
2021-10-12,51.41
2021-10-13,51.28
2021-10-14,51.74
2021-10-15,51.13
2021-10-18,50.88
2021-10-19,51.03
2021-10-20,52.02
2021-10-21,51.96
2021-10-22,52.31
2021-10-25,51.9
2021-10-26,51.95
2021-10-27,51.56
2021-10-28,51.4
2021-10-29,51.51
2021-11-01,51.74
2021-11-02,51.9
2021-11-03,51.68
2021-11-04,51.45
2021-11-05,52.13
2021-11-08,50.54
2021-11-09,51.16
2021-11-10,51.72
2021-11-11,51.57
2021-11-12,50.8
2021-11-15,52.52
2021-11-16,52.66
2021-11-17,52.89
2021-11-18,52.74
2021-11-19,52.98
2021-11-22,53.65
2021-11-23,53.15
2021-11-24,53.2
2021-11-26,51.55
2021-11-29,52.54
2021-11-30,50.17
2021-12-01,50.2
2021-12-02,50.99
2021-12-03,51.63
2021-12-06,52.46
2021-12-07,52.43
2021-12-08,52.76
2021-12-09,53.13
2021-12-10,53.71
2021-12-13,53.94
2021-12-14,53.65
2021-12-15,54.93
2021-12-16,55.34
2021-12-17,54.76
2021-12-20,54.73
2021-12-21,54.63
2021-12-22,54.99
2021-12-23,55.05
2021-12-27,55.42
2021-12-28,55.95
2021-12-29,56.24
2021-12-30,55.82
2021-12-31,56.33
2022-01-03,55.7
2022-01-04,55.64
2022-01-05,55.77
2022-01-06,54.83
2022-01-07,56.07
2022-01-10,55.85
2022-01-11,54.37
2022-01-12,54.62
2022-01-13,55.32
2022-01-14,55.54
2022-01-18,54.92
2022-01-19,55.18
2022-01-20,54.99
2022-01-21,54.71
2022-01-24,54.1
2022-01-25,53.84
2022-01-26,53.64
2022-01-27,54.8
2022-01-28,55.58
2022-01-31,55.88
2022-02-01,55.01
2022-02-02,56.01
2022-02-03,55.99
2022-02-04,55.45
2022-02-07,54.83
2022-02-08,54.99
2022-02-09,55.74
2022-02-10,53.23
2022-02-11,52.91
2022-02-14,52.25
2022-02-15,51.72
2022-02-16,51.98
2022-02-17,52.48
2022-02-18,52.31
2022-02-22,52.26
2022-02-23,52.37
2022-02-24,51.16
2022-02-25,52.79
2022-02-28,52.6
2022-03-01,51.93
2022-03-02,53.31
2022-03-03,54.68
2022-03-04,56.12
2022-03-07,55.93
2022-03-08,54.7
2022-03-09,53.99
2022-03-10,54.51
2022-03-11,54.38
2022-03-14,55.13
2022-03-15,55.63
2022-03-16,55.26
2022-03-17,55.2
2022-03-18,54.73
2022-03-21,55.38
2022-03-22,54.84
2022-03-23,55.43
2022-03-24,56.37
2022-03-25,57.42
2022-03-28,57.67
2022-03-29,58.19
2022-03-30,58.52
2022-03-31,58.38
2022-04-01,60.05
2022-04-04,59.71
2022-04-05,60.66
2022-04-06,61.8
2022-04-07,61.49
2022-04-08,61.66
2022-04-11,60.9
2022-04-12,61.66
2022-04-13,61.69
2022-04-14,62.1
2022-04-18,62.22
2022-04-19,62.27
2022-04-20,62.92
2022-04-21,62.67
2022-04-22,61.67
2022-04-25,61.12
2022-04-26,60.33
2022-04-27,60.34
2022-04-28,61.16
2022-04-29,59.43
2022-05-02,59.02
2022-05-03,58.77
2022-05-04,59.33
2022-05-05,59.15
2022-05-06,59.63
2022-05-09,59.63
2022-05-10,58.16
2022-05-11,58.86
2022-05-12,58.09
2022-05-13,58.59
2022-05-16,58.9
2022-05-17,59.16
2022-05-18,58.24
2022-05-19,57.84
2022-05-20,58.49
2022-05-23,58.4
2022-05-24,59.58
2022-05-25,59.42
2022-05-26,59.94
2022-05-27,60.54
2022-05-31,60.16
2022-06-01,60.09
2022-06-02,60.21
2022-06-03,60.0
2022-06-06,60.67
2022-06-07,60.66
2022-06-08,59.16
2022-06-09,58.1
2022-06-10,57.97
2022-06-13,54.85
2022-06-14,53.65
2022-06-15,53.88
2022-06-16,52.94
2022-06-17,51.23
2022-06-21,52.35
2022-06-22,52.32
2022-06-23,52.96
2022-06-24,55.27
2022-06-27,55.98
2022-06-28,55.93
2022-06-29,55.85
2022-06-30,56.32
2022-07-01,57.65
2022-07-05,54.88
2022-07-06,55.69
2022-07-07,55.3
2022-07-08,55.05
2022-07-11,55.39
2022-07-12,55.49
2022-07-13,54.76
2022-07-14,54.88
2022-07-15,55.06
2022-07-18,54.63
2022-07-19,55.11
2022-07-20,54.13
2022-07-21,53.98
2022-07-22,54.69
2022-07-25,55.4
2022-07-26,55.64
2022-07-27,55.53
2022-07-28,57.0
2022-07-29,57.57
2022-08-01,57.71
2022-08-02,57.56
2022-08-03,58.69
2022-08-04,59.47
2022-08-05,58.87
2022-08-08,59.11
2022-08-09,59.86
2022-08-10,59.11
2022-08-11,59.39
2022-08-12,60.51
2022-08-15,60.91
2022-08-16,61.11
2022-08-17,60.63
2022-08-18,60.24
2022-08-19,60.83
2022-08-22,60.34
2022-08-23,59.75
2022-08-24,59.63
2022-08-25,59.69
2022-08-26,59.49
2022-08-29,59.72
2022-08-30,58.43
2022-08-31,57.65
2022-09-01,58.51
2022-09-02,58.11
2022-09-06,57.82
2022-09-07,59.59
2022-09-08,59.24
2022-09-09,59.97
2022-09-12,61.02
2022-09-13,58.85
2022-09-14,59.35
2022-09-15,57.65
2022-09-16,57.71
2022-09-19,57.94
2022-09-20,57.15
2022-09-21,56.6
2022-09-22,56.96
2022-09-23,55.8
2022-09-26,54.41
2022-09-27,52.9
2022-09-28,53.92
2022-09-29,51.32
2022-09-30,50.32
2022-10-03,51.98
2022-10-04,53.08
2022-10-05,52.46
2022-10-06,51.35
2022-10-07,50.62
2022-10-10,51.12
2022-10-11,50.58
2022-10-12,48.29
2022-10-13,50.28
2022-10-14,50.01
2022-10-17,50.66
2022-10-18,51.72
2022-10-19,50.87
2022-10-20,49.99
2022-10-21,51.15
2022-10-24,51.17
2022-10-25,52.38
2022-10-26,52.36
2022-10-27,52.52
2022-10-28,53.87
2022-10-31,53.57
2022-11-01,54.16
2022-11-02,54.38
2022-11-03,54.68
2022-11-04,55.36
2022-11-07,54.24
2022-11-08,54.02
2022-11-09,53.56
2022-11-10,55.52
2022-11-11,55.32
2022-11-14,54.28
2022-11-15,54.77
2022-11-16,55.07
2022-11-17,54.42
2022-11-18,55.96
2022-11-21,56.52
2022-11-22,56.35
2022-11-23,56.48
2022-11-25,56.88
2022-11-28,56.63
2022-11-29,56.41
2022-11-30,58.13
2022-12-01,58.15
2022-12-02,57.96
2022-12-05,57.7
2022-12-06,58.54
2022-12-07,58.0
2022-12-08,58.5
2022-12-09,58.44
2022-12-12,59.2
2022-12-13,59.18
2022-12-14,59.22
2022-12-15,58.4
2022-12-16,57.23
2022-12-19,56.57
2022-12-20,56.4
2022-12-21,57.05
2022-12-22,56.35
2022-12-23,56.72
2022-12-27,57.35
2022-12-28,56.49
2022-12-29,57.05
2022-12-30,56.25
2023-01-03,54.57
2023-01-04,54.6
2023-01-05,51.83
2023-01-06,53.84
2023-01-09,54.23
2023-01-10,53.87
2023-01-11,54.4
2023-01-12,53.42
2023-01-13,53.28
2023-01-17,53.46
2023-01-18,53.8
2023-01-19,53.5
2023-01-20,53.72
2023-01-23,53.38
2023-01-24,53.63
2023-01-25,53.75
2023-01-26,54.24
2023-01-27,54.35
2023-01-30,53.85
2023-01-31,54.14
2023-02-01,54.6
2023-02-02,55.27
2023-02-03,54.04
2023-02-06,54.42
2023-02-07,53.88
2023-02-08,52.8
2023-02-09,51.71
2023-02-10,52.9
2023-02-13,52.92
2023-02-14,53.05
2023-02-15,53.77
2023-02-16,54.13
2023-02-17,54.72
2023-02-21,53.8
2023-02-22,53.75
2023-02-23,53.61
2023-02-24,53.66
2023-02-27,53.04
2023-02-28,51.44
2023-03-01,50.71
2023-03-02,51.86
2023-03-03,52.54
2023-03-06,52.91
2023-03-07,51.55
2023-03-08,51.88
2023-03-09,51.43
2023-03-10,50.31
2023-03-13,50.93
2023-03-14,51.85
2023-03-15,52.55
2023-03-16,52.95
2023-03-17,52.29
2023-03-20,53.04
2023-03-21,51.58
2023-03-22,50.22
2023-03-23,50.18
2023-03-24,51.85
2023-03-27,52.26
2023-03-28,52.54
2023-03-29,53.08
2023-03-30,53.49
2023-03-31,53.87
2023-04-03,53.59
2023-04-04,53.74
2023-04-05,55.29
2023-04-06,55.49
2023-04-10,55.51
2023-04-11,55.22
2023-04-12,55.04
2023-04-13,54.59
2023-04-14,53.82
2023-04-17,54.47
2023-04-18,54.29
2023-04-19,54.7
2023-04-20,54.31
2023-04-21,54.32
2023-04-24,54.52
2023-04-25,54.38
2023-04-26,52.52
2023-04-27,53.59
2023-04-28,53.79
2023-05-01,53.71
2023-05-02,53.22
2023-05-03,52.52
2023-05-04,53.05
2023-05-05,53.68
2023-05-08,53.46
2023-05-09,53.49
2023-05-10,53.8
2023-05-11,53.16
2023-05-12,53.57
2023-05-15,52.72
2023-05-16,51.5
2023-05-17,51.06
2023-05-18,50.75
2023-05-19,50.27
2023-05-22,50.21
2023-05-23,50.15
2023-05-24,49.49
2023-05-25,48.61
2023-05-26,48.4
2023-05-30,48.37
2023-05-31,49.1
2023-06-01,48.69
2023-06-02,49.72
2023-06-05,49.88
2023-06-06,49.49
2023-06-07,50.66
2023-06-08,50.75
2023-06-09,50.72
2023-06-12,50.65
2023-06-13,50.4
2023-06-14,50.65
2023-06-15,51.1
2023-06-16,51.01
2023-06-20,49.77
2023-06-21,50.3
2023-06-22,49.59
2023-06-23,48.57
2023-06-26,49.48
2023-06-27,49.4
2023-06-28,47.88
2023-06-29,47.87
2023-06-30,48.69
