date,close
2020-01-27,71.75
2020-01-28,72.18
2020-01-29,72.19
2020-01-30,72.46
2020-01-31,72.16
2020-02-03,71.81
2020-02-04,71.0
2020-02-05,71.02
2020-02-06,71.32
2020-02-07,70.87
2020-02-10,70.79
2020-02-11,70.84
2020-02-12,70.74
2020-02-13,71.55
2020-02-14,72.34
2020-02-18,73.88
2020-02-19,73.91
2020-02-20,73.56
2020-02-21,72.91
2020-02-24,71.99
2020-02-25,70.1
2020-02-26,69.58
2020-02-27,67.0
2020-02-28,65.35
2020-03-02,69.39
2020-03-03,68.85
2020-03-04,73.08
2020-03-05,71.61
2020-03-06,69.84
2020-03-09,64.53
2020-03-10,66.76
2020-03-11,62.35
2020-03-12,55.96
2020-03-13,59.09
2020-03-16,49.6
2020-03-17,57.56
2020-03-18,57.71
2020-03-19,55.1
2020-03-20,47.18
2020-03-23,44.92
2020-03-24,50.71
2020-03-25,51.9
2020-03-26,58.16
2020-03-27,57.52
2020-03-30,59.11
2020-03-31,55.05
2020-04-01,51.75
2020-04-02,53.48
2020-04-03,51.8
2020-04-06,57.88
2020-04-07,57.08
2020-04-08,60.86
2020-04-09,63.1
2020-04-13,60.75
2020-04-14,62.54
2020-04-15,60.09
2020-04-16,59.96
2020-04-17,60.98
2020-04-20,59.12
2020-04-21,58.24
2020-04-22,59.55
2020-04-23,57.79
2020-04-24,58.51
2020-04-27,59.26
2020-04-28,60.09
2020-04-29,59.59
2020-04-30,58.43
2020-05-01,55.92
2020-05-04,56.63
2020-05-05,57.29
2020-05-06,54.93
2020-05-07,55.87
2020-05-08,57.5
2020-05-11,55.76
2020-05-12,56.1
2020-05-13,56.52
2020-05-14,56.68
2020-05-15,56.54
2020-05-18,58.92
2020-05-19,57.74
2020-05-20,59.11
2020-05-21,58.65
2020-05-22,60.0
2020-05-26,59.89
2020-05-27,60.93
2020-05-28,62.31
2020-05-29,61.69
2020-06-01,62.96
2020-06-02,63.04
2020-06-03,63.41
2020-06-04,62.41
2020-06-05,63.06
2020-06-08,65.1
2020-06-09,63.57
2020-06-10,63.43
2020-06-11,60.95
2020-06-12,60.08
2020-06-15,59.35
2020-06-16,59.97
2020-06-17,59.88
2020-06-18,60.56
2020-06-19,59.35
2020-06-22,59.92
2020-06-23,59.64
2020-06-24,59.04
2020-06-25,58.98
2020-06-26,58.11
2020-06-29,59.18
2020-06-30,59.29
2020-07-01,61.01
2020-07-02,61.46
2020-07-06,61.46
2020-07-07,60.84
2020-07-08,61.38
2020-07-09,60.87
2020-07-10,61.98
2020-07-13,61.6
2020-07-14,62.37
2020-07-15,61.23
2020-07-16,61.41
2020-07-17,63.22
2020-07-20,62.66
2020-07-21,62.99
2020-07-22,64.1
2020-07-23,64.37
2020-07-24,64.06
2020-07-27,63.98
2020-07-28,64.74
2020-07-29,64.33
2020-07-30,64.47
2020-07-31,64.83
2020-08-03,62.68
2020-08-04,55.4
2020-08-05,53.53
2020-08-06,54.75
2020-08-07,55.16
2020-08-10,54.06
2020-08-11,53.39
2020-08-12,53.04
2020-08-13,52.66
2020-08-14,53.57
2020-08-17,53.22
2020-08-18,52.54
2020-08-19,51.51
2020-08-20,50.78
2020-08-21,50.41
2020-08-24,50.74
2020-08-25,51.21
2020-08-26,50.52
2020-08-27,52.92
2020-08-28,52.98
2020-08-31,53.22
2020-09-01,52.66
2020-09-02,53.27
2020-09-03,52.44
2020-09-04,51.87
2020-09-08,52.11
2020-09-09,52.7
2020-09-10,52.06
2020-09-11,51.94
2020-09-14,52.79
2020-09-15,52.37
2020-09-16,52.63
2020-09-17,52.2
2020-09-18,50.94
2020-09-21,50.01
2020-09-22,50.47
2020-09-23,49.12
2020-09-24,49.18
2020-09-25,50.29
2020-09-28,50.34
2020-09-29,50.15
2020-09-30,50.82
2020-10-01,50.82
2020-10-02,51.98
2020-10-05,52.53
2020-10-06,52.41
2020-10-07,52.45
2020-10-08,53.36
2020-10-09,52.93
2020-10-12,53.44
2020-10-13,52.92
2020-10-14,53.45
2020-10-15,54.42
2020-10-16,54.92
2020-10-19,54.6
2020-10-20,55.52
2020-10-21,55.89
2020-10-22,56.58
2020-10-23,56.37
2020-10-26,55.69
2020-10-27,56.39
2020-10-28,55.37
2020-10-29,55.33
2020-10-30,55.2
2020-11-02,56.31
2020-11-03,56.98
2020-11-04,55.77
2020-11-05,55.19
2020-11-06,55.04
2020-11-09,57.99
2020-11-10,58.59
2020-11-11,57.3
2020-11-12,55.72
2020-11-13,57.11
2020-11-16,57.63
2020-11-17,56.57
2020-11-18,55.01
2020-11-19,53.69
2020-11-20,54.51
2020-11-23,54.97
2020-11-24,55.8
2020-11-25,56.18
2020-11-27,55.77
2020-11-30,55.41
2020-12-01,55.56
2020-12-02,56.1
2020-12-03,55.5
2020-12-04,54.92
2020-12-07,55.12
2020-12-08,55.46
2020-12-09,55.5
2020-12-10,55.1
2020-12-11,55.13
2020-12-14,54.41
2020-12-15,54.66
2020-12-16,53.67
2020-12-17,54.04
