date,close
2020-01-27,33.71
2020-01-28,34.04
2020-01-29,34.09
2020-01-30,34.27
2020-01-31,33.94
2020-02-03,34.37
2020-02-04,34.29
2020-02-05,34.46
2020-02-06,34.41
2020-02-07,34.36
2020-02-10,34.45
2020-02-11,35.18
2020-02-12,35.13
2020-02-13,35.35
2020-02-14,35.48
2020-02-18,35.93
2020-02-19,35.37
2020-02-20,35.55
2020-02-21,35.46
2020-02-24,34.81
2020-02-25,33.96
2020-02-26,33.55
2020-02-27,32.19
2020-02-28,30.74
2020-03-02,32.4
2020-03-03,31.51
2020-03-04,33.39
2020-03-05,32.9
2020-03-06,32.21
2020-03-09,29.89
2020-03-10,30.75
2020-03-11,28.39
2020-03-12,25.15
2020-03-13,25.93
2020-03-16,21.76
2020-03-17,25.67
2020-03-18,23.56
2020-03-19,23.11
2020-03-20,22.11
2020-03-23,21.38
2020-03-24,24.61
2020-03-25,24.64
2020-03-26,26.09
2020-03-27,25.32
2020-03-30,26.55
2020-03-31,26.25
2020-04-01,23.87
2020-04-02,24.73
2020-04-03,23.35
2020-04-06,25.9
2020-04-07,25.52
2020-04-08,26.81
2020-04-09,27.92
2020-04-13,26.92
2020-04-14,27.86
2020-04-15,26.41
2020-04-16,26.46
2020-04-17,27.41
2020-04-20,26.43
2020-04-21,25.44
2020-04-22,26.53
2020-04-23,25.9
2020-04-24,26.1
2020-04-27,26.98
2020-04-28,26.98
2020-04-29,27.33
2020-04-30,26.44
2020-05-01,25.53
2020-05-04,25.28
2020-05-05,25.58
2020-05-06,24.59
2020-05-07,24.99
2020-05-08,26.69
2020-05-11,26.58
2020-05-12,26.26
2020-05-13,25.44
2020-05-14,25.74
2020-05-15,25.17
2020-05-18,26.77
2020-05-19,26.18
2020-05-20,26.36
2020-05-21,25.99
2020-05-22,26.28
2020-05-26,26.81
2020-05-27,27.06
2020-05-28,27.28
2020-05-29,27.32
2020-06-01,27.7
2020-06-02,27.76
2020-06-03,28.46
2020-06-04,27.8
2020-06-05,28.78
2020-06-08,29.85
2020-06-09,28.89
2020-06-10,28.52
2020-06-11,27.13
2020-06-12,27.03
2020-06-15,27.32
2020-06-16,27.52
2020-06-17,27.42
2020-06-18,27.24
2020-06-19,26.76
