date,close
2020-01-27,109.08
2020-01-28,109.11
2020-01-29,109.55
2020-01-30,109.1
2020-01-31,108.45
2020-02-03,107.8
2020-02-04,110.66
2020-02-05,111.1
2020-02-06,111.75
2020-02-07,110.09
2020-02-10,108.71
2020-02-11,109.2
2020-02-12,110.97
2020-02-13,110.59
2020-02-14,122.8
2020-02-18,121.1
2020-02-19,121.88
2020-02-20,121.66
2020-02-21,120.12
2020-02-24,112.31
2020-02-25,108.91
2020-02-26,101.19
2020-02-27,98.71
2020-02-28,98.62
2020-03-02,96.73
2020-03-03,95.19
2020-03-04,97.14
2020-03-05,91.51
2020-03-06,91.85
2020-03-09,86.3
2020-03-10,85.93
2020-03-11,76.67
2020-03-12,65.04
2020-03-13,69.63
2020-03-16,54.7
2020-03-17,54.12
2020-03-18,45.65
2020-03-19,48.43
2020-03-20,48.8
2020-03-23,50.85
2020-03-24,59.48
2020-03-25,65.89
2020-03-26,64.41
2020-03-27,60.03
2020-03-30,56.39
2020-03-31,56.27
2020-04-01,52.0
2020-04-02,47.86
2020-04-03,48.71
2020-04-06,52.83
2020-04-07,56.51
2020-04-08,60.55
2020-04-09,62.42
2020-04-13,58.79
2020-04-14,61.58
2020-04-15,60.56
2020-04-16,58.22
2020-04-17,63.22
2020-04-20,59.95
2020-04-21,57.25
2020-04-22,61.42
2020-04-23,63.37
2020-04-24,66.57
2020-04-27,69.15
2020-04-28,71.84
2020-04-29,74.83
2020-04-30,70.98
2020-05-01,67.29
2020-05-04,67.02
2020-05-05,64.08
2020-05-06,64.38
2020-05-07,66.46
2020-05-08,69.27
2020-05-11,67.62
2020-05-12,64.99
2020-05-13,62.01
2020-05-14,64.37
2020-05-15,66.76
2020-05-18,79.19
2020-05-19,76.35
2020-05-20,79.58
2020-05-21,77.01
2020-05-22,77.95
2020-05-26,82.82
2020-05-27,81.61
2020-05-28,78.78
2020-05-29,79.48
2020-06-01,82.42
2020-06-02,84.22
2020-06-03,89.14
2020-06-04,89.88
2020-06-05,93.06
2020-06-08,93.99
2020-06-09,88.7
2020-06-10,87.37
2020-06-11,77.73
2020-06-12,82.52
2020-06-15,84.27
2020-06-16,85.3
2020-06-17,84.67
2020-06-18,84.4
2020-06-19,82.06
2020-06-22,83.12
2020-06-23,86.6
2020-06-24,81.24
2020-06-25,82.72
2020-06-26,77.59
2020-06-29,82.67
2020-06-30,82.2
2020-07-01,84.44
2020-07-02,84.89
2020-07-06,87.34
2020-07-07,85.05
2020-07-08,84.2
2020-07-09,81.56
2020-07-10,83.54
2020-07-13,81.58
2020-07-14,82.47
2020-07-15,90.23
2020-07-16,87.17
2020-07-17,86.87
2020-07-20,86.89
2020-07-21,87.53
2020-07-22,87.68
2020-07-23,85.17
2020-07-24,83.72
2020-07-27,84.42
2020-07-28,83.68
2020-07-29,85.32
2020-07-30,84.93
2020-07-31,81.01
2020-08-03,79.96
2020-08-04,79.74
2020-08-05,82.58
2020-08-06,84.21
2020-08-07,82.56
2020-08-10,84.91
2020-08-11,88.12
2020-08-12,86.95
2020-08-13,86.97
2020-08-14,86.73
2020-08-17,87.7
2020-08-18,88.5
2020-08-19,87.68
2020-08-20,88.67
2020-08-21,91.1
2020-08-24,95.46
2020-08-25,96.42
2020-08-26,95.11
2020-08-27,97.73
2020-08-28,100.89
2020-08-31,98.15
2020-09-01,99.25
2020-09-02,102.94
2020-09-03,100.29
2020-09-04,99.8
2020-09-08,99.27
2020-09-09,99.23
2020-09-10,97.24
2020-09-11,94.74
2020-09-14,95.92
2020-09-15,97.4
2020-09-16,99.03
2020-09-17,96.79
2020-09-18,93.8
2020-09-21,91.29
2020-09-22,93.95
2020-09-23,91.92
2020-09-24,92.05
2020-09-25,93.57
2020-09-28,94.29
2020-09-29,91.78
2020-09-30,91.69
2020-10-01,92.06
2020-10-02,92.09
2020-10-05,92.16
2020-10-06,91.87
2020-10-07,93.49
2020-10-08,95.95
2020-10-09,96.3
2020-10-12,97.34
2020-10-13,94.32
2020-10-14,92.4
2020-10-15,90.23
2020-10-16,90.71
2020-10-19,92.14
2020-10-20,92.96
2020-10-21,92.7
2020-10-22,101.04
2020-10-23,102.72
2020-10-26,99.01
2020-10-27,95.07
2020-10-28,91.83
2020-10-29,95.22
2020-10-30,94.15
2020-11-02,94.72
2020-11-03,98.8
2020-11-04,98.5
2020-11-05,103.1
2020-11-06,103.27
2020-11-09,128.64
2020-11-10,122.75
2020-11-11,119.7
