date,close
2020-01-27,79.37
2020-01-28,79.12
2020-01-29,77.57
2020-01-30,76.49
2020-01-31,74.4
2020-02-03,73.08
2020-02-04,73.22
2020-02-05,77.4
2020-02-06,76.23
2020-02-07,74.24
2020-02-10,72.0
2020-02-11,72.51
2020-02-12,74.35
2020-02-13,74.54
2020-02-14,74.97
2020-02-18,74.56
2020-02-19,79.29
2020-02-20,78.48
2020-02-21,76.4
2020-02-24,71.08
2020-02-25,67.16
2020-02-26,63.14
2020-02-27,59.48
2020-02-28,62.0
2020-03-02,62.14
2020-03-03,61.76
2020-03-04,61.07
2020-03-05,58.21
2020-03-06,48.56
2020-03-09,26.88
2020-03-10,29.68
2020-03-11,26.2
2020-03-12,25.62
2020-03-13,27.19
2020-03-16,23.49
2020-03-17,20.23
2020-03-18,15.56
2020-03-19,18.69
2020-03-20,18.59
2020-03-23,20.37
2020-03-24,24.12
2020-03-25,24.17
2020-03-26,25.95
2020-03-27,23.87
2020-03-30,23.59
2020-03-31,26.2
2020-04-01,25.07
2020-04-02,29.05
2020-04-03,31.59
2020-04-06,32.1
2020-04-07,33.01
2020-04-08,37.48
2020-04-09,34.86
2020-04-13,33.08
2020-04-14,31.65
2020-04-15,30.23
2020-04-16,28.03
2020-04-17,31.52
2020-04-20,30.86
2020-04-21,31.4
2020-04-22,34.24
2020-04-23,37.1
2020-04-24,35.78
2020-04-27,36.22
2020-04-28,38.0
2020-04-29,44.19
2020-04-30,43.54
2020-05-01,40.28
2020-05-04,42.52
2020-05-05,40.33
2020-05-06,38.92
2020-05-07,40.37
2020-05-08,42.08
2020-05-11,41.02
2020-05-12,40.87
2020-05-13,37.79
2020-05-14,38.18
2020-05-15,38.78
2020-05-18,43.44
2020-05-19,41.84
2020-05-20,43.66
2020-05-21,42.89
2020-05-22,42.94
2020-05-26,44.9
2020-05-27,44.3
2020-05-28,43.02
2020-05-29,42.58
2020-06-01,43.73
2020-06-02,45.61
2020-06-03,47.58
2020-06-04,47.68
2020-06-05,52.21
2020-06-08,59.82
2020-06-09,53.92
2020-06-10,50.17
2020-06-11,44.36
2020-06-12,46.96
2020-06-15,48.12
2020-06-16,49.97
2020-06-17,46.55
2020-06-18,46.59
2020-06-19,46.73
2020-06-22,46.09
2020-06-23,46.31
2020-06-24,41.9
2020-06-25,43.62
2020-06-26,41.13
2020-06-29,41.43
