date,close
2020-01-27,10.9
2020-01-28,11.3
2020-01-29,11.29
2020-01-30,11.32
2020-01-31,11.1
2020-02-03,11.44
2020-02-04,12.04
2020-02-05,12.41
2020-02-06,12.32
2020-02-07,11.8
2020-02-10,12.17
2020-02-11,12.4
2020-02-12,12.67
2020-02-13,12.61
2020-02-14,12.24
2020-02-18,12.02
2020-02-19,12.1
2020-02-20,12.08
2020-02-21,11.94
2020-02-24,11.24
2020-02-25,10.73
2020-02-26,10.46
2020-02-27,9.8
2020-02-28,9.96
2020-03-02,10.5
2020-03-03,10.07
2020-03-04,10.45
2020-03-05,9.99
2020-03-06,9.43
2020-03-09,8.23
2020-03-10,9.0
2020-03-11,8.12
2020-03-12,7.17
2020-03-13,7.53
2020-03-16,6.24
2020-03-17,6.48
2020-03-18,5.31
2020-03-19,5.74
2020-03-20,5.52
2020-03-23,5.39
2020-03-24,6.99
2020-03-25,7.25
2020-03-26,6.99
2020-03-27,6.2
2020-03-30,6.24
2020-03-31,6.75
2020-04-01,6.31
2020-04-02,6.39
2020-04-03,6.32
2020-04-06,7.19
2020-04-07,7.59
2020-04-08,8.03
2020-04-09,8.19
2020-04-13,8.3
2020-04-14,8.32
2020-04-15,7.67
2020-04-16,7.58
2020-04-17,8.34
2020-04-20,8.02
2020-04-21,7.41
2020-04-22,7.64
2020-04-23,7.81
2020-04-24,8.48
2020-04-27,8.85
2020-04-28,8.92
2020-04-29,9.26
2020-04-30,8.83
2020-05-01,8.46
2020-05-04,8.7
2020-05-05,8.8
2020-05-06,8.59
2020-05-07,8.97
2020-05-08,9.21
2020-05-11,8.98
2020-05-12,8.67
2020-05-13,8.4
2020-05-14,8.29
2020-05-15,8.48
2020-05-18,9.18
2020-05-19,9.14
2020-05-20,9.12
2020-05-21,8.9
2020-05-22,8.74
2020-05-26,9.26
2020-05-27,9.29
2020-05-28,9.09
2020-05-29,9.07
2020-06-01,9.34
2020-06-02,9.75
2020-06-03,10.14
2020-06-04,10.2
2020-06-05,10.86
2020-06-08,11.25
2020-06-09,11.27
2020-06-10,11.47
2020-06-11,9.91
2020-06-12,10.49
2020-06-15,10.47
2020-06-16,10.78
2020-06-17,10.7
2020-06-18,10.56
2020-06-19,10.5
2020-06-22,10.79
2020-06-23,11.08
2020-06-24,10.57
2020-06-25,11.08
