date,close
2020-01-27,50.26
2020-01-28,50.69
2020-01-29,50.97
2020-01-30,50.98
2020-01-31,50.79
2020-02-03,51.5
2020-02-04,51.49
2020-02-05,51.91
2020-02-06,51.25
2020-02-07,51.23
2020-02-10,51.36
2020-02-11,51.54
2020-02-12,51.48
2020-02-13,51.98
2020-02-14,52.23
2020-02-18,52.27
2020-02-19,52.15
2020-02-20,51.79
2020-02-21,51.57
2020-02-24,50.63
2020-02-25,48.89
2020-02-26,48.3
2020-02-27,46.23
2020-02-28,44.53
2020-03-02,47.32
2020-03-03,45.92
2020-03-04,48.5
2020-03-05,47.13
2020-03-06,46.48
2020-03-09,42.93
2020-03-10,44.95
2020-03-11,43.13
2020-03-12,38.52
2020-03-13,41.24
2020-03-16,34.3
2020-03-17,40.11
2020-03-18,37.2
2020-03-19,35.99
2020-03-20,34.28
2020-03-23,33.19
2020-03-24,35.48
2020-03-25,35.5
2020-03-26,38.67
2020-03-27,38.6
2020-03-30,40.49
2020-03-31,40.07
2020-04-01,38.86
2020-04-02,40.0
2020-04-03,37.95
2020-04-06,41.36
2020-04-07,40.47
2020-04-08,43.23
2020-04-09,44.75
2020-04-13,43.93
2020-04-14,45.47
2020-04-15,43.95
2020-04-16,44.86
2020-04-17,46.21
2020-04-20,44.49
2020-04-21,43.2
2020-04-22,44.22
2020-04-23,43.03
2020-04-24,42.32
2020-04-27,43.51
2020-04-28,42.64
2020-04-29,42.35
2020-04-30,41.27
2020-05-01,40.84
2020-05-04,41.19
2020-05-05,41.68
2020-05-06,40.0
2020-05-07,40.21
2020-05-08,40.6
2020-05-11,40.42
2020-05-12,39.6
2020-05-13,39.05
2020-05-14,39.96
2020-05-15,39.29
2020-05-18,41.11
2020-05-19,40.36
2020-05-20,40.28
2020-05-21,40.43
2020-05-22,40.64
2020-05-26,40.71
2020-05-27,41.36
2020-05-28,42.69
2020-05-29,42.26
2020-06-01,42.76
2020-06-02,43.07
2020-06-03,43.49
2020-06-04,42.36
2020-06-05,43.27
2020-06-08,43.98
2020-06-09,42.89
2020-06-10,42.25
2020-06-11,40.5
2020-06-12,40.43
2020-06-15,40.47
2020-06-16,40.51
2020-06-17,40.25
2020-06-18,40.51
2020-06-19,38.98
2020-06-22,39.7
2020-06-23,38.78
2020-06-24,37.78
2020-06-25,37.53
2020-06-26,36.85
2020-06-29,37.99
2020-06-30,38.78
2020-07-01,39.88
2020-07-02,39.92
2020-07-06,40.18
2020-07-07,40.25
2020-07-08,40.63
2020-07-09,40.19
2020-07-10,41.27
2020-07-13,40.84
2020-07-14,40.92
2020-07-15,40.82
2020-07-16,41.29
2020-07-17,42.14
2020-07-20,41.26
2020-07-21,34.25
2020-07-22,27.09
2020-07-23,27.4
2020-07-24,29.48
2020-07-27,29.28
2020-07-28,29.14
2020-07-29,28.64
2020-07-30,28.87
2020-07-31,29.0
2020-08-03,29.19
2020-08-04,29.64
2020-08-05,28.94
2020-08-06,29.18
2020-08-07,29.44
2020-08-10,30.06
2020-08-11,29.9
2020-08-12,29.87
2020-08-13,29.6
2020-08-14,29.33
2020-08-17,28.94
2020-08-18,28.88
2020-08-19,28.64
2020-08-20,28.36
2020-08-21,28.11
2020-08-24,28.31
2020-08-25,27.94
2020-08-26,28.01
2020-08-27,28.1
2020-08-28,28.31
2020-08-31,28.59
2020-09-01,28.26
2020-09-02,29.14
2020-09-03,29.39
2020-09-04,29.4
2020-09-08,29.13
2020-09-09,29.14
2020-09-10,29.05
2020-09-11,29.33
2020-09-14,29.66
2020-09-15,29.35
2020-09-16,29.76
2020-09-17,29.8
2020-09-18,28.96
2020-09-21,28.63
2020-09-22,28.57
2020-09-23,27.58
2020-09-24,28.16
2020-09-25,28.6
2020-09-28,28.45
2020-09-29,28.6
2020-09-30,28.71
2020-10-01,28.76
2020-10-02,29.52
2020-10-05,29.91
2020-10-06,30.41
2020-10-07,30.56
2020-10-08,31.28
2020-10-09,31.22
2020-10-12,31.26
2020-10-13,31.31
2020-10-14,31.43
2020-10-15,31.51
2020-10-16,31.69
2020-10-19,31.73
2020-10-20,31.83
2020-10-21,32.33
2020-10-22,33.03
2020-10-23,33.3
2020-10-26,33.32
2020-10-27,33.39
2020-10-28,31.76
2020-10-29,31.81
2020-10-30,29.72
2020-11-02,29.93
2020-11-03,30.12
2020-11-04,29.06
2020-11-05,29.39
2020-11-06,29.07
2020-11-09,29.52
2020-11-10,29.31
2020-11-11,29.79
2020-11-12,29.33
2020-11-13,29.51
2020-11-16,28.5
2020-11-17,28.74
2020-11-18,28.55
2020-11-19,29.04
2020-11-20,28.0
2020-11-23,27.71
2020-11-24,26.66
2020-11-25,26.56
2020-11-27,26.72
2020-11-30,26.56
2020-12-01,27.17
2020-12-02,27.32
2020-12-03,27.9
2020-12-04,28.95
2020-12-07,29.47
2020-12-08,30.26
2020-12-09,30.64
2020-12-10,30.22
2020-12-11,30.38
2020-12-14,30.35
2020-12-15,31.4
2020-12-16,30.91
2020-12-17,30.5
2020-12-18,30.34
2020-12-21,29.99
2020-12-22,29.95
2020-12-23,29.29
2020-12-24,29.68
2020-12-28,29.62
2020-12-29,29.71
2020-12-30,30.11
2020-12-31,30.61
2021-01-04,29.51
2021-01-05,29.84
2021-01-06,30.3
2021-01-07,29.63
2021-01-08,29.91
2021-01-11,30.2
2021-01-12,30.49
2021-01-13,30.79
2021-01-14,31.25
2021-01-15,31.67
2021-01-19,31.11
2021-01-20,31.33
2021-01-21,31.07
2021-01-22,31.27
2021-01-25,31.86
2021-01-26,31.93
2021-01-27,30.86
2021-01-28,30.86
2021-01-29,30.76
2021-02-01,31.18
2021-02-02,31.91
2021-02-03,32.4
