date,close
2020-01-27,127.23
2020-01-28,127.23
2020-01-29,126.05
2020-01-30,125.44
2020-01-31,125.02
2020-02-03,125.07
2020-02-04,127.27
2020-02-05,128.1
2020-02-06,128.66
2020-02-07,128.02
2020-02-10,127.97
2020-02-11,124.0
2020-02-12,123.84
2020-02-13,124.85
2020-02-14,127.23
2020-02-18,126.88
2020-02-19,125.65
2020-02-20,127.65
2020-02-21,129.0
2020-02-24,127.88
2020-02-25,124.25
2020-02-26,122.91
2020-02-27,116.92
2020-02-28,116.34
2020-03-02,119.93
2020-03-03,117.29
2020-03-04,122.07
2020-03-05,120.83
2020-03-06,121.37
2020-03-09,112.71
2020-03-10,118.77
2020-03-11,113.33
2020-03-12,104.37
2020-03-13,105.7
2020-03-16,85.14
2020-03-17,92.16
2020-03-18,72.48
2020-03-19,75.53
2020-03-20,71.56
2020-03-23,66.67
2020-03-24,76.08
2020-03-25,78.51
2020-03-26,78.69
2020-03-27,76.05
2020-03-30,75.0
2020-03-31,74.61
2020-04-01,69.41
2020-04-02,66.4
2020-04-03,65.81
2020-04-06,72.66
2020-04-07,75.41
2020-04-08,80.27
2020-04-09,86.0
2020-04-13,83.58
2020-04-14,84.6
2020-04-15,77.96
2020-04-16,72.84
2020-04-17,75.36
2020-04-20,71.58
2020-04-21,70.41
2020-04-22,67.95
2020-04-23,70.19
2020-04-24,69.26
2020-04-27,73.42
2020-04-28,77.23
2020-04-29,84.0
2020-04-30,83.27
2020-05-01,78.42
2020-05-04,77.54
2020-05-05,77.24
2020-05-06,73.31
2020-05-07,74.99
2020-05-08,78.12
2020-05-11,75.25
2020-05-12,72.55
2020-05-13,68.21
2020-05-14,70.02
2020-05-15,72.02
2020-05-18,78.82
2020-05-19,77.77
2020-05-20,79.15
2020-05-21,79.97
2020-05-22,78.49
2020-05-26,83.48
2020-05-27,83.79
2020-05-28,80.44
2020-05-29,79.91
2020-06-01,84.87
2020-06-02,88.34
2020-06-03,93.6
2020-06-04,94.78
2020-06-05,99.96
2020-06-08,102.54
2020-06-09,97.96
2020-06-10,94.64
2020-06-11,87.65
2020-06-12,90.47
2020-06-15,90.05
2020-06-16,92.82
2020-06-17,89.38
2020-06-18,88.15
2020-06-19,84.75
2020-06-22,84.72
2020-06-23,84.92
2020-06-24,82.47
2020-06-25,84.69
2020-06-26,82.77
2020-06-29,84.76
2020-06-30,85.21
2020-07-01,87.46
2020-07-02,85.54
2020-07-06,86.12
2020-07-07,82.32
2020-07-08,80.26
2020-07-09,78.87
2020-07-10,79.95
2020-07-13,80.18
2020-07-14,78.0
2020-07-15,80.97
2020-07-16,79.48
2020-07-17,78.43
2020-07-20,75.04
2020-07-21,74.43
2020-07-22,75.18
2020-07-23,73.84
2020-07-24,72.99
2020-07-27,73.63
2020-07-28,76.13
2020-07-29,77.49
2020-07-30,77.0
2020-07-31,76.3
2020-08-03,75.67
2020-08-04,76.62
2020-08-05,76.18
2020-08-06,76.42
2020-08-07,78.81
2020-08-10,80.23
2020-08-11,82.18
2020-08-12,83.48
2020-08-13,82.21
2020-08-14,81.88
2020-08-17,82.45
2020-08-18,80.32
2020-08-19,78.14
2020-08-20,80.51
2020-08-21,80.32
2020-08-24,81.93
2020-08-25,81.76
2020-08-26,79.77
2020-08-27,81.41
2020-08-28,80.45
2020-08-31,79.24
2020-09-01,79.53
2020-09-02,81.3
2020-09-03,82.35
2020-09-04,82.06
2020-09-08,80.27
2020-09-09,79.39
2020-09-10,78.03
2020-09-11,77.15
2020-09-14,80.52
2020-09-15,81.16
2020-09-16,83.58
2020-09-17,83.65
2020-09-18,81.74
2020-09-21,73.28
2020-09-22,73.82
2020-09-23,71.46
2020-09-24,72.34
2020-09-25,73.13
2020-09-28,74.94
2020-09-29,72.99
2020-09-30,73.44
2020-10-01,76.05
2020-10-02,78.43
2020-10-05,78.55
2020-10-06,78.4
2020-10-07,77.65
2020-10-08,79.72
2020-10-09,78.38
2020-10-12,78.82
2020-10-13,76.93
2020-10-14,75.64
2020-10-15,76.18
2020-10-16,74.37
2020-10-19,73.41
2020-10-20,74.16
2020-10-21,73.77
2020-10-22,75.29
2020-10-23,76.72
2020-10-26,73.3
2020-10-27,70.21
2020-10-28,67.91
2020-10-29,69.31
2020-10-30,68.78
2020-11-02,71.45
2020-11-03,75.54
2020-11-04,71.89
2020-11-05,72.1
2020-11-06,68.93
2020-11-09,91.61
2020-11-10,94.08
2020-11-11,90.32
2020-11-12,85.33
2020-11-13,88.47
2020-11-16,92.74
2020-11-17,91.31
2020-11-18,90.65
2020-11-19,90.79
2020-11-20,89.78
2020-11-23,93.07
2020-11-24,93.61
2020-11-25,91.04
2020-11-27,88.37
2020-11-30,87.22
2020-12-01,87.6
2020-12-02,89.96
2020-12-03,91.81
2020-12-04,93.1
2020-12-07,90.3
2020-12-08,89.66
2020-12-09,90.71
2020-12-10,91.43
2020-12-11,90.15
2020-12-14,88.87
2020-12-15,93.31
2020-12-16,90.72
2020-12-17,90.73
2020-12-18,88.31
2020-12-21,85.89
2020-12-22,86.02
2020-12-23,86.11
2020-12-24,86.58
2020-12-28,86.77
2020-12-29,85.55
2020-12-30,85.88
2020-12-31,85.12
2021-01-04,82.27
2021-01-05,82.61
2021-01-06,86.02
2021-01-07,84.65
2021-01-08,84.53
2021-01-11,82.58
2021-01-12,84.8
2021-01-13,86.29
2021-01-14,86.78
2021-01-15,87.27
2021-01-19,87.2
2021-01-20,88.25
2021-01-21,86.96
2021-01-22,88.53
2021-01-25,88.96
2021-01-26,88.78
2021-01-27,88.3
2021-01-28,87.58
2021-01-29,87.56
2021-02-01,87.04
2021-02-02,87.23
2021-02-03,87.88
2021-02-04,90.35
2021-02-05,91.26
2021-02-08,91.35
2021-02-09,93.02
2021-02-10,95.77
2021-02-11,97.99
2021-02-12,102.33
2021-02-16,101.5
2021-02-17,102.22
2021-02-18,100.81
2021-02-19,99.71
2021-02-22,100.6
2021-02-23,103.29
2021-02-24,106.02
2021-02-25,103.0
2021-02-26,101.17
2021-03-01,104.0
2021-03-02,101.55
2021-03-03,105.44
2021-03-04,103.68
2021-03-05,105.76
2021-03-08,109.2
2021-03-09,106.15
2021-03-10,107.52
2021-03-11,108.67
2021-03-12,110.37
2021-03-15,109.6
2021-03-16,106.43
2021-03-17,104.72
2021-03-18,102.99
2021-03-19,100.94
