date,close
2020-01-27,22.89
2020-01-28,23.51
2020-01-29,23.45
2020-01-30,23.67
2020-01-31,23.07
2020-02-03,23.3
2020-02-04,24.02
2020-02-05,23.96
2020-02-06,24.27
2020-02-07,23.42
2020-02-10,23.75
2020-02-11,23.46
2020-02-12,23.48
2020-02-13,23.82
2020-02-14,23.84
2020-02-18,23.89
2020-02-19,23.84
2020-02-20,23.6
2020-02-21,22.9
2020-02-24,21.74
2020-02-25,21.01
2020-02-26,21.25
2020-02-27,20.53
2020-02-28,20.41
2020-03-02,22.02
2020-03-03,20.71
2020-03-04,21.41
2020-03-05,20.8
2020-03-06,19.9
2020-03-09,17.43
2020-03-10,18.14
2020-03-11,17.59
2020-03-12,15.16
2020-03-13,16.53
2020-03-16,15.14
2020-03-17,15.6
2020-03-18,15.3
2020-03-19,17.23
2020-03-20,16.98
2020-03-23,17.18
2020-03-24,19.96
2020-03-25,19.39
2020-03-26,19.89
2020-03-27,19.46
2020-03-30,20.19
2020-03-31,20.23
2020-04-01,20.09
2020-04-02,20.18
2020-04-03,20.29
2020-04-06,21.58
2020-04-07,21.34
2020-04-08,21.84
2020-04-09,20.39
2020-04-13,20.93
2020-04-14,21.87
2020-04-15,21.97
2020-04-16,22.05
2020-04-17,22.59
2020-04-20,22.47
2020-04-21,20.24
2020-04-22,20.86
2020-04-23,20.12
2020-04-24,20.65
2020-04-27,21.13
2020-04-28,21.09
2020-04-29,21.7
2020-04-30,21.55
2020-05-01,20.87
2020-05-04,21.14
2020-05-05,21.71
2020-05-06,22.29
2020-05-07,27.02
2020-05-08,27.37
2020-05-11,28.09
2020-05-12,27.68
2020-05-13,27.43
2020-05-14,27.61
2020-05-15,28.69
2020-05-18,28.93
2020-05-19,28.96
2020-05-20,29.12
2020-05-21,28.68
2020-05-22,28.53
2020-05-26,27.51
2020-05-27,26.23
2020-05-28,26.93
2020-05-29,27.84
2020-06-01,28.95
2020-06-02,28.79
2020-06-03,28.58
2020-06-04,27.92
2020-06-05,28.1
2020-06-08,27.5
2020-06-09,27.18
2020-06-10,27.53
2020-06-11,26.35
2020-06-12,26.07
2020-06-15,27.18
2020-06-16,27.35
2020-06-17,27.1
2020-06-18,27.13
2020-06-19,27.34
2020-06-22,28.57
2020-06-23,27.41
2020-06-24,26.87
2020-06-25,27.17
2020-06-26,26.91
2020-06-29,26.69
2020-06-30,27.45
2020-07-01,27.84
2020-07-02,27.69
2020-07-06,27.94
2020-07-07,27.59
2020-07-08,29.27
2020-07-09,29.92
2020-07-10,29.16
2020-07-13,26.22
2020-07-14,26.9
2020-07-15,25.86
2020-07-16,25.47
2020-07-17,25.82
2020-07-20,26.96
2020-07-21,26.73
2020-07-22,26.86
2020-07-23,27.03
2020-07-24,26.61
2020-07-27,27.33
2020-07-28,26.68
2020-07-29,27.37
2020-07-30,27.35
2020-07-31,27.66
2020-08-03,27.64
2020-08-04,27.77
