date,close
2020-01-27,56.22
2020-01-28,56.53
2020-01-29,56.74
2020-01-30,57.41
2020-01-31,56.45
2020-02-03,56.34
2020-02-04,57.63
2020-02-05,58.43
2020-02-06,58.64
2020-02-07,59.53
2020-02-10,59.77
2020-02-11,59.82
2020-02-12,59.52
2020-02-13,58.19
2020-02-14,58.62
2020-02-18,58.5
2020-02-19,57.91
2020-02-20,57.85
2020-02-21,57.12
2020-02-24,54.66
2020-02-25,52.95
2020-02-26,53.3
2020-02-27,52.96
2020-02-28,52.11
2020-03-02,53.23
2020-03-03,52.27
2020-03-04,54.3
2020-03-05,51.35
2020-03-06,50.33
2020-03-09,46.79
2020-03-10,47.06
2020-03-11,44.77
2020-03-12,41.99
2020-03-13,45.0
2020-03-16,39.06
2020-03-17,39.67
2020-03-18,33.95
2020-03-19,34.69
2020-03-20,34.34
2020-03-23,31.65
2020-03-24,37.61
2020-03-25,37.59
2020-03-26,38.93
2020-03-27,37.41
2020-03-30,39.25
2020-03-31,41.58
2020-04-01,41.41
2020-04-02,42.19
2020-04-03,40.89
2020-04-06,43.13
2020-04-07,44.04
2020-04-08,45.69
2020-04-09,45.99
2020-04-13,44.77
2020-04-14,45.96
2020-04-15,43.31
2020-04-16,42.78
2020-04-17,45.48
2020-04-20,44.22
2020-04-21,42.07
2020-04-22,43.5
2020-04-23,44.15
2020-04-24,45.46
2020-04-27,48.2
2020-04-28,48.75
2020-04-29,49.39
2020-04-30,48.22
2020-05-01,45.77
2020-05-04,45.96
2020-05-05,43.95
2020-05-06,43.52
2020-05-07,43.64
2020-05-08,44.65
2020-05-11,44.31
2020-05-12,42.31
2020-05-13,41.03
2020-05-14,42.01
2020-05-15,41.63
2020-05-18,44.59
2020-05-19,44.53
2020-05-20,44.53
2020-05-21,43.91
2020-05-22,44.1
2020-05-26,46.24
2020-05-27,47.96
2020-05-28,46.36
2020-05-29,45.94
2020-06-01,46.84
2020-06-02,48.24
2020-06-03,50.54
2020-06-04,50.82
2020-06-05,53.2
2020-06-08,53.02
2020-06-09,52.42
2020-06-10,50.37
2020-06-11,47.35
2020-06-12,47.95
2020-06-15,48.51
2020-06-16,51.09
2020-06-17,51.16
2020-06-18,51.37
2020-06-19,51.12
2020-06-22,51.53
2020-06-23,51.45
2020-06-24,49.73
2020-06-25,50.98
2020-06-26,50.0
2020-06-29,51.17
2020-06-30,50.98
2020-07-01,50.82
2020-07-02,51.34
2020-07-06,52.1
2020-07-07,51.28
2020-07-08,51.44
2020-07-09,50.69
2020-07-10,50.67
2020-07-13,50.95
2020-07-14,52.11
2020-07-15,53.63
2020-07-16,54.03
2020-07-17,54.31
2020-07-20,53.3
2020-07-21,53.64
2020-07-22,53.89
2020-07-23,54.64
2020-07-24,53.49
2020-07-27,54.17
2020-07-28,53.51
2020-07-29,55.45
2020-07-30,54.37
2020-07-31,52.88
2020-08-03,52.41
2020-08-04,52.34
2020-08-05,52.75
2020-08-06,53.27
2020-08-07,54.42
2020-08-10,54.14
2020-08-11,55.34
2020-08-12,56.46
2020-08-13,55.58
2020-08-14,55.44
2020-08-17,55.36
2020-08-18,54.31
2020-08-19,53.8
2020-08-20,54.16
2020-08-21,54.03
2020-08-24,54.24
2020-08-25,53.15
2020-08-26,53.49
2020-08-27,53.37
2020-08-28,54.87
2020-08-31,54.33
2020-09-01,55.44
2020-09-02,56.0
2020-09-03,55.22
2020-09-04,55.91
2020-09-08,55.49
2020-09-09,57.0
2020-09-10,57.6
2020-09-11,58.29
2020-09-14,58.49
2020-09-15,58.16
2020-09-16,57.94
2020-09-17,58.35
2020-09-18,57.1
2020-09-21,54.52
2020-09-22,54.83
2020-09-23,54.02
2020-09-24,54.8
2020-09-25,55.88
2020-09-28,57.05
2020-09-29,57.42
2020-09-30,57.42
2020-10-01,56.76
2020-10-02,58.31
2020-10-05,59.56
2020-10-06,59.25
2020-10-07,61.06
2020-10-08,61.62
2020-10-09,52.6
2020-10-12,51.01
2020-10-13,50.04
2020-10-14,50.48
2020-10-15,50.79
2020-10-16,50.58
2020-10-19,49.55
2020-10-20,49.64
2020-10-21,49.59
2020-10-22,50.12
2020-10-23,50.1
2020-10-26,48.61
2020-10-27,47.95
2020-10-28,46.57
2020-10-29,46.91
2020-10-30,46.41
2020-11-02,47.71
2020-11-03,48.96
2020-11-04,48.68
2020-11-05,51.19
2020-11-06,51.51
2020-11-09,52.99
2020-11-10,52.59
2020-11-11,52.74
2020-11-12,52.37
2020-11-13,53.45
2020-11-16,54.37
2020-11-17,53.98
2020-11-18,53.48
2020-11-19,53.74
2020-11-20,53.73
2020-11-23,54.0
2020-11-24,55.0
2020-11-25,54.15
2020-11-27,53.82
2020-11-30,52.84
2020-12-01,53.15
2020-12-02,52.47
2020-12-03,51.86
2020-12-04,53.7
2020-12-07,52.28
2020-12-08,51.53
2020-12-09,52.47
2020-12-10,51.93
2020-12-11,51.65
2020-12-14,51.43
2020-12-15,52.29
2020-12-16,51.92
2020-12-17,52.23
2020-12-18,52.61
2020-12-21,52.59
2020-12-22,51.58
2020-12-23,52.25
2020-12-24,52.47
2020-12-28,51.96
2020-12-29,51.51
2020-12-30,52.41
2020-12-31,53.36
2021-01-04,51.84
2021-01-05,51.61
2021-01-06,53.54
2021-01-07,54.66
2021-01-08,54.68
2021-01-11,53.56
2021-01-12,53.56
2021-01-13,52.89
2021-01-14,53.14
2021-01-15,52.9
2021-01-19,53.02
2021-01-20,52.89
2021-01-21,52.78
2021-01-22,52.23
2021-01-25,51.13
2021-01-26,50.48
2021-01-27,49.83
2021-01-28,50.32
2021-01-29,49.78
2021-02-01,50.2
2021-02-02,50.15
2021-02-03,49.91
2021-02-04,49.78
2021-02-05,51.91
2021-02-08,50.99
2021-02-09,51.41
2021-02-10,52.92
2021-02-11,53.14
2021-02-12,53.88
2021-02-16,52.59
2021-02-17,50.93
2021-02-18,50.24
2021-02-19,50.62
2021-02-22,50.55
2021-02-23,50.81
2021-02-24,50.96
2021-02-25,49.96
2021-02-26,49.59
2021-03-01,51.22
2021-03-02,51.3
2021-03-03,51.03
2021-03-04,50.06
2021-03-05,50.57
2021-03-08,51.86
2021-03-09,52.14
2021-03-10,52.33
2021-03-11,51.37
2021-03-12,50.92
2021-03-15,51.79
