date,close
2020-01-27,182.57
2020-01-28,183.63
2020-01-29,183.47
2020-01-30,181.23
2020-01-31,175.44
2020-02-03,176.62
2020-02-04,179.53
2020-02-05,183.97
2020-02-06,186.13
2020-02-07,186.74
2020-02-10,186.25
2020-02-11,186.94
2020-02-12,188.75
2020-02-13,189.43
2020-02-14,188.06
2020-02-18,188.14
2020-02-19,186.55
2020-02-20,185.95
2020-02-21,187.6
2020-02-24,184.61
2020-02-25,173.92
2020-02-26,171.55
2020-02-27,166.14
2020-02-28,159.69
2020-03-02,165.03
2020-03-03,161.05
2020-03-04,168.28
2020-03-05,163.36
2020-03-06,163.03
2020-03-09,150.02
2020-03-10,155.3
2020-03-11,148.45
2020-03-12,132.23
2020-03-13,139.64
2020-03-16,126.7
2020-03-17,131.59
2020-03-18,121.11
2020-03-19,118.03
2020-03-20,113.99
2020-03-23,106.6
2020-03-24,114.21
2020-03-25,122.0
2020-03-26,133.16
2020-03-27,130.07
2020-03-30,133.6
2020-03-31,132.31
2020-04-01,127.4
2020-04-02,127.92
2020-04-03,125.68
2020-04-06,133.69
2020-04-07,134.4
2020-04-08,137.39
2020-04-09,141.01
2020-04-13,136.95
2020-04-14,138.5
2020-04-15,133.81
2020-04-16,132.44
2020-04-17,138.19
2020-04-20,135.25
2020-04-21,131.69
2020-04-22,133.37
2020-04-23,130.49
2020-04-24,129.3
2020-04-27,134.5
2020-04-28,136.49
2020-04-29,136.65
2020-04-30,130.62
2020-05-01,127.8
2020-05-04,124.78
2020-05-05,126.36
2020-05-06,121.73
2020-05-07,127.13
2020-05-08,135.35
2020-05-11,133.81
2020-05-12,132.04
2020-05-13,131.5
2020-05-14,132.91
2020-05-15,130.92
2020-05-18,139.48
2020-05-19,136.19
2020-05-20,136.99
2020-05-21,138.67
2020-05-22,138.57
2020-05-26,144.65
2020-05-27,150.45
2020-05-28,148.49
2020-05-29,146.83
2020-06-01,147.27
2020-06-02,149.32
2020-06-03,155.23
2020-06-04,157.09
2020-06-05,162.22
2020-06-08,167.78
2020-06-09,163.48
2020-06-10,158.05
2020-06-11,148.55
2020-06-12,149.2
2020-06-15,153.09
2020-06-16,155.99
2020-06-17,157.05
2020-06-18,159.06
2020-06-19,157.62
2020-06-22,153.8
2020-06-23,152.75
2020-06-24,146.45
2020-06-25,146.96
2020-06-26,146.05
2020-06-29,149.34
2020-06-30,149.46
2020-07-01,147.14
2020-07-02,147.3
2020-07-06,148.47
2020-07-07,145.18
2020-07-08,143.9
2020-07-09,138.02
2020-07-10,141.97
2020-07-13,142.82
2020-07-14,143.36
2020-07-15,145.79
2020-07-16,148.51
2020-07-17,148.91
2020-07-20,145.45
2020-07-21,147.81
2020-07-22,151.53
2020-07-23,151.01
2020-07-24,150.15
2020-07-27,147.98
2020-07-28,148.57
2020-07-29,149.44
2020-07-30,148.86
2020-07-31,146.74
2020-08-03,147.72
2020-08-04,147.24
2020-08-05,149.19
2020-08-06,149.14
2020-08-07,152.97
2020-08-10,156.56
2020-08-11,158.85
2020-08-12,156.41
2020-08-13,154.95
2020-08-14,156.46
2020-08-17,153.72
2020-08-18,153.03
2020-08-19,152.49
2020-08-20,150.94
2020-08-21,149.81
2020-08-24,153.3
2020-08-25,151.47
2020-08-26,150.47
2020-08-27,152.44
2020-08-28,152.27
2020-08-31,149.35
2020-09-01,150.19
2020-09-02,153.92
2020-09-03,151.94
2020-09-04,151.7
2020-09-08,146.96
2020-09-09,146.17
2020-09-10,142.58
2020-09-11,145.36
2020-09-14,147.47
2020-09-15,145.14
2020-09-16,146.78
2020-09-17,144.59
2020-09-18,142.99
2020-09-21,138.33
2020-09-22,139.45
2020-09-23,136.51
2020-09-24,136.9
2020-09-25,138.21
2020-09-28,140.92
2020-09-29,138.55
2020-09-30,138.43
2020-10-01,138.22
2020-10-02,140.49
2020-10-05,142.73
2020-10-06,142.31
2020-10-07,144.87
2020-10-08,145.04
2020-10-09,143.66
2020-10-12,144.73
2020-10-13,143.24
2020-10-14,142.89
2020-10-15,140.81
2020-10-16,142.24
2020-10-19,138.68
2020-10-20,138.46
2020-10-21,136.61
2020-10-22,139.42
2020-10-23,140.7
2020-10-26,138.51
2020-10-27,134.87
2020-10-28,132.43
2020-10-29,131.32
2020-10-30,131.33
2020-11-02,136.09
2020-11-03,138.2
2020-11-04,139.09
2020-11-05,139.15
2020-11-06,139.32
2020-11-09,147.13
2020-11-10,151.31
2020-11-11,150.29
2020-11-12,147.5
2020-11-13,151.15
2020-11-16,152.93
2020-11-17,151.47
2020-11-18,153.5
2020-11-19,149.99
2020-11-20,148.36
2020-11-23,150.02
2020-11-24,153.67
2020-11-25,152.04
2020-11-27,152.06
2020-11-30,149.35
2020-12-01,151.76
2020-12-02,153.35
2020-12-03,153.88
2020-12-04,156.04
2020-12-07,153.0
2020-12-08,153.57
2020-12-09,154.14
2020-12-10,150.37
2020-12-11,151.33
2020-12-14,153.34
2020-12-15,154.6
2020-12-16,153.4
2020-12-17,151.59
2020-12-18,152.67
2020-12-21,149.67
2020-12-22,146.5
2020-12-23,148.15
2020-12-24,149.01
2020-12-28,148.72
2020-12-29,147.55
2020-12-30,148.3
2020-12-31,148.82
2021-01-04,145.94
2021-01-05,146.01
2021-01-06,149.74
2021-01-07,151.72
2021-01-08,150.77
2021-01-11,151.78
2021-01-12,153.5
2021-01-13,152.63
2021-01-14,154.09
2021-01-15,153.17
2021-01-19,153.13
2021-01-20,154.03
2021-01-21,151.06
2021-01-22,152.77
2021-01-25,153.16
2021-01-26,150.33
2021-01-27,152.73
2021-01-28,150.43
2021-01-29,146.68
2021-02-01,147.67
2021-02-02,149.82
2021-02-03,153.08
2021-02-04,157.53
2021-02-05,158.82
2021-02-08,159.64
2021-02-09,162.14
2021-02-10,163.13
2021-02-11,163.45
2021-02-12,164.83
2021-02-16,163.32
2021-02-17,164.49
2021-02-18,163.23
2021-02-19,164.78
2021-02-22,166.42
2021-02-23,167.35
2021-02-24,168.06
2021-02-25,166.2
2021-02-26,163.47
2021-03-01,167.06
2021-03-02,167.68
2021-03-03,167.95
2021-03-04,165.77
2021-03-05,170.52
2021-03-08,172.69
2021-03-09,168.74
2021-03-10,172.42
2021-03-11,172.67
2021-03-12,176.29
2021-03-15,176.71
2021-03-16,175.32
2021-03-17,177.52
2021-03-18,179.24
2021-03-19,177.62
2021-03-22,176.56
2021-03-23,174.87
2021-03-24,176.42
2021-03-25,180.06
2021-03-26,181.54
2021-03-29,183.3
2021-03-30,182.1
2021-03-31,181.56
2021-04-01,180.83
2021-04-05,185.59
2021-04-06,185.11
2021-04-07,184.79
2021-04-08,184.11
2021-04-09,183.0
2021-04-12,184.94
2021-04-13,182.28
2021-04-14,183.48
2021-04-15,183.93
2021-04-16,184.47
2021-04-19,184.79
2021-04-20,184.07
2021-04-21,185.85
2021-04-22,184.5
2021-04-23,186.48
2021-04-26,185.19
2021-04-27,185.89
2021-04-28,185.26
2021-04-29,190.71
2021-04-30,190.23
2021-05-03,191.69
2021-05-04,191.99
2021-05-05,190.68
2021-05-06,192.68
2021-05-07,194.82
2021-05-10,194.6
2021-05-11,191.54
2021-05-12,186.88
2021-05-13,191.29
2021-05-14,191.94
2021-05-17,191.65
2021-05-18,189.35
2021-05-19,188.52
2021-05-20,189.06
2021-05-21,189.88
2021-05-24,189.6
2021-05-25,188.91
2021-05-26,189.02
2021-05-27,190.67
2021-05-28,189.91
2021-06-01,189.54
2021-06-02,191.54
2021-06-03,190.81
2021-06-04,193.57
2021-06-07,191.77
2021-06-08,192.72
2021-06-09,191.87
2021-06-10,191.48
2021-06-11,191.49
2021-06-14,190.84
2021-06-15,192.45
2021-06-16,190.08
2021-06-17,187.68
2021-06-18,185.15
2021-06-21,190.78
2021-06-22,189.58
2021-06-23,186.81
2021-06-24,188.11
2021-06-25,189.81
2021-06-28,188.87
2021-06-29,186.7
2021-06-30,188.26
2021-07-01,188.05
2021-07-02,188.54
2021-07-06,186.91
2021-07-07,189.79
2021-07-08,188.02
2021-07-09,190.22
2021-07-12,189.33
2021-07-13,188.74
2021-07-14,189.46
2021-07-15,189.35
2021-07-16,189.28
2021-07-19,184.09
2021-07-20,190.01
2021-07-21,191.63
2021-07-22,190.57
2021-07-23,191.86
2021-07-26,191.92
2021-07-27,194.05
2021-07-28,195.51
2021-07-29,198.14
2021-07-30,196.03
2021-08-02,195.83
2021-08-03,197.32
2021-08-04,195.87
2021-08-05,196.69
2021-08-06,199.08
2021-08-09,197.24
2021-08-10,199.02
2021-08-11,200.69
2021-08-12,199.17
2021-08-13,198.37
2021-08-16,200.46
2021-08-17,199.32
2021-08-18,196.8
2021-08-19,195.49
2021-08-20,197.3
2021-08-23,198.01
2021-08-24,198.92
2021-08-25,199.3
2021-08-26,199.07
2021-08-27,199.72
2021-08-30,199.19
2021-08-31,200.31
2021-09-01,199.79
2021-09-02,202.3
2021-09-03,202.46
2021-09-07,202.39
2021-09-08,204.4
2021-09-09,203.81
2021-09-10,201.6
2021-09-13,199.42
