date,close
2020-01-27,53.22
2020-01-28,53.01
2020-01-29,53.03
2020-01-30,53.73
2020-01-31,52.22
2020-02-03,52.99
2020-02-04,52.55
2020-02-05,52.56
2020-02-06,51.71
2020-02-07,51.9
2020-02-10,52.36
2020-02-11,52.76
2020-02-12,52.93
2020-02-13,52.99
2020-02-14,53.31
2020-02-18,53.54
2020-02-19,53.24
2020-02-20,54.13
2020-02-21,53.92
2020-02-24,53.72
2020-02-25,52.53
2020-02-26,52.14
2020-02-27,50.14
2020-02-28,49.0
2020-03-02,51.41
2020-03-03,51.65
2020-03-04,54.17
2020-03-05,54.3
2020-03-06,54.77
2020-03-09,54.14
2020-03-10,54.09
2020-03-11,52.87
2020-03-12,50.0
2020-03-13,53.48
2020-03-16,53.38
2020-03-17,59.67
2020-03-18,57.75
2020-03-19,53.68
2020-03-20,53.37
2020-03-23,47.28
2020-03-24,48.23
2020-03-25,47.65
2020-03-26,50.0
2020-03-27,51.82
2020-03-30,54.1
2020-03-31,52.77
2020-04-01,53.12
2020-04-02,54.88
2020-04-03,56.71
2020-04-06,57.7
2020-04-07,56.44
2020-04-08,55.73
2020-04-09,57.4
2020-04-13,57.67
2020-04-14,58.85
2020-04-15,59.05
2020-04-16,60.69
2020-04-17,60.67
2020-04-20,60.76
2020-04-21,59.78
2020-04-22,60.19
2020-04-23,59.71
2020-04-24,60.48
2020-04-27,59.98
2020-04-28,60.96
2020-04-29,60.3
2020-04-30,59.89
2020-05-01,59.58
2020-05-04,59.73
2020-05-05,59.81
2020-05-06,58.97
2020-05-07,58.77
2020-05-08,59.76
2020-05-11,60.81
2020-05-12,62.51
2020-05-13,63.56
2020-05-14,62.21
2020-05-15,62.49
2020-05-18,61.58
2020-05-19,60.73
2020-05-20,60.93
2020-05-21,59.95
2020-05-22,59.96
2020-05-26,59.92
2020-05-27,60.82
2020-05-28,61.91
2020-05-29,63.04
2020-06-01,63.54
2020-06-02,63.42
2020-06-03,61.47
2020-06-04,60.76
2020-06-05,61.0
2020-06-08,62.14
2020-06-09,62.82
2020-06-10,62.78
2020-06-11,60.58
2020-06-12,60.15
2020-06-15,60.87
2020-06-16,61.79
2020-06-17,61.8
2020-06-18,61.76
2020-06-19,61.58
2020-06-22,61.52
2020-06-23,61.0
2020-06-24,60.29
2020-06-25,60.33
2020-06-26,59.21
2020-06-29,60.74
2020-06-30,61.65
2020-07-01,60.43
2020-07-02,61.48
2020-07-06,62.19
2020-07-07,62.98
2020-07-08,62.94
2020-07-09,62.55
2020-07-10,63.55
