date,close
2020-01-27,33.41
2020-01-28,33.64
2020-01-29,33.6
2020-01-30,33.33
2020-01-31,33.39
2020-02-03,33.72
2020-02-04,34.37
2020-02-05,35.03
2020-02-06,34.33
2020-02-07,33.63
2020-02-10,34.25
2020-02-11,35.01
2020-02-12,35.49
2020-02-13,35.29
2020-02-14,34.76
2020-02-18,34.41
2020-02-19,34.92
2020-02-20,35.29
2020-02-21,34.65
2020-02-24,33.09
2020-02-25,31.75
2020-02-26,32.0
2020-02-27,30.71
2020-02-28,30.5
2020-03-02,31.42
2020-03-03,30.52
2020-03-04,31.53
2020-03-05,30.1
2020-03-06,28.69
2020-03-09,24.69
2020-03-10,27.12
2020-03-11,26.0
2020-03-12,23.04
2020-03-13,24.71
2020-03-16,21.0
2020-03-17,20.32
2020-03-18,16.8
2020-03-19,17.71
2020-03-20,18.14
2020-03-23,17.6
2020-03-24,21.11
2020-03-25,21.49
2020-03-26,22.56
2020-03-27,21.38
2020-03-30,21.32
2020-03-31,20.78
2020-04-01,19.26
2020-04-02,18.19
2020-04-03,18.04
2020-04-06,19.55
2020-04-07,21.3
2020-04-08,23.13
2020-04-09,24.06
2020-04-13,23.01
2020-04-14,22.98
2020-04-15,21.66
2020-04-16,20.87
2020-04-17,22.48
2020-04-20,22.38
2020-04-21,21.24
2020-04-22,21.3
2020-04-23,21.52
2020-04-24,21.95
2020-04-27,22.45
2020-04-28,22.18
2020-04-29,23.78
2020-04-30,22.29
2020-05-01,20.9
2020-05-04,20.75
2020-05-05,21.26
2020-05-06,21.89
2020-05-07,22.44
2020-05-08,23.93
2020-05-11,22.8
2020-05-12,22.56
2020-05-13,21.46
2020-05-14,22.31
2020-05-15,22.63
2020-05-18,24.81
2020-05-19,24.69
2020-05-20,25.48
2020-05-21,25.8
2020-05-22,25.98
2020-05-26,27.4
2020-05-27,27.79
2020-05-28,26.68
2020-05-29,25.88
2020-06-01,26.94
2020-06-02,27.41
2020-06-03,29.07
2020-06-04,29.16
2020-06-05,30.61
2020-06-08,30.68
2020-06-09,29.86
2020-06-10,28.75
2020-06-11,26.5
2020-06-12,27.96
2020-06-15,27.77
2020-06-16,27.78
2020-06-17,27.16
2020-06-18,27.09
2020-06-19,26.59
2020-06-22,26.37
2020-06-23,26.25
2020-06-24,25.28
