date,close
2020-01-27,71.59
2020-01-28,72.53
2020-01-29,72.84
2020-01-30,72.71
2020-01-31,71.64
2020-02-03,74.13
2020-02-04,72.27
2020-02-05,72.3
2020-02-06,73.8
2020-02-07,73.96
2020-02-10,75.43
2020-02-11,75.5
2020-02-12,75.93
2020-02-13,75.67
2020-02-14,75.94
2020-02-18,75.97
2020-02-19,76.24
2020-02-20,75.85
2020-02-21,74.17
2020-02-24,70.99
2020-02-25,69.32
2020-02-26,69.52
2020-02-27,65.75
2020-02-28,66.96
2020-03-02,69.32
2020-03-03,66.89
2020-03-04,69.08
2020-03-05,65.74
2020-03-06,64.79
2020-03-09,60.79
2020-03-10,63.76
2020-03-11,60.55
2020-03-12,55.58
2020-03-13,60.71
2020-03-16,53.65
2020-03-17,55.9
2020-03-18,54.56
2020-03-19,55.58
2020-03-20,53.41
2020-03-23,52.71
2020-03-24,56.5
2020-03-25,55.08
2020-03-26,58.15
2020-03-27,55.51
2020-03-30,57.32
2020-03-31,58.1
2020-04-01,55.1
2020-04-02,55.85
2020-04-03,54.64
2020-04-06,59.16
2020-04-07,59.13
2020-04-08,60.35
2020-04-09,60.33
2020-04-13,60.52
2020-04-14,63.26
2020-04-15,62.87
2020-04-16,62.87
2020-04-17,63.95
2020-04-20,63.06
2020-04-21,60.61
2020-04-22,62.92
2020-04-23,63.56
2020-04-24,63.83
2020-04-27,63.54
2020-04-28,61.63
2020-04-29,67.11
2020-04-30,67.34
2020-05-01,65.87
2020-05-04,66.15
2020-05-05,67.45
2020-05-06,67.27
2020-05-07,68.46
2020-05-08,69.22
2020-05-11,70.18
2020-05-12,68.76
2020-05-13,67.42
2020-05-14,67.84
2020-05-15,68.65
2020-05-18,69.26
2020-05-19,68.72
2020-05-20,70.46
2020-05-21,70.34
2020-05-22,70.66
2020-05-26,71.07
2020-05-27,71.01
2020-05-28,70.91
2020-05-29,71.68
2020-06-01,71.74
2020-06-02,72.12
2020-06-03,71.96
2020-06-04,70.72
2020-06-05,72.0
2020-06-08,72.4
2020-06-09,72.6
2020-06-10,73.24
2020-06-11,70.1
2020-06-12,70.65
2020-06-15,71.04
2020-06-16,72.32
2020-06-17,72.63
2020-06-18,71.71
2020-06-19,71.23
2020-06-22,72.53
2020-06-23,73.2
2020-06-24,71.64
2020-06-25,72.05
2020-06-26,68.13
2020-06-29,69.86
2020-06-30,70.9
2020-07-01,72.1
2020-07-02,73.5
2020-07-06,74.98
2020-07-07,74.5
2020-07-08,75.18
2020-07-09,75.93
2020-07-10,76.95
2020-07-13,75.61
2020-07-14,76.04
2020-07-15,75.84
2020-07-16,75.75
2020-07-17,75.84
2020-07-20,78.19
2020-07-21,77.8
2020-07-22,78.24
2020-07-23,75.84
2020-07-24,75.41
2020-07-27,76.47
2020-07-28,75.18
2020-07-29,76.18
2020-07-30,76.92
2020-07-31,74.4
2020-08-03,74.14
2020-08-04,73.67
2020-08-05,73.95
2020-08-06,75.25
2020-08-07,74.92
2020-08-10,74.84
2020-08-11,74.03
2020-08-12,75.36
2020-08-13,75.83
2020-08-14,75.23
2020-08-17,75.81
2020-08-18,77.79
2020-08-19,77.23
2020-08-20,78.81
2020-08-21,78.78
2020-08-24,79.26
2020-08-25,80.29
2020-08-26,82.21
2020-08-27,81.43
2020-08-28,81.97
2020-08-31,81.48
2020-09-01,82.75
2020-09-02,85.87
2020-09-03,81.48
2020-09-04,79.06
2020-09-08,76.18
2020-09-09,77.36
2020-09-10,76.3
2020-09-11,75.79
2020-09-14,75.44
2020-09-15,76.76
2020-09-16,75.6
2020-09-17,74.35
2020-09-18,72.55
2020-09-21,71.51
2020-09-22,72.99
2020-09-23,70.47
2020-09-24,71.14
2020-09-25,71.95
2020-09-28,72.93
2020-09-29,73.3
2020-09-30,73.28
2020-10-01,74.4
2020-10-02,72.78
2020-10-05,74.14
2020-10-06,72.55
2020-10-07,72.96
2020-10-08,74.17
2020-10-09,75.52
2020-10-12,78.23
2020-10-13,78.35
2020-10-14,78.17
2020-10-15,77.77
2020-10-16,78.39
2020-10-19,76.5
2020-10-20,77.55
2020-10-21,79.3
2020-10-22,80.33
2020-10-23,81.65
2020-10-26,79.21
2020-10-27,79.94
2020-10-28,75.54
2020-10-29,77.84
2020-10-30,80.81
2020-11-02,81.22
2020-11-03,82.28
2020-11-04,87.29
2020-11-05,88.13
2020-11-06,87.99
2020-11-09,88.07
2020-11-10,86.89
2020-11-11,87.36
2020-11-12,87.14
2020-11-13,88.61
2020-11-16,88.7
2020-11-17,88.08
2020-11-18,87.03
2020-11-19,87.93
2020-11-20,86.82
2020-11-23,86.38
2020-11-24,88.2
2020-11-25,88.21
2020-11-27,89.35
2020-11-30,87.72
2020-12-01,89.77
2020-12-02,91.25
2020-12-03,91.09
2020-12-04,91.19
2020-12-07,90.85
2020-12-08,90.57
2020-12-09,88.89
2020-12-10,88.38
2020-12-11,88.74
2020-12-14,87.61
2020-12-15,88.05
2020-12-16,87.86
2020-12-17,87.03
2020-12-18,86.31
2020-12-21,86.73
2020-12-22,86.01
2020-12-23,86.41
2020-12-24,86.71
2020-12-28,88.7
2020-12-29,87.89
2020-12-30,86.81
2020-12-31,87.63
2021-01-04,86.31
2021-01-05,87.0
2021-01-06,86.14
2021-01-07,88.72
2021-01-08,89.89
2021-01-11,87.81
2021-01-12,86.87
2021-01-13,87.36
2021-01-14,86.55
2021-01-15,86.38
2021-01-19,89.22
2021-01-20,94.0
2021-01-21,94.21
2021-01-22,94.63
2021-01-25,94.71
2021-01-26,95.4
2021-01-27,90.95
2021-01-28,92.66
2021-01-29,91.37
2021-02-01,94.65
2021-02-02,95.96
2021-02-03,102.94
2021-02-04,102.68
2021-02-05,104.44
2021-02-08,104.23
2021-02-09,103.77
2021-02-10,104.32
2021-02-11,104.44
2021-02-12,104.75
2021-02-16,105.54
2021-02-17,105.93
2021-02-18,105.29
2021-02-19,104.44
2021-02-22,102.71
2021-02-23,103.01
2021-02-24,104.19
2021-02-25,100.8
2021-02-26,101.1
2021-03-01,103.48
2021-03-02,103.22
2021-03-03,100.57
2021-03-04,101.7
2021-03-05,104.85
2021-03-08,100.38
2021-03-09,102.02
2021-03-10,101.81
2021-03-11,105.03
2021-03-12,102.5
2021-03-15,102.72
2021-03-16,104.19
2021-03-17,104.11
2021-03-18,101.07
2021-03-19,101.35
2021-03-22,101.53
2021-03-23,102.07
2021-03-24,101.63
2021-03-25,101.62
2021-03-26,101.24
2021-03-29,102.29
2021-03-30,102.32
2021-03-31,103.13
2021-04-01,106.49
2021-04-05,110.95
2021-04-06,110.46
2021-04-07,111.95
2021-04-08,112.52
2021-04-09,113.53
2021-04-12,112.23
2021-04-13,112.72
2021-04-14,112.1
2021-04-15,114.26
2021-04-16,114.14
2021-04-19,114.49
2021-04-20,113.95
2021-04-21,113.92
2021-04-22,112.63
2021-04-23,115.0
2021-04-26,115.5
2021-04-27,114.55
2021-04-28,117.95
2021-04-29,119.64
2021-04-30,117.67
2021-05-03,117.15
2021-05-04,115.34
2021-05-05,115.74
2021-05-06,116.87
2021-05-07,117.6
2021-05-10,114.59
2021-05-11,113.5
2021-05-12,110.01
2021-05-13,111.45
2021-05-14,113.92
2021-05-17,114.45
2021-05-18,113.12
2021-05-19,113.58
2021-05-20,115.35
2021-05-21,114.71
2021-05-24,118.05
2021-05-25,118.14
2021-05-26,119.02
2021-05-27,118.13
2021-05-28,117.84
2021-06-01,119.06
2021-06-02,118.53
2021-06-03,117.38
2021-06-04,119.68
2021-06-07,120.12
2021-06-08,119.92
2021-06-09,120.4
2021-06-10,121.76
2021-06-11,121.51
2021-06-14,122.45
2021-06-15,121.42
2021-06-16,120.77
2021-06-17,121.74
2021-06-18,120.11
2021-06-21,121.81
2021-06-22,122.33
2021-06-23,122.13
2021-06-24,122.5
2021-06-25,122.51
2021-06-28,122.54
2021-06-29,122.27
2021-06-30,122.09
2021-07-01,122.44
2021-07-02,125.26
2021-07-06,126.19
2021-07-07,126.47
2021-07-08,125.04
2021-07-09,125.52
2021-07-12,126.98
2021-07-13,127.34
2021-07-14,128.24
2021-07-15,127.01
2021-07-16,126.97
2021-07-19,124.58
2021-07-20,126.21
2021-07-21,127.55
2021-07-22,128.42
2021-07-23,133.02
2021-07-26,134.04
2021-07-27,131.9
2021-07-28,136.09
2021-07-29,135.78
2021-07-30,134.73
2021-08-02,134.85
2021-08-03,135.63
2021-08-04,135.13
2021-08-05,136.25
2021-08-06,135.74
2021-08-09,136.91
2021-08-10,136.81
2021-08-11,136.28
2021-08-12,137.19
2021-08-13,137.73
2021-08-16,138.31
2021-08-17,136.66
2021-08-18,135.45
2021-08-19,135.68
2021-08-20,137.43
2021-08-23,140.04
2021-08-24,141.26
2021-08-25,142.08
2021-08-26,141.44
2021-08-27,144.0
2021-08-30,144.59
2021-08-31,144.7
2021-09-01,145.22
2021-09-02,143.29
2021-09-03,143.74
2021-09-07,144.28
2021-09-08,143.69
2021-09-09,143.54
2021-09-10,140.88
2021-09-13,142.33
2021-09-14,142.54
2021-09-15,144.43
2021-09-16,143.61
2021-09-17,140.8
2021-09-20,138.72
2021-09-21,139.03
2021-09-22,140.28
2021-09-23,141.22
2021-09-24,142.22
2021-09-27,141.07
2021-09-28,135.83
2021-09-29,134.35
2021-09-30,133.68
2021-10-01,136.54
2021-10-04,133.66
2021-10-05,136.02
2021-10-06,137.57
2021-10-07,139.23
2021-10-08,139.79
2021-10-11,138.91
2021-10-12,136.45
2021-10-13,137.58
2021-10-14,141.15
2021-10-15,141.37
2021-10-18,142.78
2021-10-19,143.24
2021-10-20,141.77
2021-10-21,141.89
2021-10-22,137.57
2021-10-25,137.45
2021-10-26,139.31
2021-10-27,146.22
2021-10-28,145.85
2021-10-29,148.05
2021-11-01,143.5
2021-11-02,145.43
2021-11-03,146.6
2021-11-04,148.27
2021-11-05,148.85
2021-11-08,149.03
2021-11-09,148.92
2021-11-10,145.89
2021-11-11,145.77
2021-11-12,148.68
2021-11-15,148.45
2021-11-16,147.88
2021-11-17,148.05
2021-11-18,149.84
2021-11-19,148.93
2021-11-22,146.3
2021-11-23,145.78
2021-11-24,146.12
2021-11-26,142.18
2021-11-29,145.53
2021-11-30,141.9
2021-12-01,141.05
2021-12-02,142.97
2021-12-03,142.0
2021-12-06,143.16
2021-12-07,147.27
2021-12-08,148.19
2021-12-09,147.64
2021-12-10,148.0
2021-12-13,145.83
2021-12-14,143.91
2021-12-15,146.44
2021-12-16,144.45
2021-12-17,141.73
2021-12-20,141.61
2021-12-21,143.47
2021-12-22,146.42
2021-12-23,146.92
2021-12-27,147.91
2021-12-28,146.69
2021-12-29,146.66
2021-12-30,146.2
2021-12-31,144.85
2022-01-03,144.99
2022-01-04,144.4
2022-01-05,137.78
2022-01-06,137.75
2022-01-07,137.02
2022-01-10,138.67
2022-01-11,139.74
2022-01-12,141.43
2022-01-13,138.59
2022-01-14,139.48
2022-01-18,136.0
2022-01-19,135.12
2022-01-20,133.31
2022-01-21,130.35
2022-01-24,130.8
2022-01-25,126.93
2022-01-26,129.23
2022-01-27,129.01
2022-01-28,133.35
2022-01-31,135.3
2022-02-01,137.64
2022-02-02,148.0
2022-02-03,143.09
2022-02-04,143.29
2022-02-07,139.2
2022-02-08,139.4
2022-02-09,141.59
2022-02-10,138.62
2022-02-11,134.28
2022-02-14,135.53
2022-02-15,136.61
2022-02-16,137.74
2022-02-17,132.54
2022-02-18,130.4
2022-02-22,129.81
2022-02-23,127.59
2022-02-24,132.69
2022-02-25,134.46
2022-02-28,135.06
2022-03-01,134.06
2022-03-02,134.57
2022-03-03,133.9
2022-03-04,131.91
2022-03-07,126.38
2022-03-08,127.1
2022-03-09,133.42
2022-03-10,132.43
2022-03-11,129.87
2022-03-14,125.95
2022-03-15,129.2
2022-03-16,133.28
2022-03-17,133.84
2022-03-18,136.13
2022-03-21,136.1
2022-03-22,139.87
2022-03-23,138.28
2022-03-24,141.57
2022-03-25,141.67
2022-03-28,141.46
2022-03-29,142.51
2022-03-30,141.94
2022-03-31,139.07
2022-04-01,140.15
2022-04-04,142.97
2022-04-05,140.59
2022-04-06,136.55
2022-04-07,135.89
2022-04-08,133.29
2022-04-11,128.82
2022-04-12,127.71
2022-04-13,129.89
2022-04-14,126.73
2022-04-18,127.68
2022-04-19,130.01
2022-04-20,128.04
2022-04-21,124.81
2022-04-22,119.64
2022-04-25,123.07
2022-04-26,118.65
2022-04-27,114.29
2022-04-28,118.52
2022-04-29,114.11
2022-05-02,116.58
2022-05-03,117.33
2022-05-04,122.26
2022-05-05,116.51
2022-05-06,115.75
2022-05-09,112.51
2022-05-10,114.4
2022-05-11,113.6
2022-05-12,112.84
2022-05-13,116.05
2022-05-16,114.45
2022-05-17,116.47
2022-05-18,111.9
2022-05-19,110.38
2022-05-20,108.91
2022-05-23,111.49
2022-05-24,105.97
2022-05-25,105.8
2022-05-26,107.79
2022-05-27,112.32
2022-05-31,113.76
2022-06-01,113.89
2022-06-02,117.62
2022-06-03,114.54
2022-06-06,116.82
2022-06-07,117.15
2022-06-08,117.19
2022-06-09,114.84
2022-06-10,111.16
2022-06-13,106.39
2022-06-14,106.72
2022-06-15,109.76
2022-06-16,106.03
2022-06-17,107.14
2022-06-21,111.54
2022-06-22,111.49
2022-06-23,112.24
2022-06-24,117.98
2022-06-27,115.83
2022-06-28,112.01
2022-06-29,111.7
2022-06-30,108.96
2022-07-01,108.74
2022-07-05,113.26
2022-07-06,114.57
2022-07-07,118.78
2022-07-08,119.35
2022-07-11,115.68
2022-07-12,114.02
2022-07-13,111.35
2022-07-14,110.37
2022-07-15,111.78
2022-07-18,109.03
2022-07-19,113.81
2022-07-20,113.9
2022-07-21,114.34
2022-07-22,107.9
2022-07-25,107.51
2022-07-26,105.02
2022-07-27,113.06
2022-07-28,114.22
2022-07-29,116.32
2022-08-01,114.86
2022-08-02,115.13
2022-08-03,118.08
2022-08-04,118.19
2022-08-05,117.47
2022-08-08,117.3
2022-08-09,116.63
2022-08-10,119.7
2022-08-11,118.84
2022-08-12,121.68
2022-08-15,122.08
2022-08-16,121.7
2022-08-17,119.55
2022-08-18,120.17
2022-08-19,117.21
2022-08-22,114.24
2022-08-23,113.86
2022-08-24,113.69
2022-08-25,116.65
2022-08-26,110.34
2022-08-29,109.42
2022-08-30,108.94
2022-08-31,108.22
