date,close
2020-01-27,21.65
2020-01-28,22.08
2020-01-29,21.63
2020-01-30,21.95
2020-01-31,21.81
2020-02-03,21.5
2020-02-04,21.67
2020-02-05,22.58
2020-02-06,22.26
2020-02-07,21.8
2020-02-10,21.4
2020-02-11,21.73
2020-02-12,22.35
2020-02-13,22.19
2020-02-14,22.12
2020-02-18,21.86
2020-02-19,22.28
2020-02-20,21.95
2020-02-21,21.26
2020-02-24,19.83
2020-02-25,19.01
2020-02-26,18.4
2020-02-27,17.39
2020-02-28,16.96
2020-03-02,17.22
2020-03-03,15.95
2020-03-04,15.39
2020-03-05,14.74
2020-03-06,13.07
2020-03-09,8.15
2020-03-10,8.66
2020-03-11,7.83
2020-03-12,6.42
2020-03-13,7.15
2020-03-16,5.94
2020-03-17,6.14
2020-03-18,4.61
2020-03-19,4.8
2020-03-20,5.05
2020-03-23,5.24
2020-03-24,6.63
2020-03-25,6.77
2020-03-26,7.05
2020-03-27,6.39
2020-03-30,6.37
2020-03-31,6.85
2020-04-01,6.6
2020-04-02,7.52
2020-04-03,7.61
2020-04-06,7.91
2020-04-07,8.04
2020-04-08,8.75
2020-04-09,8.21
2020-04-13,7.85
2020-04-14,7.63
2020-04-15,6.95
2020-04-16,6.67
2020-04-17,7.58
2020-04-20,7.63
2020-04-21,7.46
2020-04-22,8.23
2020-04-23,8.92
2020-04-24,8.86
2020-04-27,8.91
2020-04-28,9.52
2020-04-29,11.02
2020-04-30,10.5
2020-05-01,9.76
2020-05-04,10.03
2020-05-05,9.86
2020-05-06,9.56
2020-05-07,10.01
2020-05-08,10.7
2020-05-11,10.58
2020-05-12,10.49
2020-05-13,9.54
2020-05-14,9.95
2020-05-15,9.82
2020-05-18,11.51
2020-05-19,11.15
2020-05-20,11.95
2020-05-21,11.98
2020-05-22,11.59
2020-05-26,11.87
2020-05-27,12.19
2020-05-28,12.11
2020-05-29,11.75
2020-06-01,12.04
2020-06-02,12.69
2020-06-03,13.08
2020-06-04,13.19
2020-06-05,14.52
2020-06-08,16.4
2020-06-09,15.43
2020-06-10,14.51
2020-06-11,12.28
2020-06-12,12.78
2020-06-15,13.03
2020-06-16,13.53
2020-06-17,12.96
2020-06-18,13.19
2020-06-19,13.04
2020-06-22,13.02
2020-06-23,13.0
2020-06-24,11.86
2020-06-25,12.43
2020-06-26,11.93
2020-06-29,12.42
2020-06-30,12.98
2020-07-01,12.47
2020-07-02,12.57
2020-07-06,13.03
2020-07-07,12.41
2020-07-08,12.47
2020-07-09,11.78
2020-07-10,12.06
2020-07-13,11.79
2020-07-14,12.48
2020-07-15,13.0
2020-07-16,13.09
2020-07-17,13.08
2020-07-20,13.41
2020-07-21,14.32
2020-07-22,14.18
2020-07-23,14.75
2020-07-24,14.71
2020-07-27,14.9
2020-07-28,14.65
2020-07-29,15.07
2020-07-30,14.67
2020-07-31,14.33
2020-08-03,14.53
2020-08-04,15.11
2020-08-05,15.32
2020-08-06,14.82
2020-08-07,14.89
2020-08-10,15.61
2020-08-11,16.14
2020-08-12,16.71
2020-08-13,16.65
2020-08-14,16.63
2020-08-17,16.65
2020-08-18,16.45
2020-08-19,16.49
2020-08-20,16.01
2020-08-21,15.74
2020-08-24,16.29
2020-08-25,16.15
2020-08-26,15.81
2020-08-27,16.02
2020-08-28,16.27
2020-08-31,16.18
2020-09-01,16.23
2020-09-02,16.25
2020-09-03,16.12
2020-09-04,15.99
2020-09-08,14.81
2020-09-09,15.06
2020-09-10,14.28
2020-09-11,14.27
2020-09-14,14.33
2020-09-15,14.44
2020-09-16,15.07
2020-09-17,14.82
2020-09-18,14.45
2020-09-21,13.22
2020-09-22,13.33
2020-09-23,12.65
2020-09-24,12.52
2020-09-25,12.37
2020-09-28,12.76
2020-09-29,12.07
2020-09-30,12.05
2020-10-01,11.17
2020-10-02,11.31
2020-10-05,11.93
2020-10-06,11.85
2020-10-07,11.93
2020-10-08,12.81
2020-10-09,12.58
2020-10-12,12.73
2020-10-13,12.54
2020-10-14,12.72
2020-10-15,13.07
2020-10-16,12.25
2020-10-19,12.17
2020-10-20,12.74
2020-10-21,12.67
2020-10-22,13.04
2020-10-23,13.31
2020-10-26,12.79
2020-10-27,12.51
2020-10-28,11.42
2020-10-29,11.62
2020-10-30,12.06
2020-11-02,12.8
2020-11-03,12.99
2020-11-04,12.71
2020-11-05,12.57
2020-11-06,12.28
2020-11-09,14.38
2020-11-10,14.38
2020-11-11,14.18
2020-11-12,13.92
2020-11-13,14.33
2020-11-16,15.46
2020-11-17,15.81
2020-11-18,15.39
2020-11-19,16.0
2020-11-20,15.9
2020-11-23,17.32
2020-11-24,17.91
2020-11-25,17.86
2020-11-27,17.56
2020-11-30,16.59
2020-12-01,17.08
2020-12-02,17.61
2020-12-03,18.02
2020-12-04,19.43
2020-12-07,18.97
2020-12-08,19.76
2020-12-09,19.51
2020-12-10,19.99
2020-12-11,19.83
2020-12-14,18.96
2020-12-15,20.07
2020-12-16,20.14
2020-12-17,20.08
2020-12-18,19.68
2020-12-21,19.35
2020-12-22,19.12
2020-12-23,19.48
2020-12-24,19.21
2020-12-28,18.89
2020-12-29,18.64
2020-12-30,19.12
2020-12-31,18.9
2021-01-04,18.83
2021-01-05,20.41
2021-01-06,20.82
2021-01-07,20.35
2021-01-08,20.12
2021-01-11,20.57
2021-01-12,22.13
2021-01-13,21.57
2021-01-14,21.76
2021-01-15,20.74
2021-01-19,20.54
2021-01-20,20.08
2021-01-21,19.41
2021-01-22,19.24
2021-01-25,18.63
2021-01-26,18.2
2021-01-27,17.28
2021-01-28,18.27
2021-01-29,17.63
2021-02-01,17.86
2021-02-02,18.02
2021-02-03,18.81
2021-02-04,19.11
2021-02-05,18.98
2021-02-08,20.04
2021-02-09,19.79
2021-02-10,20.26
2021-02-11,19.43
2021-02-12,20.17
2021-02-16,20.6
2021-02-17,20.55
2021-02-18,19.57
2021-02-19,20.2
2021-02-22,21.13
2021-02-23,20.94
2021-02-24,22.27
2021-02-25,22.03
2021-02-26,21.83
2021-03-01,23.01
2021-03-02,22.28
2021-03-03,22.28
2021-03-04,22.08
2021-03-05,23.84
2021-03-08,24.36
2021-03-09,23.47
2021-03-10,24.14
2021-03-11,23.84
2021-03-12,24.02
2021-03-15,23.97
2021-03-16,22.87
2021-03-17,23.35
2021-03-18,22.17
2021-03-19,21.79
2021-03-22,21.54
2021-03-23,20.81
2021-03-24,21.3
2021-03-25,21.2
2021-03-26,21.79
2021-03-29,21.24
2021-03-30,21.5
2021-03-31,21.46
2021-04-01,21.92
2021-04-05,21.32
2021-04-06,21.26
2021-04-07,21.42
2021-04-08,21.35
2021-04-09,21.07
2021-04-12,21.02
2021-04-13,20.68
2021-04-14,21.66
