date,close
2020-01-27,70.79
2020-01-28,70.41
2020-01-29,70.45
2020-01-30,71.47
2020-01-31,68.94
2020-02-03,69.62
2020-02-04,69.75
2020-02-05,71.11
2020-02-06,70.97
2020-02-07,69.97
2020-02-10,70.18
2020-02-11,70.89
2020-02-12,71.86
2020-02-13,71.51
2020-02-14,72.13
2020-02-18,72.99
2020-02-19,73.71
2020-02-20,68.92
2020-02-21,67.54
2020-02-24,64.93
2020-02-25,63.13
2020-02-26,63.18
2020-02-27,62.52
2020-02-28,60.94
2020-03-02,62.92
2020-03-03,60.56
2020-03-04,61.63
2020-03-05,59.25
2020-03-06,57.69
2020-03-09,54.51
2020-03-10,57.87
2020-03-11,57.68
2020-03-12,55.06
2020-03-13,56.71
2020-03-16,51.65
2020-03-17,54.61
2020-03-18,50.74
2020-03-19,49.81
2020-03-20,45.01
2020-03-23,43.18
2020-03-24,46.98
2020-03-25,50.03
2020-03-26,53.56
2020-03-27,50.0
2020-03-30,52.09
2020-03-31,50.52
2020-04-01,48.57
2020-04-02,48.44
2020-04-03,46.35
2020-04-06,47.14
2020-04-07,49.3
2020-04-08,52.37
2020-04-09,52.25
2020-04-13,51.7
2020-04-14,53.55
2020-04-15,52.16
2020-04-16,52.58
2020-04-17,53.64
2020-04-20,53.15
2020-04-21,52.03
2020-04-22,51.71
2020-04-23,51.63
2020-04-24,52.39
2020-04-27,54.86
2020-04-28,55.27
2020-04-29,56.95
2020-04-30,54.56
2020-05-01,52.15
2020-05-04,52.49
2020-05-05,53.7
2020-05-06,52.69
2020-05-07,53.89
2020-05-08,54.03
2020-05-11,55.47
2020-05-12,53.06
2020-05-13,51.13
2020-05-14,52.0
2020-05-15,51.76
2020-05-18,56.41
2020-05-19,57.05
2020-05-20,57.78
2020-05-21,57.18
2020-05-22,56.71
2020-05-26,59.57
2020-05-27,62.24
2020-05-28,61.45
2020-05-29,60.72
2020-06-01,61.13
2020-06-02,63.22
2020-06-03,63.24
2020-06-04,63.28
2020-06-05,65.83
2020-06-08,66.96
2020-06-09,61.16
2020-06-10,58.82
2020-06-11,55.82
2020-06-12,56.63
2020-06-15,58.18
2020-06-16,59.79
2020-06-17,59.77
2020-06-18,59.37
2020-06-19,60.42
2020-06-22,59.5
2020-06-23,59.35
2020-06-24,56.18
2020-06-25,56.4
2020-06-26,56.67
2020-06-29,58.06
2020-06-30,58.39
2020-07-01,58.86
2020-07-02,59.07
2020-07-06,59.52
2020-07-07,58.51
2020-07-08,57.19
2020-07-09,56.08
2020-07-10,57.16
2020-07-13,57.85
2020-07-14,59.69
2020-07-15,63.68
2020-07-16,64.76
2020-07-17,66.97
2020-07-20,66.44
2020-07-21,67.66
2020-07-22,67.75
2020-07-23,68.38
2020-07-24,67.03
2020-07-27,67.03
2020-07-28,65.9
2020-07-29,68.71
2020-07-30,68.65
2020-07-31,68.73
2020-08-03,70.9
2020-08-04,69.13
2020-08-05,67.13
2020-08-06,66.98
2020-08-07,67.8
2020-08-10,67.99
2020-08-11,67.2
2020-08-12,66.67
2020-08-13,66.96
2020-08-14,67.23
2020-08-17,66.78
2020-08-18,66.28
2020-08-19,65.14
2020-08-20,65.14
2020-08-21,66.15
2020-08-24,65.66
2020-08-25,65.49
2020-08-26,65.67
2020-08-27,66.45
2020-08-28,66.44
2020-08-31,66.44
2020-09-01,65.16
2020-09-02,66.89
2020-09-03,65.98
2020-09-04,65.64
2020-09-08,63.74
2020-09-09,64.77
2020-09-10,63.75
2020-09-11,64.37
2020-09-14,63.73
2020-09-15,63.75
2020-09-16,64.15
2020-09-17,62.85
2020-09-18,60.97
2020-09-21,59.8
2020-09-22,59.03
2020-09-23,57.18
2020-09-24,58.28
2020-09-25,58.79
2020-09-28,59.65
2020-09-29,58.57
2020-09-30,58.78
2020-10-01,57.92
2020-10-02,57.97
2020-10-05,60.51
2020-10-06,58.84
2020-10-07,59.46
2020-10-08,61.09
2020-10-09,60.46
2020-10-12,59.89
2020-10-13,59.66
2020-10-14,60.87
2020-10-15,61.36
2020-10-16,62.34
2020-10-19,61.87
2020-10-20,62.51
2020-10-21,63.62
2020-10-22,66.63
2020-10-23,67.79
2020-10-26,66.87
2020-10-27,65.61
2020-10-28,61.98
2020-10-29,62.9
2020-10-30,63.58
2020-11-02,62.22
2020-11-03,60.41
2020-11-04,59.94
2020-11-05,61.57
2020-11-06,61.67
2020-11-09,68.0
2020-11-10,68.08
2020-11-11,63.58
2020-11-12,63.36
2020-11-13,65.65
2020-11-16,64.45
2020-11-17,64.61
2020-11-18,64.24
2020-11-19,63.5
2020-11-20,63.58
2020-11-23,63.71
2020-11-24,64.57
2020-11-25,64.13
2020-11-27,63.68
2020-11-30,64.31
2020-12-01,64.91
2020-12-02,66.49
2020-12-03,66.47
2020-12-04,68.42
2020-12-07,68.73
2020-12-08,70.45
2020-12-09,71.15
2020-12-10,71.31
2020-12-11,69.95
2020-12-14,68.07
2020-12-15,68.94
2020-12-16,69.15
2020-12-17,68.89
2020-12-18,67.78
2020-12-21,66.46
2020-12-22,66.1
2020-12-23,66.44
2020-12-24,65.83
2020-12-28,66.22
2020-12-29,65.72
2020-12-30,65.84
2020-12-31,66.86
2021-01-04,66.49
2021-01-05,67.78
2021-01-06,69.56
2021-01-07,70.01
2021-01-08,72.1
2021-01-11,72.38
2021-01-12,73.79
2021-01-13,73.88
2021-01-14,73.03
2021-01-15,71.46
2021-01-19,70.43
2021-01-20,70.18
2021-01-21,68.44
2021-01-22,69.13
2021-01-25,69.31
2021-01-26,69.11
2021-01-27,68.17
2021-01-28,67.75
2021-01-29,65.85
2021-02-01,67.46
2021-02-02,67.43
2021-02-03,67.79
2021-02-04,69.83
2021-02-05,70.13
2021-02-08,70.78
2021-02-09,70.61
2021-02-10,70.74
2021-02-11,69.62
2021-02-12,69.46
2021-02-16,70.58
2021-02-17,64.87
2021-02-18,64.58
2021-02-19,63.75
2021-02-22,65.97
2021-02-23,65.62
2021-02-24,65.01
2021-02-25,61.89
2021-02-26,61.85
2021-03-01,64.55
2021-03-02,62.92
2021-03-03,62.71
2021-03-04,61.5
2021-03-05,62.57
2021-03-08,64.79
2021-03-09,65.18
2021-03-10,65.91
2021-03-11,65.88
2021-03-12,67.19
2021-03-15,68.22
2021-03-16,67.03
2021-03-17,67.78
2021-03-18,67.69
2021-03-19,66.81
2021-03-22,66.3
2021-03-23,65.07
2021-03-24,65.66
2021-03-25,66.81
2021-03-26,67.98
2021-03-29,69.74
2021-03-30,68.97
2021-03-31,69.24
2021-04-01,68.67
2021-04-05,68.98
2021-04-06,69.0
2021-04-07,68.66
2021-04-08,68.67
2021-04-09,69.39
2021-04-12,70.0
2021-04-13,69.6
2021-04-14,70.0
2021-04-15,70.9
2021-04-16,71.17
2021-04-19,70.64
2021-04-20,70.52
2021-04-21,72.3
2021-04-22,72.73
2021-04-23,74.22
2021-04-26,73.38
2021-04-27,73.14
2021-04-28,72.72
2021-04-29,73.07
2021-04-30,72.5
2021-05-03,74.01
2021-05-04,79.87
2021-05-05,78.91
2021-05-06,79.92
2021-05-07,80.61
2021-05-10,82.97
2021-05-11,80.39
2021-05-12,78.63
2021-05-13,80.08
2021-05-14,80.66
2021-05-17,80.5
2021-05-18,79.35
2021-05-19,78.76
2021-05-20,79.41
2021-05-21,78.31
2021-05-24,77.59
2021-05-25,76.26
2021-05-26,76.85
2021-05-27,76.39
2021-05-28,76.04
2021-06-01,76.07
2021-06-02,75.42
2021-06-03,77.96
2021-06-04,77.9
2021-06-07,77.3
2021-06-08,77.7
2021-06-09,77.6
2021-06-10,78.58
2021-06-11,78.9
2021-06-14,77.43
2021-06-15,78.4
2021-06-16,77.42
2021-06-17,76.69
2021-06-18,75.02
2021-06-21,76.39
2021-06-22,76.42
2021-06-23,74.47
2021-06-24,75.14
2021-06-25,75.01
2021-06-28,74.33
2021-06-29,74.0
2021-06-30,74.19
2021-07-01,75.51
2021-07-02,75.97
2021-07-06,76.04
2021-07-07,76.67
2021-07-08,75.78
2021-07-09,76.81
2021-07-12,77.02
2021-07-13,76.39
2021-07-14,76.78
2021-07-15,75.34
2021-07-16,75.12
2021-07-19,73.8
2021-07-20,75.77
2021-07-21,77.14
2021-07-22,76.44
2021-07-23,77.36
2021-07-26,77.37
2021-07-27,78.67
2021-07-28,79.44
2021-07-29,80.22
2021-07-30,80.15
2021-08-02,81.23
2021-08-03,80.37
2021-08-04,77.3
2021-08-05,76.73
2021-08-06,77.03
2021-08-09,76.21
2021-08-10,75.53
2021-08-11,75.9
2021-08-12,75.6
2021-08-13,75.68
2021-08-16,76.72
2021-08-17,77.46
2021-08-18,75.78
2021-08-19,75.76
2021-08-20,75.63
2021-08-23,75.74
2021-08-24,75.59
2021-08-25,75.5
2021-08-26,74.13
2021-08-27,75.23
2021-08-30,75.18
2021-08-31,75.59
2021-09-01,76.66
2021-09-02,79.33
2021-09-03,78.38
2021-09-07,78.58
2021-09-08,78.56
2021-09-09,77.77
2021-09-10,76.76
2021-09-13,77.71
2021-09-14,78.44
2021-09-15,78.54
2021-09-16,78.37
2021-09-17,77.47
2021-09-20,75.97
2021-09-21,75.53
2021-09-22,76.86
2021-09-23,77.6
2021-09-24,78.1
2021-09-27,78.7
2021-09-28,78.13
2021-09-29,78.28
2021-09-30,76.16
2021-10-01,78.53
2021-10-04,78.1
2021-10-05,78.61
2021-10-06,78.17
2021-10-07,79.71
2021-10-08,79.83
2021-10-11,79.32
2021-10-12,78.5
2021-10-13,77.72
2021-10-14,78.59
2021-10-15,77.44
2021-10-18,76.53
2021-10-19,76.96
2021-10-20,78.47
2021-10-21,79.01
2021-10-22,79.89
2021-10-25,76.21
2021-10-26,75.32
2021-10-27,74.19
2021-10-28,75.52
2021-10-29,76.35
2021-11-01,76.65
2021-11-02,78.24
2021-11-03,78.97
2021-11-04,78.68
2021-11-05,80.1
2021-11-08,78.64
2021-11-09,78.15
2021-11-10,78.18
2021-11-11,78.45
2021-11-12,79.25
2021-11-15,78.46
2021-11-16,77.94
2021-11-17,77.51
2021-11-18,76.97
2021-11-19,76.14
2021-11-22,76.21
2021-11-23,76.9
2021-11-24,75.9
2021-11-26,73.64
2021-11-29,73.77
2021-11-30,71.06
2021-12-01,70.34
2021-12-02,71.51
2021-12-03,71.16
2021-12-06,72.89
2021-12-07,74.58
2021-12-08,75.03
2021-12-09,75.76
2021-12-10,75.68
2021-12-13,75.16
2021-12-14,74.55
2021-12-15,73.51
2021-12-16,73.63
2021-12-17,73.75
2021-12-20,72.88
2021-12-21,72.96
2021-12-22,74.33
2021-12-23,74.93
2021-12-27,76.24
2021-12-28,76.87
2021-12-29,78.06
2021-12-30,77.95
2021-12-31,77.53
2022-01-03,77.43
2022-01-04,79.28
2022-01-05,78.99
2022-01-06,77.86
2022-01-07,78.95
2022-01-10,79.15
2022-01-11,80.54
2022-01-12,77.79
2022-01-13,77.86
2022-01-14,77.78
2022-01-18,76.27
2022-01-19,74.55
2022-01-20,74.13
2022-01-21,73.54
2022-01-24,74.38
2022-01-25,72.72
2022-01-26,74.45
2022-01-27,74.77
2022-01-28,75.7
2022-01-31,75.3
2022-02-01,75.95
2022-02-02,76.38
2022-02-03,76.16
2022-02-04,76.13
2022-02-07,76.28
2022-02-08,77.86
2022-02-09,76.57
2022-02-10,76.29
2022-02-11,76.13
2022-02-14,75.79
2022-02-15,81.84
2022-02-16,84.23
2022-02-17,84.0
2022-02-18,83.47
2022-02-22,83.41
2022-02-23,83.79
2022-02-24,83.98
2022-02-25,87.32
2022-02-28,86.38
2022-03-01,86.31
2022-03-02,85.75
2022-03-03,87.24
2022-03-04,86.98
2022-03-07,86.86
2022-03-08,84.22
2022-03-09,85.58
2022-03-10,85.42
2022-03-11,84.17
2022-03-14,84.8
2022-03-15,86.31
2022-03-16,86.27
2022-03-17,86.75
2022-03-18,87.26
2022-03-21,88.17
2022-03-22,88.53
2022-03-23,87.81
2022-03-24,87.89
2022-03-25,87.85
2022-03-28,88.51
2022-03-29,88.73
2022-03-30,87.85
2022-03-31,87.19
2022-04-01,89.34
2022-04-04,87.71
2022-04-05,87.14
2022-04-06,88.71
2022-04-07,89.52
2022-04-08,90.4
