date,close
2020-01-27,21.06
2020-01-28,21.61
2020-01-29,21.39
2020-01-30,20.91
2020-01-31,20.56
2020-02-03,20.64
2020-02-04,20.93
2020-02-05,21.46
2020-02-06,21.56
2020-02-07,21.49
2020-02-10,21.73
2020-02-11,21.99
2020-02-12,22.53
2020-02-13,22.62
2020-02-14,22.91
2020-02-18,22.78
2020-02-19,23.39
2020-02-20,23.14
2020-02-21,22.98
2020-02-24,22.71
2020-02-25,21.77
2020-02-26,21.87
2020-02-27,20.86
2020-02-28,20.15
2020-03-02,20.56
2020-03-03,19.77
2020-03-04,20.02
2020-03-05,18.37
2020-03-06,17.82
2020-03-09,15.82
2020-03-10,16.69
2020-03-11,15.18
2020-03-12,13.65
2020-03-13,14.09
2020-03-16,11.97
2020-03-17,12.12
2020-03-18,10.77
2020-03-19,10.88
2020-03-20,9.1
2020-03-23,8.23
2020-03-24,10.4
2020-03-25,11.1
2020-03-26,12.17
2020-03-27,11.45
2020-03-30,11.26
2020-03-31,11.03
2020-04-01,13.2
2020-04-02,12.5
2020-04-03,12.54
2020-04-06,12.69
2020-04-07,12.11
2020-04-08,13.08
2020-04-09,13.25
2020-04-13,12.6
2020-04-14,12.2
2020-04-15,11.37
2020-04-16,10.74
2020-04-17,11.65
2020-04-20,11.64
2020-04-21,10.59
2020-04-22,10.83
2020-04-23,11.0
2020-04-24,10.81
2020-04-27,11.41
2020-04-28,11.99
2020-04-29,13.89
2020-04-30,13.07
2020-05-01,12.54
2020-05-04,11.95
2020-05-05,12.21
2020-05-06,11.49
2020-05-07,11.87
2020-05-08,12.62
2020-05-11,11.76
2020-05-12,11.12
2020-05-13,10.65
2020-05-14,11.25
2020-05-15,10.77
2020-05-18,12.34
2020-05-19,12.05
2020-05-20,12.75
2020-05-21,12.43
2020-05-22,12.37
2020-05-26,13.06
2020-05-27,14.02
2020-05-28,13.28
2020-05-29,13.08
2020-06-01,13.41
2020-06-02,13.99
2020-06-03,15.17
2020-06-04,15.53
2020-06-05,17.16
2020-06-08,17.73
2020-06-09,16.22
2020-06-10,14.97
2020-06-11,12.98
2020-06-12,14.0
2020-06-15,14.52
