date,close
2020-01-27,76.07
2020-01-28,76.46
2020-01-29,74.99
2020-01-30,73.14
2020-01-31,73.07
2020-02-03,72.94
2020-02-04,73.88
2020-02-05,76.0
2020-02-06,75.81
2020-02-07,74.14
2020-02-10,75.11
2020-02-11,76.14
2020-02-12,75.83
2020-02-13,78.05
2020-02-14,78.45
2020-02-18,79.3
2020-02-19,82.42
2020-02-20,82.77
2020-02-21,80.89
2020-02-24,78.87
2020-02-25,77.32
2020-02-26,77.97
2020-02-27,75.84
2020-02-28,75.41
2020-03-02,79.06
2020-03-03,77.8
2020-03-04,80.16
2020-03-05,78.61
2020-03-06,76.04
2020-03-09,71.09
2020-03-10,74.31
2020-03-11,71.9
2020-03-12,68.02
2020-03-13,73.84
2020-03-16,71.6
2020-03-17,70.37
2020-03-18,66.9
2020-03-19,66.51
2020-03-20,66.96
2020-03-23,63.18
2020-03-24,67.43
2020-03-25,69.59
2020-03-26,73.05
2020-03-27,68.96
2020-03-30,72.17
2020-03-31,73.23
2020-04-01,74.18
2020-04-02,77.07
2020-04-03,78.59
2020-04-06,85.11
2020-04-07,86.66
2020-04-08,87.75
2020-04-09,86.81
2020-04-13,88.01
2020-04-14,91.28
2020-04-15,90.95
2020-04-16,95.66
2020-04-17,100.0
2020-04-20,101.19
2020-04-21,99.46
2020-04-22,100.97
2020-04-23,101.9
2020-04-24,103.48
2020-04-27,102.98
2020-04-28,97.67
2020-04-29,95.96
2020-04-30,97.66
2020-05-01,97.3
2020-05-04,100.99
2020-05-05,98.82
2020-05-06,96.08
2020-05-07,96.47
2020-05-08,95.92
2020-05-11,99.33
2020-05-12,96.74
2020-05-13,96.45
2020-05-14,94.83
2020-05-15,96.12
2020-05-18,96.46
2020-05-19,94.92
2020-05-20,98.32
2020-05-21,98.68
2020-05-22,99.37
2020-05-26,98.68
2020-05-27,98.22
2020-05-28,100.55
2020-05-29,101.91
2020-06-01,101.75
2020-06-02,100.9
2020-06-03,98.83
2020-06-04,93.8
2020-06-05,93.51
2020-06-08,94.58
2020-06-09,93.0
2020-06-10,93.04
2020-06-11,90.81
2020-06-12,92.07
2020-06-15,93.51
2020-06-16,95.53
2020-06-17,96.28
2020-06-18,97.36
2020-06-19,105.4
2020-06-22,108.93
2020-06-23,106.52
2020-06-24,104.33
2020-06-25,105.95
2020-06-26,101.43
2020-06-29,102.48
2020-06-30,103.97
2020-07-01,102.65
2020-07-02,106.47
2020-07-06,107.79
2020-07-07,108.65
2020-07-08,108.27
2020-07-09,107.87
2020-07-10,104.76
2020-07-13,100.56
2020-07-14,103.02
2020-07-15,104.25
2020-07-16,101.58
2020-07-17,104.11
2020-07-20,109.69
2020-07-21,106.65
2020-07-22,105.37
2020-07-23,101.68
2020-07-24,99.42
2020-07-27,102.09
2020-07-28,100.61
2020-07-29,98.04
2020-07-30,100.51
2020-07-31,98.76
2020-08-03,101.79
2020-08-04,99.95
2020-08-05,97.62
2020-08-06,97.25
2020-08-07,96.93
2020-08-10,94.32
2020-08-11,92.98
2020-08-12,94.22
2020-08-13,95.56
2020-08-14,94.87
2020-08-17,97.48
2020-08-18,97.56
2020-08-19,96.27
2020-08-20,95.53
2020-08-21,94.11
2020-08-24,94.04
2020-08-25,95.31
2020-08-26,93.75
2020-08-27,94.3
2020-08-28,93.9
2020-08-31,96.35
2020-09-01,92.97
2020-09-02,95.44
2020-09-03,91.57
2020-09-04,90.49
2020-09-08,89.73
2020-09-09,91.51
2020-09-10,88.26
2020-09-11,88.0
2020-09-14,93.15
2020-09-15,91.43
2020-09-16,89.94
2020-09-17,90.42
2020-09-18,86.79
2020-09-21,85.39
2020-09-22,86.93
2020-09-23,85.97
2020-09-24,85.07
2020-09-25,86.55
2020-09-28,90.36
2020-09-29,87.43
2020-09-30,89.74
2020-10-01,92.43
2020-10-02,88.75
2020-10-05,92.3
2020-10-06,88.6
2020-10-07,90.45
2020-10-08,92.78
2020-10-09,95.74
2020-10-12,97.7
2020-10-13,97.08
2020-10-14,93.35
2020-10-15,90.53
2020-10-16,90.63
2020-10-19,87.76
2020-10-20,89.31
2020-10-21,88.6
2020-10-22,90.49
2020-10-23,89.69
2020-10-26,90.44
2020-10-27,88.35
2020-10-28,86.99
2020-10-29,87.02
2020-10-30,86.64
2020-11-02,84.44
2020-11-03,84.95
2020-11-04,91.21
2020-11-05,84.65
2020-11-06,83.15
2020-11-09,81.28
2020-11-10,83.07
2020-11-11,82.76
2020-11-12,82.32
2020-11-13,82.53
2020-11-16,84.35
2020-11-17,82.98
2020-11-18,82.74
2020-11-19,81.69
2020-11-20,81.93
2020-11-23,81.39
2020-11-24,80.74
2020-11-25,81.16
2020-11-27,83.25
2020-11-30,84.54
2020-12-01,85.42
2020-12-02,82.27
2020-12-03,82.9
2020-12-04,83.14
2020-12-07,83.06
2020-12-08,82.85
2020-12-09,80.96
2020-12-10,82.05
2020-12-11,81.3
2020-12-14,86.81
2020-12-15,86.27
2020-12-16,86.23
2020-12-17,88.28
2020-12-18,88.34
2020-12-21,86.97
2020-12-22,87.99
2020-12-23,87.93
2020-12-24,87.37
2020-12-28,86.34
2020-12-29,85.87
2020-12-30,86.86
2020-12-31,86.98
2021-01-04,86.45
2021-01-05,85.87
2021-01-06,84.31
2021-01-07,90.05
2021-01-08,93.83
2021-01-11,93.32
2021-01-12,94.31
2021-01-13,92.74
2021-01-14,92.04
2021-01-15,90.56
2021-01-19,93.96
2021-01-20,96.37
2021-01-21,93.9
2021-01-22,97.89
2021-01-25,100.5
2021-01-26,99.39
2021-01-27,93.0
2021-01-28,91.27
2021-01-29,89.75
2021-02-01,90.92
2021-02-02,93.05
2021-02-03,90.97
2021-02-04,90.91
2021-02-05,90.24
2021-02-08,93.62
2021-02-09,89.46
