date,close
2020-01-27,31.2
2020-01-28,31.29
2020-01-29,31.32
2020-01-30,31.51
2020-01-31,31.47
2020-02-03,31.41
2020-02-04,31.73
2020-02-05,31.41
2020-02-06,31.56
2020-02-07,31.51
2020-02-10,31.92
2020-02-11,31.58
2020-02-12,31.82
2020-02-13,32.35
2020-02-14,32.55
2020-02-18,32.61
2020-02-19,31.77
2020-02-20,31.54
2020-02-21,31.39
2020-02-24,31.25
2020-02-25,30.45
2020-02-26,29.61
2020-02-27,28.94
2020-02-28,28.69
2020-03-02,29.85
2020-03-03,29.8
2020-03-04,30.73
2020-03-05,30.2
2020-03-06,29.54
2020-03-09,27.45
2020-03-10,28.46
2020-03-11,26.97
2020-03-12,25.68
2020-03-13,27.05
2020-03-16,20.68
2020-03-17,22.1
2020-03-18,19.3
2020-03-19,18.5
2020-03-20,17.19
2020-03-23,16.13
2020-03-24,18.14
2020-03-25,18.88
2020-03-26,19.93
2020-03-27,20.81
2020-03-30,21.19
2020-03-31,21.37
2020-04-01,20.28
2020-04-02,20.45
2020-04-03,19.37
2020-04-06,21.45
2020-04-07,21.6
2020-04-08,23.05
2020-04-09,24.31
2020-04-13,23.66
2020-04-14,24.2
2020-04-15,23.81
2020-04-16,22.83
2020-04-17,23.82
2020-04-20,22.24
2020-04-21,21.16
2020-04-22,22.08
2020-04-23,21.59
2020-04-24,21.78
2020-04-27,22.58
2020-04-28,22.8
2020-04-29,23.9
2020-04-30,23.65
2020-05-01,22.87
2020-05-04,22.79
2020-05-05,23.51
2020-05-06,23.05
2020-05-07,24.61
2020-05-08,24.93
2020-05-11,25.32
2020-05-12,24.12
2020-05-13,23.97
2020-05-14,24.02
2020-05-15,24.1
2020-05-18,25.42
2020-05-19,25.24
2020-05-20,24.71
2020-05-21,25.23
2020-05-22,25.45
2020-05-26,26.13
2020-05-27,26.27
2020-05-28,26.2
2020-05-29,26.3
2020-06-01,27.91
2020-06-02,27.59
2020-06-03,27.82
2020-06-04,27.73
2020-06-05,28.66
2020-06-08,29.2
2020-06-09,28.46
2020-06-10,27.56
2020-06-11,26.32
2020-06-12,27.67
2020-06-15,28.37
2020-06-16,28.87
2020-06-17,28.4
2020-06-18,28.35
2020-06-19,27.84
2020-06-22,28.15
2020-06-23,27.96
2020-06-24,27.27
2020-06-25,27.81
2020-06-26,27.23
2020-06-29,27.09
2020-06-30,27.53
2020-07-01,28.4
2020-07-02,28.23
2020-07-06,28.07
2020-07-07,27.46
2020-07-08,27.57
2020-07-09,27.37
2020-07-10,27.55
2020-07-13,27.08
2020-07-14,27.27
2020-07-15,27.59
2020-07-16,27.39
2020-07-17,28.02
2020-07-20,27.72
2020-07-21,27.66
2020-07-22,28.4
2020-07-23,27.95
2020-07-24,27.53
2020-07-27,28.01
2020-07-28,28.52
2020-07-29,29.35
2020-07-30,29.82
2020-07-31,29.82
2020-08-03,29.66
2020-08-04,29.67
2020-08-05,29.42
2020-08-06,29.33
2020-08-07,30.2
2020-08-10,30.03
2020-08-11,29.36
2020-08-12,29.85
2020-08-13,29.18
2020-08-14,28.67
2020-08-17,29.6
2020-08-18,29.26
2020-08-19,28.7
2020-08-20,28.75
2020-08-21,29.09
2020-08-24,29.11
2020-08-25,28.94
2020-08-26,28.5
2020-08-27,28.82
2020-08-28,28.66
2020-08-31,28.63
2020-09-01,28.77
2020-09-02,29.35
2020-09-03,28.82
2020-09-04,28.67
2020-09-08,28.18
2020-09-09,29.05
2020-09-10,28.42
2020-09-11,28.49
2020-09-14,29.16
2020-09-15,28.91
2020-09-16,28.93
2020-09-17,28.63
2020-09-18,28.33
2020-09-21,27.58
2020-09-22,27.72
2020-09-23,26.44
2020-09-24,26.96
2020-09-25,27.58
2020-09-28,28.54
2020-09-29,28.0
2020-09-30,27.99
2020-10-01,28.77
2020-10-02,29.31
2020-10-05,29.52
2020-10-06,29.41
2020-10-07,29.23
2020-10-08,29.87
2020-10-09,29.63
2020-10-12,29.7
2020-10-13,28.88
2020-10-14,28.48
2020-10-15,28.45
2020-10-16,27.94
2020-10-19,27.67
2020-10-20,27.95
2020-10-21,28.1
2020-10-22,28.79
2020-10-23,29.07
2020-10-26,28.64
2020-10-27,28.05
2020-10-28,27.32
2020-10-29,27.4
2020-10-30,27.26
2020-11-02,27.66
2020-11-03,28.0
2020-11-04,28.82
2020-11-05,28.97
2020-11-06,28.97
2020-11-09,27.59
2020-11-10,28.05
2020-11-11,29.05
2020-11-12,28.73
2020-11-13,29.17
2020-11-16,29.12
2020-11-17,28.8
2020-11-18,28.29
2020-11-19,28.08
2020-11-20,28.25
2020-11-23,28.15
2020-11-24,28.6
2020-11-25,29.25
2020-11-27,28.76
2020-11-30,28.58
2020-12-01,29.25
2020-12-02,28.88
2020-12-03,29.38
2020-12-04,30.24
2020-12-07,29.64
2020-12-08,29.46
2020-12-09,29.19
2020-12-10,28.91
2020-12-11,28.96
2020-12-14,28.78
2020-12-15,29.33
2020-12-16,29.19
2020-12-17,29.28
2020-12-18,28.38
2020-12-21,28.69
2020-12-22,29.02
2020-12-23,28.64
2020-12-24,29.11
2020-12-28,29.34
2020-12-29,29.11
2020-12-30,29.53
2020-12-31,29.7
2021-01-04,28.58
2021-01-05,29.03
2021-01-06,29.1
2021-01-07,28.94
2021-01-08,29.33
2021-01-11,29.05
2021-01-12,28.73
2021-01-13,28.63
2021-01-14,28.95
2021-01-15,29.59
2021-01-19,29.44
2021-01-20,30.03
2021-01-21,30.09
2021-01-22,30.02
2021-01-25,29.67
2021-01-26,29.75
2021-01-27,28.71
2021-01-28,29.01
2021-01-29,29.48
2021-02-01,30.42
2021-02-02,30.26
2021-02-03,29.99
2021-02-04,30.11
2021-02-05,30.02
2021-02-08,30.09
2021-02-09,30.48
2021-02-10,30.55
2021-02-11,30.83
2021-02-12,31.0
2021-02-16,30.92
2021-02-17,30.35
2021-02-18,29.78
2021-02-19,29.98
2021-02-22,29.5
2021-02-23,29.85
2021-02-24,29.87
2021-02-25,29.71
2021-02-26,29.14
2021-03-01,29.32
2021-03-02,29.29
2021-03-03,28.65
2021-03-04,28.44
2021-03-05,28.42
2021-03-08,28.49
2021-03-09,28.88
2021-03-10,29.3
2021-03-11,29.71
2021-03-12,30.84
2021-03-15,31.36
2021-03-16,31.13
2021-03-17,30.99
2021-03-18,31.09
2021-03-19,30.61
2021-03-22,31.09
2021-03-23,31.05
2021-03-24,31.1
2021-03-25,31.68
2021-03-26,32.3
2021-03-29,32.2
2021-03-30,32.25
2021-03-31,31.99
2021-04-01,32.67
2021-04-05,32.35
2021-04-06,32.85
2021-04-07,32.52
2021-04-08,32.43
2021-04-09,32.37
2021-04-12,32.5
2021-04-13,32.72
2021-04-14,32.58
2021-04-15,33.06
2021-04-16,33.34
2021-04-19,33.63
2021-04-20,33.98
2021-04-21,33.85
2021-04-22,33.83
2021-04-23,33.94
2021-04-26,33.85
2021-04-27,33.91
2021-04-28,34.15
2021-04-29,34.72
2021-04-30,35.06
2021-05-03,34.74
2021-05-04,34.86
2021-05-05,34.28
2021-05-06,34.92
2021-05-07,35.03
2021-05-10,35.17
2021-05-11,35.08
2021-05-12,34.25
2021-05-13,34.66
2021-05-14,35.11
2021-05-17,35.17
2021-05-18,35.06
2021-05-19,34.96
2021-05-20,35.6
2021-05-21,35.34
2021-05-24,36.05
2021-05-25,36.19
2021-05-26,36.18
2021-05-27,35.89
2021-05-28,36.27
2021-06-01,36.56
2021-06-02,36.9
2021-06-03,36.76
2021-06-04,36.91
2021-06-07,37.45
2021-06-08,37.39
2021-06-09,37.45
2021-06-10,37.95
2021-06-11,37.71
2021-06-14,37.81
2021-06-15,37.42
2021-06-16,37.15
2021-06-17,37.42
2021-06-18,36.51
2021-06-21,37.53
2021-06-22,37.39
2021-06-23,37.61
2021-06-24,37.54
2021-06-25,37.95
2021-06-28,37.72
2021-06-29,37.52
2021-06-30,37.29
2021-07-01,37.54
2021-07-02,37.87
2021-07-06,38.77
2021-07-07,39.0
2021-07-08,39.38
2021-07-09,39.9
2021-07-12,40.09
2021-07-13,39.62
2021-07-14,39.84
2021-07-15,39.83
2021-07-16,39.97
2021-07-19,39.23
2021-07-20,40.25
2021-07-21,39.92
2021-07-22,39.85
2021-07-23,40.52
2021-07-26,40.25
2021-07-27,40.7
2021-07-28,40.54
2021-07-29,40.64
2021-07-30,40.68
2021-08-02,40.61
2021-08-03,40.41
2021-08-04,40.42
2021-08-05,40.43
2021-08-06,40.12
2021-08-09,39.79
2021-08-10,38.91
2021-08-11,39.12
2021-08-12,39.22
2021-08-13,39.62
2021-08-16,39.64
2021-08-17,39.62
2021-08-18,40.11
2021-08-19,40.22
2021-08-20,40.48
2021-08-23,40.34
2021-08-24,40.1
2021-08-25,40.08
2021-08-26,40.3
2021-08-27,40.5
2021-08-30,41.3
2021-08-31,41.18
2021-09-01,41.93
2021-09-02,42.47
2021-09-03,41.95
2021-09-07,41.3
2021-09-08,41.75
2021-09-09,41.1
2021-09-10,40.29
2021-09-13,40.57
2021-09-14,40.58
2021-09-15,40.4
2021-09-16,40.47
2021-09-17,39.89
2021-09-20,39.87
2021-09-21,39.97
2021-09-22,40.52
2021-09-23,40.46
2021-09-24,39.62
2021-09-27,38.56
2021-09-28,38.54
2021-09-29,38.95
2021-09-30,38.33
2021-10-01,38.81
2021-10-04,38.74
2021-10-05,38.42
2021-10-06,38.65
2021-10-07,38.55
2021-10-08,38.52
2021-10-11,38.62
2021-10-12,39.0
2021-10-13,39.86
2021-10-14,40.29
2021-10-15,40.18
2021-10-18,40.27
2021-10-19,40.19
2021-10-20,40.48
2021-10-21,40.3
2021-10-22,40.88
2021-10-25,41.03
2021-10-26,40.94
2021-10-27,40.47
2021-10-28,41.39
2021-10-29,41.25
2021-11-01,41.12
2021-11-02,41.54
2021-11-03,41.5
2021-11-04,40.7
2021-11-05,40.82
2021-11-08,40.46
2021-11-09,40.53
2021-11-10,40.57
2021-11-11,40.55
2021-11-12,40.56
2021-11-15,40.89
2021-11-16,40.51
2021-11-17,40.5
2021-11-18,41.06
2021-11-19,40.91
2021-11-22,40.75
2021-11-23,41.15
2021-11-24,41.96
2021-11-26,41.15
2021-11-29,41.27
2021-11-30,40.44
2021-12-01,39.81
2021-12-02,41.34
2021-12-03,41.65
2021-12-06,42.3
2021-12-07,42.66
2021-12-08,43.28
2021-12-09,42.72
2021-12-10,42.73
2021-12-13,43.17
2021-12-14,42.14
2021-12-15,42.86
2021-12-16,42.53
2021-12-17,42.9
2021-12-20,42.52
2021-12-21,43.34
2021-12-22,43.98
2021-12-23,43.95
2021-12-27,44.53
2021-12-28,44.59
2021-12-29,45.17
2021-12-30,45.16
2021-12-31,45.34
2022-01-03,44.97
2022-01-04,45.13
2022-01-05,43.89
2022-01-06,43.75
2022-01-07,42.92
2022-01-10,42.64
2022-01-11,43.16
2022-01-12,43.46
2022-01-13,43.62
2022-01-14,43.39
2022-01-18,43.26
2022-01-19,42.85
2022-01-20,41.84
2022-01-21,41.88
2022-01-24,41.69
2022-01-25,41.1
2022-01-26,40.65
2022-01-27,40.11
2022-01-28,41.59
2022-01-31,41.98
2022-02-01,41.82
2022-02-02,42.6
2022-02-03,42.4
2022-02-04,42.43
2022-02-07,41.67
2022-02-08,41.79
2022-02-09,42.82
2022-02-10,42.22
2022-02-11,41.83
2022-02-14,41.4
2022-02-15,41.35
2022-02-16,40.45
2022-02-17,39.28
2022-02-18,38.62
2022-02-22,38.8
2022-02-23,37.42
2022-02-24,37.26
2022-02-25,39.04
2022-02-28,37.8
2022-03-01,37.45
2022-03-02,38.9
2022-03-03,38.65
2022-03-04,39.2
2022-03-07,38.26
2022-03-08,38.62
2022-03-09,39.37
2022-03-10,39.41
2022-03-11,39.45
2022-03-14,39.1
2022-03-15,39.5
2022-03-16,39.8
2022-03-17,40.7
2022-03-18,40.69
2022-03-21,40.56
2022-03-22,40.39
2022-03-23,39.66
2022-03-24,40.09
2022-03-25,40.47
2022-03-28,40.47
2022-03-29,41.48
2022-03-30,40.91
2022-03-31,40.18
2022-04-01,41.04
2022-04-04,40.36
2022-04-05,40.23
2022-04-06,40.88
2022-04-07,40.76
2022-04-08,41.26
2022-04-11,41.05
2022-04-12,41.42
2022-04-13,41.83
2022-04-14,41.95
2022-04-18,41.69
2022-04-19,43.04
2022-04-20,43.91
2022-04-21,43.76
2022-04-22,43.08
2022-04-25,42.81
2022-04-26,42.01
2022-04-27,41.71
2022-04-28,41.2
2022-04-29,39.82
2022-05-02,38.39
2022-05-03,38.48
2022-05-04,38.75
2022-05-05,38.12
2022-05-06,37.99
2022-05-09,35.82
2022-05-10,35.85
2022-05-11,35.83
2022-05-12,35.87
2022-05-13,36.92
2022-05-16,36.46
2022-05-17,36.85
2022-05-18,35.68
2022-05-19,35.75
2022-05-20,36.21
2022-05-23,36.72
2022-05-24,37.6
2022-05-25,37.6
2022-05-26,37.36
2022-05-27,38.54
2022-05-31,37.72
2022-06-01,38.04
2022-06-02,38.8
2022-06-03,38.29
2022-06-06,37.58
2022-06-07,38.2
2022-06-08,37.36
2022-06-09,36.66
2022-06-10,36.09
2022-06-13,33.95
2022-06-14,33.63
2022-06-15,34.24
2022-06-16,33.78
2022-06-17,33.76
2022-06-21,34.03
2022-06-22,34.05
2022-06-23,35.08
2022-06-24,35.51
2022-06-27,35.54
2022-06-28,35.78
2022-06-29,35.64
2022-06-30,35.58
2022-07-01,35.74
2022-07-05,36.09
2022-07-06,36.38
2022-07-07,36.59
2022-07-08,36.47
2022-07-11,36.5
2022-07-12,34.91
2022-07-13,35.31
2022-07-14,35.08
2022-07-15,35.82
2022-07-18,35.58
2022-07-19,35.67
2022-07-20,35.71
2022-07-21,36.22
2022-07-22,36.45
2022-07-25,36.46
2022-07-26,36.61
2022-07-27,36.97
2022-07-28,38.62
2022-07-29,39.03
2022-08-01,38.51
2022-08-02,37.98
2022-08-03,37.67
2022-08-04,37.92
2022-08-05,37.88
2022-08-08,37.92
2022-08-09,38.45
2022-08-10,38.94
2022-08-11,38.89
2022-08-12,39.59
2022-08-15,39.78
2022-08-16,39.81
2022-08-17,39.73
2022-08-18,38.8
2022-08-19,38.78
2022-08-22,38.26
2022-08-23,37.49
2022-08-24,37.68
2022-08-25,38.23
2022-08-26,37.28
2022-08-29,36.72
2022-08-30,36.02
2022-08-31,36.28
2022-09-01,36.55
2022-09-02,36.47
2022-09-06,38.18
2022-09-07,38.88
2022-09-08,38.87
2022-09-09,39.55
