date,close
2020-01-27,17.7
2020-01-28,17.97
2020-01-29,17.63
2020-01-30,17.63
2020-01-31,17.3
2020-02-03,17.28
2020-02-04,17.85
2020-02-05,18.39
2020-02-06,18.2
2020-02-07,18.22
2020-02-10,18.58
2020-02-11,18.89
2020-02-12,18.58
2020-02-13,18.01
2020-02-14,17.78
2020-02-18,17.62
2020-02-19,17.69
2020-02-20,18.03
2020-02-21,17.48
2020-02-24,16.78
2020-02-25,15.86
2020-02-26,15.46
2020-02-27,14.6
2020-02-28,14.4
2020-03-02,14.78
2020-03-03,14.29
2020-03-04,14.62
2020-03-05,13.42
2020-03-06,13.12
2020-03-09,11.59
2020-03-10,12.47
2020-03-11,11.16
2020-03-12,9.45
2020-03-13,10.8
2020-03-16,8.75
2020-03-17,10.18
2020-03-18,9.83
2020-03-19,9.84
2020-03-20,8.55
2020-03-23,7.61
2020-03-24,8.52
2020-03-25,8.98
2020-03-26,9.81
2020-03-27,9.37
2020-03-30,9.56
2020-03-31,9.08
2020-04-01,8.01
2020-04-02,8.22
2020-04-03,7.81
2020-04-06,8.96
2020-04-07,9.14
2020-04-08,9.47
2020-04-09,9.86
2020-04-13,9.57
2020-04-14,9.81
2020-04-15,8.96
2020-04-16,8.71
2020-04-17,9.07
2020-04-20,9.09
2020-04-21,8.93
2020-04-22,9.18
2020-04-23,7.24
2020-04-24,7.8
2020-04-27,7.95
2020-04-28,8.51
2020-04-29,8.62
2020-04-30,8.62
2020-05-01,7.99
2020-05-04,8.09
2020-05-05,7.86
2020-05-06,7.62
2020-05-07,7.67
2020-05-08,7.98
2020-05-11,7.82
2020-05-12,7.24
2020-05-13,6.77
2020-05-14,6.99
2020-05-15,6.7
2020-05-18,7.29
2020-05-19,7.24
2020-05-20,7.37
2020-05-21,7.35
2020-05-22,7.27
2020-05-26,8.09
2020-05-27,8.37
2020-05-28,8.13
2020-05-29,7.97
2020-06-01,8.22
2020-06-02,8.37
2020-06-03,9.15
2020-06-04,9.56
2020-06-05,10.41
2020-06-08,11.55
2020-06-09,11.14
2020-06-10,10.32
2020-06-11,9.82
2020-06-12,10.34
2020-06-15,10.74
2020-06-16,11.14
2020-06-17,11.22
2020-06-18,11.33
2020-06-19,11.09
2020-06-22,11.33
2020-06-23,11.41
2020-06-24,10.72
2020-06-25,10.73
2020-06-26,10.0
2020-06-29,10.39
2020-06-30,10.76
2020-07-01,10.26
2020-07-02,10.55
2020-07-06,10.76
2020-07-07,10.34
2020-07-08,10.6
2020-07-09,10.04
2020-07-10,10.53
2020-07-13,10.62
2020-07-14,10.49
2020-07-15,10.93
2020-07-16,10.73
2020-07-17,10.49
2020-07-20,10.29
2020-07-21,10.74
2020-07-22,10.53
2020-07-23,10.68
2020-07-24,10.44
2020-07-27,10.71
2020-07-28,10.37
2020-07-29,10.6
2020-07-30,10.1
2020-07-31,10.04
2020-08-03,10.0
2020-08-04,9.77
2020-08-05,10.27
2020-08-06,10.32
2020-08-07,10.78
2020-08-10,10.79
2020-08-11,10.94
2020-08-12,11.39
2020-08-13,10.7
2020-08-14,10.68
2020-08-17,10.57
2020-08-18,10.28
2020-08-19,10.33
2020-08-20,10.02
2020-08-21,10.14
2020-08-24,10.6
2020-08-25,10.7
2020-08-26,10.57
2020-08-27,10.82
2020-08-28,10.73
2020-08-31,10.2
2020-09-01,10.18
2020-09-02,10.63
2020-09-03,11.14
2020-09-04,11.39
2020-09-08,10.7
2020-09-09,10.69
2020-09-10,10.26
2020-09-11,10.7
2020-09-14,10.68
2020-09-15,10.53
2020-09-16,10.89
2020-09-17,11.15
2020-09-18,10.98
2020-09-21,10.22
2020-09-22,10.19
2020-09-23,10.42
2020-09-24,10.8
2020-09-25,10.81
2020-09-28,11.49
2020-09-29,11.43
2020-09-30,11.41
2020-10-01,11.25
2020-10-02,11.85
2020-10-05,11.87
2020-10-06,11.85
2020-10-07,12.62
2020-10-08,12.95
2020-10-09,13.11
2020-10-12,13.4
2020-10-13,13.83
2020-10-14,14.03
2020-10-15,14.25
2020-10-16,14.04
2020-10-19,13.91
2020-10-20,14.09
2020-10-21,13.82
2020-10-22,14.05
2020-10-23,13.98
2020-10-26,13.79
2020-10-27,13.97
2020-10-28,13.33
2020-10-29,13.4
2020-10-30,13.11
2020-11-02,13.48
2020-11-03,13.98
2020-11-04,13.75
2020-11-05,14.43
2020-11-06,13.88
2020-11-09,14.84
2020-11-10,14.53
2020-11-11,15.28
2020-11-12,14.96
2020-11-13,15.53
2020-11-16,15.99
2020-11-17,16.3
2020-11-18,16.01
2020-11-19,15.96
2020-11-20,15.72
2020-11-23,16.33
2020-11-24,17.13
2020-11-25,17.03
2020-11-27,17.01
2020-11-30,16.23
2020-12-01,16.46
2020-12-02,16.76
2020-12-03,17.8
2020-12-04,17.79
2020-12-07,18.02
2020-12-08,18.07
2020-12-09,17.7
2020-12-10,17.51
2020-12-11,17.86
2020-12-14,17.1
2020-12-15,17.59
2020-12-16,17.45
2020-12-17,17.48
2020-12-18,17.45
2020-12-21,17.42
2020-12-22,16.98
2020-12-23,17.55
2020-12-24,17.61
2020-12-28,17.2
2020-12-29,17.01
2020-12-30,17.34
2020-12-31,17.43
2021-01-04,16.95
2021-01-05,17.46
2021-01-06,18.41
2021-01-07,18.33
2021-01-08,18.65
2021-01-11,18.94
2021-01-12,19.58
2021-01-13,19.52
2021-01-14,20.27
2021-01-15,20.0
2021-01-19,20.25
2021-01-20,21.57
2021-01-21,20.9
2021-01-22,20.97
2021-01-25,21.04
2021-01-26,20.94
2021-01-27,20.78
2021-01-28,21.53
2021-01-29,20.59
2021-02-01,21.4
2021-02-02,21.39
2021-02-03,21.83
2021-02-04,21.78
2021-02-05,21.96
2021-02-08,22.28
2021-02-09,22.67
2021-02-10,22.72
2021-02-11,22.59
2021-02-12,22.67
2021-02-16,22.84
2021-02-17,22.58
2021-02-18,21.86
2021-02-19,22.47
2021-02-22,22.73
2021-02-23,22.58
2021-02-24,23.26
2021-02-25,22.38
2021-02-26,22.42
2021-03-01,24.74
2021-03-02,23.95
2021-03-03,23.66
2021-03-04,23.32
2021-03-05,23.76
2021-03-08,24.07
2021-03-09,24.48
2021-03-10,25.19
2021-03-11,25.33
2021-03-12,25.71
2021-03-15,26.0
2021-03-16,25.25
2021-03-17,25.51
2021-03-18,25.13
2021-03-19,25.45
2021-03-22,25.11
2021-03-23,23.66
2021-03-24,23.25
2021-03-25,23.98
2021-03-26,24.76
2021-03-29,24.35
2021-03-30,24.89
2021-03-31,25.22
2021-04-01,25.75
2021-04-05,25.93
2021-04-06,25.83
2021-04-07,25.95
2021-04-08,25.88
2021-04-09,26.32
2021-04-12,26.71
2021-04-13,25.91
2021-04-14,26.12
2021-04-15,26.83
2021-04-16,26.57
