date,close
2020-01-27,40.3
2020-01-28,40.81
2020-01-29,40.49
2020-01-30,40.51
2020-01-31,39.45
2020-02-03,39.29
2020-02-04,39.24
2020-02-05,39.81
2020-02-06,39.92
2020-02-07,39.81
2020-02-10,40.54
2020-02-11,40.76
2020-02-12,41.79
2020-02-13,41.13
2020-02-14,41.96
2020-02-18,41.99
2020-02-19,41.97
2020-02-20,42.24
2020-02-21,42.45
2020-02-24,41.63
2020-02-25,39.45
2020-02-26,39.31
2020-02-27,37.9
2020-02-28,36.57
2020-03-02,38.07
2020-03-03,37.45
2020-03-04,39.35
2020-03-05,38.82
2020-03-06,38.16
2020-03-09,35.72
2020-03-10,37.55
2020-03-11,35.21
2020-03-12,30.52
2020-03-13,32.81
2020-03-16,30.6
2020-03-17,29.53
2020-03-18,26.32
2020-03-19,26.08
2020-03-20,24.91
2020-03-23,23.5
2020-03-24,25.36
2020-03-25,26.13
2020-03-26,27.0
2020-03-27,25.94
2020-03-30,26.49
2020-03-31,26.96
2020-04-01,25.16
2020-04-02,26.05
2020-04-03,25.47
2020-04-06,27.41
2020-04-07,28.27
2020-04-08,29.31
2020-04-09,30.6
2020-04-13,29.36
2020-04-14,30.8
2020-04-15,29.1
2020-04-16,28.5
2020-04-17,29.54
2020-04-20,28.47
2020-04-21,27.59
2020-04-22,27.75
2020-04-23,27.85
2020-04-24,27.91
2020-04-27,29.05
2020-04-28,29.73
2020-04-29,30.63
2020-04-30,29.11
2020-05-01,27.86
2020-05-04,28.53
2020-05-05,28.65
2020-05-06,28.31
2020-05-07,28.52
2020-05-08,29.8
2020-05-11,28.56
2020-05-12,27.91
2020-05-13,27.22
2020-05-14,28.59
2020-05-15,28.46
2020-05-18,29.53
2020-05-19,29.0
2020-05-20,28.74
2020-05-21,29.41
2020-05-22,29.53
2020-05-26,31.07
2020-05-27,31.87
2020-05-28,31.53
2020-05-29,31.41
2020-06-01,31.77
2020-06-02,32.35
2020-06-03,33.57
2020-06-04,34.41
2020-06-05,36.05
2020-06-08,36.81
2020-06-09,35.74
2020-06-10,34.43
2020-06-11,33.62
2020-06-12,34.45
2020-06-15,35.35
2020-06-16,35.43
2020-06-17,35.25
2020-06-18,34.71
2020-06-19,34.32
2020-06-22,34.93
2020-06-23,34.79
2020-06-24,33.29
2020-06-25,33.46
2020-06-26,33.36
2020-06-29,33.82
