date,close
2020-01-27,28.03
2020-01-28,28.54
2020-01-29,28.55
2020-01-30,28.66
2020-01-31,28.53
2020-02-03,28.68
2020-02-04,28.67
2020-02-05,28.69
2020-02-06,28.56
2020-02-07,28.57
2020-02-10,28.71
2020-02-11,28.67
2020-02-12,28.64
2020-02-13,28.58
2020-02-14,28.87
2020-02-18,28.87
2020-02-19,28.85
2020-02-20,29.3
2020-02-21,29.5
2020-02-24,29.14
2020-02-25,28.92
2020-02-26,28.73
2020-02-27,28.24
2020-02-28,27.88
2020-03-02,28.26
2020-03-03,27.55
2020-03-04,27.77
2020-03-05,27.0
2020-03-06,26.63
2020-03-09,24.45
2020-03-10,25.25
2020-03-11,24.51
2020-03-12,22.99
2020-03-13,23.47
2020-03-16,19.6
2020-03-17,20.32
2020-03-18,19.91
2020-03-19,24.32
2020-03-20,23.53
2020-03-23,23.18
2020-03-24,23.89
2020-03-25,25.0
2020-03-26,24.79
2020-03-27,24.38
2020-03-30,24.78
2020-03-31,24.27
2020-04-01,23.66
2020-04-02,23.86
2020-04-03,23.8
2020-04-06,24.59
2020-04-07,25.91
2020-04-08,26.61
2020-04-09,26.86
2020-04-13,26.33
2020-04-14,27.49
2020-04-15,26.84
2020-04-16,26.81
2020-04-17,26.15
2020-04-20,26.02
2020-04-21,25.65
2020-04-22,26.54
2020-04-23,26.17
2020-04-24,26.29
2020-04-27,25.86
2020-04-28,27.11
2020-04-29,26.69
2020-04-30,26.46
2020-05-01,25.9
2020-05-04,26.02
2020-05-05,26.26
2020-05-06,26.72
2020-05-07,26.36
2020-05-08,26.34
2020-05-11,26.93
2020-05-12,26.59
2020-05-13,26.42
2020-05-14,26.37
2020-05-15,26.3
2020-05-18,26.96
2020-05-19,27.22
2020-05-20,27.69
2020-05-21,26.88
2020-05-22,27.16
2020-05-26,26.93
2020-05-27,27.77
2020-05-28,27.78
2020-05-29,27.92
2020-06-01,28.36
2020-06-02,28.06
2020-06-03,28.47
2020-06-04,28.42
2020-06-05,28.69
2020-06-08,28.43
2020-06-09,28.33
2020-06-10,28.5
2020-06-11,28.34
2020-06-12,28.12
2020-06-15,28.58
2020-06-16,28.64
2020-06-17,28.74
2020-06-18,29.06
2020-06-19,28.71
2020-06-22,29.19
2020-06-23,29.03
2020-06-24,28.4
2020-06-25,28.4
2020-06-26,28.22
2020-06-29,28.3
2020-06-30,28.4
2020-07-01,28.67
2020-07-02,28.53
2020-07-06,28.56
2020-07-07,29.12
2020-07-08,28.61
2020-07-09,29.0
2020-07-10,29.2
2020-07-13,28.92
2020-07-14,29.34
2020-07-15,29.42
2020-07-16,29.56
2020-07-17,29.78
2020-07-20,29.77
2020-07-21,29.88
2020-07-22,30.3
