date,close
2020-01-27,30.35
2020-01-28,30.13
2020-01-29,29.62
2020-01-30,29.94
2020-01-31,29.2
2020-02-03,29.15
2020-02-04,29.15
2020-02-05,29.37
2020-02-06,29.06
2020-02-07,29.54
2020-02-10,29.69
2020-02-11,30.01
2020-02-12,30.04
2020-02-13,27.77
2020-02-14,26.88
2020-02-18,27.33
2020-02-19,27.31
2020-02-20,27.42
2020-02-21,27.26
2020-02-24,26.63
2020-02-25,26.07
2020-02-26,25.64
2020-02-27,24.97
2020-02-28,24.77
2020-03-02,26.07
2020-03-03,25.5
2020-03-04,26.45
2020-03-05,26.65
2020-03-06,26.03
2020-03-09,23.96
2020-03-10,24.5
2020-03-11,23.66
2020-03-12,20.06
2020-03-13,23.97
2020-03-16,22.02
2020-03-17,23.83
2020-03-18,23.69
2020-03-19,22.28
2020-03-20,22.28
2020-03-23,20.77
2020-03-24,22.99
2020-03-25,22.96
2020-03-26,24.77
2020-03-27,24.24
2020-03-30,25.17
2020-03-31,24.74
2020-04-01,23.68
2020-04-02,24.64
2020-04-03,25.32
2020-04-06,25.91
2020-04-07,26.61
2020-04-08,27.32
2020-04-09,28.11
2020-04-13,27.93
2020-04-14,28.45
2020-04-15,28.05
2020-04-16,29.23
2020-04-17,29.33
2020-04-20,29.17
2020-04-21,28.47
2020-04-22,28.76
2020-04-23,28.53
2020-04-24,29.23
2020-04-27,30.19
2020-04-28,30.43
2020-04-29,30.53
2020-04-30,30.33
2020-05-01,29.38
2020-05-04,28.93
2020-05-05,28.94
2020-05-06,29.4
2020-05-07,28.83
2020-05-08,29.56
2020-05-11,29.33
2020-05-12,29.38
2020-05-13,28.76
2020-05-14,28.8
2020-05-15,29.2
2020-05-18,30.87
2020-05-19,29.91
2020-05-20,30.24
2020-05-21,29.71
2020-05-22,29.95
2020-05-26,30.21
2020-05-27,31.03
2020-05-28,30.39
2020-05-29,30.47
2020-06-01,30.43
2020-06-02,31.43
2020-06-03,31.31
2020-06-04,31.49
2020-06-05,32.62
2020-06-08,33.97
2020-06-09,33.1
2020-06-10,32.5
2020-06-11,31.18
2020-06-12,31.8
2020-06-15,32.12
2020-06-16,32.73
2020-06-17,32.8
2020-06-18,33.18
2020-06-19,33.48
2020-06-22,33.15
2020-06-23,32.4
2020-06-24,32.13
2020-06-25,31.88
2020-06-26,30.9
2020-06-29,31.64
2020-06-30,31.89
2020-07-01,31.67
2020-07-02,31.81
2020-07-06,32.0
2020-07-07,32.05
2020-07-08,31.86
2020-07-09,31.37
2020-07-10,32.28
2020-07-13,32.51
2020-07-14,33.31
2020-07-15,33.15
2020-07-16,34.4
2020-07-17,35.01
2020-07-20,34.12
2020-07-21,34.53
2020-07-22,34.9
2020-07-23,34.86
2020-07-24,34.68
2020-07-27,34.84
2020-07-28,35.25
2020-07-29,35.57
2020-07-30,34.39
2020-07-31,34.38
2020-08-03,34.79
2020-08-04,35.08
2020-08-05,34.78
2020-08-06,35.28
2020-08-07,35.41
2020-08-10,34.79
2020-08-11,34.63
2020-08-12,35.33
2020-08-13,35.57
2020-08-14,35.59
2020-08-17,35.93
2020-08-18,35.66
2020-08-19,35.43
2020-08-20,34.85
2020-08-21,34.56
2020-08-24,35.09
2020-08-25,35.37
2020-08-26,35.31
2020-08-27,34.76
2020-08-28,34.88
2020-08-31,35.04
2020-09-01,34.14
2020-09-02,34.71
2020-09-03,33.55
2020-09-04,33.47
2020-09-08,31.76
2020-09-09,31.65
2020-09-10,31.51
2020-09-11,31.71
2020-09-14,31.87
2020-09-15,31.97
2020-09-16,31.36
2020-09-17,30.64
2020-09-18,29.74
2020-09-21,29.65
2020-09-22,29.23
2020-09-23,28.77
2020-09-24,28.84
2020-09-25,29.13
2020-09-28,29.83
2020-09-29,29.59
2020-09-30,29.95
2020-10-01,30.37
2020-10-02,30.47
2020-10-05,31.0
2020-10-06,30.67
2020-10-07,30.84
2020-10-08,31.22
2020-10-09,31.11
2020-10-12,31.65
2020-10-13,32.41
2020-10-14,32.15
2020-10-15,32.3
2020-10-16,32.16
2020-10-19,31.75
2020-10-20,31.99
2020-10-21,31.44
2020-10-22,31.23
2020-10-23,31.37
2020-10-26,30.58
2020-10-27,30.68
2020-10-28,29.22
2020-10-29,30.04
2020-10-30,30.59
2020-11-02,31.67
2020-11-03,31.78
2020-11-04,31.82
2020-11-05,31.7
2020-11-06,31.54
2020-11-09,30.62
2020-11-10,30.48
2020-11-11,31.35
2020-11-12,31.1
2020-11-13,31.61
2020-11-16,32.15
2020-11-17,31.59
2020-11-18,31.63
2020-11-19,31.88
2020-11-20,32.26
2020-11-23,32.6
2020-11-24,33.83
2020-11-25,32.54
2020-11-27,32.84
2020-11-30,32.94
2020-12-01,33.14
2020-12-02,32.78
2020-12-03,33.45
2020-12-04,34.12
2020-12-07,33.6
2020-12-08,34.34
2020-12-09,34.22
2020-12-10,34.1
2020-12-11,34.07
2020-12-14,34.42
2020-12-15,34.33
2020-12-16,34.43
2020-12-17,34.62
2020-12-18,34.77
2020-12-21,34.57
2020-12-22,34.39
2020-12-23,34.8
2020-12-24,34.98
2020-12-28,35.21
2020-12-29,34.9
2020-12-30,34.67
2020-12-31,34.66
2021-01-04,34.23
2021-01-05,33.57
2021-01-06,33.94
2021-01-07,33.7
2021-01-08,33.62
2021-01-11,32.85
2021-01-12,32.18
2021-01-13,32.01
2021-01-14,32.08
2021-01-15,31.99
2021-01-19,32.36
2021-01-20,32.86
2021-01-21,32.78
2021-01-22,32.91
2021-01-25,33.75
2021-01-26,34.39
2021-01-27,34.74
2021-01-28,33.96
2021-01-29,33.51
2021-02-01,33.25
2021-02-02,33.16
2021-02-03,33.01
2021-02-04,32.92
2021-02-05,33.8
2021-02-08,33.91
2021-02-09,33.71
2021-02-10,33.89
2021-02-11,35.54
2021-02-12,35.39
2021-02-16,35.36
2021-02-17,37.02
2021-02-18,38.96
2021-02-19,37.48
2021-02-22,37.23
2021-02-23,37.12
2021-02-24,37.6
2021-02-25,37.27
2021-02-26,36.38
2021-03-01,37.09
2021-03-02,37.32
2021-03-03,37.98
2021-03-04,37.21
2021-03-05,37.85
2021-03-08,38.67
2021-03-09,39.13
2021-03-10,39.51
2021-03-11,38.47
2021-03-12,38.11
2021-03-15,38.53
2021-03-16,38.74
2021-03-17,39.08
2021-03-18,38.94
2021-03-19,39.14
2021-03-22,39.55
2021-03-23,38.92
2021-03-24,38.23
2021-03-25,39.2
2021-03-26,40.03
2021-03-29,40.78
2021-03-30,40.28
2021-03-31,40.0
2021-04-01,40.03
2021-04-05,40.31
2021-04-06,40.7
2021-04-07,40.64
2021-04-08,40.81
2021-04-09,40.14
2021-04-12,40.7
2021-04-13,40.92
2021-04-14,40.27
2021-04-15,41.05
2021-04-16,41.0
2021-04-19,40.95
2021-04-20,41.03
2021-04-21,41.58
2021-04-22,40.97
2021-04-23,40.41
2021-04-26,40.13
2021-04-27,40.1
2021-04-28,40.12
2021-04-29,41.69
2021-04-30,41.29
2021-05-03,41.99
2021-05-04,42.36
2021-05-05,42.47
2021-05-06,43.12
2021-05-07,43.48
2021-05-10,43.62
2021-05-11,43.26
2021-05-12,42.92
2021-05-13,43.82
2021-05-14,43.73
2021-05-17,43.8
2021-05-18,43.69
2021-05-19,43.57
2021-05-20,43.87
2021-05-21,44.13
2021-05-24,44.52
2021-05-25,44.15
2021-05-26,44.18
2021-05-27,43.43
2021-05-28,43.59
2021-06-01,43.85
2021-06-02,44.09
2021-06-03,43.99
2021-06-04,43.96
2021-06-07,43.88
2021-06-08,43.78
2021-06-09,43.04
2021-06-10,42.95
2021-06-11,43.42
2021-06-14,42.82
2021-06-15,42.76
2021-06-16,41.91
2021-06-17,41.33
2021-06-18,40.5
2021-06-21,40.83
2021-06-22,40.55
2021-06-23,40.14
2021-06-24,40.37
2021-06-25,40.69
2021-06-28,40.88
2021-06-29,40.58
2021-06-30,40.78
2021-07-01,40.49
2021-07-02,40.38
2021-07-06,39.65
2021-07-07,39.85
2021-07-08,39.6
2021-07-09,39.95
2021-07-12,39.79
2021-07-13,39.16
2021-07-14,38.99
2021-07-15,39.43
2021-07-16,39.3
2021-07-19,39.34
2021-07-20,39.4
2021-07-21,39.37
2021-07-22,38.8
2021-07-23,39.22
2021-07-26,39.52
2021-07-27,39.27
2021-07-28,38.92
2021-07-29,38.98
2021-07-30,38.47
2021-08-02,38.58
2021-08-03,38.94
2021-08-04,36.94
2021-08-05,36.94
2021-08-06,37.2
2021-08-09,37.31
2021-08-10,37.47
2021-08-11,37.77
2021-08-12,37.36
2021-08-13,37.87
2021-08-16,38.01
2021-08-17,37.91
2021-08-18,36.95
2021-08-19,36.83
2021-08-20,36.6
2021-08-23,36.64
2021-08-24,36.55
2021-08-25,36.75
2021-08-26,36.07
2021-08-27,36.38
2021-08-30,36.12
2021-08-31,35.99
2021-09-01,36.1
2021-09-02,36.07
2021-09-03,35.83
2021-09-07,35.66
2021-09-08,37.06
2021-09-09,36.56
2021-09-10,36.33
2021-09-13,36.64
2021-09-14,36.21
2021-09-15,36.22
2021-09-16,36.54
2021-09-17,36.55
2021-09-20,36.21
2021-09-21,35.94
2021-09-22,36.13
2021-09-23,36.31
2021-09-24,36.39
2021-09-27,36.84
2021-09-28,36.62
2021-09-29,37.53
2021-09-30,36.82
2021-10-01,36.68
2021-10-04,36.89
2021-10-05,37.07
2021-10-06,37.35
2021-10-07,37.08
2021-10-08,36.78
2021-10-11,36.78
2021-10-12,36.78
2021-10-13,36.8
2021-10-14,37.26
2021-10-15,36.98
2021-10-18,36.88
2021-10-19,36.81
2021-10-20,36.92
2021-10-21,36.38
2021-10-22,36.38
2021-10-25,36.22
2021-10-26,36.44
2021-10-27,36.4
2021-10-28,36.48
2021-10-29,35.89
2021-11-01,36.73
2021-11-02,37.08
2021-11-03,37.42
2021-11-04,37.19
2021-11-05,37.84
2021-11-08,37.2
2021-11-09,37.35
2021-11-10,37.49
2021-11-11,37.28
2021-11-12,37.22
2021-11-15,37.62
2021-11-16,37.04
2021-11-17,36.56
2021-11-18,35.37
2021-11-19,35.34
2021-11-22,35.47
2021-11-23,35.82
2021-11-24,35.19
2021-11-26,34.83
2021-11-29,34.78
2021-11-30,33.61
2021-12-01,32.88
2021-12-02,33.25
2021-12-03,33.64
2021-12-06,34.27
2021-12-07,34.51
2021-12-08,33.15
2021-12-09,33.47
2021-12-10,34.15
2021-12-13,34.48
2021-12-14,34.78
2021-12-15,34.88
2021-12-16,36.0
2021-12-17,35.51
2021-12-20,35.27
2021-12-21,35.0
2021-12-22,35.11
2021-12-23,35.25
2021-12-27,35.43
2021-12-28,35.86
2021-12-29,35.81
2021-12-30,35.66
2021-12-31,35.9
2022-01-03,36.14
2022-01-04,36.91
2022-01-05,36.76
2022-01-06,36.83
2022-01-07,37.35
2022-01-10,37.36
2022-01-11,37.59
2022-01-12,37.3
2022-01-13,37.65
2022-01-14,38.02
2022-01-18,37.43
2022-01-19,37.22
2022-01-20,37.06
2022-01-21,37.0
2022-01-24,36.39
2022-01-25,36.21
2022-01-26,36.04
2022-01-27,36.09
2022-01-28,36.05
2022-01-31,35.8
2022-02-01,36.13
2022-02-02,36.38
2022-02-03,35.84
2022-02-04,34.75
2022-02-07,34.72
2022-02-08,34.94
2022-02-09,34.95
2022-02-10,34.29
2022-02-11,34.73
2022-02-14,34.59
2022-02-15,34.68
2022-02-16,36.62
2022-02-17,37.79
2022-02-18,38.46
2022-02-22,40.4
2022-02-23,40.1
2022-02-24,38.98
2022-02-25,39.73
2022-02-28,39.22
2022-03-01,38.68
2022-03-02,39.07
2022-03-03,39.95
2022-03-04,39.84
2022-03-07,40.15
2022-03-08,38.66
2022-03-09,38.18
2022-03-10,37.54
2022-03-11,37.36
2022-03-14,37.69
2022-03-15,37.82
2022-03-16,37.68
2022-03-17,37.75
2022-03-18,37.62
2022-03-21,37.62
2022-03-22,37.95
2022-03-23,38.28
2022-03-24,38.63
2022-03-25,39.29
2022-03-28,39.39
2022-03-29,39.37
2022-03-30,39.4
2022-03-31,39.39
2022-04-01,39.93
2022-04-04,39.89
2022-04-05,39.59
2022-04-06,40.04
2022-04-07,40.31
2022-04-08,40.94
2022-04-11,41.25
2022-04-12,41.12
2022-04-13,42.0
2022-04-14,42.29
2022-04-18,42.16
2022-04-19,42.61
2022-04-20,43.35
2022-04-21,44.0
2022-04-22,43.18
2022-04-25,43.04
2022-04-26,42.31
2022-04-27,42.88
2022-04-28,43.61
2022-04-29,42.63
2022-05-02,41.98
2022-05-03,42.38
2022-05-04,43.32
2022-05-05,43.14
2022-05-06,43.59
2022-05-09,44.19
2022-05-10,43.46
2022-05-11,43.5
2022-05-12,43.05
2022-05-13,44.29
2022-05-16,44.08
2022-05-17,43.16
2022-05-18,39.04
2022-05-19,38.56
2022-05-20,38.37
2022-05-23,38.99
2022-05-24,39.61
2022-05-25,39.88
2022-05-26,37.07
2022-05-27,37.83
2022-05-31,37.83
2022-06-01,37.25
2022-06-02,36.39
2022-06-03,36.3
2022-06-06,36.69
2022-06-07,37.08
2022-06-08,37.4
2022-06-09,37.27
2022-06-10,37.45
2022-06-13,36.04
2022-06-14,36.14
2022-06-15,36.18
2022-06-16,36.03
2022-06-17,35.58
2022-06-21,36.61
2022-06-22,37.05
2022-06-23,37.85
2022-06-24,38.4
2022-06-27,38.66
2022-06-28,37.73
2022-06-29,37.98
2022-06-30,38.14
2022-07-01,38.64
2022-07-05,38.12
2022-07-06,38.2
2022-07-07,38.08
2022-07-08,38.37
2022-07-11,38.61
2022-07-12,38.8
2022-07-13,39.18
2022-07-14,38.76
2022-07-15,38.01
2022-07-18,38.43
2022-07-19,38.74
2022-07-20,38.26
2022-07-21,37.95
2022-07-22,38.32
2022-07-25,38.38
2022-07-26,38.64
2022-07-27,36.34
2022-07-28,37.19
2022-07-29,36.83
2022-08-01,37.43
2022-08-02,37.09
2022-08-03,37.34
2022-08-04,37.03
2022-08-05,37.57
2022-08-08,37.79
2022-08-09,38.4
2022-08-10,38.63
2022-08-11,38.73
2022-08-12,38.67
2022-08-15,38.56
2022-08-16,38.83
2022-08-17,38.2
2022-08-18,38.26
2022-08-19,38.53
2022-08-22,38.41
2022-08-23,38.72
2022-08-24,38.91
2022-08-25,38.61
2022-08-26,38.11
2022-08-29,38.09
2022-08-30,37.41
2022-08-31,37.4
2022-09-01,37.7
2022-09-02,37.31
2022-09-06,37.43
2022-09-07,37.32
2022-09-08,36.06
2022-09-09,36.46
2022-09-12,36.73
2022-09-13,35.06
2022-09-14,34.96
2022-09-15,34.61
2022-09-16,34.71
2022-09-19,34.61
2022-09-20,33.94
2022-09-21,34.44
2022-09-22,34.26
2022-09-23,33.92
2022-09-26,34.06
2022-09-27,32.95
2022-09-28,33.62
2022-09-29,33.56
2022-09-30,33.35
2022-10-03,33.96
2022-10-04,34.33
2022-10-05,33.89
2022-10-06,33.42
2022-10-07,33.03
2022-10-10,34.07
2022-10-11,34.94
2022-10-12,35.3
2022-10-13,35.78
2022-10-14,35.73
2022-10-17,35.49
2022-10-18,36.07
2022-10-19,36.29
2022-10-20,35.34
2022-10-21,35.21
2022-10-24,36.52
2022-10-25,37.06
2022-10-26,36.91
2022-10-27,38.02
2022-10-28,38.94
2022-10-31,38.47
2022-11-01,38.22
2022-11-02,38.12
2022-11-03,37.99
2022-11-04,38.02
2022-11-07,38.17
2022-11-08,38.1
2022-11-09,37.73
2022-11-10,37.87
2022-11-11,36.99
2022-11-14,36.82
2022-11-15,37.04
2022-11-16,37.69
2022-11-17,37.75
2022-11-18,38.1
2022-11-21,38.44
2022-11-22,38.96
2022-11-23,38.9
2022-11-25,38.9
2022-11-28,38.87
2022-11-29,39.04
2022-11-30,39.35
2022-12-01,39.49
2022-12-02,39.83
2022-12-05,39.62
2022-12-06,39.42
2022-12-07,39.89
2022-12-08,40.14
2022-12-09,39.94
2022-12-12,40.28
2022-12-13,39.97
2022-12-14,40.16
2022-12-15,39.83
2022-12-16,39.92
2022-12-19,40.11
2022-12-20,39.79
2022-12-21,40.18
2022-12-22,40.36
2022-12-23,40.52
2022-12-27,40.96
2022-12-28,40.44
2022-12-29,40.68
2022-12-30,40.71
2023-01-03,40.78
2023-01-04,41.24
2023-01-05,41.33
2023-01-06,42.59
2023-01-09,42.2
2023-01-10,42.33
2023-01-11,42.56
2023-01-12,42.43
2023-01-13,42.42
2023-01-17,42.33
2023-01-18,39.66
2023-01-19,40.04
2023-01-20,39.88
2023-01-23,40.26
2023-01-24,39.82
2023-01-25,39.95
2023-01-26,39.66
2023-01-27,39.69
2023-01-30,40.37
2023-01-31,40.53
2023-02-01,40.54
2023-02-02,39.99
2023-02-03,39.38
2023-02-06,39.93
2023-02-07,39.54
2023-02-08,39.07
2023-02-09,38.89
2023-02-10,39.63
2023-02-13,40.33
2023-02-14,39.88
2023-02-15,40.13
2023-02-16,39.78
2023-02-17,40.0
2023-02-21,39.87
2023-02-22,39.58
2023-02-23,39.75
2023-02-24,39.61
2023-02-27,39.66
2023-02-28,38.94
2023-03-01,38.4
2023-03-02,38.66
2023-03-03,39.04
2023-03-06,38.99
2023-03-07,38.64
2023-03-08,38.32
2023-03-09,37.79
2023-03-10,37.94
2023-03-13,38.12
2023-03-14,38.14
2023-03-15,38.11
2023-03-16,38.18
2023-03-17,37.63
2023-03-20,37.94
2023-03-21,38.04
2023-03-22,37.57
2023-03-23,37.42
2023-03-24,38.18
2023-03-27,38.6
2023-03-28,38.39
2023-03-29,38.67
2023-03-30,38.84
2023-03-31,38.67
2023-04-03,38.85
2023-04-04,38.61
2023-04-05,39.02
2023-04-06,39.14
2023-04-10,39.1
2023-04-11,39.25
2023-04-12,39.28
2023-04-13,39.17
2023-04-14,39.1
2023-04-17,39.54
2023-04-18,39.46
2023-04-19,39.47
2023-04-20,39.41
2023-04-21,39.22
2023-04-24,39.18
2023-04-25,39.44
2023-04-26,39.36
2023-04-27,39.68
2023-04-28,39.27
2023-05-01,39.76
2023-05-02,39.45
2023-05-03,40.25
2023-05-04,40.84
2023-05-05,41.32
2023-05-08,41.08
2023-05-09,40.88
2023-05-10,40.68
2023-05-11,40.65
2023-05-12,40.66
2023-05-15,40.17
2023-05-16,39.0
2023-05-17,38.91
2023-05-18,38.91
2023-05-19,39.07
2023-05-22,38.74
2023-05-23,38.69
2023-05-24,38.72
2023-05-25,38.26
2023-05-26,38.34
2023-05-30,37.85
2023-05-31,38.22
2023-06-01,38.19
2023-06-02,38.51
2023-06-05,38.06
2023-06-06,37.79
2023-06-07,36.95
2023-06-08,37.19
2023-06-09,36.88
2023-06-12,36.58
2023-06-13,36.8
2023-06-14,36.67
2023-06-15,36.87
2023-06-16,36.99
2023-06-20,36.62
2023-06-21,36.07
2023-06-22,36.07
2023-06-23,35.91
2023-06-26,35.55
2023-06-27,35.58
2023-06-28,35.02
2023-06-29,35.02
2023-06-30,35.5
2023-07-03,35.81
2023-07-05,35.85
2023-07-06,35.66
2023-07-07,35.46
2023-07-10,35.4
2023-07-11,35.63
2023-07-12,35.76
2023-07-13,35.64
2023-07-14,35.85
2023-07-17,35.51
2023-07-18,35.51
2023-07-19,36.14
2023-07-20,36.4
2023-07-21,36.32
2023-07-24,36.35
2023-07-25,36.55
2023-07-26,36.36
2023-07-27,36.2
2023-07-28,36.16
2023-07-31,36.18
2023-08-01,35.88
2023-08-02,36.32
2023-08-03,35.57
2023-08-04,35.28
2023-08-07,35.0
2023-08-08,34.46
2023-08-09,34.52
2023-08-10,34.39
2023-08-11,34.55
2023-08-14,34.24
2023-08-15,33.76
2023-08-16,33.56
2023-08-17,33.49
2023-08-18,33.66
2023-08-21,33.48
2023-08-22,33.3
2023-08-23,33.49
2023-08-24,33.52
2023-08-25,33.85
