date,close
2020-01-27,50.79
2020-01-28,51.49
2020-01-29,51.67
2020-01-30,52.38
2020-01-31,51.45
2020-02-03,52.4
2020-02-04,52.73
2020-02-05,53.58
2020-02-06,53.31
2020-02-07,53.25
2020-02-10,55.81
2020-02-11,54.72
2020-02-12,53.93
2020-02-13,54.06
2020-02-14,54.19
2020-02-18,53.7
2020-02-19,53.71
2020-02-20,53.89
2020-02-21,53.63
2020-02-24,52.33
2020-02-25,50.36
2020-02-26,48.95
2020-02-27,46.21
2020-02-28,45.63
2020-03-02,48.69
2020-03-03,47.08
2020-03-04,48.5
2020-03-05,45.53
2020-03-06,44.18
2020-03-09,39.39
2020-03-10,43.18
2020-03-11,39.73
2020-03-12,33.19
2020-03-13,37.01
2020-03-16,33.42
2020-03-17,36.72
2020-03-18,34.59
2020-03-19,37.31
2020-03-20,31.26
2020-03-23,29.74
2020-03-24,33.74
2020-03-25,33.29
2020-03-26,35.41
2020-03-27,33.7
2020-03-30,35.43
2020-03-31,34.83
2020-04-01,32.63
2020-04-02,33.18
2020-04-03,32.7
2020-04-06,35.7
2020-04-07,36.27
2020-04-08,37.97
2020-04-09,39.42
2020-04-13,37.42
2020-04-14,37.42
2020-04-15,34.56
2020-04-16,34.0
2020-04-17,36.14
2020-04-20,34.97
2020-04-21,33.71
2020-04-22,33.77
2020-04-23,32.92
2020-04-24,32.4
2020-04-27,32.56
2020-04-28,34.11
2020-04-29,36.7
2020-04-30,34.66
2020-05-01,31.62
2020-05-04,31.76
2020-05-05,30.79
2020-05-06,29.68
2020-05-07,30.34
2020-05-08,31.02
2020-05-11,30.01
2020-05-12,29.6
2020-05-13,28.8
2020-05-14,29.09
2020-05-15,29.81
2020-05-18,31.65
2020-05-19,31.06
2020-05-20,32.19
2020-05-21,32.09
2020-05-22,31.91
2020-05-26,33.04
2020-05-27,34.24
2020-05-28,33.78
2020-05-29,33.24
2020-06-01,33.77
2020-06-02,34.64
2020-06-03,35.48
2020-06-04,36.5
2020-06-05,39.08
2020-06-08,39.95
2020-06-09,38.26
2020-06-10,36.17
2020-06-11,32.19
2020-06-12,33.02
2020-06-15,33.58
2020-06-16,33.92
2020-06-17,33.4
2020-06-18,33.88
2020-06-19,34.73
2020-06-22,34.06
2020-06-23,34.34
2020-06-24,33.17
2020-06-25,33.84
2020-06-26,32.81
2020-06-29,33.69
2020-06-30,34.29
2020-07-01,33.54
2020-07-02,33.69
2020-07-06,34.52
2020-07-07,33.67
2020-07-08,33.92
2020-07-09,32.82
2020-07-10,34.5
2020-07-13,34.67
2020-07-14,35.52
2020-07-15,36.05
2020-07-16,36.24
2020-07-17,36.17
2020-07-20,35.44
2020-07-21,36.45
2020-07-22,36.67
2020-07-23,37.06
2020-07-24,36.87
2020-07-27,36.28
2020-07-28,36.38
2020-07-29,37.37
2020-07-30,36.53
2020-07-31,36.41
2020-08-03,35.6
2020-08-04,35.38
2020-08-05,36.48
2020-08-06,36.51
2020-08-07,37.76
2020-08-10,38.6
2020-08-11,38.61
2020-08-12,38.14
2020-08-13,37.86
2020-08-14,37.61
2020-08-17,36.8
2020-08-18,36.37
2020-08-19,36.21
2020-08-20,35.61
2020-08-21,35.32
2020-08-24,36.61
2020-08-25,36.48
2020-08-26,35.9
2020-08-27,36.78
2020-08-28,36.92
2020-08-31,35.86
2020-09-01,36.17
2020-09-02,36.6
2020-09-03,36.62
2020-09-04,36.87
2020-09-08,35.63
2020-09-09,35.81
2020-09-10,35.16
2020-09-11,35.27
2020-09-14,36.1
2020-09-15,35.39
2020-09-16,37.07
2020-09-17,36.99
2020-09-18,36.69
2020-09-21,34.82
2020-09-22,34.72
2020-09-23,33.54
2020-09-24,33.54
2020-09-25,33.68
2020-09-28,34.73
2020-09-29,34.2
2020-09-30,34.75
2020-10-01,34.86
2020-10-02,35.5
2020-10-05,36.15
2020-10-06,35.5
2020-10-07,36.1
2020-10-08,36.99
2020-10-09,36.98
2020-10-12,37.36
2020-10-13,35.88
2020-10-14,35.35
2020-10-15,35.64
2020-10-16,35.74
2020-10-19,34.94
2020-10-20,35.24
2020-10-21,35.6
2020-10-22,35.93
2020-10-23,36.23
2020-10-26,35.13
2020-10-27,34.15
2020-10-28,33.26
2020-10-29,34.22
2020-10-30,34.68
2020-11-02,37.33
2020-11-03,37.89
2020-11-04,36.41
2020-11-05,37.89
2020-11-06,37.69
2020-11-09,42.55
