date,close
2020-01-27,100.77
2020-01-28,102.31
2020-01-29,101.83
2020-01-30,102.58
2020-01-31,100.47
2020-02-03,102.46
2020-02-04,105.31
2020-02-05,106.63
2020-02-06,109.96
2020-02-07,110.11
2020-02-10,110.6
2020-02-11,112.14
2020-02-12,111.0
2020-02-13,113.1
2020-02-14,112.81
2020-02-18,123.22
2020-02-19,120.33
2020-02-20,119.27
2020-02-21,117.22
2020-02-24,113.83
2020-02-25,109.15
2020-02-26,110.82
2020-02-27,105.11
2020-02-28,102.65
2020-03-02,110.06
2020-03-03,109.33
2020-03-04,112.33
2020-03-05,107.57
2020-03-06,105.68
2020-03-09,97.53
2020-03-10,102.79
2020-03-11,97.97
2020-03-12,85.8
2020-03-13,90.31
2020-03-16,78.0
2020-03-17,81.38
2020-03-18,77.76
2020-03-19,75.91
2020-03-20,72.51
2020-03-23,70.83
2020-03-24,78.46
2020-03-25,86.12
2020-03-26,92.56
2020-03-27,93.44
2020-03-30,93.43
2020-03-31,91.65
2020-04-01,87.15
2020-04-02,88.63
2020-04-03,87.94
2020-04-06,94.89
2020-04-07,92.6
2020-04-08,95.44
2020-04-09,95.46
2020-04-13,92.08
2020-04-14,95.57
2020-04-15,92.71
2020-04-16,92.85
2020-04-17,99.28
2020-04-20,98.6
2020-04-21,94.56
2020-04-22,97.61
2020-04-23,98.86
2020-04-24,101.95
2020-04-27,102.8
2020-04-28,102.32
2020-04-29,102.96
2020-04-30,98.81
2020-05-01,97.89
2020-05-04,98.91
2020-05-05,98.44
2020-05-06,97.18
2020-05-07,100.38
2020-05-08,102.7
2020-05-11,102.07
2020-05-12,99.91
2020-05-13,95.51
2020-05-14,95.83
2020-05-15,96.82
2020-05-18,98.73
2020-05-19,97.82
2020-05-20,98.91
2020-05-21,99.4
2020-05-22,100.96
2020-05-26,102.25
2020-05-27,102.76
2020-05-28,104.36
2020-05-29,105.29
2020-06-01,105.98
2020-06-02,104.53
2020-06-03,107.26
2020-06-04,105.97
2020-06-05,106.05
2020-06-08,106.54
2020-06-09,105.69
2020-06-10,104.77
2020-06-11,100.37
2020-06-12,98.91
2020-06-15,98.62
2020-06-16,100.29
2020-06-17,100.19
2020-06-18,99.33
2020-06-19,96.7
2020-06-22,96.89
2020-06-23,96.17
2020-06-24,93.25
2020-06-25,92.72
2020-06-26,89.78
2020-06-29,92.2
2020-06-30,93.67
2020-07-01,93.31
2020-07-02,93.64
2020-07-06,88.45
2020-07-07,87.89
2020-07-08,88.06
2020-07-09,86.41
2020-07-10,87.91
2020-07-13,85.04
2020-07-14,86.2
2020-07-15,87.82
2020-07-16,86.58
2020-07-17,88.17
2020-07-20,88.64
2020-07-21,89.11
2020-07-22,91.37
2020-07-23,90.67
2020-07-24,91.07
2020-07-27,90.16
2020-07-28,90.18
2020-07-29,91.97
2020-07-30,92.36
2020-07-31,95.16
2020-08-03,98.3
2020-08-04,92.27
2020-08-05,89.73
2020-08-06,91.01
2020-08-07,93.21
2020-08-10,94.42
2020-08-11,95.95
2020-08-12,94.41
2020-08-13,94.39
2020-08-14,94.72
2020-08-17,92.24
2020-08-18,91.81
2020-08-19,92.6
2020-08-20,91.02
2020-08-21,89.17
2020-08-24,90.81
2020-08-25,90.62
2020-08-26,90.54
2020-08-27,91.68
2020-08-28,91.31
2020-08-31,90.49
2020-09-01,89.7
2020-09-02,91.64
2020-09-03,89.01
2020-09-04,88.49
2020-09-08,86.55
2020-09-09,87.17
2020-09-10,85.9
2020-09-11,87.17
2020-09-14,88.34
2020-09-15,88.74
2020-09-16,89.1
2020-09-17,90.23
2020-09-18,90.06
2020-09-21,88.43
