date,close
2020-01-27,67.29
2020-01-28,67.78
2020-01-29,67.78
2020-01-30,67.26
2020-01-31,66.36
2020-02-03,66.66
2020-02-04,65.62
2020-02-05,67.96
2020-02-06,68.15
2020-02-07,68.99
2020-02-10,70.08
2020-02-11,71.22
2020-02-12,70.36
2020-02-13,69.76
2020-02-14,70.35
2020-02-18,70.12
2020-02-19,70.44
2020-02-20,71.03
2020-02-21,70.65
2020-02-24,69.16
2020-02-25,66.45
2020-02-26,64.82
2020-02-27,62.99
2020-02-28,60.34
2020-03-02,62.62
2020-03-03,64.24
2020-03-04,66.64
2020-03-05,64.7
2020-03-06,62.55
2020-03-09,55.35
2020-03-10,59.35
2020-03-11,53.41
2020-03-12,46.42
2020-03-13,45.68
2020-03-16,36.72
2020-03-17,34.97
2020-03-18,30.92
2020-03-19,31.61
2020-03-20,34.08
2020-03-23,29.35
2020-03-24,35.6
2020-03-25,40.71
2020-03-26,42.42
2020-03-27,40.26
2020-03-30,39.96
2020-03-31,38.2
2020-04-01,34.73
2020-04-02,33.42
2020-04-03,33.39
2020-04-06,39.22
2020-04-07,39.26
2020-04-08,43.36
2020-04-09,44.8
2020-04-13,41.35
2020-04-14,43.02
2020-04-15,39.82
2020-04-16,40.9
2020-04-17,42.93
2020-04-20,39.98
2020-04-21,40.15
2020-04-22,41.06
2020-04-23,41.25
2020-04-24,42.88
2020-04-27,45.36
2020-04-28,49.52
2020-04-29,53.24
2020-04-30,50.07
2020-05-01,49.46
2020-05-04,49.42
2020-05-05,51.11
2020-05-06,51.07
2020-05-07,50.84
2020-05-08,54.01
2020-05-11,53.0
2020-05-12,50.88
2020-05-13,48.92
2020-05-14,48.75
2020-05-15,50.64
2020-05-18,56.6
2020-05-19,58.43
2020-05-20,57.55
2020-05-21,59.0
2020-05-22,60.09
2020-05-26,61.77
2020-05-27,64.99
2020-05-28,60.19
2020-05-29,60.46
2020-06-01,60.14
2020-06-02,60.21
2020-06-03,63.47
2020-06-04,61.08
2020-06-05,63.71
2020-06-08,62.66
2020-06-09,62.21
2020-06-10,62.48
2020-06-11,57.22
2020-06-12,59.25
2020-06-15,63.5
2020-06-16,63.94
2020-06-17,63.46
2020-06-18,61.9
2020-06-19,60.18
2020-06-22,61.18
2020-06-23,61.19
2020-06-24,59.04
2020-06-25,59.76
2020-06-26,59.0
2020-06-29,60.95
2020-06-30,61.62
2020-07-01,59.78
2020-07-02,60.17
2020-07-06,61.94
2020-07-07,62.17
2020-07-08,65.55
2020-07-09,63.25
2020-07-10,65.26
2020-07-13,62.56
2020-07-14,66.29
2020-07-15,68.32
2020-07-16,69.81
2020-07-17,69.6
2020-07-20,68.85
2020-07-21,68.35
2020-07-22,70.93
2020-07-23,70.08
2020-07-24,69.79
2020-07-27,73.03
2020-07-28,70.38
2020-07-29,72.68
2020-07-30,72.28
2020-07-31,72.35
2020-08-03,73.6
2020-08-04,72.73
2020-08-05,73.56
2020-08-06,73.29
2020-08-07,73.24
2020-08-10,74.5
2020-08-11,73.57
2020-08-12,74.29
2020-08-13,74.58
2020-08-14,74.25
2020-08-17,77.07
2020-08-18,77.17
2020-08-19,76.81
2020-08-20,76.94
2020-08-21,79.36
2020-08-24,78.75
2020-08-25,77.98
2020-08-26,77.15
2020-08-27,75.8
2020-08-28,75.93
2020-08-31,74.82
2020-09-01,78.13
2020-09-02,78.37
2020-09-03,75.31
2020-09-04,73.62
2020-09-08,73.37
2020-09-09,75.79
2020-09-10,75.5
2020-09-11,77.48
2020-09-14,79.0
2020-09-15,75.9
2020-09-16,78.89
2020-09-17,78.14
2020-09-18,79.18
2020-09-21,76.75
2020-09-22,79.85
2020-09-23,76.28
2020-09-24,77.54
2020-09-25,76.7
2020-09-28,79.64
2020-09-29,78.97
2020-09-30,81.68
2020-10-01,82.93
2020-10-02,83.86
2020-10-05,83.01
2020-10-06,80.66
2020-10-07,80.43
2020-10-08,84.01
2020-10-09,84.07
2020-10-12,83.95
2020-10-13,83.03
2020-10-14,83.32
2020-10-15,84.68
2020-10-16,84.68
2020-10-19,82.54
2020-10-20,83.29
2020-10-21,80.09
2020-10-22,76.54
2020-10-23,78.27
2020-10-26,75.02
2020-10-27,72.51
2020-10-28,72.33
2020-10-29,71.6
2020-10-30,70.23
2020-11-02,72.51
2020-11-03,74.37
2020-11-04,79.48
2020-11-05,78.72
2020-11-06,75.59
2020-11-09,70.4
2020-11-10,75.34
2020-11-11,76.22
2020-11-12,73.99
2020-11-13,75.6
2020-11-16,75.76
