date,close
2020-01-27,33.06
2020-01-28,33.44
2020-01-29,33.48
2020-01-30,33.61
2020-01-31,32.69
2020-02-03,32.58
2020-02-04,33.26
2020-02-05,34.07
2020-02-06,33.22
2020-02-07,32.93
2020-02-10,33.19
2020-02-11,33.58
2020-02-12,33.74
2020-02-13,33.85
2020-02-14,33.2
2020-02-18,33.25
2020-02-19,34.0
2020-02-20,34.02
2020-02-21,33.04
2020-02-24,32.33
2020-02-25,31.32
2020-02-26,30.54
2020-02-27,29.72
2020-02-28,29.58
2020-03-02,29.9
2020-03-03,28.73
2020-03-04,29.64
2020-03-05,28.23
2020-03-06,27.52
2020-03-09,25.9
2020-03-10,27.58
2020-03-11,26.81
2020-03-12,23.82
2020-03-13,24.9
2020-03-16,20.36
2020-03-17,19.69
2020-03-18,15.9
2020-03-19,17.38
2020-03-20,16.3
2020-03-23,13.9
2020-03-24,16.96
2020-03-25,20.0
2020-03-26,22.25
2020-03-27,21.36
2020-03-30,21.0
2020-03-31,20.51
2020-04-01,19.13
2020-04-02,18.51
2020-04-03,17.35
2020-04-06,20.06
2020-04-07,20.94
2020-04-08,22.0
2020-04-09,22.53
2020-04-13,21.34
2020-04-14,21.44
2020-04-15,20.39
2020-04-16,19.84
2020-04-17,20.93
2020-04-20,20.34
2020-04-21,19.93
2020-04-22,20.15
2020-04-23,20.46
2020-04-24,21.33
2020-04-27,22.77
2020-04-28,23.99
2020-04-29,25.3
2020-04-30,26.15
2020-05-01,24.81
2020-05-04,24.62
2020-05-05,24.98
2020-05-06,24.0
2020-05-07,25.2
2020-05-08,26.28
2020-05-11,25.39
2020-05-12,24.25
2020-05-13,22.68
2020-05-14,23.54
2020-05-15,23.6
2020-05-18,25.78
2020-05-19,24.92
2020-05-20,25.52
2020-05-21,25.52
2020-05-22,25.34
2020-05-26,27.04
2020-05-27,28.37
2020-05-28,27.71
2020-05-29,27.46
2020-06-01,28.05
2020-06-02,28.21
2020-06-03,30.17
2020-06-04,30.45
2020-06-05,30.28
2020-06-08,29.65
2020-06-09,28.5
2020-06-10,27.46
2020-06-11,26.3
2020-06-12,25.89
2020-06-15,27.15
2020-06-16,27.92
2020-06-17,26.9
2020-06-18,25.98
