date,close
2020-01-27,119.76
2020-01-28,121.15
2020-01-29,120.42
2020-01-30,119.72
2020-01-31,116.24
2020-02-03,117.18
2020-02-04,119.35
2020-02-05,122.13
2020-02-06,121.51
2020-02-07,121.48
2020-02-10,121.21
2020-02-11,123.03
2020-02-12,125.03
2020-02-13,124.77
2020-02-14,125.42
2020-02-18,123.23
2020-02-19,123.44
2020-02-20,126.57
2020-02-21,125.31
2020-02-24,122.91
2020-02-25,118.52
2020-02-26,113.3
2020-02-27,107.62
2020-02-28,106.57
2020-03-02,111.04
2020-03-03,108.56
2020-03-04,113.29
2020-03-05,107.52
2020-03-06,105.31
2020-03-09,94.22
2020-03-10,104.02
2020-03-11,99.15
2020-03-12,89.92
2020-03-13,96.49
2020-03-16,72.59
2020-03-17,73.79
2020-03-18,65.02
2020-03-19,69.87
2020-03-20,66.36
2020-03-23,67.8
2020-03-24,77.3
2020-03-25,83.72
2020-03-26,88.11
2020-03-27,86.98
2020-03-30,88.71
2020-03-31,86.05
2020-04-01,80.42
2020-04-02,82.86
2020-04-03,82.2
2020-04-06,88.77
2020-04-07,90.96
2020-04-08,94.35
2020-04-09,95.31
2020-04-13,95.2
2020-04-14,99.07
2020-04-15,94.34
2020-04-16,92.44
2020-04-17,97.1
2020-04-20,95.13
2020-04-21,92.62
2020-04-22,94.95
2020-04-23,94.9
2020-04-24,98.75
2020-04-27,101.97
2020-04-28,103.52
2020-04-29,106.16
2020-04-30,104.75
2020-05-01,104.46
2020-05-04,107.35
2020-05-05,110.15
2020-05-06,109.62
2020-05-07,111.92
2020-05-08,114.23
2020-05-11,113.39
2020-05-12,111.24
2020-05-13,110.43
2020-05-14,110.39
2020-05-15,113.78
2020-05-18,116.73
2020-05-19,116.87
2020-05-20,116.99
2020-05-21,120.64
2020-05-22,122.25
2020-05-26,123.59
2020-05-27,128.01
2020-05-28,128.12
2020-05-29,130.35
2020-06-01,129.32
2020-06-02,131.98
2020-06-03,132.84
2020-06-04,128.68
2020-06-05,130.97
2020-06-08,130.81
2020-06-09,129.57
2020-06-10,130.1
2020-06-11,123.94
2020-06-12,126.05
2020-06-15,127.73
2020-06-16,131.74
2020-06-17,135.65
2020-06-18,134.55
2020-06-19,133.83
2020-06-22,134.72
2020-06-23,134.28
2020-06-24,131.98
2020-06-25,131.77
2020-06-26,129.41
2020-06-29,133.52
2020-06-30,135.12
2020-07-01,135.63
2020-07-02,135.71
2020-07-06,135.76
2020-07-07,135.02
2020-07-08,135.75
2020-07-09,135.61
2020-07-10,137.43
2020-07-13,136.55
2020-07-14,140.06
2020-07-15,141.22
2020-07-16,142.75
2020-07-17,144.39
2020-07-20,144.1
2020-07-21,145.0
2020-07-22,148.54
2020-07-23,146.5
2020-07-24,147.03
2020-07-27,149.12
2020-07-28,147.71
2020-07-29,148.71
2020-07-30,149.2
2020-07-31,148.91
2020-08-03,150.27
2020-08-04,149.67
2020-08-05,150.26
2020-08-06,151.19
2020-08-07,152.78
2020-08-10,153.72
2020-08-11,153.87
2020-08-12,156.63
2020-08-13,155.7
2020-08-14,154.34
2020-08-17,158.41
2020-08-18,157.91
2020-08-19,158.28
2020-08-20,158.58
2020-08-21,161.72
2020-08-24,165.63
2020-08-25,165.92
2020-08-26,170.39
2020-08-27,166.31
2020-08-28,165.51
2020-08-31,164.69
2020-09-01,167.59
2020-09-02,170.49
2020-09-03,161.52
2020-09-04,156.39
2020-09-08,153.74
2020-09-09,159.53
2020-09-10,158.33
2020-09-11,161.89
2020-09-14,165.19
2020-09-15,169.03
2020-09-16,166.71
2020-09-17,163.78
2020-09-18,160.1
2020-09-21,159.6
2020-09-22,161.55
2020-09-23,158.61
2020-09-24,158.52
2020-09-25,159.55
2020-09-28,162.59
2020-09-29,162.26
2020-09-30,165.86
2020-10-01,167.17
2020-10-02,166.49
2020-10-05,168.54
2020-10-06,164.99
2020-10-07,168.47
2020-10-08,170.87
2020-10-09,173.23
2020-10-12,172.73
2020-10-13,175.33
2020-10-14,173.61
2020-10-15,176.15
2020-10-16,177.7
2020-10-19,175.13
2020-10-20,177.09
2020-10-21,174.5
2020-10-22,171.25
2020-10-23,172.14
2020-10-26,168.13
2020-10-27,165.14
2020-10-28,161.42
2020-10-29,160.75
2020-10-30,158.1
2020-11-02,160.23
2020-11-03,164.65
2020-11-04,168.22
2020-11-05,169.25
2020-11-06,168.52
2020-11-09,153.45
2020-11-10,155.71
2020-11-11,158.0
2020-11-12,157.98
2020-11-13,159.23
2020-11-16,161.9
2020-11-17,159.86
2020-11-18,146.74
2020-11-19,149.6
2020-11-20,149.93
2020-11-23,153.67
2020-11-24,154.96
2020-11-25,154.88
2020-11-27,154.67
2020-11-30,155.82
2020-12-01,153.4
2020-12-02,151.81
2020-12-03,151.97
2020-12-04,150.0
2020-12-07,151.99
2020-12-08,151.24
2020-12-09,160.13
2020-12-10,160.22
2020-12-11,157.82
2020-12-14,160.09
2020-12-15,163.33
2020-12-16,163.2
2020-12-17,163.54
2020-12-18,163.2
2020-12-21,164.33
2020-12-22,164.61
2020-12-23,162.43
2020-12-24,162.77
2020-12-28,162.04
2020-12-29,160.54
2020-12-30,160.56
2020-12-31,160.51
2021-01-04,160.38
2021-01-05,160.92
2021-01-06,163.07
2021-01-07,163.71
2021-01-08,165.05
2021-01-11,166.32
2021-01-12,168.99
2021-01-13,169.83
2021-01-14,170.39
2021-01-15,171.34
2021-01-19,170.76
2021-01-20,172.39
2021-01-21,172.34
2021-01-22,172.4
2021-01-25,174.1
2021-01-26,173.7
2021-01-27,167.71
2021-01-28,172.34
2021-01-29,166.85
2021-02-01,163.37
2021-02-02,166.66
2021-02-03,169.88
2021-02-04,173.03
2021-02-05,175.03
2021-02-08,179.17
2021-02-09,177.78
2021-02-10,177.24
2021-02-11,175.73
2021-02-12,177.16
2021-02-16,174.06
2021-02-17,177.13
2021-02-18,177.16
2021-02-19,177.54
2021-02-22,172.41
2021-02-23,168.59
2021-02-24,162.31
2021-02-25,158.52
2021-02-26,159.75
2021-03-01,161.94
2021-03-02,163.05
2021-03-03,158.29
2021-03-04,153.77
2021-03-05,158.58
2021-03-08,162.92
2021-03-09,165.99
2021-03-10,168.46
2021-03-11,170.75
2021-03-12,171.55
2021-03-15,174.2
2021-03-16,175.33
2021-03-17,174.44
2021-03-18,174.87
2021-03-19,179.49
2021-03-22,181.89
2021-03-23,180.4
2021-03-24,180.68
2021-03-25,185.17
2021-03-26,191.61
2021-03-29,188.62
2021-03-30,190.02
2021-03-31,190.18
2021-04-01,191.32
2021-04-05,193.73
2021-04-06,194.2
2021-04-07,193.67
2021-04-08,194.21
2021-04-09,198.51
2021-04-12,200.65
2021-04-13,199.72
2021-04-14,201.52
2021-04-15,204.57
2021-04-16,208.25
2021-04-19,204.01
2021-04-20,202.77
2021-04-21,203.91
2021-04-22,201.3
2021-04-23,200.93
2021-04-26,199.19
2021-04-27,199.05
2021-04-28,196.06
2021-04-29,198.44
2021-04-30,196.25
2021-05-03,199.2
2021-05-04,200.3
2021-05-05,200.0
2021-05-06,205.94
2021-05-07,208.4
2021-05-10,211.31
2021-05-11,205.34
2021-05-12,195.54
2021-05-13,200.34
2021-05-14,198.91
2021-05-17,194.13
2021-05-18,192.75
2021-05-19,190.72
2021-05-20,193.41
2021-05-21,192.47
2021-05-24,190.66
2021-05-25,193.02
2021-05-26,193.6
2021-05-27,193.77
2021-05-28,194.83
2021-06-01,191.85
2021-06-02,190.77
2021-06-03,190.3
2021-06-04,189.91
2021-06-07,190.25
2021-06-08,191.4
2021-06-09,190.6
2021-06-10,188.78
2021-06-11,190.81
2021-06-14,189.66
2021-06-15,187.88
2021-06-16,186.2
2021-06-17,186.84
2021-06-18,186.88
2021-06-21,188.88
2021-06-22,191.72
2021-06-23,191.14
2021-06-24,191.75
2021-06-25,192.66
2021-06-28,193.21
2021-06-29,194.2
2021-06-30,193.97
2021-07-01,195.82
2021-07-02,195.71
2021-07-06,194.75
2021-07-07,195.88
2021-07-08,192.8
2021-07-09,195.33
2021-07-12,195.57
2021-07-13,194.28
2021-07-14,192.74
2021-07-15,195.75
2021-07-16,196.14
2021-07-19,192.9
2021-07-20,194.11
2021-07-21,195.13
2021-07-22,196.77
2021-07-23,200.84
2021-07-26,197.74
2021-07-27,193.51
2021-07-28,192.39
2021-07-29,193.62
2021-07-30,192.69
2021-08-02,190.96
2021-08-03,193.95
2021-08-04,189.9
2021-08-05,190.68
2021-08-06,190.16
2021-08-09,187.99
2021-08-10,189.73
2021-08-11,194.52
2021-08-12,192.0
2021-08-13,190.51
2021-08-16,193.48
2021-08-17,182.26
2021-08-18,199.73
2021-08-19,202.59
2021-08-20,208.21
2021-08-23,206.06
2021-08-24,203.39
2021-08-25,206.18
2021-08-26,205.65
2021-08-27,205.9
2021-08-30,204.99
2021-08-31,203.89
2021-09-01,203.43
2021-09-02,206.15
2021-09-03,205.98
2021-09-07,205.15
2021-09-08,204.09
2021-09-09,203.01
2021-09-10,204.33
2021-09-13,206.05
2021-09-14,204.17
2021-09-15,205.61
2021-09-16,208.48
2021-09-17,209.03
2021-09-20,205.27
2021-09-21,206.27
2021-09-22,208.89
2021-09-23,207.98
2021-09-24,207.87
2021-09-27,210.63
2021-09-28,205.43
2021-09-29,207.1
2021-09-30,202.86
2021-10-01,203.7
2021-10-04,204.51
2021-10-05,204.27
2021-10-06,204.0
2021-10-07,207.9
2021-10-08,206.16
2021-10-11,208.85
2021-10-12,209.8
2021-10-13,212.12
2021-10-14,216.45
2021-10-15,219.16
2021-10-18,221.74
2021-10-19,222.91
2021-10-20,225.01
2021-10-21,227.42
2021-10-22,228.77
2021-10-25,231.82
2021-10-26,231.07
2021-10-27,231.77
2021-10-28,231.76
2021-10-29,233.82
2021-11-01,231.75
2021-11-02,233.03
2021-11-03,234.3
2021-11-04,237.78
2021-11-05,235.54
2021-11-08,234.79
2021-11-09,233.91
2021-11-10,232.55
2021-11-11,232.32
2021-11-12,236.32
2021-11-15,234.92
2021-11-16,244.78
2021-11-17,245.73
2021-11-18,247.38
2021-11-19,249.52
2021-11-22,252.35
2021-11-23,251.91
2021-11-24,252.63
2021-11-26,247.69
2021-11-29,248.58
2021-11-30,244.59
2021-12-01,245.34
2021-12-02,250.39
2021-12-03,248.69
2021-12-06,251.18
2021-12-07,256.91
2021-12-08,256.74
2021-12-09,258.15
2021-12-10,261.38
2021-12-13,257.24
2021-12-14,252.46
2021-12-15,257.54
2021-12-16,253.24
2021-12-17,248.09
2021-12-20,245.62
2021-12-21,246.98
2021-12-22,249.7
2021-12-23,250.09
2021-12-27,253.7
2021-12-28,254.02
2021-12-29,257.57
2021-12-30,256.39
2021-12-31,258.48
2022-01-03,255.51
2022-01-04,259.81
2022-01-05,254.75
2022-01-06,257.79
2022-01-07,251.09
2022-01-10,247.69
2022-01-11,249.5
2022-01-12,250.72
2022-01-13,250.7
2022-01-14,243.4
2022-01-18,238.41
2022-01-19,234.7
2022-01-20,223.93
2022-01-21,225.02
2022-01-24,232.35
2022-01-25,230.01
2022-01-26,228.1
2022-01-27,225.93
2022-01-28,234.99
2022-01-31,237.35
2022-02-01,238.35
2022-02-02,239.11
2022-02-03,234.11
2022-02-04,229.07
2022-02-07,227.02
2022-02-08,231.76
2022-02-09,233.66
2022-02-10,227.4
2022-02-11,225.91
2022-02-14,225.95
2022-02-15,228.1
2022-02-16,227.01
2022-02-17,223.79
2022-02-18,222.69
2022-02-22,214.59
2022-02-23,215.09
2022-02-24,213.41
2022-02-25,219.18
2022-02-28,221.06
2022-03-01,221.5
2022-03-02,228.66
2022-03-03,226.28
2022-03-04,224.07
2022-03-07,222.26
2022-03-08,223.26
2022-03-09,225.88
2022-03-10,224.17
2022-03-11,222.21
2022-03-14,226.51
2022-03-15,231.07
2022-03-16,231.33
2022-03-17,234.38
2022-03-18,235.67
2022-03-21,227.6
2022-03-22,228.47
2022-03-23,220.92
2022-03-24,219.17
2022-03-25,212.92
2022-03-28,213.78
2022-03-29,219.57
2022-03-30,209.49
2022-03-31,202.19
2022-04-01,202.4
2022-04-04,204.12
2022-04-05,204.87
2022-04-06,200.65
2022-04-07,202.64
2022-04-08,206.66
2022-04-11,204.59
2022-04-12,204.14
2022-04-13,205.51
2022-04-14,201.28
2022-04-18,198.52
2022-04-19,203.04
2022-04-20,208.74
2022-04-21,205.03
2022-04-22,197.06
2022-04-25,200.38
2022-04-26,199.59
2022-04-27,199.57
2022-04-28,205.14
2022-04-29,197.73
2022-05-02,203.14
2022-05-03,201.63
2022-05-04,207.16
2022-05-05,195.92
2022-05-06,192.29
2022-05-09,196.07
2022-05-10,192.13
2022-05-11,187.77
2022-05-12,191.7
2022-05-13,194.0
2022-05-16,194.73
2022-05-17,194.03
2022-05-18,183.82
2022-05-19,187.86
2022-05-20,184.69
