date,close
2020-01-27,29.38
2020-01-28,30.17
2020-01-29,29.82
2020-01-30,31.1
2020-01-31,29.82
2020-02-03,30.84
2020-02-04,32.54
2020-02-05,32.56
2020-02-06,32.35
2020-02-07,31.54
2020-02-10,31.98
2020-02-11,32.57
2020-02-12,33.46
2020-02-13,34.16
2020-02-14,33.93
2020-02-18,32.53
2020-02-19,33.39
2020-02-20,32.85
2020-02-21,31.68
2020-02-24,30.05
2020-02-25,29.22
2020-02-26,29.66
2020-02-27,28.57
2020-02-28,29.34
2020-03-02,30.03
2020-03-03,29.15
2020-03-04,30.62
2020-03-05,29.91
2020-03-06,29.44
2020-03-09,26.76
2020-03-10,28.76
2020-03-11,27.66
2020-03-12,23.79
2020-03-13,26.18
2020-03-16,21.35
2020-03-17,22.93
2020-03-18,19.41
2020-03-19,19.5
2020-03-20,18.79
2020-03-23,19.29
2020-03-24,23.06
2020-03-25,23.36
2020-03-26,26.03
2020-03-27,24.12
2020-03-30,25.53
2020-03-31,24.0
2020-04-01,22.33
2020-04-02,22.06
2020-04-03,21.82
2020-04-06,25.08
2020-04-07,25.62
2020-04-08,26.68
2020-04-09,25.83
2020-04-13,25.88
2020-04-14,27.25
2020-04-15,26.28
2020-04-16,27.07
2020-04-17,27.9
2020-04-20,26.67
2020-04-21,24.36
2020-04-22,27.18
2020-04-23,26.4
2020-04-24,26.67
2020-04-27,26.44
2020-04-28,26.19
2020-04-29,28.0
2020-04-30,25.53
2020-05-01,23.5
2020-05-04,23.45
2020-05-05,24.28
2020-05-06,24.46
2020-05-07,24.76
2020-05-08,26.54
2020-05-11,26.22
2020-05-12,25.6
2020-05-13,24.82
2020-05-14,26.9
2020-05-15,25.18
2020-05-18,25.75
2020-05-19,26.17
2020-05-20,27.12
2020-05-21,26.07
2020-05-22,26.11
2020-05-26,26.64
2020-05-27,27.61
2020-05-28,26.68
2020-05-29,27.37
2020-06-01,27.1
2020-06-02,27.15
2020-06-03,28.69
2020-06-04,29.18
2020-06-05,30.49
2020-06-08,29.76
2020-06-09,30.23
2020-06-10,30.13
2020-06-11,28.24
2020-06-12,28.45
2020-06-15,29.11
2020-06-16,30.55
2020-06-17,31.38
2020-06-18,31.48
2020-06-19,31.53
2020-06-22,31.23
2020-06-23,31.6
2020-06-24,30.58
2020-06-25,31.26
2020-06-26,30.25
2020-06-29,30.85
2020-06-30,32.35
2020-07-01,31.75
2020-07-02,32.37
2020-07-06,33.5
2020-07-07,32.79
2020-07-08,33.38
2020-07-09,33.58
2020-07-10,34.0
2020-07-13,33.71
2020-07-14,34.61
2020-07-15,34.32
2020-07-16,34.49
2020-07-17,34.63
2020-07-20,35.38
2020-07-21,35.7
2020-07-22,36.2
2020-07-23,35.48
2020-07-24,34.57
2020-07-27,35.81
2020-07-28,34.89
2020-07-29,36.08
2020-07-30,37.85
2020-07-31,37.72
2020-08-03,38.14
2020-08-04,38.5
2020-08-05,38.35
2020-08-06,37.78
2020-08-07,37.24
2020-08-10,37.58
2020-08-11,36.9
2020-08-12,38.15
2020-08-13,37.7
2020-08-14,37.36
2020-08-17,37.91
2020-08-18,37.46
2020-08-19,37.22
2020-08-20,35.85
2020-08-21,35.34
2020-08-24,35.1
2020-08-25,35.25
2020-08-26,35.18
2020-08-27,34.15
2020-08-28,35.08
2020-08-31,33.63
2020-09-01,34.06
2020-09-02,36.27
2020-09-03,34.15
2020-09-04,33.31
2020-09-08,30.27
2020-09-09,30.09
2020-09-10,29.75
2020-09-11,29.4
2020-09-14,30.54
2020-09-15,30.89
2020-09-16,30.66
2020-09-17,30.59
2020-09-18,30.72
2020-09-21,31.5
2020-09-22,31.87
2020-09-23,31.7
2020-09-24,32.72
2020-09-25,33.03
2020-09-28,33.66
2020-09-29,33.77
2020-09-30,33.18
2020-10-01,33.91
