date,close
2020-01-27,56.25
2020-01-28,57.6
2020-01-29,56.89
2020-01-30,55.83
2020-01-31,54.98
2020-02-03,55.22
2020-02-04,55.68
2020-02-05,56.95
2020-02-06,57.72
2020-02-07,57.26
2020-02-10,57.42
2020-02-11,57.93
2020-02-12,58.48
2020-02-13,58.54
2020-02-14,57.97
2020-02-18,57.6
2020-02-19,57.11
2020-02-20,56.94
2020-02-21,56.53
2020-02-24,54.11
2020-02-25,49.66
2020-02-26,48.9
2020-02-27,46.63
2020-02-28,46.19
2020-03-02,46.95
2020-03-03,45.21
2020-03-04,46.93
2020-03-05,45.25
2020-03-06,45.73
2020-03-09,43.62
2020-03-10,45.56
2020-03-11,42.49
2020-03-12,36.07
2020-03-13,41.28
2020-03-16,37.52
2020-03-17,38.25
2020-03-18,35.15
2020-03-19,30.86
2020-03-20,31.94
2020-03-23,33.73
2020-03-24,37.66
2020-03-25,39.4
2020-03-26,41.23
2020-03-27,36.38
2020-03-30,35.1
2020-03-31,35.61
2020-04-01,32.04
2020-04-02,31.5
2020-04-03,30.54
2020-04-06,30.7
2020-04-07,32.77
2020-04-08,34.3
2020-04-09,36.47
2020-04-13,34.26
2020-04-14,34.78
2020-04-15,32.82
2020-04-16,30.68
2020-04-17,31.19
2020-04-20,31.06
2020-04-21,30.11
2020-04-22,29.71
2020-04-23,30.14
2020-04-24,29.33
2020-04-27,29.11
2020-04-28,29.69
2020-04-29,30.97
2020-04-30,31.25
2020-05-01,29.23
2020-05-04,27.56
2020-05-05,26.42
2020-05-06,24.93
2020-05-07,25.45
2020-05-08,27.2
2020-05-11,26.09
2020-05-12,25.24
2020-05-13,24.0
2020-05-14,24.78
2020-05-15,23.87
2020-05-18,27.09
2020-05-19,27.69
2020-05-20,29.15
2020-05-21,29.6
2020-05-22,28.87
2020-05-26,32.52
2020-05-27,33.66
2020-05-28,32.55
2020-05-29,32.1
2020-06-01,33.62
2020-06-02,34.48
2020-06-03,36.42
2020-06-04,38.27
2020-06-05,38.18
2020-06-08,40.59
2020-06-09,38.01
2020-06-10,37.14
2020-06-11,32.83
2020-06-12,35.87
2020-06-15,36.34
2020-06-16,36.57
2020-06-17,36.31
2020-06-18,35.85
2020-06-19,34.55
2020-06-22,34.36
2020-06-23,34.75
