date,close
2020-01-27,82.11
2020-01-28,82.93
2020-01-29,83.85
2020-01-30,83.45
2020-01-31,77.86
2020-02-03,78.82
2020-02-04,81.72
2020-02-05,84.08
2020-02-06,83.38
2020-02-07,82.1
2020-02-10,81.93
2020-02-11,83.97
2020-02-12,85.61
2020-02-13,83.49
2020-02-14,82.6
2020-02-18,81.32
2020-02-19,81.95
2020-02-20,83.35
2020-02-21,82.91
2020-02-24,79.65
2020-02-25,75.41
2020-02-26,74.39
2020-02-27,70.9
2020-02-28,71.46
2020-03-02,74.52
2020-03-03,72.24
2020-03-04,75.23
2020-03-05,73.91
2020-03-06,71.99
2020-03-09,59.61
2020-03-10,59.74
2020-03-11,54.0
2020-03-12,46.07
2020-03-13,46.84
2020-03-16,34.9
2020-03-17,41.72
2020-03-18,40.57
2020-03-19,43.23
2020-03-20,42.0
2020-03-23,40.49
2020-03-24,45.29
2020-03-25,52.1
2020-03-26,53.93
2020-03-27,49.4
2020-03-30,49.58
2020-03-31,49.63
2020-04-01,45.03
2020-04-02,45.92
2020-04-03,46.1
2020-04-06,49.88
2020-04-07,51.65
2020-04-08,55.47
2020-04-09,58.93
2020-04-13,58.04
2020-04-14,58.64
2020-04-15,52.7
2020-04-16,49.45
2020-04-17,52.19
2020-04-20,48.41
2020-04-21,46.63
2020-04-22,48.11
2020-04-23,49.37
2020-04-24,50.05
2020-04-27,52.41
2020-04-28,55.67
2020-04-29,59.93
2020-04-30,57.95
2020-05-01,55.16
2020-05-04,54.35
2020-05-05,54.85
2020-05-06,52.11
2020-05-07,53.73
2020-05-08,56.45
2020-05-11,56.06
2020-05-12,55.86
2020-05-13,52.59
2020-05-14,53.29
2020-05-15,53.6
2020-05-18,59.37
2020-05-19,58.07
2020-05-20,60.39
2020-05-21,60.26
2020-05-22,60.42
2020-05-26,67.72
2020-05-27,67.31
2020-05-28,64.4
2020-05-29,63.76
2020-06-01,65.34
2020-06-02,68.39
2020-06-03,70.5
2020-06-04,73.95
2020-06-05,74.87
2020-06-08,76.39
2020-06-09,76.0
2020-06-10,73.57
2020-06-11,63.9
2020-06-12,66.61
2020-06-15,67.28
2020-06-16,69.06
2020-06-17,66.83
2020-06-18,66.94
2020-06-19,66.54
2020-06-22,66.71
2020-06-23,65.99
2020-06-24,60.64
2020-06-25,64.0
2020-06-26,63.37
2020-06-29,64.95
2020-06-30,65.72
2020-07-01,65.61
2020-07-02,66.96
2020-07-06,68.25
2020-07-07,67.49
2020-07-08,65.85
2020-07-09,63.11
2020-07-10,65.04
2020-07-13,65.34
2020-07-14,66.96
2020-07-15,68.88
2020-07-16,68.86
2020-07-17,68.5
2020-07-20,66.8
2020-07-21,68.07
2020-07-22,68.37
2020-07-23,68.89
2020-07-24,68.5
2020-07-27,69.77
2020-07-28,67.58
2020-07-29,67.98
2020-07-30,65.29
2020-07-31,62.52
2020-08-03,62.13
2020-08-04,64.81
2020-08-05,65.83
2020-08-06,65.44
2020-08-07,66.69
2020-08-10,70.19
2020-08-11,71.05
2020-08-12,69.89
2020-08-13,68.99
2020-08-14,69.01
2020-08-17,68.53
2020-08-18,68.44
2020-08-19,67.63
2020-08-20,65.95
2020-08-21,65.67
2020-08-24,69.59
2020-08-25,68.75
2020-08-26,69.31
2020-08-27,68.92
2020-08-28,68.15
2020-08-31,65.48
2020-09-01,68.46
2020-09-02,71.49
2020-09-03,70.44
2020-09-04,72.06
2020-09-08,70.08
2020-09-09,72.69
2020-09-10,70.94
2020-09-11,74.31
2020-09-14,76.49
2020-09-15,76.55
2020-09-16,76.94
2020-09-17,79.9
2020-09-18,79.0
2020-09-21,73.5
2020-09-22,73.51
2020-09-23,69.99
2020-09-24,70.22
2020-09-25,69.62
2020-09-28,71.21
2020-09-29,70.28
2020-09-30,70.49
2020-10-01,68.14
2020-10-02,72.24
2020-10-05,75.4
2020-10-06,75.99
2020-10-07,79.41
2020-10-08,79.26
2020-10-09,79.84
2020-10-12,77.45
2020-10-13,76.69
2020-10-14,78.0
2020-10-15,76.99
2020-10-16,77.01
2020-10-19,77.05
2020-10-20,77.83
2020-10-21,76.59
2020-10-22,77.08
2020-10-23,76.9
2020-10-26,75.43
2020-10-27,73.37
2020-10-28,69.33
2020-10-29,72.21
2020-10-30,68.45
2020-11-02,71.91
2020-11-03,72.86
2020-11-04,69.56
2020-11-05,74.21
2020-11-06,72.67
2020-11-09,79.39
2020-11-10,81.37
2020-11-11,77.16
2020-11-12,74.34
2020-11-13,76.64
2020-11-16,79.67
2020-11-17,81.03
2020-11-18,82.2
2020-11-19,82.23
2020-11-20,81.65
2020-11-23,85.17
2020-11-24,90.85
2020-11-25,89.33
2020-11-27,87.86
2020-11-30,85.1
2020-12-01,85.76
2020-12-02,85.92
2020-12-03,85.63
2020-12-04,89.26
2020-12-07,87.11
2020-12-08,87.89
2020-12-09,88.54
2020-12-10,88.21
2020-12-11,88.5
2020-12-14,87.1
2020-12-15,89.01
2020-12-16,89.08
2020-12-17,90.1
2020-12-18,90.93
2020-12-21,90.39
2020-12-22,89.81
2020-12-23,90.63
2020-12-24,90.61
2020-12-28,90.6
2020-12-29,89.49
2020-12-30,91.07
2020-12-31,91.66
2021-01-04,89.29
2021-01-05,92.34
2021-01-06,96.77
2021-01-07,97.47
2021-01-08,96.75
2021-01-11,96.98
2021-01-12,99.21
2021-01-13,97.14
2021-01-14,98.87
2021-01-15,94.91
2021-01-19,93.82
2021-01-20,94.38
2021-01-21,92.62
2021-01-22,91.48
2021-01-25,89.98
2021-01-26,87.89
2021-01-27,86.06
2021-01-28,87.25
2021-01-29,85.76
2021-02-01,86.75
2021-02-02,88.84
2021-02-03,89.23
2021-02-04,90.9
2021-02-05,93.26
2021-02-08,95.52
2021-02-09,94.71
2021-02-10,95.47
2021-02-11,94.82
2021-02-12,96.14
2021-02-16,97.99
2021-02-17,97.81
2021-02-18,94.92
2021-02-19,100.22
2021-02-22,102.92
2021-02-23,103.0
2021-02-24,107.33
2021-02-25,104.41
2021-02-26,103.09
2021-03-01,106.34
2021-03-02,107.9
2021-03-03,107.81
2021-03-04,106.17
2021-03-05,107.89
2021-03-08,108.76
2021-03-09,107.17
2021-03-10,108.9
2021-03-11,109.5
2021-03-12,108.73
2021-03-15,107.63
2021-03-16,105.36
2021-03-17,108.72
2021-03-18,108.1
2021-03-19,106.77
2021-03-22,106.0
2021-03-23,100.26
2021-03-24,102.13
2021-03-25,104.65
2021-03-26,105.57
2021-03-29,104.23
2021-03-30,105.03
2021-03-31,104.05
2021-04-01,105.55
2021-04-05,104.21
2021-04-06,104.79
2021-04-07,103.6
2021-04-08,103.0
2021-04-09,104.08
2021-04-12,105.37
2021-04-13,104.57
2021-04-14,106.94
2021-04-15,107.1
2021-04-16,107.55
2021-04-19,107.2
2021-04-20,104.64
2021-04-21,108.12
2021-04-22,102.0
2021-04-23,104.41
2021-04-26,104.94
2021-04-27,104.91
2021-04-28,106.36
2021-04-29,107.49
2021-04-30,103.74
2021-05-03,107.87
2021-05-04,109.31
2021-05-05,112.04
2021-05-06,114.13
2021-05-07,114.06
2021-05-10,113.44
2021-05-11,112.53
2021-05-12,110.06
2021-05-13,110.54
2021-05-14,114.07
2021-05-17,115.48
