date,close
2020-01-27,51.49
2020-01-28,52.1
2020-01-29,51.23
2020-01-30,50.78
2020-01-31,48.74
2020-02-03,48.77
2020-02-04,50.85
2020-02-05,54.26
2020-02-06,54.24
2020-02-07,53.1
2020-02-10,54.08
2020-02-11,54.43
2020-02-12,54.85
2020-02-13,55.19
2020-02-14,54.68
2020-02-18,53.48
2020-02-19,54.91
2020-02-20,54.07
2020-02-21,52.54
2020-02-24,50.07
2020-02-25,48.59
2020-02-26,47.38
2020-02-27,44.94
2020-02-28,45.35
2020-03-02,47.61
2020-03-03,44.71
2020-03-04,46.63
2020-03-05,44.34
2020-03-06,43.48
2020-03-09,38.98
2020-03-10,40.74
2020-03-11,36.7
2020-03-12,31.16
2020-03-13,34.99
2020-03-16,27.89
2020-03-17,31.25
2020-03-18,28.98
2020-03-19,30.28
2020-03-20,29.82
2020-03-23,32.76
2020-03-24,37.86
2020-03-25,37.47
2020-03-26,37.26
2020-03-27,34.1
2020-03-30,34.49
2020-03-31,33.9
2020-04-01,31.4
2020-04-02,32.49
2020-04-03,32.02
2020-04-06,36.99
2020-04-07,36.67
2020-04-08,39.76
2020-04-09,39.23
2020-04-13,39.78
2020-04-14,40.97
2020-04-15,39.29
2020-04-16,38.78
2020-04-17,40.17
2020-04-20,38.85
2020-04-21,37.43
2020-04-22,39.52
2020-04-23,39.4
2020-04-24,41.01
2020-04-27,42.35
2020-04-28,43.68
2020-04-29,46.13
2020-04-30,43.87
2020-05-01,40.76
2020-05-04,41.01
2020-05-05,41.74
2020-05-06,41.88
2020-05-07,42.75
2020-05-08,44.85
2020-05-11,44.15
2020-05-12,42.99
2020-05-13,41.98
2020-05-14,42.9
2020-05-15,41.77
2020-05-18,44.51
2020-05-19,44.07
2020-05-20,45.65
2020-05-21,43.82
2020-05-22,43.91
2020-05-26,46.93
2020-05-27,48.38
2020-05-28,47.72
2020-05-29,48.01
2020-06-01,47.87
2020-06-02,48.42
2020-06-03,54.4
2020-06-04,53.43
2020-06-05,55.0
2020-06-08,54.24
2020-06-09,52.87
2020-06-10,52.18
2020-06-11,48.73
2020-06-12,49.82
2020-06-15,50.63
2020-06-16,51.89
2020-06-17,52.3
2020-06-18,52.15
2020-06-19,51.73
2020-06-22,51.85
2020-06-23,52.04
2020-06-24,50.54
2020-06-25,50.99
2020-06-26,50.02
2020-06-29,51.29
2020-06-30,52.66
2020-07-01,51.56
2020-07-02,52.31
2020-07-06,53.88
2020-07-07,52.49
2020-07-08,51.99
2020-07-09,53.77
